,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Nikola Jokic,C,DEN,74,33.5,5.16,6.62,11.78,26.12,a9e4aaeb-2163-459f-ad70-10bed0cbef61,28.73
1,Joel Embiid,C,PHI,68,33.8,4.31,5.52,9.83,21.16,395642df-8c55-4112-b850-4be318896e9e,23.77
2,Stephen Curry,PG,GS,64,34.5,5.17,4.31,9.48,20.62,9c7a1a07-4978-474c-b472-3cb227f9e4cf,23.23
3,Jayson Tatum,SF,BOS,76,35.9,3.22,5.74,8.96,24.17,781822eb-eaba-4292-a247-34b65bec6c08,26.78
4,Giannis Antetokounmpo,PF,MIL,67,32.9,6.51,1.67,8.18,20.10,0a5638ef-6f1d-4b38-aafe-5364e228598f,22.71
5,Rudy Gobert,C,UTAH,66,32.1,-0.05,8.00,7.95,16.91,8acbad0f-aa60-41d7-bc2f-1e9e011d8993,19.52
6,Trae Young,PG,ATL,76,34.9,5.74,1.21,6.95,19.90,4567c890-b16c-40e3-a31d-30a2614a7ed0,22.509999999999998
7,Chris Paul,PG,PHX,65,32.9,1.74,4.93,6.66,15.76,40b1fb2d-fa62-4821-ad86-82eb61726f8c,18.37
8,Luka Doncic,PG,DAL,65,35.4,5.59,0.90,6.50,17.16,c7c0013f-a40b-472f-bb51-b4665cc288f4,19.77
9,Mike Conley,PG,UTAH,72,28.6,0.39,5.84,6.23,13.80,ebc02828-465d-4985-90df-4facae97337a,16.41
10,Donovan Mitchell,SG,UTAH,67,33.8,4.81,1.35,6.16,16.11,17cc8c3d-5145-4970-89a7-929a7cd78459,18.72
11,Jaren Jackson Jr,PF,MEM,78,27.3,-0.09,6.23,6.14,14.81,,17.42
12,LeBron James,SF,LAL,56,37.2,5.02,1.07,6.09,15.49,bedcfe40-c385-484d-85bc-e13eb14254ca,18.1
13,Kevin Durant,PF,BKN,55,37.2,3.68,2.39,6.07,14.21,5dde60a0-ddd0-444a-a30d-af49c13df613,16.82
14,Al Horford,C,BOS,69,29.1,-0.99,6.93,5.94,13.46,b21d8144-e255-442a-8c3f-2737727f9f38,16.07
15,Kristaps Porzingis,C,DAL/WSH,51,29.0,2.51,3.34,5.85,10.12,94f4cc4b-f899-4525-9624-92599e86b33b,12.729999999999999
16,Desmond Bane,SG,MEM,76,29.8,0.74,4.69,5.43,14.95,f391a45f-39f5-4f7a-88fb-fc66206867f3,17.56
17,Clint Capela,C,ATL,74,27.6,-2.28,7.66,5.38,12.78,e1f14035-2120-4278-8d5f-1dc96e50ded4,15.389999999999999
18,Fred VanVleet,SG,TOR,65,37.9,1.33,3.89,5.22,15.49,6d77ad54-bd07-4538-bfbc-e4a413a95b71,18.1
19,Jaylen Brown,SG,BOS,66,33.6,2.08,3.08,5.16,14.13,4f0761b5-23e8-4d93-8c99-309890de051c,16.740000000000002
20,Pascal Siakam,PF,TOR,68,37.9,-0.12,5.24,5.11,16.11,48a83890-c736-4849-a378-dad562f054d2,18.72
21,Karl-Anthony Towns,C,MIN,74,33.4,3.08,1.93,5.01,16.25,06f4fe8d-077b-4b79-9bc9-8e53408974d7,18.86
22,Devin Booker,SG,PHX,68,34.5,3.08,1.85,4.93,14.95,a43ff5e7-6201-4ea9-898e-89ebf2f2dbb5,17.56
23,Darius Garland,PG,CLE,68,35.7,2.17,2.71,4.88,15.11,2620279e-9749-4432-a636-1dbae05dcd59,17.72
