,Player,Pos,Team,Gp,Mpg,Orpm,Drpm,Rpm,Wins,UUID
296,Olumide Oyedeji,C,ORL,27,5.4,-2.91,0.65,-2.26,0.07,03b18432-baed-4cd9-ae49-8922fcd220c1
297,Tyson Chandler,C,CHI,75,24.4,-1.05,-1.25,-2.30,0.98,8c507a1f-0040-43af-a02c-2e453b5ecb1c
298,Lawrence Funderburke,PF,SAC,27,8.5,-0.99,-1.32,-2.31,0.12,3021004a-8e54-488c-8b64-3f2d8c83c7ac
299,Eddie Robinson,SF,CHI,64,21.2,-1.14,-1.19,-2.33,0.72,6b688719-74f9-4a9f-8235-f6601673da13
300,Jay Williams,G,CHI,75,26.1,0.57,-2.91,-2.34,1.04,4986dec1-5b84-4466-9ca6-8336beb15bcd
301,Troy Murphy,PF,GS,79,31.8,-0.47,-1.87,-2.34,1.35,e315ffcb-8bb5-4c44-965c-717a0a27c7e1
302,Bryce Drew,PG,NO,13,6.1,-1.98,-0.38,-2.35,0.04,53b55c25-9ac4-4bc7-b69a-9f5fbea03fb8
303,Carlos Boozer,PF,CLE,81,25.3,0.46,-2.82,-2.36,1.04,3bf7f1dc-c213-4da8-9385-3e65646f4279
304,Lorenzen Wright,PF,MEM,70,28.3,-1.15,-1.22,-2.36,0.98,cf18407b-f78c-482c-ab5e-f9c5d8457f51
305,Brian Scalabrine,PF,NJ,59,12.3,-2.66,0.30,-2.36,0.34,c3ed71a9-b403-49fb-803c-c93a512f4d5f
306,Ricky Davis,SG,CLE,79,39.6,0.99,-3.37,-2.37,1.59,994985b8-08b9-4015-950d-cb521794ab7b
308,Bryon Russell,SF,WSH,70,19.8,-3.24,0.82,-2.42,0.59,0ad414db-5aee-434f-ac92-8663d5f1db05
309,Courtney Alexander,SG,NO,66,20.6,-1.84,-0.58,-2.42,0.61,409365f9-b562-45a2-b072-c44d7e74cc7b
310,Emanual Davis,G,ATL,24,14.2,-2.15,-0.28,-2.43,0.15,b90aa846-a2ef-4a43-9cec-49e453ecb311
311,Lee Nailon,SF,NY,38,10.7,-0.39,-2.05,-2.43,0.17,fc6550e7-dd2b-4d18-9275-d6b6eca04e7c
312,Lonny Baxter,PF,CHI,55,12.4,-1.18,-1.26,-2.44,0.31,96a35422-2c3d-41c4-9d0a-dc33dbd93de4
313,Jason Richardson,SG,GS,82,32.9,1.81,-4.26,-2.45,1.24,8c6dde95-ce6e-46b9-8872-02b07d1e3a05
314,Rasual Butler,SF,MIA,72,21.0,-2.02,-0.46,-2.48,0.59,2287806b-4230-46cd-8880-05081a354c9a
315,John Crotty,G,DEN,12,15.0,-1.30,-1.20,-2.50,0.07,23b29ad3-7ffb-4457-9c98-37fceeef5178
316,Nate Huffman,C,TOR,7,10.9,-1.49,-1.06,-2.54,0.03,34f20c27-19b6-450d-94dd-298e20bb1863
317,Tayshaun Prince,SF,DET,42,10.4,-1.99,-0.56,-2.55,0.15,cd0dc149-fe1e-4af7-8638-75bb860234fc
318,Scott Williams,C,PHX,69,12.6,-2.64,0.08,-2.56,0.30,dba1627e-5809-4274-8eae-cc8f53814bd8
319,Hubert Davis,SG,DET,43,7.6,-1.15,-1.46,-2.60,0.09,6ca52eaa-8a69-4ef8-8be7-98b44174cd3a
320,Tracy Murray,SF,LAL,31,6.2,0.00,-2.62,-2.62,0.06,90083c39-47ba-4f22-adc2-0effbd4e2f8f
321,Joel Przybilla,C,MIL,32,17.1,-4.32,1.70,-2.62,0.16,4c93afcf-fdce-410b-a854-c15235986588
322,Maurice Taylor,PF,HOU,67,20.6,-1.90,-0.74,-2.64,0.41,9219e8bf-7962-461c-bf38-1784b30036bb
324,Dalibor Bagaric,C,CHI,10,7.6,-2.55,-0.10,-2.65,0.03,852fe9c1-062b-4b67-bccf-41c1121c3faf
326,Mark Madsen,PF,LAL,54,14.5,-1.42,-1.28,-2.70,0.21,93368268-a751-41bc-9b66-cf3d1c40ed6a
328,Tito Maddox,G,HOU,9,3.9,-1.94,-0.81,-2.75,0.01,4b2b7865-b0ec-4241-aaad-4ed7eaeb659c
329,Michael Olowokandi,C,LAC,36,38.0,-4.08,1.28,-2.80,0.28,44097b88-6f1a-431e-8392-12dc8e49da9c
330,Jannero Pargo,PG,LAL,34,10.1,-1.58,-1.24,-2.82,0.06,2aa7f6c1-16f9-4c88-98c0-99d4496a89fd
331,Junior Harrington,PG,DEN,82,24.4,-4.13,1.24,-2.89,0.28,78140291-b483-456d-a6e1-70f46443bcf2
332,Mark Blount,C,DEN/BOS,81,17.3,-4.06,1.12,-2.94,0.14,7ff7f429-4494-4958-82d3-ea70c4e9e514
333,Juaquin Hawkins,G,HOU,58,11.8,-3.44,0.50,-2.94,0.07,60846a03-87c2-4ace-b4b6-61f939420622
334,Terence Morris,F,HOU,49,12.9,-1.59,-1.36,-2.95,0.06,386b17e1-cd31-4fec-b7ed-c059c4d13319
335,Anthony Peeler,SG,MIN,82,27.4,-0.22,-2.74,-2.96,0.22,0af84adb-f14a-4e6e-9edc-b87df6373ad6
336,Charles Smith,SG,POR,3,4.3,-2.32,-0.64,-2.96,0.00,d8956703-65f0-4292-93a1-2454303d5c15
337,Avery Johnson,PG,DAL,48,9.0,-0.99,-1.98,-2.97,0.04,cfcacf84-60a5-4686-b47f-f9cd2573180b
338,Ron Mercer,SG,IND,72,23.2,-1.99,-1.01,-3.00,0.11,56a0fd6a-c57c-4001-a252-974ec1c6096a
339,Glenn Robinson,SF,ATL,69,37.6,0.64,-3.65,-3.01,0.16,887bd52d-0b33-4b48-8da8-99203d4f09c0
340,Dikembe Mutombo,C,NJ,24,21.4,-2.81,-0.26,-3.08,0.01,ac5301b7-a106-4651-8329-2340abff1bbc
342,Rodney White,SF,DEN,72,21.7,-2.07,-1.03,-3.10,0.00,35d384cc-b0dc-471c-b2d6-89a70638b3f4
343,Michael Stewart,PF,CLE,47,5.3,-4.46,1.36,-3.10,-0.00,6357c1fd-477a-4d19-b9c5-d18dad5b516c
344,Tyrone Hill,PF,CLE/PHI,56,24.1,-2.88,-0.27,-3.15,-0.05,8530547a-db37-4f13-a934-0e875a5ef94f
345,Kendall Gill,SF,MIN,82,25.2,-2.33,-0.83,-3.16,-0.08,e5996f28-0068-4dee-bce3-442b0a439eb0
346,Igor Rakocevic,G,MIN,42,5.8,-1.49,-1.71,-3.20,-0.02,1d0fae29-a520-40ea-b870-ba50ebb473de
348,Amal McCaskill,C,ATL,11,6.4,-3.70,0.44,-3.26,-0.01,7919a6a1-4896-45d8-9834-5fc7613db372
349,Darius Miles,SF,CLE,67,30.0,-3.23,-0.03,-3.26,-0.22,c932ca62-defd-4f5e-8be1-9e05b04ce727
350,Mark Strickland,F,DAL,4,3.3,-2.27,-1.00,-3.27,-0.00,4be9d063-93df-4359-8fe4-6143cee6b593
351,Tamar Slay,SG,NJ,36,7.6,-2.22,-1.06,-3.29,-0.03,545f9476-0208-4aa5-9b4f-9e235e4701d7
352,Fred Jones,SG,IND,19,6.1,-3.04,-0.25,-3.29,-0.01,e6a1363f-4903-428c-831a-4f298bb89a1c
353,Jason Caffey,F,MIL,51,17.5,-2.26,-1.04,-3.30,-0.11,c8d77c57-b0ce-4da3-a885-0e621d605e61
354,Nikoloz Tskitishvili,SF,DEN,81,16.3,-2.61,-0.77,-3.38,-0.24,991c3602-2879-4c29-848a-f8bddba04c1e
355,Ryan Humphrey,SF,ORL/MEM,48,9.3,-4.90,1.49,-3.41,-0.09,d2b869c9-f2ef-4f9c-82dc-bfbb12001bc6
356,Jermaine Jackson,PG,TOR/ATL,53,10.5,-2.54,-0.88,-3.41,-0.11,3f2a15d6-f1a2-4455-963a-4b3214a308d7
357,Vin Baker,PF,BOS,52,18.1,-2.12,-1.35,-3.46,-0.23,4df714c7-9b02-4dcb-b84c-f42fd5d67824
358,Samaki Walker,PF,LAL,67,18.6,-2.91,-0.59,-3.50,-0.32,f7c9e4d0-b229-40de-a537-4efe4869dc07
359,Brian Cardinal,PF,WSH,5,3.0,-2.69,-0.82,-3.52,-0.00,c7336898-88c5-4c04-a593-7a83b6534fd8
360,Cherokee Parks,PF,LAC,30,21.6,-1.67,-1.86,-3.53,-0.18,353e2564-cc21-4183-aa73-52240880f26e
361,Ansu Sesay,SF,SEA,45,10.0,-4.39,0.84,-3.55,-0.13,e39e8a33-95f3-4b42-b2ca-50857bdc2269
362,Jarron Collins,C,UTAH,22,19.1,-2.46,-1.17,-3.64,-0.14,e573a98a-936f-440f-8a70-25296c820f6c
363,Antonio Harvey,F,ATL,4,8.0,-3.46,-0.20,-3.66,-0.01,7ae43f36-5754-40ee-b406-6c3d48d315aa
364,Randy Brown,G,PHX,32,8.2,-4.00,0.29,-3.72,-0.10,f2346610-9b91-40a0-b72a-1303388e878d
365,Danny Ferry,F,SA,64,9.4,-3.36,-0.38,-3.74,-0.25,41ed445f-ea1f-46a6-874d-8247984e6dfa
366,Marcus Haislip,F,MIL,39,11.3,-2.34,-1.45,-3.79,-0.20,88600561-5054-46bb-b7a5-36b404358e8e
367,Ira Newble,SF,ATL,73,26.5,-1.28,-2.52,-3.81,-0.91,f488117c-62ff-41d5-845d-a48af09c2691
369,Zendon Hamilton,C,TOR,3,4.0,-3.05,-0.77,-3.83,-0.00,80c1907d-76ce-4226-8cdd-29be9c47bbee
370,Brandon Armstrong,SG,NJ,17,4.1,-3.15,-0.75,-3.91,-0.03,0ac43c70-dc25-4cc4-a315-3c4dcf7819b2
371,Anthony Carter,PG,MIA,49,18.6,-2.22,-1.74,-3.96,-0.51,d05f3f05-fa18-4afc-a63b-ea94a4b08394
372,Jeff McInnis,PG,POR,75,17.5,-1.54,-2.42,-3.96,-0.73,06cdd728-3d04-49fc-8fa5-4c3e318fe97b
373,Grant Long,F,BOS,41,11.9,-4.29,0.33,-3.97,-0.27,aebfcdbf-8dcd-4c87-9c9a-dd5e32ddfa42
374,Michael Bradley,PF,TOR,67,19.6,-1.47,-2.50,-3.97,-0.73,3592dea1-11be-4a50-9f9b-951c0c61ab45
375,Kevin Willis,C,SA,71,11.8,-2.40,-1.60,-4.00,-0.48,a756eefd-6249-433d-90d8-958675ff595a
376,Lavor Postell,G,NY,12,8.2,-2.26,-1.76,-4.02,-0.06,7c1634c4-575f-4a9e-8423-c7c93fc755d8
377,Loren Woods,C,MIN,38,9.3,-3.24,-0.82,-4.05,-0.22,9bac9a1e-1487-46e0-a64c-c0f47281fd20
378,Raja Bell,SG,DAL,75,15.6,-2.97,-1.16,-4.13,-0.82,988238f2-7352-4848-a34a-9f4738dd1491
379,Ronald Murray,SG,MIL/SEA,14,4.4,-2.61,-1.53,-4.14,-0.04,a7ec378e-077c-4d23-bbd3-63c714c5132a
380,Malik Allen,PF,MIA,80,29.0,-4.07,-0.13,-4.20,-1.61,a8ad0e4a-5a94-48b1-82b0-40ec046cdba3
381,Dan Dickau,PG,ATL,50,10.3,-0.46,-3.75,-4.20,-0.36,ee21989d-9cd1-415b-b6a6-a3d0f44f6842
382,Milt Palacio,PG,CLE,80,24.7,-2.93,-1.29,-4.22,-1.50,d776026f-ba41-4696-8bf9-b0f4f77938a2
383,Robert Pack,PG,NO,28,15.7,-1.25,-2.99,-4.23,-0.32,d2ec848f-50fe-429a-afca-5501daf870e7
384,Chris Jefferies,SG,TOR,51,13.1,-3.24,-1.00,-4.24,-0.49,7eb6d764-86b4-47db-ac69-458d32e32e09
385,Trenton Hassell,SF,CHI,82,24.4,-4.97,0.63,-4.34,-1.65,39ca06b9-0114-423c-bce7-a0c1d030c720
386,Qyntel Woods,SF,POR,53,6.3,-1.84,-2.50,-4.34,-0.26,30499c78-1083-4f2b-9099-d5064fc06ac4
