,Player,Pos,Team,Gp,Mpg,Orpm,Drpm,Rpm,Wins,UUID
27,Jamal Crawford,G,CHI,80,24.9,2.11,0.57,2.67,7.84,9d93177f-40b0-4e5f-9798-4f54ea6e53e0
28,David Robinson,C,SA,64,26.2,-0.87,3.54,2.67,6.30,10c11849-ba1c-47b5-9b85-355653fee990
29,Robert Horry,PF,LAL,80,29.3,-0.50,3.04,2.54,8.83,7156032c-4823-4eaa-98b2-aa5db5db0fad
30,Earl Watson,PG,MEM,79,17.3,0.39,2.10,2.49,4.98,679ea26b-23e6-4fa3-b074-d077963150a5
31,Chauncey Billups,PG,DET,74,31.4,2.13,0.18,2.30,7.98,f828440b-4e2d-49b7-9a7c-f69d2bfc58b4
32,Vlade Divac,C,SAC,80,29.8,0.09,2.20,2.29,8.89,112709ed-d8e8-4023-872a-d25875f5fd49
33,Allen Iverson,SG,PHI,82,42.5,2.95,-0.66,2.29,12.97,d8c52d19-deaa-48c8-86da-ec699b2a0852
35,Shawn Bradley,C,DAL,81,21.4,-1.16,3.41,2.25,6.14,f8098022-1795-4720-90fc-aa48b97af8e2
36,Michael Jordan,G,WSH,82,37.0,-0.05,2.30,2.25,10.31,adcaf7e8-35cf-4cc7-86b1-4b895d9213ab
37,Derrick Coleman,PF,PHI,64,27.2,-0.49,2.74,2.24,6.30,e5d96890-19bc-44a2-90be-6024cba0829e
38,Greg Ostertag,C,UTAH,81,23.8,-2.46,4.69,2.22,6.42,b4ebff32-aa01-4ef7-b42e-f22a8d53092c
39,Kerry Kittles,SG,NJ,65,30.0,1.89,0.29,2.19,6.88,b5681491-a612-41bd-9ac2-697f3a6c94f8
41,Eddie Griffin,PF,HOU,77,24.5,-0.33,2.51,2.18,6.37,d9250b43-6953-4d7b-87dc-fffe60c0a33b
42,Gary Payton,PG,SEA/MIL,80,40.1,3.43,-1.27,2.16,11.18,442a7e96-4c9e-4d86-841a-a17bd27f5bcb
43,Stephon Marbury,PG,PHX,81,40.0,3.86,-1.71,2.15,11.73,f3a8c74e-844a-4cb6-88e1-1427b0f4bab5
44,Scott Padgett,PF,UTAH,82,16.1,-0.33,2.39,2.06,4.43,00462712-c694-4729-932f-7016ef48451c
45,Chris Webber,C,SAC,67,39.1,1.95,0.10,2.05,9.40,a2a451fc-e02e-454f-a62a-4f9b2ce4f852
46,Michael Redd,SG,MIL,82,28.2,3.91,-1.89,2.02,7.92,3c2fb1bc-d168-480f-8555-0c4d4e59c356
47,Reggie Slater,F,MIN,26,5.4,2.51,-0.50,2.01,0.47,6b941507-3bfb-48dd-ba3f-842b6ea11291
48,Derek Anderson,SG,POR,76,33.6,1.94,-0.06,1.88,8.34,42d72d39-26ce-45a8-9f71-a13af42dc460
49,Vladimir Radmanovic,SF,SEA,72,26.5,0.05,1.80,1.85,6.16,e3989233-76c1-462d-9bee-9bac0d02a72f
50,Elton Brand,PF,LAC,62,39.6,1.07,0.69,1.75,7.96,d63e5ac8-f1ef-4bd5-8d76-8f4d65432d8a
51,Brent Barry,SG,SEA,75,33.1,1.04,0.67,1.72,7.72,1b9eaa5d-a619-40f9-b9bf-c2ebb5293b05
52,Brad Miller,C,IND,73,31.1,1.10,0.51,1.61,7.22,7238d13f-03a0-41ec-a9ea-ced78d3574f7
53,Shane Battier,SF,MEM,78,30.6,0.45,1.14,1.59,7.59,4d73dc7b-f969-4093-87dd-813ce167c15c
54,Donyell Marshall,PF,CHI,78,30.5,0.32,1.26,1.58,7.59,09196d82-219b-4555-bb18-1d77feeb5f2a
55,Bobby Jackson,PG,SAC,59,28.4,2.31,-0.74,1.56,5.35,80963568-fef4-4c9f-974f-1ff136f44b39
56,Marko Jaric,PG,LAC,66,20.9,0.57,0.98,1.55,4.18,ffbad57d-5b56-4620-87a1-9f56f6b73c1c
57,Doug Christie,SG,SAC,80,33.9,1.09,0.44,1.53,8.80,903de519-be8f-4db7-ab54-f484151097fb
58,Casey Jacobsen,SG,PHX,72,15.9,-0.01,1.54,1.53,3.59,45871ed9-6324-4484-955e-99bf2a26fa49
59,Kenyon Martin,PF,NJ,77,34.1,0.13,1.36,1.49,7.98,d942225a-2af7-4ddd-ab29-5080cf48f46c
60,Tim Hardaway,G,IND,10,12.7,2.00,-0.51,1.49,0.42,201bd6e2-7440-486e-9e16-752824477742
61,Erick Strickland,PG,IND,71,18.0,0.66,0.81,1.46,3.78,463184b0-263c-4f03-9209-3ec1c640d2c4
62,Jason Terry,G,ATL,81,38.0,2.80,-1.36,1.44,9.49,be74addb-41ff-4399-90a7-389841b06f97
63,Zydrunas Ilgauskas,C,CLE,81,30.0,0.53,0.91,1.43,7.55,ad1d5139-053b-4933-beee-51a3ecae81f3
64,Matt Harpring,SF,UTAH,78,32.8,1.31,0.08,1.40,7.50,e5362985-8770-4a99-a9f0-fdea32cc2532
65,Scot Pollard,C,SAC,23,14.1,-0.44,1.83,1.39,0.96,31729d1f-3d13-40bf-adcf-af85d1d067fb
66,Tony Battie,C,BOS,67,25.1,-1.14,2.50,1.35,4.85,6b7dc7b7-1fb2-4ed9-8cc0-cd38750723bd
68,Scottie Pippen,SF,POR,64,29.9,0.47,0.84,1.32,5.56,daa2fbf7-79c6-4f27-8b26-f261a98a48b9
69,Earl Boykins,PG,GS,68,19.4,2.02,-0.76,1.26,4.01,be938ea5-6e99-4436-a2b7-dbe5943ad4c4
70,Austin Croshere,PF,IND,49,12.9,1.26,0.00,1.26,1.76,7d9c98e2-97e2-4366-895f-abb983c06352
71,Kelvin Cato,C,HOU,73,17.1,-1.44,2.68,1.24,3.43,fad5e57f-de95-4689-a361-c0a050293596
72,LaPhonso Ellis,F,MIA,55,14.3,-0.19,1.40,1.22,2.09,075ad147-730f-48fb-9fc4-38f36265b43d
73,Jermaine O'Neal,C,IND,77,37.2,0.72,0.49,1.21,8.28,96dc66cb-3a67-44a2-b79f-b687938da7cf
74,Bruce Bowen,SF,SA,82,31.3,-1.77,2.98,1.21,7.25,59fad2b2-97b9-4c97-9ef6-45751ae4f2bc
75,Marcus Fizer,F,CHI,38,21.3,1.03,0.16,1.19,2.35,000067f7-aad4-483c-ad54-00c846384e72
76,Raef LaFrentz,C,DAL,69,23.3,1.26,-0.08,1.18,4.65,ca841f45-5fc9-4d1d-92fe-c24834bb02bf
77,Dale Davis,PF,POR,78,29.3,-1.11,2.27,1.16,6.24,05376908-a949-4ae4-a056-0ad2996ab181
78,Bo Outlaw,PF,PHX,80,22.5,-1.03,2.18,1.14,5.09,9d094f78-58d0-4000-bf58-0be57338950c
79,Allan Houston,SG,NY,82,37.9,2.08,-0.96,1.12,8.75,62f45e10-0b2a-4322-9017-f19f8645be33
80,Mike Bibby,PG,SAC,55,33.4,2.34,-1.22,1.12,5.43,77282c32-cff7-4b25-bdeb-16d8bdda3e41
82,Robert Traylor,PF,NO,69,12.3,-0.64,1.72,1.08,2.33,7bf87487-23b2-4641-98e8-a765e36b6302
83,Tony Parker,G,SA,82,33.8,1.97,-0.91,1.06,7.71,0ea2d348-8b73-4aab-8897-7c65a7b7146e
84,Eddie House,SG,MIA,55,18.6,-0.57,1.63,1.06,2.72,5de32757-6174-4ba2-b4a2-fe84edcfa5f5
85,Shammond Williams,PG,BOS/DEN,78,24.1,-0.23,1.26,1.03,5.19,96d9c37d-c4ac-45a6-b3a0-87b29e000dd8
86,Jamison Brewer,PG,IND,10,8.0,1.91,-0.90,1.01,0.21,6380a469-6e88-4c3a-83de-52bdca12e258
87,Adonal Foyle,C,GS,82,21.8,-1.40,2.34,0.94,5.00,621ac6fb-c771-40e6-9d91-52d4d5b0b056
88,Jerry Stackhouse,SF,WSH,70,39.2,1.19,-0.26,0.93,7.15,da721f42-6e18-4be7-8766-024d8ae1ddb0
89,Morris Peterson,SG,TOR,82,36.0,-0.00,0.90,0.90,7.71,54ce1135-fca7-4a1a-ab84-513e26d66e9a
90,Derek Fisher,PG,LAL,82,34.5,0.18,0.72,0.89,7.64,0d24dfe8-08e2-4a1f-be59-b6ac6db12af4
91,Mike Wilks,PG,ATL/MIN,46,15.0,-2.27,3.15,0.88,1.68,f827b457-ca61-4ab1-973f-4d946d8e2e4a
92,Antoine Walker,PF,BOS,78,41.5,1.26,-0.39,0.87,8.52,8fc415a6-0c0b-4af5-9531-f562fcd1128c
93,Jerome Williams,PF,TOR,71,33.0,-0.76,1.60,0.84,6.06,2389f239-9725-48f0-99b0-528c6e2a4078
94,Gilbert Arenas,PG,GS,82,35.0,3.08,-2.29,0.79,7.92,a96219af-32f3-4970-a605-f51f2c30d8db
95,Kurt Thomas,PF,NY,81,31.8,-0.62,1.41,0.79,6.61,e3d29ce1-4276-467d-aeba-7dfca2fd5c62
96,Richard Hamilton,SG,DET,82,32.2,0.20,0.59,0.78,6.50,17f55728-ceb7-4392-90fc-a6990f1cb79d
97,Andrew DeClercq,C,ORL,77,17.2,-1.30,2.07,0.76,3.38,6e840ed5-daa3-448a-8ca7-3c5836bb065f
98,Quentin Richardson,SF,LAC,59,23.2,0.03,0.73,0.76,3.45,fd5d9842-10ba-435f-9c6a-d0bfed71626d
99,Rodney Rogers,SF,NJ,68,19.2,-1.12,1.87,0.76,3.27,4a6d71cb-1f8b-4da8-a39f-47b633a7fd41
100,Corliss Williamson,PF,DET,82,25.1,-0.30,1.05,0.75,5.02,093ef46f-a101-489a-a5cf-a7aff2b38028
101,Kevin Ollie,PG,MIL/SEA,82,23.1,-1.01,1.75,0.74,4.69,1a2603f6-2ca2-4dde-a28b-27bf0df3ca0e
102,Steve Nash,PG,DAL,82,33.1,4.42,-3.68,0.74,7.22,e22dbb44-a0dc-4d1b-8d5f-5311077027f4
103,Anthony Johnson,PG,NJ,66,12.8,-1.42,2.16,0.73,2.00,691b46bb-57f1-4e60-9825-98f13c16c027
104,Dion Glover,SG,ATL,76,24.9,-0.16,0.87,0.71,4.77,54d35191-1abd-4a98-963c-7b38d8323dae
105,David Wesley,SG,NO,73,37.1,0.62,0.08,0.71,6.80,3ae025fa-34a1-43a6-8622-0c4bd6e9b3dc
107,Marcus Camby,C,DEN,29,21.2,-0.21,0.84,0.63,1.55,bf87ad28-9f95-4a3a-97d0-7e7c60d93403
108,Richard Jefferson,F,NJ,80,36.0,0.03,0.59,0.62,7.11,89a8b86f-f263-45ea-9c18-e41b5e63c58d
109,Jamal Mashburn,SF,NO,82,40.5,1.18,-0.57,0.61,8.13,02ee1d1f-b91d-4840-81b3-2c3ec1e33015
110,Corie Blount,PF,CHI,50,16.7,-1.79,2.37,0.58,2.05,70166d39-a142-476e-ab4e-98783d3f3c85
111,Juwan Howard,PF,DEN,77,35.5,-0.09,0.65,0.56,6.65,5bdd7fb5-050d-4b0c-befb-5fbf7109397c
112,Elden Campbell,C,NO/SEA,56,15.5,-2.32,2.87,0.55,1.95,5eba4d07-5539-4a98-b1c4-663e7df9a542
113,Steven Hunter,C,ORL,33,13.5,-1.05,1.60,0.54,1.08,c6220908-666f-4f60-b465-8eb847414e1a
114,Chris Mills,SF,GS,21,12.5,0.66,-0.14,0.52,0.65,1cc753a4-b428-409b-84f8-22a34f9b04a4
115,Karl Malone,PF,UTAH,81,36.2,1.48,-0.98,0.50,6.92,42d09119-8de8-4e14-9d00-7c69985439bb
116,George Lynch,SF,NO,81,18.5,-0.91,1.39,0.48,3.45,e9530620-911f-4389-80d5-1c95ef691722
117,Manu Ginobili,G,SA,69,20.7,0.39,0.06,0.45,3.40,294027c7-c0bb-467a-8693-07d4216b7587
118,Jerome Moiso,C,NO,51,12.6,-2.30,2.71,0.41,1.39,c63289d7-5d8f-4e4a-b8f1-35cab86ef284
119,Desmond Mason,SF,SEA/MIL,80,34.5,-0.24,0.65,0.41,6.37,b7b65ade-a781-4030-8f77-081a4145b573
120,Erick Dampier,C,GS,82,24.1,-0.87,1.23,0.36,4.66,3a75929a-679d-4087-857d-e103796a0745
121,Rick Fox,SF,LAL,76,28.7,0.31,0.03,0.33,5.07,d3984dfa-b205-4aee-baa5-42d613835064
123,Vladimir Stepania,C,MIA,79,20.2,-3.62,3.94,0.32,3.32,cfdc9ace-cd80-4f7f-b81a-157ac5c30e07
124,Jumaine Jones,SF,CLE,80,27.6,0.85,-0.56,0.30,5.11,79a5c766-28cc-4a64-bba6-d13bbf159cab
125,Keon Clark,PF,SAC,80,22.3,-1.73,1.98,0.25,4.00,57b1c964-3df9-47fb-ac0c-47e9acd21c73
126,Tremaine Fowlkes,PF,LAC,37,15.5,-0.77,1.01,0.24,1.26,e8b16eb6-16ef-4087-8434-b5cb51433c84
127,Greg Buckner,SG,PHI,75,20.2,-0.88,1.11,0.23,3.39,a540cbd2-8b37-4f41-b74f-5804d0844820
128,Chucky Atkins,PG,DET,65,21.5,-0.05,0.24,0.19,2.90,e4ecbbd1-a1c7-4d54-934a-1f4d81fe2366
129,Cuttino Mobley,SG,HOU,73,41.7,-0.16,0.34,0.19,6.55,7f918907-9310-4cbe-bb75-348810783848
130,Mehmet Okur,C,DET,72,19.0,-0.07,0.24,0.17,2.76,f4ed9663-56e3-414e-8d02-4dd06ef9e003
131,Danny Manning,F,DET,13,6.8,-0.64,0.80,0.15,0.18,cb477b33-2853-4b10-97b6-49124c6eb1d8
132,Damon Stoudamire,PG,POR,59,22.3,-0.43,0.54,0.11,2.65,796009f7-7eaf-4a80-a431-b515d43192ce
134,Jake Voskuhl,C,PHX,65,14.6,-0.53,0.61,0.08,2.03,5aa5643b-172b-4fd4-9aa0-f7ba1cedcac1
135,Damon Jones,PG,SAC,49,14.5,1.17,-1.09,0.07,1.49,507380cd-86ef-4015-8e0b-6991fbb4f0a8
136,Brian Skinner,PF,PHI,77,17.9,-0.88,0.94,0.06,2.96,18647f60-a2f0-454c-bdd2-0a5b0c37996c
137,Glen Rice,SF,HOU,62,24.7,0.04,0.01,0.05,3.14,0dd2e60c-67af-404e-ae10-b473c20c9d68
138,Theo Ratliff,C,ATL,81,31.1,-3.54,3.56,0.02,5.23,6bbfff81-213b-4183-88f0-fcd3fd198e88
139,Al Harrington,PF,IND,82,30.1,-1.52,1.53,0.01,5.07,1e5ab881-780c-43ef-b030-ad2394fcbf71
140,Stromile Swift,PF,MEM,67,22.1,-0.70,0.71,0.01,3.05,b3076aff-68f5-4de2-9da0-f0cf36db15b7
141,Othella Harrington,PF,NY,74,25.0,-1.64,1.62,-0.02,3.69,dca1bc79-188a-4b14-b4bb-15cf32fd02c3
142,Eduardo Najera,PF,DAL,48,23.0,0.49,-0.52,-0.03,2.36,ee04d3d7-724c-4dc6-b058-c26d24a502cb
143,Rafer Alston,PG,TOR,47,20.9,0.96,-1.00,-0.04,1.93,508d5283-508f-43e8-b337-b40cb45ecb15
144,Aaron McKie,SG,PHI,80,29.7,-0.15,0.07,-0.08,5.00,09a30add-6ebb-4b34-a2c0-c999e2d705ab
145,Dan Langhi,PF,PHX,60,9.0,-0.89,0.79,-0.10,1.09,5a453a88-a146-4827-ba0c-28d74292b367
146,Kenny Anderson,PG,SEA/NO,61,18.6,-1.04,0.94,-0.10,2.17,c09ad642-a824-49f3-abef-4b231a3b254b
147,Jason Williams,PG,MEM,76,31.7,4.03,-4.13,-0.11,4.95,340c6121-19b2-45a0-a61c-ff2e6039b3ae
148,Anfernee Hardaway,SF,PHX,58,30.6,-0.76,0.65,-0.11,3.55,c9ea836c-104f-4821-bf79-5fff9899daa6
149,Yao Ming,C,HOU,82,29.0,-0.44,0.32,-0.12,4.63,e7839aa9-fd6b-45c7-85b8-1832ce2f3c3e
150,Chris Andersen,PF,DEN,59,15.4,-1.60,1.47,-0.13,1.78,9c172e15-27b2-469c-a8e9-ab4525db13cb
151,Ryan Bowen,SF,DEN,62,16.1,-2.40,2.26,-0.14,1.89,a7bf4eb6-4f44-4018-8d90-d7a589607dac
152,Howard Eisley,PG,NY,82,27.4,1.28,-1.42,-0.14,4.36,970f8a7a-f05e-4ff4-9770-62f80f4b5985
153,Tony Delk,PG,BOS,67,28.0,-0.23,0.05,-0.17,3.64,dc689f5a-9e3f-422d-81df-0bd6265fd686
154,Jonathan Bender,SF,IND,46,17.8,-0.86,0.64,-0.22,1.54,4d695b62-24a0-4631-9b3d-3cfc514083a4
155,Eric Snow,PG,PHI,82,37.9,-0.04,-0.18,-0.22,6.14,a0a420c6-72f1-42de-8491-8479a67990f0
157,Eric Williams,PF,BOS,82,28.7,-1.42,1.17,-0.25,4.38,1ebc0285-3d39-43e8-b32d-768b37790100
158,Kedrick Brown,SG,BOS,51,13.1,-2.68,2.42,-0.25,1.20,99ceef6f-8cfa-49e9-a464-d82a8fd0c726
159,Zach Randolph,F,POR,77,16.9,0.45,-0.72,-0.27,2.32,71672ebf-e0d2-4a53-b5cc-6597ef66ef33
160,Jason Collins,C,NJ,81,23.5,-2.77,2.48,-0.29,3.49,9c26667f-134b-4cf5-b073-f8c5707a2ff9
161,Keith Van Horn,PF,PHI,74,31.6,1.02,-1.32,-0.30,4.47,d5de1caf-9595-4da8-b30c-b14264099bc2
162,Lucious Harris,SG,NJ,77,25.6,-0.35,0.05,-0.31,3.61,89c16454-4f54-4771-a680-6ad9652debb6
164,Stacey Augmon,SF,NO,70,12.3,-2.32,2.01,-0.31,1.55,ca188d13-c8a7-44f9-b9d0-7f887b3347bf
165,Brendan Haywood,C,WSH,81,23.8,-1.36,1.01,-0.35,3.32,57d8912e-77d6-45b6-b0c2-d5f269c57e20
166,Christian Laettner,PF,WSH,76,29.1,-1.14,0.76,-0.38,3.84,de0cf812-3294-4020-ba14-e64a330e6e11
167,Shareef Abdur-Rahim,PF,ATL,81,38.1,0.88,-1.29,-0.41,5.54,1373ea21-11c6-4c31-b6ca-aa4f856c0bf6
168,Bob Sura,PG,GS,55,20.5,0.85,-1.28,-0.42,2.06,493257af-dcbb-4574-972d-7815c5500a75
169,Wally Szczerbiak,SG,MIN,52,35.3,1.26,-1.69,-0.43,3.28,8a16b208-d5bb-498e-843b-ba8caf8d24ba
170,Joe Smith,PF,MIN,54,20.7,-0.44,-0.00,-0.44,1.97,b702f0c6-c94f-4cc5-9cbc-8db9151c8b17
171,Shandon Anderson,SF,NY,82,21.1,-0.97,0.53,-0.45,2.98,0fed97c6-a4b5-4d16-ac3c-f0af9cdad6d8
172,Jamaal Magloire,C,NO,82,29.8,-1.51,1.01,-0.50,4.13,f165e8fd-85a2-4f30-9d00-8a2aa1f18d5b
173,Grant Hill,SF,ORL,29,29.1,1.02,-1.54,-0.52,1.48,c84baf92-4ddd-4db5-a1a8-eb9d3865a350
174,Predrag Drobnjak,C,SEA,82,24.2,-1.28,0.76,-0.53,3.23,0ca5fd2b-438c-4635-99cf-d1f2a3948439
175,Jerome James,C,SEA,51,15.0,-2.97,2.44,-0.53,1.23,6333a086-f19c-48cd-8d07-18f3101b4254
176,Maceo Baston,SF,TOR,16,6.6,-1.46,0.93,-0.53,0.18,4ea6ab46-3404-405e-919a-8cf153aa083a
177,Kenny Thomas,PF,HOU/PHI,66,30.0,-0.63,0.09,-0.55,3.43,6b658fc0-78af-4357-ad56-aa5c4d4acab5
178,Alvin Williams,PG,TOR,78,33.8,1.29,-1.86,-0.57,4.41,de178643-eb9d-4971-86fb-3119c6e86a25
180,Pat Garrity,PF,ORL,81,31.9,0.65,-1.23,-0.58,4.45,0e9abd59-4f4c-4036-9c0e-fbdf3ffa98e9
181,Corey Maggette,SF,LAC,64,31.3,1.10,-1.69,-0.59,3.43,381ecddb-60e5-4dee-9f57-f69e245d76c4
182,Joe Johnson,G,PHX,82,27.5,-0.23,-0.37,-0.59,3.82,fca7c221-f167-42c8-a42a-9e28b3cef10e
183,Gary Trent,PF,MIN,80,15.3,-0.43,-0.17,-0.59,1.97,3ad1bbc0-588d-47f1-a797-048fd7a9e861
184,Matt Maloney,G,ATL,14,7.4,-0.49,-0.11,-0.60,0.15,5e8c6da2-468c-401a-a920-eb1b59096185
185,Rod Strickland,PG,MIN,47,20.3,0.35,-0.96,-0.61,1.58,8231d493-d800-464c-ad72-f888369ebf83
186,Lindsey Hunter,SG,TOR,29,23.2,-0.77,0.16,-0.62,1.08,863f1a73-a461-463d-8bee-fee68d4e16fa
187,Steve Kerr,G,SA,75,12.7,-0.52,-0.10,-0.62,1.50,bfe6f5db-0f3e-4712-8916-4295f2b912da
188,Walter McCarty,PF,BOS,82,23.8,-1.10,0.47,-0.63,3.24,0c77f69a-f5a9-4b0f-a785-21663f2b2f06
189,Reggie Evans,C,SEA,67,20.4,-2.98,2.34,-0.64,2.08,1f391258-4eeb-44c5-9169-f60b69a351f4
190,Antawn Jamison,PF,GS,82,39.3,2.09,-2.73,-0.64,5.60,53a3b184-a4cf-42d0-9303-fca720ecd662
191,Jeff Trepagnier,SG,DEN,8,12.1,-0.49,-0.16,-0.66,0.16,c7395e93-e9a2-4bab-99d7-8ceec021efb6
192,Jeff Foster,PF,IND,77,10.4,-1.76,1.10,-0.66,1.25,db1636cc-ee6f-4620-9046-590e0655aae8
193,Devean George,SF,LAL,71,22.7,-0.92,0.25,-0.67,2.61,62202a09-3227-4486-9930-5b3731650946
194,Brian Grant,PF,MIA,82,32.2,-2.03,1.33,-0.70,4.02,4355f0fd-c604-45ad-8324-32133c99a9b4
195,Tierre Brown,PG,CLE,15,11.2,-0.01,-0.73,-0.74,0.26,a51037c5-955b-4e30-a757-da61687a1a45
196,Pau Gasol,PF,MEM,82,36.0,1.68,-2.43,-0.76,4.73,4851c61b-ef46-44ed-b940-4c1229208225
197,Caron Butler,SF,MIA,78,36.6,-2.12,1.36,-0.76,4.23,1de786dd-1fcd-4ab9-b048-4cf8e3288a40
198,Tyronn Lue,PG,WSH,75,26.5,0.15,-0.94,-0.79,2.91,b10e79c8-099c-4d44-a6cc-b83e8b1d5fac
199,Soumaila Samake,C,LAL,13,5.9,-1.20,0.39,-0.81,0.11,90e29b9a-0704-4670-9114-75f0ecf8eb55
200,Speedy Claxton,PG,SA,30,15.7,0.60,-1.41,-0.81,0.70,c0427517-9d21-4970-a373-7d91e8aab2af
201,Jim Jackson,SF,SAC,63,20.8,-0.89,0.08,-0.81,1.98,7c1abd98-3647-42b6-91d7-a66f53c1221e
203,Jalen Rose,SG,CHI,82,40.9,1.25,-2.10,-0.85,5.17,fe1c6c2c-55b2-4e9e-928b-49ead2b5532a
205,Walt Williams,F,DAL,66,17.6,0.36,-1.23,-0.87,1.77,f7c94065-7ad9-4493-b680-2cd09010e52e
206,Charles Oakley,PF,WSH,42,12.2,-3.51,2.61,-0.90,0.69,2c6ff6ad-d6f5-483c-9252-d497cb184ee1
207,James Posey,SF,DEN/HOU,83,30.3,-0.94,0.03,-0.91,3.64,373c2151-f10c-4224-909f-ea9139e8964f
208,Lamar Odom,PF,LAC,49,34.3,0.30,-1.23,-0.93,2.44,2c755913-c6d6-417f-9fcc-e902381f5aaf
209,Monty Williams,SF,PHI,21,13.1,-1.04,0.11,-0.93,0.40,25cab218-f333-4688-9dba-727077e656af
210,Chris Wilcox,PF,LAC,46,10.4,-0.91,-0.02,-0.93,0.68,57b4f4d9-6682-499e-b4cc-0bedd15e44f3
211,Melvin Ely,C,LAC,52,15.4,-2.19,1.25,-0.93,1.11,813515b8-e17f-4b67-af14-b15cacd4d128
212,Chris Whitney,PG,DEN/ORL,51,20.6,-0.03,-0.91,-0.94,1.51,dd535797-a58c-450c-916f-9c2bd5ef52dd
213,Sean Lampley,SF,MIA,35,13.9,-1.37,0.43,-0.94,0.65,ae155f83-16d4-4c79-a1a7-267d7d673458
214,Adrian Griffin,SG,DAL,74,18.6,-1.61,0.60,-1.01,1.94,6274f62c-92d5-4dcf-ab10-f6d70027d1a9
215,Nazr Mohammed,C,ATL,35,12.7,-2.13,1.12,-1.02,0.61,f33d098c-13ef-4346-b1c4-649b879b86b7
216,Tariq Abdul-Wahad,SF,DAL,14,14.6,-0.32,-0.72,-1.04,0.29,2f852803-624a-4077-bfa7-e3eec1325b2b
217,Jared Jeffries,PF,WSH,20,14.6,-1.91,0.86,-1.05,0.39,28a6bcdf-147e-40e7-a5ba-751716b257e9
218,Horace Grant,C,ORL,5,17.0,-0.92,-0.14,-1.05,0.11,b973137f-5b49-457f-ac7b-5bdc03357950
219,Fred Hoiberg,SG,CHI,63,12.4,-2.09,1.03,-1.06,1.11,1c66f519-b3a7-411c-93f8-ffc56e405c60
220,Sam Cassell,PG,MIL,78,34.6,2.87,-3.92,-1.06,3.73,ca9732c0-4d78-4dd8-9a58-ecc5b2b34937
221,Primoz Brezec,C,IND,22,5.0,-0.65,-0.41,-1.07,0.14,3021c14a-4cce-487a-accc-593fd3c5b49d
222,Jacque Vaughn,PG,ORL,80,21.1,-1.08,0.01,-1.08,2.28,56a11861-487a-4ca1-b160-ee41c7fa3e96
223,Andre Miller,PG,LAC,80,36.4,1.06,-2.15,-1.09,3.94,c572c106-7e60-4ff3-a115-1f32869d30c9
224,Stephen Jackson,SF,SA,80,28.2,0.64,-1.74,-1.10,2.97,3c96c82c-73bf-459e-ab4b-5a86235203c8
225,Antonio Daniels,PG,POR,67,13.0,-0.25,-0.85,-1.10,1.11,beb18716-5096-42bb-a9a4-41cedc389265
226,Travis Best,PG,MIA,72,25.1,-1.50,0.40,-1.10,2.28,11c50524-4591-4239-b834-6d12451d5009
227,Brevin Knight,PG,MEM,55,16.9,-1.56,0.43,-1.13,1.19,e434adfb-8281-42c4-9194-8656a3da5508
228,Malik Rose,PF,SA,79,24.5,-1.03,-0.13,-1.15,2.50,bbe9c51e-a6e2-48a6-a13d-7efcbb94ed63
229,Etan Thomas,C,WSH,38,13.5,-0.74,-0.42,-1.15,0.64,59e4ff99-7895-4177-a778-2b549e66e07c
230,Bonzi Wells,SG,POR,75,31.9,-0.10,-1.06,-1.16,3.06,0d43b9bc-6d74-4c00-8942-f95bdf359eaf
231,Clifford Robinson,PF,DET,81,34.9,-1.51,0.32,-1.19,3.42,dfd9d103-9432-4b6d-83c9-b7c910bc554b
232,Michael Dickerson,G,MEM,6,14.5,-0.66,-0.58,-1.24,0.10,7874bab9-ffcf-455a-80c8-fdb5fe4dff06
233,Bobby Simmons,SF,WSH,36,10.5,-0.14,-1.12,-1.25,0.43,80deaa35-9607-4aaa-a816-c5374a9534d9
234,Latrell Sprewell,SG,NY,74,38.6,0.57,-1.84,-1.26,3.48,f1abb210-4ffd-4a3f-81bb-9b9fb528b347
235,Tim Thomas,PF,MIL,80,29.5,0.70,-1.97,-1.27,2.87,0d98d7f9-52ac-4744-93e4-220c3fe58e4b
236,Jason Collier,C,HOU,13,8.0,-1.08,-0.20,-1.28,0.12,ec11d97a-8e95-47f0-8524-dae263c77f82
237,Nick Van Exel,PG,DAL,73,27.8,2.04,-3.34,-1.30,2.52,5b71c06e-2ba9-4de8-85b9-87ac7a0d8d48
238,Juan Dixon,SG,WSH,42,15.4,-0.76,-0.55,-1.31,0.74,530bfda3-3ba7-4f01-ad3c-c8dc90462f43
239,Oscar Torres,G,GS,17,6.4,-0.52,-0.79,-1.31,0.12,3363633a-bdd5-4a8c-b6db-f504469c64f2
240,Efthimios Rentzias,C,PHI,35,4.1,-0.90,-0.48,-1.38,0.15,7be08aa7-7c10-4592-95e0-c6eb50469659
241,Todd MacCulloch,C,PHI,42,19.3,-1.38,0.01,-1.38,0.93,d2054fce-fc31-4b73-a98a-6c1ebae56114
242,Donnell Harvey,PF,DEN,77,20.9,-2.18,0.80,-1.38,1.82,8074f8f5-9e86-442e-a8f3-87b007d5d85b
243,Jahidi White,C,WSH,16,14.4,-0.28,-1.16,-1.44,0.24,778ba746-ac00-40d0-ad77-64e927ba3823
244,Mike Dunleavy,SG,GS,82,15.9,0.39,-1.86,-1.47,1.48,b11f83f8-692f-4af3-b60f-b9e31171adfa
