,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Shaquille O'Neal,C,LAL,79,40.0,5.73,1.66,7.39,21.20,4780ef7e-7c65-4ab0-b2ab-239f446cf97e,27.7
1,Gary Payton,PG,SEA,82,41.8,5.44,1.79,7.23,22.47,901e08ca-0383-4677-9716-e0d94aaf1fdc,28.97
2,David Robinson,C,SA,80,32.0,1.16,4.50,5.66,13.49,c669dde1-a016-4cf3-a1af-9b7b0a045415,19.990000000000002
3,Rodney Rogers,SF,PHX,82,27.9,2.04,3.40,5.44,12.47,1bc81cc3-3df5-4058-bd4a-0ede68a069f5,18.97
4,John Stockton,G,UTAH,82,29.7,3.12,2.12,5.23,12.35,5f856e9e-3c4b-48b2-9d84-ae40b83961fa,18.85
5,Eddie Jones,SG,CHA,72,39.0,1.97,3.18,5.15,14.08,6b241fe1-c80c-41a2-92ea-b47e81c2a631,20.58
6,Tim Duncan,C,SA,74,38.9,1.44,3.31,4.75,13.64,12b9fb27-2178-4f65-9099-9764b863e4df,20.14
7,Kevin Garnett,PF,MIN,81,40.0,1.40,3.05,4.45,14.92,8c4661f3-343f-4842-be7c-8b91d0f7409f,21.42
8,Vince Carter,G,TOR,82,38.1,3.88,0.24,4.12,13.97,96046c84-d179-44f1-976e-f81afa46108f,20.47
9,Bo Outlaw,PF,ORL,82,28.4,-0.16,4.25,4.09,10.58,847a478d-8ace-4c5d-9963-9b38c35392bc,17.08
10,Dikembe Mutombo,C,ATL,82,36.4,-1.16,4.71,3.55,11.87,8e555f1d-241c-4438-8bb0-ed81079037e9,18.369999999999997
11,Terry Porter,G,SA,68,23.7,1.51,2.02,3.53,6.38,458877e6-636d-4a9a-bcc8-c2629a92333b,12.879999999999999
12,Jeff Foster,PF,IND,19,4.5,3.00,0.51,3.52,0.34,bc15d9b1-6e6c-4cae-9d6a-56877871da48,6.84
13,Anfernee Hardaway,SF,PHX,60,37.6,0.81,2.64,3.45,9.07,16eee61d-7636-4b5a-972e-b8aeb9b5d54b,15.57
14,Bryon Russell,SF,UTAH,82,35.4,-0.11,3.54,3.43,11.09,8a599a92-32fa-48b8-88c5-40779bbca879,17.59
15,Shawn Bradley,C,DAL,77,24.7,-1.86,5.28,3.43,7.49,4fd85cd0-21f4-4af3-81f0-ef44ab854177,13.99
16,Terrell Brandon,PG,MIN,71,36.4,2.84,0.40,3.24,9.94,823fab52-6900-49dc-84a3-9402c2c86964,16.439999999999998
17,Karl Malone,PF,UTAH,82,35.9,2.62,0.61,3.23,11.04,7d550d35-347b-42e8-bda4-31788e36b3a6,17.54
18,Sam Perkins,C,IND,81,20.0,-0.76,3.96,3.20,5.93,9b20199a-21ae-47ad-b9ed-5cc9b08354f3,12.43
19,Derek Fisher,PG,LAL,78,23.1,-1.23,4.10,2.87,6.50,c076eff2-f72f-4639-bc10-6332183d5f2a,13.0
20,Paul Pierce,SF,BOS,73,35.4,2.55,0.31,2.86,9.77,ead63c29-2988-478d-b595-6060f10983e0,16.27
21,Mikki Moore,C,DET,29,16.8,1.81,1.01,2.82,1.74,c5b78241-8eb6-461d-97ef-30b860977a69,8.24
22,Alonzo Mourning,C,MIA,79,34.8,1.10,1.70,2.80,9.50,a32e66f6-300c-44d3-9755-c4a1891e4399,16.0
23,Chuck Person,F,SEA,37,9.2,2.29,0.43,2.72,1.14,dfb84abb-d10c-4787-815c-5bee1d7f758b,7.64
24,Andre Miller,PG,CLE,82,25.5,2.00,0.71,2.70,7.35,8d3f8f93-4d10-4a38-ac11-5f2a1c7b6fdf,13.85
25,Tracy McGrady,SG,TOR,79,31.2,0.48,2.21,2.70,8.46,50fe8196-017f-4587-90e5-12e32a204930,14.96
26,Charles Barkley,F,HOU,20,31.0,2.46,0.23,2.69,2.21,506ca80a-4985-45a0-b755-af0d8aeb9843,8.71
27,Dell Curry,G,TOR,67,16.3,2.70,-0.05,2.65,3.66,68ff8943-d218-4539-8d43-74acf22d65d1,10.16
28,Toni Kukoc,SF,CHI/PHI,56,31.9,1.80,0.85,2.64,6.03,f5360117-1330-451d-9734-11b1c8d278ab,12.530000000000001
29,Tony Delk,PG,SAC,46,14.8,1.10,1.50,2.60,2.36,5002a175-a18d-4000-a34f-611921f3f8be,8.86
30,Arvydas Sabonis,C,POR,66,25.6,-0.35,2.94,2.60,5.50,156f499e-05c4-4f63-b5ea-ca7e35b0b520,12.0
31,Todd Day,G,PHX,58,16.2,1.73,0.87,2.60,3.26,dc9ffb38-7dca-4815-af25-c00a0fa7b9e8,9.76
32,Predrag Stojakovic,SF,SAC,74,23.6,1.85,0.65,2.50,6.09,,12.59
33,Kobe Bryant,SF,LAL,66,38.2,2.62,-0.12,2.49,8.58,825ab381-2ad5-4685-98b9-93b318bd37da,15.08
34,Darvin Ham,SF,MIL,35,22.6,-0.70,3.15,2.45,2.64,718892b9-e80a-40ef-9a95-c00f6608ee77,9.14
35,Chris Webber,C,SAC,75,38.4,2.81,-0.42,2.39,9.98,385a081e-69b9-4320-af78-f783a50e5e10,16.48
36,Jerome Williams,PF,DET,82,25.6,0.36,1.98,2.34,7.21,9e20ebe5-a960-45c0-a5ae-73a104949c99,13.71
37,Rasheed Wallace,PF,POR,81,35.1,-0.58,2.91,2.33,8.91,59cc773b-c6d6-4242-ae3e-6795a5945ee2,15.41
38,Grant Hill,SF,DET,74,37.5,3.83,-1.53,2.30,9.49,a8ac1bce-5cbd-4e0b-b0f5-1c1d821ddb8d,15.99
39,Robert Horry,PF,LAL,76,22.2,-0.58,2.85,2.27,5.53,93669feb-37a9-4d9c-a3e5-8ecb16893011,12.030000000000001
41,Steve Smith,SG,POR,82,32.8,1.14,1.14,2.27,8.31,0ecd82f9-eb94-4739-8623-7f23355c740f,14.81
42,Darrell Armstrong,PG,ORL,82,31.6,3.72,-1.48,2.24,8.67,,15.17
43,Kenny Anderson,PG,BOS,82,31.6,2.63,-0.40,2.23,8.61,a8644ea2-3e28-4207-98be-fda50363c248,15.11
44,Travis Best,PG,IND,82,20.6,0.85,1.31,2.16,5.14,3ec1ea0a-2143-4dd4-a0d7-7341b59a4414,11.64
45,Brad Miller,C,CHA,55,17.5,1.26,0.88,2.13,2.95,b90d3227-f99e-448a-9831-ab5b3c1ec0e5,9.45
46,Scott Burrell,G,NJ,74,18.1,1.31,0.82,2.13,4.16,d59bee5e-7d0b-40f3-86e4-861692cd6840,10.66
47,Allen Iverson,SG,PHI,70,40.8,3.60,-1.49,2.12,8.99,bd09a88b-9e70-4aaa-8101-9fdaaa7ef878,15.49
48,Dale Davis,PF,IND,74,28.7,-0.20,2.25,2.05,6.48,9bd7b705-76b9-4cd9-b230-4872e38108fd,12.98
49,Scot Pollard,C,SAC,76,17.6,0.10,1.92,2.02,4.00,06a1fe8c-da22-472a-a9e6-a10db81a51cd,10.5
50,Greg Anthony,G,POR,82,18.9,0.37,1.64,2.00,4.44,c9961f2c-2cd0-42ee-80bb-9553fc139f92,10.940000000000001
51,Jon Barry,SG,SAC,62,20.7,0.85,1.14,1.99,3.93,7c58917c-b227-40f1-8c47-f9b4ae4e064a,10.43
52,Metta World Peace,SF,CHI,72,31.1,-1.91,3.89,1.99,6.39,670a19ff-960f-4b66-89c5-c438ef9dcd19,12.89
53,Jamal Mashburn,SF,MIA,76,37.2,0.93,1.05,1.98,8.24,6f5071db-5846-4675-9437-9119f9e7f926,14.74
54,Dee Brown,G,TOR,38,17.7,2.30,-0.37,1.94,2.03,f3409c41-8f7a-451e-8e19-5db262e1f39e,8.53
55,Chris Whitney,PG,WSH,82,19.8,2.15,-0.23,1.92,4.75,6e85172a-17b1-4e8b-bfeb-f80fa89478bb,11.25
