,Player,Pos,Team,Gp,Mpg,Orpm,Drpm,Rpm,Wins,UUID,adjusted_wins
206,Goga Bitadze,C,IND,45,12.5,0.12,-0.85,-0.73,0.82,989155f3-e6ce-4c41-86ac-c860e85b7967,4.16
207,Gabriel Deck,SF,OKC,10,21.2,-0.06,-0.67,-0.73,0.25,448d5f45-68fe-4735-9f6d-379de305ed8e,3.59
209,Elijah Hughes,F,UTAH,18,3.6,1.24,-1.97,-0.73,0.08,ec7a5ad0-7334-457e-8f97-ff0530920bb9,3.42
210,Steven Adams,C,NO,58,27.7,-2.85,2.11,-0.74,1.73,46ce77d6-85a7-4a93-ba7d-f335ec907c76,5.07
211,Rui Hachimura,PF,WSH,57,31.5,-1.49,0.75,-0.74,2.09,89e040d6-0657-49b1-8bd5-fc11af58d83c,5.43
212,Darius Garland,PG,CLE,54,33.1,-0.05,-0.71,-0.76,2.09,81d543c4-7603-4ef7-977e-410f91a5100b,5.43
213,Alfonzo McKinnie,F,LAL,39,6.6,0.08,-0.87,-0.79,0.34,8055aefe-cdb5-4a7c-ada9-11e9696867d6,3.6799999999999997
214,Willie Cauley-Stein,C,DAL,53,17.1,-0.94,0.14,-0.80,1.12,d748f99a-f263-4fd7-8016-e2d7a4c298d8,4.46
215,Montrezl Harrell,C,LAL,69,22.9,0.98,-1.79,-0.81,2.20,64379148-f232-45b7-abe0-c3f3b5c6138a,5.54
216,Henry Ellenson,PF,TOR,2,19.0,0.29,-1.10,-0.81,0.06,ac2882c8-0725-4fa6-8faa-51f29f442be8,3.4
217,Armoni Brooks,G,HOU,20,26.0,1.24,-2.06,-0.81,0.66,2a682aff-8ed3-4425-9715-b6737fc9bbe9,4.0
218,Frank Kaminsky,PF,PHX,47,15.2,-0.64,-0.18,-0.82,0.83,44108de8-e7c7-44ab-a941-e251c03a99e6,4.17
219,Kent Bazemore,SF,GS,67,19.9,-0.23,-0.60,-0.82,1.66,480c950a-d2f5-43ff-8441-c3f903cbb1af,5.0
220,Killian Tillie,SF,MEM,18,10.1,-0.24,-0.59,-0.83,0.24,5aedf85c-411b-438a-88ba-eeafc013edd1,3.58
221,DeMar DeRozan,SF,SA,61,33.7,-0.74,-0.10,-0.83,2.16,272f27e6-3e62-4f8e-b945-8bed931d3cba,5.5
222,Tyler Herro,PG,MIA,54,30.3,0.52,-1.35,-0.83,1.96,b1359ec1-999b-418f-84e8-791659e3d59c,5.3
223,Josh Hart,SG,NO,47,28.7,0.77,-1.60,-0.83,1.70,6a393fe1-40ed-4ab8-add8-ab9316603453,5.04
224,Josh Richardson,SG,DAL,59,30.3,-1.37,0.53,-0.84,1.86,506999f4-2b8d-4abc-aab2-b640bbe10243,5.2
225,Tyus Jones,PG,MEM,70,17.5,0.71,-1.55,-0.84,1.61,79f3bb17-0a5a-454f-a638-6092318cf26b,4.95
226,Justin James,G,SAC,36,8.6,0.31,-1.15,-0.85,0.41,0227d3c5-a83b-418b-b5b7-8991524e816f,3.75
227,Edmond Sumner,PG,IND,53,16.2,0.80,-1.65,-0.85,1.01,987daf90-b5f1-41f9-912b-9f765baa7c48,4.35
228,Tyrese Maxey,PG,PHI,61,15.3,-0.04,-0.82,-0.86,1.03,f592c6df-643a-42ec-abdf-aabeda161cb9,4.37
230,Dewayne Dedmon,C,MIA,16,13.1,0.50,-1.38,-0.88,0.29,60ab1b94-eafc-4b9b-9fff-542ba1591c01,3.63
231,Pat Connaughton,SG,MIL,69,22.8,0.39,-1.27,-0.88,1.99,ff748b38-19d2-48ec-ab57-927a34601dc6,5.33
232,Yogi Ferrell,PG,CLE/LAC,10,13.7,0.08,-0.97,-0.89,0.13,ef7e63eb-41e7-429c-a852-8caad96673db,3.4699999999999998
233,Shake Milton,SG,PHI,63,23.2,1.06,-1.96,-0.90,1.79,274d80a2-e191-4a54-8756-f8df2a606bfa,5.13
234,Bobby Portis,F,MIL,66,20.8,0.80,-1.71,-0.91,1.74,abe01362-c552-4662-b42c-ca037ef53161,5.08
235,Abdel Nader,SF,PHX,24,14.8,0.10,-1.02,-0.92,0.46,c7962886-f304-4b58-9cc0-a206ef6f7a6e,3.8
236,Jeremy Lamb,SG,IND,36,21.3,0.88,-1.80,-0.92,0.92,5fd7ce18-1152-488f-b9b7-d1f10c271ee7,4.26
237,Coby White,PG,CHI,69,31.2,0.31,-1.24,-0.93,2.28,11db75ee-57ea-4c90-9eff-4aa0e6ab1eda,5.619999999999999
239,Alex Len,C,TOR/WSH,64,15.3,-0.88,-0.07,-0.94,1.00,5179d379-fdce-4853-a1e3-4600060320f9,4.34
240,Jordan Nwora,SF,MIL,30,9.1,0.95,-1.90,-0.95,0.29,0e858499-986e-40a3-a357-4e594c5c357c,3.63
241,Kenrich Williams,SF,OKC,66,21.6,0.24,-1.20,-0.96,1.57,a9348104-3f68-4e29-9e8e-e5fd5d4bda6b,4.91
243,Spencer Dinwiddie,PG,BKN,3,21.3,0.61,-1.58,-0.97,0.07,733c0548-c156-4742-a18d-7f47bdb7608b,3.4099999999999997
244,Matisse Thybulle,SG,PHI,65,20.0,-1.24,0.27,-0.97,1.40,16ef7932-6c34-47b4-88cc-e59b4d2412d2,4.74
246,Jalen Harris,G,TOR,13,13.2,0.98,-1.96,-0.97,0.21,6c236877-7aca-4989-baf1-ccf383713783,3.55
247,Alec Burks,SG,NY,49,25.6,0.54,-1.53,-0.98,1.27,25257545-d3e2-44b6-a29b-cdef3ec66ef3,4.609999999999999
248,Matt Thomas,SG,TOR/UTAH,45,7.3,0.77,-1.76,-1.00,0.40,933f340c-39ad-473d-9a78-8c42d78aa2fd,3.7399999999999998
249,George Hill,PG,OKC/PHI,30,22.4,-1.24,0.24,-1.00,0.59,d6d8a4a1-344f-484b-9c8c-3bb3d05e80d7,3.9299999999999997
250,Josh Jackson,SG,DET,62,25.2,0.10,-1.10,-1.01,1.59,0f8c0535-9a0a-45ef-8556-3676481c94a5,4.93
251,Skylar Mays,SG,ATL,33,8.2,0.27,-1.28,-1.01,0.27,8d21f9e5-2a99-4e79-87b6-29c98ab08670,3.61
252,JJ Redick,SG,NO/DAL,44,16.4,1.01,-2.03,-1.02,0.80,5dab9cff-dac6-4c0c-ba68-6cf9a1d422c1,4.14
254,Justin Jackson,SF,OKC/MIL,34,17.0,0.61,-1.63,-1.02,0.55,28d9ec6c-bac4-439b-beb9-033c4a2c0b55,3.8899999999999997
255,DeAndre Jordan,C,BKN,57,21.9,-1.15,0.13,-1.02,1.12,ede63d42-e042-41e3-89a4-4c40797689c3,4.46
256,Willy Hernangomez,C,NO,47,18.0,-0.28,-0.76,-1.04,0.84,814315c2-5b13-4df1-b9a1-4aafcf9ea230,4.18
257,Delon Wright,SG,DET/SAC,63,27.7,-1.24,0.19,-1.05,1.60,833f330c-863c-4d64-98c4-9e4cf09ef904,4.9399999999999995
260,Luke Kornet,C,CHI/BOS,31,11.2,-0.64,-0.44,-1.08,0.37,58864121-d602-4231-b861-1dc3df6dc3a0,3.71
261,Jalen Brunson,PG,DAL,68,25.0,1.10,-2.19,-1.08,1.62,91006828-e9c1-4525-b70a-df45cd5fc252,4.96
262,Nickeil Alexander-Walker,SG,NO,46,21.9,0.42,-1.52,-1.10,0.90,79980b92-b43d-490d-8492-bf09f3332e94,4.24
263,Danilo Gallinari,PF,ATL,51,24.0,1.47,-2.57,-1.10,1.22,6573b86a-b743-4f04-9a03-c094cf5fc45f,4.56
264,Robin Lopez,C,WSH,71,19.1,-0.11,-1.00,-1.11,1.30,4d7f91a6-a041-4861-aa38-da84ec3647c2,4.64
