,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Tim Duncan,C,SA,69,36.6,3.25,4.54,7.79,18.46,12b9fb27-2178-4f65-9099-9764b863e4df,21.32
1,Kevin Garnett,PF,MIN,82,39.4,3.45,3.79,7.24,22.55,8c4661f3-343f-4842-be7c-8b91d0f7409f,25.41
2,Baron Davis,PG,NO,67,40.1,5.00,1.51,6.51,17.58,526e351a-8d16-41df-9162-83221df6ec56,20.439999999999998
3,Andrei Kirilenko,SF,UTAH,78,37.1,1.30,5.17,6.47,18.37,a1f17fb0-a5bc-471c-a65a-1e2efae6a8a0,21.23
4,Shaquille O'Neal,C,LAL,67,36.8,4.36,1.20,5.56,15.22,4780ef7e-7c65-4ab0-b2ab-239f446cf97e,18.080000000000002
5,Richie Frahm,SG,SEA,54,8.7,4.11,0.95,5.06,2.57,eb272a74-cc9e-4282-96db-68135b2b93d0,5.43
6,Rasheed Wallace,PF,POR/ATL/DET,68,35.1,1.26,3.57,4.83,12.53,59cc773b-c6d6-4242-ae3e-6795a5945ee2,15.389999999999999
7,Raef LaFrentz,C,BOS,17,19.3,3.41,1.12,4.53,1.77,4edcf6cd-8e7b-4fa0-9042-85aced40fdab,4.63
8,Bo Outlaw,PF,MEM,82,19.6,-2.02,6.17,4.15,7.85,847a478d-8ace-4c5d-9963-9b38c35392bc,10.709999999999999
9,Bobby Jackson,PG,SAC,50,23.7,3.80,0.29,4.09,5.96,649f1b35-874d-47c0-93fa-abfbc73fb520,8.82
10,Jason Kidd,PG,NJ,67,36.6,3.06,0.98,4.04,12.16,4f6cd300-77de-4617-918f-8ab84d906538,15.02
11,Tracy McGrady,SG,ORL,67,39.9,6.24,-2.28,3.97,13.48,50fe8196-017f-4587-90e5-12e32a204930,16.34
12,Sam Cassell,PG,MIN,81,35.0,3.90,-0.05,3.85,13.55,25693f41-b7e7-4c94-ae69-db2e7017f40b,16.41
13,Ben Wallace,PF,DET,81,37.7,-2.45,5.98,3.54,13.85,59af6d1d-a322-41e8-9b64-220eecc0185a,16.71
14,Ray Allen,SG,SEA,56,38.4,4.18,-0.69,3.49,9.79,d0df9ea6-dc69-4d3d-9311-41a1fdebad9c,12.649999999999999
15,Metta World Peace,SF,IND,73,37.2,1.12,2.34,3.46,12.03,670a19ff-960f-4b66-89c5-c438ef9dcd19,14.889999999999999
16,Reggie Miller,SG,IND,80,28.2,1.00,2.44,3.43,10.10,15a02eb5-28f3-4168-ae9d-d30ed736e98e,12.959999999999999
17,Hidayet Turkoglu,SF,SA,80,25.9,-0.12,3.52,3.40,9.23,,12.09
18,Brendan Haywood,C,WSH,77,19.3,0.10,3.18,3.28,6.48,f07acb84-9579-4176-ad13-c9e9c8dd8490,9.34
19,Mickael Pietrus,SF,GS,53,14.1,0.95,2.29,3.24,3.19,bcac5ca2-6370-4170-ad77-990c7a75ae23,6.05
20,Brian Cardinal,PF,GS,76,21.5,1.67,1.55,3.22,7.01,08533fc6-e4a2-4e07-8785-e3987f094b8c,9.87
21,Scott Padgett,PF,HOU,58,9.4,1.02,2.12,3.14,2.26,f2ec41c2-edb0-46f5-a1d4-49045db66bb0,5.12
22,Vince Carter,G,TOR,73,38.2,1.94,1.16,3.10,11.71,96046c84-d179-44f1-976e-f81afa46108f,14.57
