,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Tim Duncan,C,SA,80,34.8,1.28,4.84,6.12,16.17,12b9fb27-2178-4f65-9099-9764b863e4df,21.410000000000004
1,Kevin Garnett,PF,MIN,76,38.9,1.87,4.15,6.03,17.13,8c4661f3-343f-4842-be7c-8b91d0f7409f,22.369999999999997
2,LeBron James,SF,CLE,79,42.5,5.98,0.05,6.02,20.10,bedcfe40-c385-484d-85bc-e13eb14254ca,25.340000000000003
3,Dwyane Wade,G,MIA,75,38.6,4.97,0.60,5.57,16.69,911c5842-c4ce-4684-a479-31e7220e6277,21.93
4,Kobe Bryant,SF,LAL,80,41.0,6.52,-1.10,5.42,18.20,825ab381-2ad5-4685-98b9-93b318bd37da,23.439999999999998
5,Vince Carter,G,NJ,79,36.8,3.41,1.92,5.33,15.95,96046c84-d179-44f1-976e-f81afa46108f,21.189999999999998
6,Rasheed Wallace,PF,DET,80,34.8,1.06,4.09,5.16,14.07,59cc773b-c6d6-4242-ae3e-6795a5945ee2,19.310000000000002
7,Metta World Peace,SF,IND/SAC,56,39.4,1.31,3.58,4.90,11.44,670a19ff-960f-4b66-89c5-c438ef9dcd19,16.68
8,Shawn Marion,SG,PHX,81,40.3,2.86,1.73,4.59,16.88,980bde42-31de-40aa-87d9-61cdfe340132,22.119999999999997
9,Andrei Kirilenko,SF,UTAH,69,37.7,0.28,4.17,4.46,12.39,a1f17fb0-a5bc-471c-a65a-1e2efae6a8a0,17.630000000000003
10,Ben Wallace,PF,DET,82,35.2,-2.19,6.63,4.44,13.35,59af6d1d-a322-41e8-9b64-220eecc0185a,18.59
11,Baron Davis,PG,GS,54,36.5,3.74,0.68,4.42,10.03,526e351a-8d16-41df-9162-83221df6ec56,15.27
12,Shaquille O'Neal,C,MIA,59,30.6,3.88,0.46,4.34,8.77,4780ef7e-7c65-4ab0-b2ab-239f446cf97e,14.01
13,Elton Brand,PF,LAC,79,39.2,2.55,1.79,4.33,15.17,992a6106-25bb-4542-a824-1ab30a90ff3a,20.41
14,Tracy McGrady,SG,HOU,47,37.1,3.57,0.54,4.10,7.90,50fe8196-017f-4587-90e5-12e32a204930,13.14
15,Alonzo Mourning,C,MIA,65,20.0,0.20,3.88,4.08,6.17,a32e66f6-300c-44d3-9755-c4a1891e4399,11.41
16,Manu Ginobili,G,SA,65,27.9,3.35,0.66,4.01,8.22,d4a0b468-3ec5-4ecb-b94e-f1565f1af651,13.46
17,Chuck Hayes,PF,HOU,40,13.4,-0.28,4.13,3.86,2.28,badd0170-6da9-40ab-b90d-30b8c1401f73,7.52
18,Ray Allen,SG,SEA,78,38.7,5.07,-1.22,3.85,13.68,d0df9ea6-dc69-4d3d-9311-41a1fdebad9c,18.92
19,Dirk Nowitzki,F,DAL,81,38.1,3.81,-0.09,3.73,13.29,41454901-7576-4ff8-89a6-6763f727d2d8,18.53
20,Yao Ming,C,HOU,57,34.2,1.36,2.17,3.53,8.12,3c78ce92-1413-4da4-8dc9-24464fa4ad19,13.36
21,Shane Battier,SF,MEM,81,35.0,-1.79,5.22,3.43,11.33,83a7cc52-cfa4-47f6-bbe9-a6e89697b779,16.57
22,Chauncey Billups,PG,DET,81,36.1,3.49,-0.19,3.30,11.47,7a09dda4-5980-4115-b1c8-bde37d6b4d12,16.71
23,Zydrunas Ilgauskas,C,CLE,78,29.3,0.54,2.70,3.23,9.13,de4d2b63-1ed2-4e1a-8669-c886bb1cdcf0,14.370000000000001
24,Dwight Howard,C,ORL,82,36.8,0.70,2.40,3.11,11.81,b89c8f21-0a6f-4c76-b5e8-b5775c73583b,17.05
25,Jason Terry,G,DAL,80,35.0,2.46,0.52,2.98,10.54,62b3e3ec-25cd-4ccb-a3fe-c6d448c8a7fb,15.78
26,Chris Paul,PG,NO,78,36.0,1.59,1.38,2.98,10.81,40b1fb2d-fa62-4821-ad86-82eb61726f8c,16.05
27,Jason Richardson,SG,GS,75,38.4,3.90,-1.00,2.90,11.63,2ae10e27-713f-4024-85f2-8250bda16e3c,16.87
28,Lamar Odom,PF,LAL,80,40.3,0.45,2.41,2.85,12.31,0bf56478-de26-403e-b839-60c328fa925a,17.55
29,Gerald Wallace,SF,CHA,55,34.5,1.39,1.45,2.84,7.56,32ababf8-aaa7-4c8c-a836-e3bc6c38a6b0,12.8
30,Andrew Bogut,C,MIL,82,28.6,-0.78,3.57,2.79,8.90,d96147fc-88ce-422f-b440-0fc011fac2d5,14.14
31,Jameer Nelson,G,ORL,62,28.8,2.85,-0.25,2.59,6.47,1aa7fd39-b6a2-4c36-8d77-9053f050bffa,11.71
32,Gilbert Arenas,PG,WSH,80,42.3,5.41,-2.87,2.54,12.71,0a21b475-e840-4031-9c72-7b32c63c3721,17.950000000000003
33,Bobby Jackson,PG,MEM,71,25.0,1.34,1.20,2.54,6.09,649f1b35-874d-47c0-93fa-abfbc73fb520,11.33
34,Jason Kidd,PG,NJ,80,37.2,2.17,0.36,2.53,10.90,4f6cd300-77de-4617-918f-8ab84d906538,16.14
35,Brent Barry,SG,SA,74,17.0,1.45,1.01,2.46,4.42,b6e16b6a-99e8-47d8-a974-c877ee4e79fb,9.66
36,Tony Parker,G,SA,80,33.9,2.09,0.25,2.34,9.31,e7f7d281-52b9-4155-9b66-378c964837f5,14.55
37,Marcus Camby,C,DEN,56,33.2,-0.65,2.96,2.32,6.79,daabe87b-5399-40dc-9a97-5c08300da5a5,12.030000000000001
38,Allen Iverson,SG,PHI,72,43.1,5.16,-2.90,2.26,11.31,bd09a88b-9e70-4aaa-8101-9fdaaa7ef878,16.55
39,Pau Gasol,PF,MEM,80,39.2,0.38,1.85,2.23,10.19,d0e5dfb2-54b8-4447-9abf-8d1e4d777fe1,15.43
41,Earl Watson,PG,DEN/SEA,70,22.5,2.26,-0.10,2.16,5.54,7c071ab0-faf3-49bc-856f-63193a7862b6,10.780000000000001
42,Steve Nash,PG,PHX,79,35.4,5.15,-2.99,2.16,9.80,34456aa0-a158-4716-8239-0dafe5d7b920,15.040000000000001
43,Eddie House,SG,PHX,81,17.5,2.89,-0.77,2.12,4.83,407617b8-808d-4301-a467-48864820a47e,10.07
44,Michael Redd,SG,MIL,80,39.1,3.56,-1.50,2.07,10.60,944701e5-4c7b-47c5-a3a2-bb640007372c,15.84
45,Andris Biedrins,C,GS,68,14.7,0.17,1.85,2.02,3.32,97f05c43-e1a0-46ff-aff5-85174df33ba0,8.56
46,Delonte West,SG,BOS,71,34.1,0.96,1.05,2.00,8.10,53f3fc32-3d83-4c2a-b5d0-0681601e633d,13.34
47,Chris Bosh,PF,TOR,70,39.3,1.75,0.25,1.99,8.97,ce7ae779-d64a-4736-86b2-4184fd5871fb,14.21
