,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Shaquille O'Neal,C,LAL,74,39.5,6.15,1.10,7.25,19.82,4780ef7e-7c65-4ab0-b2ab-239f446cf97e,24.8
1,John Stockton,G,UTAH,82,29.2,4.71,1.56,6.26,14.40,5f856e9e-3c4b-48b2-9d84-ae40b83961fa,19.38
2,Dirk Nowitzki,F,DAL,82,38.1,3.91,2.05,5.97,18.82,41454901-7576-4ff8-89a6-6763f727d2d8,23.8
3,Vince Carter,G,TOR,75,39.7,5.20,0.68,5.88,17.18,96046c84-d179-44f1-976e-f81afa46108f,22.16
4,Tracy McGrady,SG,ORL,77,40.1,4.22,1.64,5.86,18.49,50fe8196-017f-4587-90e5-12e32a204930,23.47
5,David Robinson,C,SA,80,29.6,0.84,5.00,5.84,13.43,c669dde1-a016-4cf3-a1af-9b7b0a045415,18.41
6,Tim Duncan,C,SA,82,38.7,1.76,3.89,5.65,17.57,12b9fb27-2178-4f65-9099-9764b863e4df,22.55
7,Rasheed Wallace,PF,POR,77,38.2,0.83,4.19,5.02,14.96,59cc773b-c6d6-4242-ae3e-6795a5945ee2,19.94
8,Kobe Bryant,SF,LAL,68,40.9,4.00,0.69,4.69,14.29,825ab381-2ad5-4685-98b9-93b318bd37da,19.27
9,Shawn Marion,SG,PHX,79,36.2,0.90,3.67,4.57,14.33,980bde42-31de-40aa-87d9-61cdfe340132,19.31
10,Tim Hardaway,G,MIA,77,33.9,2.72,1.52,4.24,11.89,96e17ae1-a423-4d71-890b-525d2395dcc3,16.87
11,Gary Payton,PG,SEA,79,41.1,3.93,0.28,4.21,15.42,901e08ca-0383-4677-9716-e0d94aaf1fdc,20.4
12,Chris Webber,C,SAC,70,40.5,2.61,1.54,4.15,13.75,385a081e-69b9-4320-af78-f783a50e5e10,18.73
13,Kevin Garnett,PF,MIN,81,39.5,2.06,2.04,4.10,14.87,8c4661f3-343f-4842-be7c-8b91d0f7409f,19.849999999999998
14,Baron Davis,PG,CHA,82,38.9,1.47,2.60,4.06,14.30,526e351a-8d16-41df-9162-83221df6ec56,19.28
15,Travis Best,PG,IND,77,31.9,0.75,3.25,4.00,11.07,3ec1ea0a-2143-4dd4-a0d7-7341b59a4414,16.05
