,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Giannis Antetokounmpo,PF,MIL,63,30.4,7.22,3.09,10.30,18.03,0a5638ef-6f1d-4b38-aafe-5364e228598f,23.91
1,LeBron James,SF,LAL,67,34.6,5.78,3.81,9.58,19.47,bedcfe40-c385-484d-85bc-e13eb14254ca,25.349999999999998
2,James Harden,SG,HOU,68,36.5,6.31,1.18,7.49,17.72,5a4ef6ab-300d-469b-b1b5-a2aa94d3df73,23.599999999999998
3,Nikola Jokic,C,DEN,73,32.0,2.50,3.51,6.01,13.08,a9e4aaeb-2163-459f-ad70-10bed0cbef61,18.96
4,Chris Paul,PG,OKC,70,31.5,3.39,2.12,5.51,12.00,40b1fb2d-fa62-4821-ad86-82eb61726f8c,17.88
5,Kyle Lowry,PG,TOR,58,36.2,3.19,2.02,5.21,11.10,09855ef9-5497-4128-8dc1-db0500f2491e,16.98
6,Kawhi Leonard,SF,LAC,57,32.4,3.37,1.73,5.10,9.63,bb8bd3e8-4f7b-4762-b826-6ec2afcb7028,15.510000000000002
7,Stephen Curry,PG,GS,5,27.8,5.93,-1.20,4.72,0.73,9c7a1a07-4978-474c-b472-3cb227f9e4cf,6.609999999999999
8,Luka Doncic,PG,DAL,61,33.6,4.88,-0.61,4.28,9.51,c7c0013f-a40b-472f-bb51-b4665cc288f4,15.39
9,Rudy Gobert,C,UTAH,68,34.3,-0.78,4.85,4.07,10.28,8acbad0f-aa60-41d7-bc2f-1e9e011d8993,16.16
10,Jayson Tatum,SF,BOS,66,34.3,1.25,2.62,3.87,9.71,781822eb-eaba-4292-a247-34b65bec6c08,15.59
11,Duncan Robinson,F,MIA,73,29.7,0.75,3.09,3.83,9.11,66963590-35ab-4dfc-b52b-2929be08550a,14.989999999999998
12,Joel Embiid,C,PHI,51,29.5,1.81,2.00,3.81,6.41,395642df-8c55-4112-b850-4be318896e9e,12.29
13,Russell Westbrook,PG,HOU,57,35.9,4.33,-0.69,3.64,9.03,1dc36313-c835-4a5d-b3f4-2cc5ba66d82e,14.91
14,Khris Middleton,SF,MIL,62,29.9,3.08,0.55,3.63,8.03,982a6f07-c5fd-4eab-b8d8-4b4c908ed392,13.91
15,Christian Wood,F,DET,62,21.4,1.54,1.99,3.53,5.26,3adc9854-21fc-4f1a-a21b-10a03325c4c7,11.14
16,Zion Williamson,PF,NO,24,27.8,2.73,0.57,3.29,2.74,fb3c50ee-40e8-42e8-b82a-5dc8f32706f3,8.620000000000001
17,Mychal Mulder,G,GS,7,29.1,-0.13,3.40,3.27,0.46,a3fee9c6-b974-49c7-a64c-2aa4ca5ff4ca,6.34
18,Kristaps Porzingis,C,DAL,57,31.8,0.89,2.36,3.24,7.05,94f4cc4b-f899-4525-9624-92599e86b33b,12.93
19,Pascal Siakam,PF,TOR,60,35.2,0.71,2.50,3.21,8.27,48a83890-c736-4849-a378-dad562f054d2,14.149999999999999
20,Damian Lillard,PG,POR,66,37.5,5.59,-2.45,3.14,9.34,78f04da4-220a-4294-9fd6-b4243df8f5b7,15.219999999999999
21,Jrue Holiday,PG,NO,61,34.7,2.02,1.08,3.11,8.26,25889713-b28a-4be8-9660-3ac5ac97e716,14.14
22,Jimmy Butler,SF,MIA,58,33.8,1.44,1.64,3.08,7.18,5cbc01e2-a4cf-428d-9696-0be12d360f30,13.059999999999999
23,Kyrie Irving,PG,BKN,20,32.9,4.78,-1.73,3.05,2.54,6d2b90d8-a081-461e-bb70-05ec06577d87,8.42
24,Daniel Theis,C,BOS,65,24.1,-1.42,4.45,3.03,5.76,1378896a-c798-4381-bda9-059362964b1e,11.64
25,Joe Ingles,SG,UTAH,72,29.7,0.04,2.82,2.86,7.59,f65797f8-e4fc-4ac3-af04-954accb5bbf8,13.469999999999999
26,Shaquille Harrison,G,CHI,43,11.3,-0.16,2.99,2.83,1.73,4bc1c2ad-e2d5-4c4f-9de7-daab4cc0d065,7.609999999999999
27,DJ Augustin,G,ORL,57,24.9,0.08,2.75,2.83,5.00,,10.879999999999999
28,Brook Lopez,C,MIL,68,26.7,-0.81,3.60,2.80,6.70,98b82862-6adb-4446-8471-e75ce9bd3293,12.58
29,Bam Adebayo,C,MIA,72,33.6,-0.39,3.06,2.67,8.15,a0b335f7-8a52-4164-91c5-0090952103a4,14.030000000000001
