,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Mahmoud Abdul-Rauf,PG,27,SAC,75,51,2131,411,924,0.445,94,246,0.382,317,678,0.468,0.496,115,136,0.846,16,106,122,189,56,6,119,174,1031,9439df8b-3c02-4808-aed0-dcbba833f300,1996
1,Shareef Abdur-Rahim,PF,20,VAN,80,71,2802,550,1214,0.453,7,27,0.259,543,1187,0.457,0.456,387,519,0.746,216,339,555,175,79,79,225,199,1494,fe3dd58a-1354-44f3-8d09-e6c39cb1cca5,1996
2,Rafael Addison,SF,32,CHH,41,3,355,49,122,0.402,8,20,0.4,41,102,0.402,0.434,22,28,0.786,19,26,45,34,8,3,17,52,128,1a725fb8-ee1a-4174-8212-c8c0bc2c39bb,1996
3,Cory Alexander,PG,23,SAS,80,6,1454,194,490,0.396,94,252,0.373,100,238,0.42,0.492,95,129,0.736,29,94,123,254,82,16,146,148,577,aec90717-ab44-4cfe-afb6-0feb8b6f9362,1996
4,Jerome Allen,SG,24,TOT,76,1,943,78,221,0.353,30,93,0.323,48,128,0.375,0.421,42,72,0.583,25,73,98,152,31,4,69,84,228,880eb553-10cf-4acf-b308-bcc49cf075ff,1996
5,Ashraf Amaya,PF,25,WSB,31,0,144,12,40,0.3,1,1,1.0,11,39,0.282,0.313,15,28,0.536,19,33,52,3,7,3,10,29,40,915d2fea-4f3b-40cc-a33b-263e61582408,1996
6,Greg Anderson,C,32,SAS,82,48,1659,130,262,0.496,0,1,0.0,130,261,0.498,0.496,62,93,0.667,157,291,448,34,63,67,73,225,322,c0aa6acc-533b-4e61-94ec-57a15835ecb5,1996
7,Kenny Anderson,PG,26,POR,82,81,3081,485,1137,0.427,132,366,0.361,353,771,0.458,0.485,334,435,0.768,91,272,363,584,162,15,193,222,1436,a8644ea2-3e28-4207-98be-fda50363c248,1996
8,Nick Anderson,SG,29,ORL,63,61,2163,288,725,0.397,143,405,0.353,145,320,0.453,0.496,38,94,0.404,66,238,304,182,120,32,86,160,757,bb214207-755d-4c90-9f69-637609f05ee6,1996
9,Shandon Anderson,SG,23,UTA,65,0,1066,147,318,0.462,24,47,0.511,123,271,0.454,0.5,68,99,0.687,52,127,179,49,27,8,73,113,386,40966e4d-7253-436a-a7f9-3fb958f92711,1996
10,Willie Anderson,SG,30,MIA,28,1,303,29,64,0.453,8,19,0.421,21,45,0.467,0.516,17,20,0.85,15,27,42,34,14,4,19,36,83,7065a6f9-3b58-4bb6-8b96-22d64d43b65f,1996
11,Greg Anthony,PG,29,VAN,65,44,1863,199,507,0.393,88,238,0.37,111,269,0.413,0.479,130,178,0.73,25,159,184,407,129,4,129,122,616,c9961f2c-2cd0-42ee-80bb-9553fc139f92,1996
12,Darrell Armstrong,PG,28,ORL,67,0,1010,132,345,0.383,55,181,0.304,77,164,0.47,0.462,92,106,0.868,35,41,76,175,61,9,99,114,411,5aa77a64-ab4b-462e-9bff-6f7f798a9c9b,1996
13,Vincent Askew,SG,30,TOT,43,0,838,81,186,0.435,7,24,0.292,74,162,0.457,0.454,70,88,0.795,25,73,98,90,17,6,46,123,239,e35ff4d6-413d-4381-877f-1b90369097a5,1996
14,Keith Askins,SF,29,MIA,78,30,1773,138,319,0.433,69,172,0.401,69,147,0.469,0.541,39,58,0.672,86,185,271,75,53,19,59,196,384,54733ba6-21b8-4e27-8c0b-f3f94946d755,1996
15,Stacey Augmon,SG,28,TOT,60,10,942,105,220,0.477,0,0,0.0,105,220,0.477,0.477,69,97,0.711,47,91,138,56,42,17,64,87,279,5a3e9fd3-c9fe-4c9f-ad4f-e9b2e05ad6c0,1996
16,Isaac Austin,C,27,MIA,82,17,1881,321,639,0.502,0,3,0.0,321,636,0.505,0.502,150,226,0.664,136,342,478,101,45,43,161,244,792,72eada86-818c-4b34-8885-a50368816b1b,1996
17,Vin Baker,PF,25,MIL,78,78,3159,632,1251,0.505,15,54,0.278,617,1197,0.515,0.511,358,521,0.687,267,537,804,211,81,112,245,275,1637,1da96cf4-65ef-4467-a93a-08c14791d904,1996
18,Dana Barros,PG,29,BOS,24,8,708,110,253,0.435,43,105,0.41,67,148,0.453,0.52,37,43,0.86,5,43,48,81,26,6,39,34,300,d1acce80-d01a-443f-b39b-cc9e4819ba09,1996
19,Brent Barry,SG,25,LAC,59,0,1094,155,379,0.409,56,173,0.324,99,206,0.481,0.483,76,93,0.817,30,80,110,154,51,15,76,88,442,b6e16b6a-99e8-47d8-a974-c877ee4e79fb,1996
20,Jon Barry,SG,27,ATL,58,8,965,100,246,0.407,48,124,0.387,52,122,0.426,0.504,37,46,0.804,26,73,99,115,55,3,59,56,285,7c58917c-b227-40f1-8c47-f9b4ae4e064a,1996
21,Benoit Benjamin,C,32,TOR,4,3,44,5,12,0.417,0,0,0.0,5,12,0.417,0.417,3,4,0.75,3,6,9,1,1,0,2,5,13,9d99d986-a894-42ca-a06f-459fff16e566,1996
22,Elmer Bennett,PG,26,TOT,9,0,75,6,19,0.316,3,9,0.333,3,10,0.3,0.395,7,10,0.7,0,4,4,11,4,0,10,7,22,6c2a1436-d6b5-4cd1-9a89-0f6e4d26ca14,1996
23,Travis Best,PG,24,IND,76,46,2064,274,620,0.442,57,155,0.368,217,465,0.467,0.488,149,197,0.756,36,130,166,318,98,5,153,221,754,3ec1ea0a-2143-4dd4-a0d7-7341b59a4414,1996
24,Mookie Blaylock,PG,29,ATL,78,78,3056,501,1159,0.432,221,604,0.366,280,555,0.505,0.528,131,174,0.753,114,299,413,463,212,20,185,141,1354,cec2d617-bfcd-42bb-904f-d87cf5e681c7,1996
25,Corie Blount,PF,28,LAL,58,18,1009,92,179,0.514,1,3,0.333,91,176,0.517,0.517,56,83,0.675,113,163,276,35,22,26,50,121,241,9bdb8d47-1db7-4695-8984-ef6cd2f297f3,1996
26,Muggsy Bogues,PG,32,CHH,65,65,1880,204,443,0.46,60,144,0.417,144,299,0.482,0.528,54,64,0.844,25,116,141,469,82,2,108,114,522,81605265-5852-4aac-9fcc-d5a55f617479,1996
27,Bruce Bowen,SF,25,MIA,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,c818a730-e15e-42bb-a276-fa305e6c0125,1996
28,Donnie Boyce,SG,23,ATL,22,2,154,21,63,0.333,2,16,0.125,19,47,0.404,0.349,11,22,0.5,7,8,15,13,10,4,16,17,55,cf3299d8-8b44-48a1-bd5b-14607475c7e6,1996
29,Shawn Bradley,C,24,TOT,73,70,2288,406,905,0.449,0,8,0.0,406,897,0.453,0.449,149,228,0.654,221,390,611,52,40,248,134,237,961,4fd85cd0-21f4-4af3-81f0-ef44ab854177,1996
