,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Shareef Abdur-Rahim,PF,28,POR,54,49,1867,337,670,0.503,15,39,0.385,322,631,0.51,0.514,220,254,0.866,123,269,392,111,49,26,117,150,909,fe3dd58a-1354-44f3-8d09-e6c39cb1cca5,2004
1,Cory Alexander,SG,31,CHA,16,1,201,16,49,0.327,8,19,0.421,8,30,0.267,0.408,9,12,0.75,8,21,29,37,9,1,19,29,49,aec90717-ab44-4cfe-afb6-0feb8b6f9362,2004
2,Malik Allen,PF,26,TOT,36,1,519,84,177,0.475,0,0,0.0,84,177,0.475,0.475,26,28,0.929,40,59,99,18,9,22,18,53,194,6c881a9f-326a-4c7c-8b77-64040bbf30b8,2004
3,Tony Allen,SG,23,BOS,77,34,1262,184,387,0.475,12,31,0.387,172,356,0.483,0.491,112,152,0.737,85,136,221,64,76,24,77,156,492,917674b3-1b6e-48ed-8d3b-f9161c1ea734,2004
4,Rafer Alston,PG,28,TOR,80,78,2717,403,974,0.414,139,389,0.357,264,585,0.451,0.485,191,258,0.74,42,237,279,514,118,7,170,212,1136,ee905b13-ef4f-4bb4-9dd7-a8bf290c289a,2004
5,Chris Andersen,C,26,NOH,67,2,1430,191,358,0.534,0,3,0.0,191,355,0.538,0.534,131,190,0.689,137,273,410,71,14,100,64,144,513,1c7a2c3b-e319-4c55-9294-2550d654cf28,2004
6,Derek Anderson,SG,30,POR,47,32,1239,152,391,0.389,58,151,0.384,94,240,0.392,0.463,70,87,0.805,25,103,128,143,36,4,70,89,432,bf77e8c7-0dcd-4d9f-b189-9d1ad588d259,2004
7,Kenny Anderson,PG,34,TOT,43,20,743,85,201,0.423,6,13,0.462,79,188,0.42,0.438,27,37,0.73,24,64,88,103,33,0,49,87,203,a8644ea2-3e28-4207-98be-fda50363c248,2004
8,Shandon Anderson,SF-SG,31,TOT,66,5,1171,98,217,0.452,5,29,0.172,93,188,0.495,0.463,54,66,0.818,41,150,191,70,40,14,50,138,255,40966e4d-7253-436a-a7f9-3fb958f92711,2004
9,Carmelo Anthony,SF,20,DEN,75,75,2608,530,1230,0.431,42,158,0.266,488,1072,0.455,0.448,456,573,0.796,141,285,426,194,68,30,224,229,1558,5aba723b-d598-4f57-ad9d-66759ddbc5bf,2004
10,Gilbert Arenas,PG,23,WAS,80,80,3274,656,1523,0.431,205,562,0.365,451,961,0.469,0.498,521,640,0.814,83,295,378,411,139,23,242,245,2038,0a21b475-e840-4031-9c72-7b32c63c3721,2004
11,Trevor Ariza,SF,19,NYK,80,12,1382,172,389,0.442,3,13,0.231,169,376,0.449,0.446,121,174,0.695,89,153,242,85,70,18,73,150,468,b8f4ff28-eb77-4c7e-acda-23a2a01cdad8,2004
12,Darrell Armstrong,PG,36,TOT,66,16,988,89,277,0.321,28,111,0.252,61,166,0.367,0.372,58,68,0.853,35,80,115,178,45,8,67,92,264,5aa77a64-ab4b-462e-9bff-6f7f798a9c9b,2004
13,Carlos Arroyo,PG,25,TOT,70,16,1448,167,429,0.389,8,30,0.267,159,399,0.398,0.399,119,149,0.799,26,78,104,280,44,4,107,143,461,dabf8ad1-b484-40d6-96f3-4765ce6c3ae7,2004
14,Chucky Atkins,PG,30,LAL,82,82,2903,388,910,0.426,176,455,0.387,212,455,0.466,0.523,163,203,0.803,31,166,197,358,73,2,151,181,1115,e3632248-9422-4a14-b67d-925115d53ce4,2004
15,Stacey Augmon,SF,36,ORL,55,7,663,68,167,0.407,0,0,0.0,68,167,0.407,0.407,57,77,0.74,45,54,99,36,23,8,31,83,193,5a3e9fd3-c9fe-4c9f-ad4f-e9b2e05ad6c0,2004
16,Vin Baker,PF-C,33,TOT,27,0,204,13,42,0.31,0,1,0.0,13,41,0.317,0.31,9,17,0.529,17,22,39,10,2,4,17,38,35,1da96cf4-65ef-4467-a93a-08c14791d904,2004
17,Marcus Banks,PG,23,BOS,81,2,1145,115,286,0.402,21,59,0.356,94,227,0.414,0.439,121,163,0.742,29,97,126,155,63,13,79,146,372,32c4ea5d-d2cb-41b0-9b43-28497e1fab0c,2004
18,Leandro Barbosa,PG,22,PHO,63,6,1087,168,354,0.475,51,139,0.367,117,215,0.544,0.547,55,69,0.797,32,98,130,126,30,7,87,127,442,d5e4a8c9-8695-429f-84c0-c83d674b4c39,2004
19,Matt Barnes,SF,24,SAC,43,9,715,62,151,0.411,5,22,0.227,57,129,0.442,0.427,35,58,0.603,49,84,133,57,30,7,45,80,164,7a9a28d7-3b17-419a-89f7-bb1c605c0337,2004
