,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Shareef Abdur-Rahim,C,30,SAC,80,45,2015,310,654,0.474,3,20,0.15,307,634,0.484,0.476,170,234,0.726,122,276,398,109,53,40,116,243,793,fe3dd58a-1354-44f3-8d09-e6c39cb1cca5,2006
1,Hassan Adams,SG,22,NJN,61,8,495,75,135,0.556,0,1,0.0,75,134,0.56,0.556,24,36,0.667,35,42,77,13,17,4,22,47,174,4c6f3e46-2750-4920-8d47-33666f41d8e6,2006
2,Maurice Ager,SG,22,DAL,32,1,214,22,70,0.314,5,15,0.333,17,55,0.309,0.35,20,33,0.606,1,20,21,7,4,3,15,27,69,3190a76e-2568-4aab-b5ce-43fbee1e101b,2006
3,LaMarcus Aldridge,C,21,POR,63,22,1392,241,479,0.503,0,2,0.0,241,477,0.505,0.503,83,115,0.722,144,168,312,24,22,73,43,186,565,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,2006
4,Malik Allen,PF,28,CHI,60,1,638,107,258,0.415,0,1,0.0,107,257,0.416,0.415,28,34,0.824,42,77,119,16,17,16,21,85,242,6c881a9f-326a-4c7c-8b77-64040bbf30b8,2006
5,Tony Allen,SG,25,BOS,33,18,805,133,259,0.514,8,33,0.242,125,226,0.553,0.529,105,134,0.784,35,89,124,56,49,12,75,87,379,917674b3-1b6e-48ed-8d3b-f9161c1ea734,2006
6,Rafer Alston,PG,30,HOU,82,82,3040,383,1020,0.375,192,529,0.363,191,491,0.389,0.47,130,177,0.734,29,253,282,444,129,10,170,195,1088,ee905b13-ef4f-4bb4-9dd7-a8bf290c289a,2006
7,Alan Anderson,SG,24,CHA,17,0,256,37,81,0.457,5,20,0.25,32,61,0.525,0.488,19,23,0.826,11,21,32,21,7,0,22,33,98,1d9066a3-1c81-4ecf-9186-bccb97a0348e,2006
8,Derek Anderson,SF,32,CHA,50,32,1190,126,294,0.429,54,152,0.355,72,142,0.507,0.52,93,106,0.877,29,84,113,133,52,7,56,115,399,bf77e8c7-0dcd-4d9f-b189-9d1ad588d259,2006
9,Carmelo Anthony,SF,22,DEN,65,65,2486,691,1453,0.476,40,149,0.268,651,1304,0.499,0.489,459,568,0.808,143,248,391,249,77,23,234,203,1881,5aba723b-d598-4f57-ad9d-66759ddbc5bf,2006
