,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid
0,Alaa Abdelnaby,PF,22,POR,43,0,290,55,116,.474,0,0,0,55,116,.474,.474,25,44,.568,27,62,89,12,4,12,22,39,135,a8027f37-8e2f-4c83-98eb-3ccfeea00c2a
1,Mahmoud Abdul-Rauf,PG,21,DEN,67,19,1505,417,1009,.413,24,100,.240,393,909,.432,.425,84,98,.857,34,87,121,206,55,4,110,149,942,9439df8b-3c02-4808-aed0-dcbba833f300
2,Mark Acres,C,28,ORL,68,0,1313,109,214,.509,1,3,.333,108,211,.512,.512,66,101,.653,140,219,359,25,25,25,42,218,285,ebcb97a8-f344-48c5-9ffa-5b2fd49749d5
3,Michael Adams,PG,28,DEN,66,66,2346,560,1421,.394,167,564,.296,393,857,.459,.453,465,529,.879,58,198,256,693,147,6,240,162,1752,7a27af86-990b-401a-bfab-7d78e223fba1
4,Mark Aguirre,SF,31,DET,78,13,2006,420,909,.462,24,78,.308,396,831,.477,.475,240,317,.757,134,240,374,139,47,20,128,209,1104,9c611bfc-ec47-4d2d-a45e-266ec524f542
5,Danny Ainge,SG,31,POR,80,0,1710,337,714,.472,102,251,.406,235,463,.508,.543,114,138,.826,45,160,205,285,63,13,100,195,890,de30c2ee-ec9d-4042-be54-f406cc621efb
6,Mark Alarie,PF,27,WSB,42,1,587,99,225,.440,5,21,.238,94,204,.461,.451,41,48,.854,41,76,117,45,15,8,40,88,244,c3b528b9-4a2b-4cd8-ab18-ca279e72fc61
7,Steve Alford,PG,26,DAL,34,0,236,59,117,.504,7,23,.304,52,94,.553,.534,26,31,.839,10,14,24,22,8,1,16,11,151,1a6bf478-3828-4bc8-9f1e-278ec11c9c3e
8,Greg Anderson,PF,26,TOT,68,2,924,116,270,.430,0,1,.000,116,269,.431,.430,60,115,.522,97,221,318,16,35,45,84,140,292,c0aa6acc-533b-4e61-94ec-57a15835ecb5
9,Nick Anderson,SG,23,ORL,70,42,1971,400,857,.467,17,58,.293,383,799,.479,.477,173,259,.668,92,294,386,106,74,44,113,145,990,bb214207-755d-4c90-9f69-637609f05ee6
10,Ron Anderson,SF,32,PHI,82,13,2340,512,1055,.485,9,43,.209,503,1012,.497,.490,165,198,.833,103,264,367,115,65,13,100,163,1198,879271b3-6eb8-4b10-9efc-1040aa004b46
11,Willie Anderson,SG,24,SAS,75,75,2592,453,991,.457,7,35,.200,446,956,.467,.461,170,213,.798,68,283,351,358,79,46,167,226,1083,7065a6f9-3b58-4bb6-8b96-22d64d43b65f
12,Michael Ansley,SF,23,ORL,67,1,877,144,263,.548,0,0,0,144,263,.548,.548,91,127,.717,122,131,253,25,27,7,32,125,379,b68f6297-f327-407a-8e92-dc5e560959e3
13,Vincent Askew,SG,24,GSW,7,0,85,12,25,.480,0,0,0,12,25,.480,.480,9,11,.818,7,4,11,13,2,0,6,21,33,e35ff4d6-413d-4381-877f-1b90369097a5
14,Keith Askins,SF,23,MIA,39,1,266,34,81,.420,6,25,.240,28,56,.500,.457,12,25,.480,30,38,68,19,16,13,11,46,86,54733ba6-21b8-4e27-8c0b-f3f94946d755
15,Thurl Bailey,PF,29,UTA,82,22,2486,399,872,.458,0,3,.000,399,869,.459,.458,219,271,.808,101,306,407,124,53,91,130,160,1017,cd48d681-1ed5-476b-9326-1a4e0b958d32
16,Ken Bannister,PF,30,LAC,47,3,339,43,81,.531,0,1,.000,43,80,.538,.531,25,65,.385,34,62,96,9,5,7,25,73,111,226bc834-e30f-4c3c-8280-3ed10dcb556a
17,Dana Barros,PG,23,SEA,66,0,750,154,311,.495,32,81,.395,122,230,.530,.547,78,85,.918,17,54,71,111,23,1,54,40,418,d1acce80-d01a-443f-b39b-cc9e4819ba09
18,John Battle,SG,28,ATL,79,2,1863,397,862,.461,14,49,.286,383,813,.471,.469,270,316,.854,34,125,159,217,45,6,113,145,1078,4d187ef0-b773-403a-8c23-44795864c732
19,Kenny Battle,SG,26,TOT,56,8,945,133,282,.472,3,24,.125,130,258,.504,.477,70,93,.753,83,93,176,62,60,18,53,108,339,fe86795c-f632-48f9-b7ff-ff5bab9d09c5
20,William Bedford,C,27,DET,60,4,562,106,242,.438,5,13,.385,101,229,.441,.448,55,78,.705,55,76,131,32,2,36,32,76,272,f693d31b-afb5-4644-b765-2452c591529e
21,Benoit Benjamin,C,26,TOT,70,65,2236,386,778,.496,0,0,0,386,778,.496,.496,210,295,.712,157,566,723,119,54,145,235,184,982,9d99d986-a894-42ca-a06f-459fff16e566
22,Winston Bennett,SF,25,CLE,27,13,334,40,107,.374,0,0,0,40,107,.374,.374,35,47,.745,30,34,64,28,8,2,20,50,115,8a878db9-9704-487a-b93a-36040ff5e216
23,Rolando Blackman,SG,31,DAL,80,80,2965,634,1316,.482,40,114,.351,594,1202,.494,.497,282,326,.865,63,193,256,301,69,19,159,153,1590,6596d7d2-844f-4097-b5d8-c3233f0ebc57
24,Lance Blanks,SG,24,DET,38,0,214,26,61,.426,2,16,.125,24,45,.533,.443,10,14,.714,4,16,20,26,9,2,18,35,64,f5e7bb4b-53b3-4fde-afb1-bfa3db43518e
25,Mookie Blaylock,PG,23,NJN,72,70,2585,432,1039,.416,14,91,.154,418,948,.441,.423,139,176,.790,67,182,249,441,169,40,207,180,1017,cec2d617-bfcd-42bb-904f-d87cf5e681c7
26,Muggsy Bogues,PG,26,CHH,81,46,2299,241,524,.460,0,12,.000,241,512,.471,.460,86,108,.796,58,158,216,669,137,3,120,160,568,81605265-5852-4aac-9fcc-d5a55f617479
27,Manute Bol,C,28,PHI,82,6,1522,65,164,.396,1,14,.071,64,150,.427,.399,24,41,.585,66,284,350,20,16,247,63,184,155,5632c2b0-0978-46c3-9acb-c2d6177fcedb
28,Anthony Bonner,PF,22,SAC,34,6,750,103,230,.448,0,0,0,103,230,.448,.448,44,76,.579,59,102,161,49,39,5,41,62,250,8f6e2aeb-76e1-4186-847f-deefa294b5fc
29,Sam Bowie,C,29,NJN,62,51,1916,314,723,.434,4,22,.182,310,701,.442,.437,169,231,.732,176,304,480,147,43,90,141,175,801,1b192fac-4037-43be-936e-062aa711e76e
30,Randy Breuer,C,30,MIN,73,44,1505,197,435,.453,0,0,0,197,435,.453,.453,35,79,.443,114,231,345,73,35,80,69,132,429,23f9f709-b0bf-459c-b9d4-92083d95ef84
31,Frank Brickowski,PF,31,MIL,75,73,1912,372,706,.527,0,2,.000,372,704,.528,.527,198,248,.798,129,297,426,131,86,43,160,255,942,e2011308-25ca-48c8-bc1d-457254a4315a
32,Scott Brooks,PG,25,MIN,80,0,980,159,370,.430,45,135,.333,114,235,.485,.491,61,72,.847,28,44,72,204,53,5,51,122,424,806c8dd0-54e2-4473-a635-f5003b31a7dd
33,Chucky Brown,SF,22,CLE,74,51,1485,263,502,.524,0,4,.000,263,498,.528,.524,101,144,.701,78,135,213,80,26,24,94,130,627,8c9b0d6c-9002-479b-837d-7e0205884c09
34,Dee Brown,PG,22,BOS,82,5,1945,284,612,.464,7,34,.206,277,578,.479,.470,137,157,.873,41,141,182,344,83,14,137,161,712,f3409c41-8f7a-451e-8e19-5db262e1f39e
35,Mike Brown,C,27,UTA,82,2,1391,129,284,.454,0,0,0,129,284,.454,.454,132,178,.742,109,228,337,49,29,24,82,166,390,2fb24726-79a1-4ec0-9fe8-7fbf2e15fbb5
36,Tony Brown,SG-SF,30,TOT,30,0,294,30,80,.375,3,12,.250,27,68,.397,.394,20,23,.870,24,19,43,16,4,0,16,47,83,f5e7d212-32a5-4e6b-a7e1-8ac0acbfcc6c
37,Mark Bryant,PF,25,POR,53,0,781,99,203,.488,0,1,.000,99,202,.490,.488,74,101,.733,65,125,190,27,15,12,33,120,272,76198ed3-74d2-496b-8f73-36b57a74c3ae
38,Jud Buechler,SF,22,NJN,74,10,859,94,226,.416,1,4,.250,93,222,.419,.418,43,66,.652,61,80,141,51,33,15,26,79,232,5cc0522a-92c2-4b12-a9ff-963e2840c135
39,Matt Bullard,PF,23,HOU,18,0,63,14,31,.452,0,3,.000,14,28,.500,.452,11,17,.647,6,8,14,2,3,0,3,10,39,3154c4f2-02b4-4e45-b006-309b7b40279d
40,Willie Burton,SF,22,MIA,76,26,1928,341,773,.441,4,30,.133,337,743,.454,.444,229,293,.782,111,151,262,107,72,24,144,275,915,d812d4dd-3c39-4c59-a979-0d7ce7449bd1
41,Michael Cage,C,29,SEA,82,55,2141,226,445,.508,0,3,.000,226,442,.511,.508,70,112,.625,177,381,558,89,85,58,83,194,522,a2c39711-5176-4727-ac4b-d4f600d81bfb
42,Adrian Caldwell,PF,24,HOU,42,0,343,35,83,.422,0,1,.000,35,82,.427,.422,7,17,.412,43,57,100,8,19,10,30,35,77,ff7ef569-668d-4cb5-ad34-e21efa11eeca
43,Rick Calloway,SG,24,SAC,64,0,678,75,192,.391,0,2,.000,75,190,.395,.391,55,79,.696,25,53,78,61,22,7,51,98,205,d69db267-1464-4559-8117-b98782aaeb78
44,Elden Campbell,PF,22,LAL,52,0,380,56,123,.455,0,0,0,56,123,.455,.455,32,49,.653,40,56,96,10,11,38,16,71,144,b2c688d6-6b67-46d0-ab35-32d0fda30e13
45,Tony Campbell,SG,28,MIN,77,71,2893,652,1502,.434,16,61,.262,636,1441,.441,.439,358,446,.803,161,185,346,214,121,48,190,204,1678,d0b712d1-fdf1-44dd-91cc-13b6cc471f73
46,Antoine Carr,PF,29,SAC,77,48,2527,628,1228,.511,0,3,.000,628,1225,.513,.511,295,389,.758,163,257,420,191,45,101,171,315,1551,bef418b3-f88a-4c46-ba60-0fa32a75f6f7
47,Joe Barry Carroll,C,32,PHO,11,0,96,13,36,.361,0,0,0,13,36,.361,.361,11,12,.917,3,21,24,11,1,8,12,18,37,8ea4315e-1f32-492c-b188-4287ea9e2765
48,Bill Cartwright,C,33,CHI,79,79,2273,318,649,.490,0,0,0,318,649,.490,.490,124,178,.697,167,319,486,126,32,15,113,167,760,fa7e674e-3e4e-44af-9c7d-1a1add052f6c
