,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid
49,Terry Catledge,PF,27,ORL,51,38,1459,292,632,.462,0,5,.000,292,627,.466,.462,161,258,.624,168,187,355,58,34,9,107,113,745,ac79038e-82f9-4054-8042-cf48a9aa3d3b
50,Duane Causwell,C,22,SAC,76,55,1719,210,413,.508,0,0,0,210,413,.508,.508,105,165,.636,141,250,391,69,49,148,96,225,525,1cc08ed4-3d76-4378-8b20-6f4ca12f5cc1
51,Cedric Ceballos,SF,21,PHO,63,0,730,204,419,.487,1,6,.167,203,413,.492,.488,110,166,.663,77,73,150,35,22,5,69,70,519,b2b1330d-bc6c-4322-b539-ee859f77fd1a
52,Tom Chambers,PF,31,PHO,76,75,2475,556,1271,.437,20,73,.274,536,1198,.447,.445,379,459,.826,104,386,490,194,65,52,177,235,1511,87411ad9-1a01-4926-b6d7-247d9d29a17c
53,Rex Chapman,PG,23,CHH,70,68,2100,410,922,.445,48,148,.324,362,774,.468,.471,234,282,.830,45,146,191,250,73,16,131,167,1102,de00f059-54ba-4734-986e-86718200eb24
54,Derrick Chievous,SF,23,CLE,18,0,110,17,46,.370,0,0,0,17,46,.370,.370,9,16,.563,11,7,18,2,3,1,6,16,43,45ab4b93-c8f0-4099-b3f1-401dbd3d499c
55,Richard Coffey,SF,25,MIN,52,1,320,28,75,.373,0,1,.000,28,74,.378,.373,12,22,.545,42,37,79,3,6,4,5,45,68,359e5102-2552-4770-8543-475d1f90a62a
56,Derrick Coleman,PF,23,NJN,74,68,2602,514,1100,.467,13,38,.342,501,1062,.472,.473,323,442,.731,269,490,759,163,71,99,217,217,1364,84f062a1-ada6-4899-8ab9-260ce609bcc4
57,Bimbo Coles,PG,22,MIA,82,9,1355,162,393,.412,6,34,.176,156,359,.435,.420,71,95,.747,56,97,153,232,65,12,98,149,401,fd5ff25c-e06e-4109-86fd-aae79146ff69
58,Steve Colter,PG,28,SAC,19,0,251,23,56,.411,5,14,.357,18,42,.429,.455,7,10,.700,5,21,26,37,11,1,11,27,58,d71b1746-18c8-41d0-9600-5e917c1de305
59,Lester Conner,PG,31,TOT,74,4,1008,96,207,.464,0,5,.000,96,202,.475,.464,68,94,.723,21,91,112,165,85,2,58,75,260,c631fad3-b76e-4c0f-80d9-20fc46ad63fc
60,Anthony Cook,PF,23,DEN,58,25,1121,118,283,.417,0,3,.000,118,280,.421,.417,71,129,.550,134,192,326,26,35,72,50,100,307,345e97e7-03f5-4168-a59d-01b9de2df44f
61,Wayne Cooper,C,34,POR,67,1,746,57,145,.393,0,1,.000,57,144,.396,.393,33,42,.786,54,134,188,22,7,61,22,120,147,9903b5d5-364c-4ac7-be54-e5a3032f70d4
62,Tyrone Corbin,SF,28,MIN,82,82,3196,587,1311,.448,2,10,.200,585,1301,.450,.449,296,371,.798,185,404,589,347,162,53,209,257,1472,2333fb56-5711-47c8-88ac-873809c87028
63,Dave Corzine,C,34,SEA,28,0,147,17,38,.447,0,0,0,17,38,.447,.447,13,22,.591,10,23,33,4,5,5,2,18,47,ae508dac-686a-4903-bbf8-05dff439197a
64,Terry Cummings,PF,29,SAS,67,62,2195,503,1039,.484,7,33,.212,496,1006,.493,.487,164,240,.683,194,327,521,157,61,30,131,225,1177,7476bfee-7c7e-490c-89af-56e322a8df0a
65,Earl Cureton,PF,33,CHH,9,1,159,8,24,.333,0,1,.000,8,23,.348,.333,1,3,.333,6,30,36,3,0,3,6,16,17,c3a9340a-1afc-4075-bc8f-ff130868f529
66,Dell Curry,SG,26,CHH,76,14,1515,337,715,.471,32,86,.372,305,629,.485,.494,96,114,.842,47,152,199,166,75,25,80,125,802,68ff8943-d218-4539-8d43-74acf22d65d1
67,Quintin Dailey,SG,30,SEA,30,0,299,73,155,.471,0,1,.000,73,154,.474,.471,38,62,.613,11,21,32,16,7,1,19,25,184,436fab82-7f09-4651-9e2f-3ea1b5c98136
68,Brad Daugherty,C,25,CLE,76,76,2946,605,1155,.524,0,3,.000,605,1152,.525,.524,435,579,.751,177,653,830,253,74,46,211,191,1645,ae75e1f9-765b-4cde-afbc-b5e9f18e0a26
69,Brad Davis,PG,35,DAL,80,6,1426,159,373,.426,22,85,.259,137,288,.476,.456,91,118,.771,13,105,118,230,45,17,77,212,431,5db589cb-2c30-43ea-8dfc-252de15e758e
70,Terry Davis,PF,23,MIA,55,17,996,115,236,.487,1,2,.500,114,234,.487,.489,69,124,.556,107,159,266,39,18,28,36,129,300,b581d1d6-5751-48b3-8d66-ce5dce2c616d
71,Walter Davis,SG,36,TOT,71,14,1483,403,862,.468,11,36,.306,392,826,.475,.474,107,117,.915,71,110,181,125,80,3,88,150,924,fcae5e69-e8ca-4b4b-b198-6b51005a1015
72,Johnny Dawkins,PG,27,PHI,4,4,124,26,41,.634,1,4,.250,25,37,.676,.646,10,11,.909,0,16,16,28,3,0,8,4,63,4c8d9a38-4d02-4517-b24d-5c98bbee1701
73,James Donaldson,C,33,DAL,82,82,2800,327,615,.532,0,0,0,327,615,.532,.532,165,229,.721,201,526,727,69,34,93,146,181,819,1f888eca-a2ec-4d90-8ea3-7b0ab918c8fb
74,Sherman Douglas,PG,24,MIA,73,73,2562,532,1055,.504,4,31,.129,528,1024,.516,.506,284,414,.686,78,131,209,624,121,5,270,178,1352,218d1375-5118-43ab-97fa-7c1d1883ed3d
75,Greg Dreiling,C,28,IND,73,42,1031,98,194,.505,0,2,.000,98,192,.510,.505,63,105,.600,66,189,255,51,24,29,57,178,259,bed77961-496a-422e-b794-46b092193b96
76,Larry Drew,PG,32,LAL,48,2,496,54,125,.432,14,33,.424,40,92,.435,.488,17,22,.773,5,29,34,118,15,1,49,40,139,72edec7c-6f89-4687-a044-3f853b925b03
77,Kevin Duckworth,C,26,POR,81,81,2511,521,1084,.481,0,2,.000,521,1082,.482,.481,240,311,.772,177,354,531,89,33,34,186,251,1282,af5f0718-d3bf-453d-be32-650509490dab
78,Chris Dudley,C,25,NJN,61,25,1560,170,417,.408,0,0,0,170,417,.408,.408,94,176,.534,229,282,511,37,39,153,80,217,434,10207f22-6a09-46de-9e54-a6e20300ec6a
79,Ledell Eackles,SG,24,WSB,67,17,1616,345,762,.453,14,59,.237,331,703,.471,.462,164,222,.739,47,81,128,136,47,10,115,121,868,8af17132-e726-4bfa-a112-33f900a69e41
80,Mark Eaton,C,34,UTA,80,80,2580,169,292,.579,0,0,0,169,292,.579,.579,71,112,.634,182,485,667,51,39,188,99,298,409,9ab3221c-d730-4865-b102-c598d45d3962
81,Blue Edwards,SF,25,UTA,62,56,1611,244,464,.526,6,24,.250,238,440,.541,.532,82,117,.701,51,150,201,108,57,29,105,203,576,f026a9ba-ffb3-440f-b092-636e3a5a1b35
82,James Edwards,C,35,DET,72,70,1903,383,792,.484,1,2,.500,382,790,.484,.484,215,295,.729,91,186,277,65,12,30,126,249,982,98f3d511-9ff9-471e-b2fa-d45584a6244b
83,Kevin Edwards,SG,25,MIA,79,16,2000,380,927,.410,24,84,.286,356,843,.422,.423,171,213,.803,80,125,205,240,129,46,163,151,955,ffce6d7b-7508-4ad0-a470-5d55008cd3f7
84,Craig Ehlo,SG,29,CLE,82,68,2766,344,773,.445,49,149,.329,295,624,.473,.477,95,140,.679,142,246,388,376,121,34,160,209,832,795a4e74-2e82-4ca1-9a6c-7aca4be004de
85,Mario Elie,SF-SG,27,TOT,33,0,644,79,159,.497,4,10,.400,75,149,.503,.509,75,89,.843,46,64,110,45,19,10,30,85,237,9a34fe53-7775-4472-9659-9d49bf9ef336
86,Sean Elliott,SF,22,SAS,82,82,3044,478,976,.490,20,64,.313,458,912,.502,.500,325,402,.808,142,314,456,238,69,33,147,190,1301,06ab8ae4-e8f3-4b6b-a216-4187e8ac6dc0
87,Dale Ellis,SG,30,TOT,51,24,1424,340,718,.474,57,157,.363,283,561,.504,.513,120,166,.723,66,107,173,95,49,8,81,112,857,3deebb20-3308-404d-be67-ab1e32b18cba
88,Pervis Ellison,C,23,WSB,76,30,1942,326,636,.513,0,6,.000,326,630,.517,.513,139,214,.650,224,361,585,102,49,157,146,268,791,beb4ab73-9da9-4e40-900e-ec9b2bccc4fe
89,A.J. English,SG,23,WSB,70,12,1443,251,572,.439,3,31,.097,248,541,.458,.441,111,157,.707,66,81,147,177,25,15,114,127,616,2d3affde-1298-42d0-a296-21df41b6c953
90,Dave Feitl,C,28,HOU,52,2,372,52,140,.371,0,3,.000,52,137,.380,.371,33,44,.750,29,71,100,8,3,12,25,52,137,cf972ff1-f283-41f4-8f79-7a54ea7cd1ac
91,Duane Ferrell,SF,25,ATL,78,2,1165,174,356,.489,2,3,.667,172,353,.487,.492,125,156,.801,97,82,179,55,33,27,78,151,475,308acad5-bd68-424c-b2f0-7260659c1773
92,Danny Ferry,PF,24,CLE,81,2,1661,275,643,.428,23,77,.299,252,566,.445,.446,124,152,.816,99,187,286,142,43,25,120,230,697,4d2819b0-30c9-40f3-af49-4b950b0fad78
93,Vern Fleming,PG,28,IND,69,45,1929,356,671,.531,4,18,.222,352,653,.539,.534,161,221,.729,83,131,214,369,76,13,137,116,877,87de7da8-d598-458b-8196-5bcfcd5dd7aa
94,Sleepy Floyd,PG,30,HOU,82,4,1850,386,939,.411,48,176,.273,338,763,.443,.437,185,246,.752,52,107,159,317,95,17,140,122,1005,b8779d84-bd9d-4bbc-ad26-1867a915af4d
95,Greg Foster,PF,22,WSB,54,3,606,97,211,.460,0,5,.000,97,206,.471,.460,42,61,.689,52,99,151,37,12,22,45,112,236,4aefed22-7753-4c9e-82a7-29c16f1d18e7
96,Anthony Frederick,SF,26,SAC,35,3,475,67,168,.399,0,0,0,67,168,.399,.399,43,60,.717,36,48,84,44,22,13,40,50,177,3f58595d-17e7-4ce0-969e-775a647552e2
97,Corey Gaines,SG,25,DEN,10,2,226,28,70,.400,5,21,.238,23,49,.469,.436,22,26,.846,4,10,14,91,10,2,23,25,83,ec452d13-9f15-437a-be01-4f788541e634
98,Kevin Gamble,SF,25,BOS,82,76,2706,548,933,.587,0,7,.000,548,926,.592,.587,185,227,.815,85,182,267,256,100,34,148,237,1281,9a2469a9-1262-4c2a-85da-acc7a3e487f6
99,Winston Garland,PG,26,LAC,69,26,1702,221,519,.426,4,26,.154,217,493,.440,.430,118,157,.752,46,152,198,317,97,10,116,189,564,72bf659e-ff8b-4138-a053-4675d57ea4c9
100,Tom Garrick,SG,24,LAC,67,0,949,100,236,.424,0,22,.000,100,214,.467,.424,60,79,.759,40,87,127,223,62,2,66,101,260,c552d8f3-3f77-4700-97cf-19be6c0e76a9
101,Kenny Gattison,PF,26,CHH,72,6,1552,243,457,.532,0,2,.000,243,455,.534,.532,164,248,.661,136,243,379,44,48,67,102,211,650,a0e09383-e925-41b8-947d-4c371faa790a
102,Tate George,PG,22,NJN,56,11,594,80,193,.415,0,2,.000,80,191,.419,.415,32,40,.800,19,28,47,104,25,5,42,58,192,102a8d8a-f341-41c3-8671-784aafbf6461
103,Derrick Gervin,PF,27,NJN,56,4,743,164,394,.416,7,28,.250,157,366,.429,.425,90,114,.789,40,70,110,30,19,19,45,88,425,ee9f19d3-e888-4fed-b738-1e03aa07b832
104,Kendall Gill,SG,22,CHH,82,36,1944,376,836,.450,2,14,.143,374,822,.455,.451,152,182,.835,105,158,263,303,104,39,163,186,906,407a01e1-fcba-465f-a46b-45e370abce7b
105,Armen Gilliam,PF,26,TOT,75,75,2644,487,1001,.487,0,2,.000,487,999,.487,.487,268,329,.815,220,378,598,105,69,53,174,185,1242,e73fbea9-98a7-4a49-89f5-e8363da5622f
106,Gerald Glass,SF,23,MIN,51,3,606,149,340,.438,2,17,.118,147,323,.455,.441,52,76,.684,54,48,102,42,28,9,41,76,352,2d04d746-82ab-4dcd-b3c7-173345ca79a1
107,Mike Gminski,C,31,TOT,80,79,2196,357,808,.442,2,14,.143,355,794,.447,.443,128,158,.810,186,396,582,93,40,56,85,99,844,449eb029-7173-450e-80ef-936afe988bdc
108,Dan Godfread,C,23,MIN,10,0,20,5,12,.417,0,1,.000,5,11,.455,.417,3,4,.750,0,2,2,0,1,4,0,5,13,c6de52c7-0802-4d49-9df8-3988b8ad5af0
109,Jim Grandholm,PF,30,DAL,26,0,168,30,58,.517,9,17,.529,21,41,.512,.595,10,21,.476,20,30,50,8,2,8,11,33,79,ebc81694-fd27-4601-a963-b5fcd12a51c2
110,Gary Grant,PG,25,LAC,68,65,2105,265,587,.451,9,39,.231,256,548,.467,.459,51,74,.689,69,140,209,587,103,12,210,192,590,0ad85d16-2bf0-4ad4-9809-fd9959229831
111,Greg Grant,PG,24,NYK,22,0,107,10,27,.370,1,3,.333,9,24,.375,.389,5,6,.833,1,9,10,20,9,0,10,12,26,c70f1de1-b1f6-41c7-9dfe-1d52947dd91c
112,Harvey Grant,PF,25,WSB,77,76,2842,609,1224,.498,2,15,.133,607,1209,.502,.498,185,249,.743,179,378,557,204,91,61,125,232,1405,b1541b02-0faa-4590-a956-14639b4bb35b
113,Horace Grant,PF,25,CHI,78,76,2641,401,733,.547,1,6,.167,400,727,.550,.548,197,277,.711,266,393,659,178,95,69,92,203,1000,c856ad79-88c6-4ea2-8901-b9a394638941
114,Stuart Gray,C,27,NYK,8,0,37,4,12,.333,0,0,0,4,12,.333,.333,3,3,1.000,2,8,10,0,0,1,2,6,11,8841c28b-078b-42b2-a29f-4e36e461d8b3
115,Jeff Grayer,SG,25,MIL,82,7,1422,210,485,.433,0,3,.000,210,482,.436,.433,101,147,.687,111,135,246,123,48,9,86,98,521,3c9908a9-6f70-4dcc-b1b2-380568c02995
116,A.C. Green,PF,27,LAL,82,21,2164,258,542,.476,11,55,.200,247,487,.507,.486,223,302,.738,201,315,516,71,59,23,99,117,750,282c77d5-61ed-40e2-b715-9e65b65ce2e7
117,Rickey Green,PG,36,PHI,79,75,2248,334,722,.463,8,36,.222,326,686,.475,.468,117,141,.830,33,104,137,413,57,6,108,130,793,e513ab54-c9fc-4702-a317-e29837c36656
118,Sidney Green,PF,30,SAS,66,7,1099,177,384,.461,0,3,.000,177,381,.465,.461,89,105,.848,98,215,313,52,32,13,89,172,443,65ef29b6-8b82-4d01-80fc-6b3047ec4d70
119,Dave Greenwood,PF,33,SAS,63,11,1018,85,169,.503,0,2,.000,85,167,.509,.503,69,94,.734,61,160,221,52,29,25,71,172,239,99b1aedc-c70b-4895-b800-b7045b3179e9
120,Darrell Griffith,SG,32,UTA,75,2,1005,174,445,.391,48,138,.348,126,307,.410,.445,34,45,.756,17,73,90,37,42,7,48,100,430,6c5aaf52-8382-4f30-b9ea-0ecce7a66a40
121,Scott Haffner,PG,24,CHH,7,0,50,8,21,.381,0,2,.000,8,19,.421,.381,1,2,.500,2,2,4,9,3,1,4,4,17,8837540a-599c-4a50-ae0c-6a8e046a95b5
122,Jack Haley,PF,27,NJN,78,18,1178,161,343,.469,0,0,0,161,343,.469,.469,112,181,.619,140,216,356,31,20,21,63,199,434,49d90c64-77cf-4dee-8ef7-b7424bab39d0
123,Tom Hammonds,PF,23,WSB,70,7,1023,155,336,.461,0,4,.000,155,332,.467,.461,57,79,.722,58,148,206,43,15,7,54,108,367,73194f9b-0223-4aa1-9dbf-aa271de69fa2
124,Bob Hansen,SG,30,SAC,36,24,811,96,256,.375,19,69,.275,77,187,.412,.412,18,36,.500,33,63,96,90,20,5,34,72,229,97d9b7c3-f2eb-4322-b672-f1cd33b6575c
125,Derek Harper,PG,29,DAL,77,77,2879,572,1226,.467,89,246,.362,483,980,.493,.503,286,391,.731,59,174,233,548,147,14,177,222,1519,1ef98410-15ed-4d8e-a7d9-f38c407cbd5b
126,Ron Harper,SG,27,LAC,39,34,1383,285,729,.391,48,148,.324,237,581,.408,.424,145,217,.668,58,130,188,209,66,35,129,111,763,d3d39f73-8478-45bf-8684-556942385b82
127,Tony Harris,SG,23,PHI,6,0,41,4,16,.250,0,2,.000,4,14,.286,.250,2,4,.500,0,1,1,0,1,0,3,5,10,a0f0fcf2-290e-434a-88c8-72c7bc1f82fd
128,Scott Hastings,PF,30,DET,27,0,113,16,28,.571,3,4,.750,13,24,.542,.625,13,13,1.000,14,14,28,7,0,0,7,23,48,dbb6e78f-b510-4847-8fe7-c083bf355889
129,Hersey Hawkins,SG,24,PHI,80,80,3110,590,1251,.472,108,270,.400,482,981,.491,.515,479,550,.871,48,262,310,299,178,39,213,182,1767,10fb12d4-0deb-4d01-a77a-703193cdc512
130,Gerald Henderson,PG,35,DET,23,10,392,50,117,.427,7,21,.333,43,96,.448,.457,16,21,.762,8,29,37,62,12,2,28,43,123,7540988a-e9b3-4b53-8e4f-82434a729b19
131,Steve Henson,PG,22,MIL,68,0,690,79,189,.418,18,54,.333,61,135,.452,.466,38,42,.905,14,37,51,131,32,0,43,83,214,5c8a84be-b88b-4897-8aba-42a9b1cedf14
132,Rod Higgins,SF,31,GSW,82,9,2024,259,559,.463,73,220,.332,186,339,.549,.529,185,226,.819,109,245,354,113,52,37,65,198,776,829b846e-246a-48b7-99bc-f6094deab2b6
133,Sean Higgins,SF,22,SAS,50,0,464,97,212,.458,3,19,.158,94,193,.487,.465,28,33,.848,18,45,63,35,8,1,49,53,225,d03a18d0-6b7d-4f4e-b77c-d057d51facbc
134,Tyrone Hill,PF,22,GSW,74,22,1192,147,299,.492,0,0,0,147,299,.492,.492,96,152,.632,157,226,383,19,33,30,72,264,390,797fa251-57d3-4319-b3ab-1534229fc5e5
