,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Alaa Abdelnaby,PF,23,POR,71,1,934,178,361,0.493,0,0,0.0,178,361,0.493,0.493,76,101,0.752,81,179,260,30,25,16,66,132,432,a8027f37-8e2f-4c83-98eb-3ccfeea00c2a,1991
1,Mahmoud Abdul-Rauf,PG,22,DEN,81,11,1538,356,845,0.421,31,94,0.33,325,751,0.433,0.44,94,108,0.87,22,92,114,192,44,4,117,130,837,9439df8b-3c02-4808-aed0-dcbba833f300,1991
2,Mark Acres,C,29,ORL,68,6,926,78,151,0.517,1,3,0.333,77,148,0.52,0.52,51,67,0.761,97,155,252,22,25,15,33,140,208,ebcb97a8-f344-48c5-9ffa-5b2fd49749d5,1991
3,Michael Adams,PG,29,WSB,78,78,2795,485,1233,0.393,125,386,0.324,360,847,0.425,0.444,313,360,0.869,58,252,310,594,145,9,212,162,1408,7a27af86-990b-401a-bfab-7d78e223fba1,1991
4,Rafael Addison,SF,27,NJN,76,8,1175,187,432,0.433,14,49,0.286,173,383,0.452,0.449,56,76,0.737,65,100,165,68,28,28,46,109,444,1a725fb8-ee1a-4174-8212-c8c0bc2c39bb,1991
5,Mark Aguirre,SF,32,DET,75,12,1582,339,787,0.431,15,71,0.211,324,716,0.453,0.44,158,230,0.687,67,169,236,126,51,11,105,171,851,9c611bfc-ec47-4d2d-a45e-266ec524f542,1991
6,Danny Ainge,SG,32,POR,81,6,1595,299,676,0.442,78,230,0.339,221,446,0.496,0.5,108,131,0.824,40,108,148,202,73,13,70,148,784,de30c2ee-ec9d-4042-be54-f406cc621efb,1991
7,Victor Alexander,C,22,GSW,80,28,1350,243,459,0.529,0,1,0.0,243,458,0.531,0.529,103,149,0.691,106,230,336,32,45,62,91,176,589,e1bd51b7-0428-40c5-bfd1-fc980efd7daf,1991
8,Greg Anderson,PF,27,DEN,82,82,2793,389,854,0.456,0,4,0.0,389,850,0.458,0.456,167,268,0.623,337,604,941,78,88,65,201,263,945,c0aa6acc-533b-4e61-94ec-57a15835ecb5,1991
9,Kenny Anderson,PG,21,NJN,64,13,1086,187,480,0.39,3,13,0.231,184,467,0.394,0.393,73,98,0.745,38,89,127,203,67,9,97,68,450,a8644ea2-3e28-4207-98be-fda50363c248,1991
10,Nick Anderson,SG,24,ORL,60,59,2203,482,1042,0.463,30,85,0.353,452,957,0.472,0.477,202,303,0.667,98,286,384,163,97,33,126,132,1196,bb214207-755d-4c90-9f69-637609f05ee6,1991
