,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Shareef Abdur-Rahim,PF,27,TOT,85,56,2684,501,1054,0.475,9,34,0.265,492,1020,0.482,0.48,373,429,0.869,189,450,639,174,68,37,184,222,1384,fe3dd58a-1354-44f3-8d09-e6c39cb1cca5,2003
1,Malik Allen,PF,25,MIA,45,6,616,83,198,0.419,0,0,0.0,83,198,0.419,0.419,25,33,0.758,42,77,119,16,12,28,27,81,191,6c881a9f-326a-4c7c-8b77-64040bbf30b8,2003
2,Rafer Alston,PG,27,MIA,82,28,2581,287,764,0.376,161,434,0.371,126,330,0.382,0.481,103,134,0.769,26,200,226,372,114,18,128,212,838,ee905b13-ef4f-4bb4-9dd7-a8bf290c289a,2003
3,Chris Andersen,PF,25,DEN,71,0,1029,90,203,0.443,0,1,0.0,90,202,0.446,0.443,63,107,0.589,89,209,298,35,34,114,48,119,243,1c7a2c3b-e319-4c55-9294-2550d654cf28,2003
4,Derek Anderson,SG,29,POR,51,46,1810,230,612,0.376,79,259,0.305,151,353,0.428,0.44,155,188,0.824,26,156,182,228,66,3,90,79,694,bf77e8c7-0dcd-4d9f-b189-9d1ad588d259,2003
5,Kenny Anderson,PG,33,IND,44,31,905,113,256,0.441,1,4,0.25,112,252,0.444,0.443,35,48,0.729,19,62,81,125,26,5,50,73,262,a8644ea2-3e28-4207-98be-fda50363c248,2003
6,Shandon Anderson,SG,30,NYK,80,37,1974,238,564,0.422,36,128,0.281,202,436,0.463,0.454,123,161,0.764,53,169,222,122,68,17,118,182,635,40966e4d-7253-436a-a7f9-3fb958f92711,2003
7,Carmelo Anthony,SF,19,DEN,82,82,2995,624,1465,0.426,69,214,0.322,555,1251,0.444,0.449,408,525,0.777,183,315,498,227,97,41,247,225,1725,5aba723b-d598-4f57-ad9d-66759ddbc5bf,2003
8,Robert Archibald,C-PF,23,TOT,32,3,256,9,33,0.273,0,0,0.0,9,33,0.273,0.273,14,31,0.452,21,31,52,13,14,3,10,50,32,8524ceb0-ca4f-478b-bf9b-ef86b574d810,2003
9,Gilbert Arenas,PG,22,WAS,55,52,2066,358,914,0.392,125,333,0.375,233,581,0.401,0.46,237,317,0.748,55,199,254,275,103,12,226,176,1078,0a21b475-e840-4031-9c72-7b32c63c3721,2003
