,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Alaa Abdelnaby,PF,24,TOT,75,52,1311,245,473,0.518,0,1,0.0,245,472,0.519,0.518,88,116,0.759,126,211,337,27,25,26,97,189,578,a8027f37-8e2f-4c83-98eb-3ccfeea00c2a,1992
1,Mahmoud Abdul-Rauf,PG,23,DEN,81,81,2710,633,1407,0.45,70,197,0.355,563,1210,0.465,0.475,217,232,0.935,51,174,225,344,84,8,187,179,1553,9439df8b-3c02-4808-aed0-dcbba833f300,1992
2,Mark Acres,C,30,TOT,18,7,269,26,49,0.531,1,2,0.5,25,47,0.532,0.541,11,16,0.688,26,41,67,5,3,6,13,34,64,ebcb97a8-f344-48c5-9ffa-5b2fd49749d5,1992
3,Michael Adams,PG,30,WSB,70,70,2499,365,831,0.439,68,212,0.321,297,619,0.48,0.48,237,277,0.856,52,188,240,526,100,4,175,146,1035,7a27af86-990b-401a-bfab-7d78e223fba1,1992
4,Rafael Addison,SF,28,NJN,68,15,1164,182,411,0.443,7,34,0.206,175,377,0.464,0.451,57,70,0.814,45,87,132,53,23,11,64,125,428,1a725fb8-ee1a-4174-8212-c8c0bc2c39bb,1992
5,Mark Aguirre,SF,33,DET,51,15,1056,187,422,0.443,30,83,0.361,157,339,0.463,0.479,99,129,0.767,43,109,152,105,16,7,68,101,503,9c611bfc-ec47-4d2d-a45e-266ec524f542,1992
6,Danny Ainge,SG,33,PHO,80,0,2163,337,730,0.462,150,372,0.403,187,358,0.522,0.564,123,145,0.848,49,165,214,260,69,8,113,175,947,de30c2ee-ec9d-4042-be54-f406cc621efb,1992
7,Victor Alexander,C,23,GSW,72,59,1753,344,667,0.516,10,22,0.455,334,645,0.518,0.523,111,162,0.685,132,288,420,93,34,53,120,218,809,e1bd51b7-0428-40c5-bfd1-fc980efd7daf,1992
8,Eric Anderson,PF,22,NYK,16,0,44,5,18,0.278,0,0,0.0,5,18,0.278,0.278,11,13,0.846,6,8,14,3,3,1,5,14,21,65f61ae2-4ebf-41c4-8705-99bfe16d1f21,1992
9,Kenny Anderson,PG,22,NJN,55,55,2010,370,850,0.435,7,25,0.28,363,825,0.44,0.439,180,232,0.776,51,175,226,449,96,11,153,140,927,a8644ea2-3e28-4207-98be-fda50363c248,1992
10,Nick Anderson,SG,25,ORL,79,76,2920,594,1324,0.449,88,249,0.353,506,1075,0.471,0.482,298,402,0.741,122,355,477,265,128,56,164,200,1574,bb214207-755d-4c90-9f69-637609f05ee6,1992
