,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid
0,Mahmoud Abdul-Rauf,PG,26,DEN,57,53,2029,414,955,.434,121,309,.392,293,646,.454,.497,146,157,.930,26,112,138,389,64,3,115,117,1095,9439df8b-3c02-4808-aed0-dcbba833f300
1,Michael Adams,PG,33,CHH,21,3,329,37,83,.446,14,41,.341,23,42,.548,.530,26,35,.743,5,17,22,67,21,4,25,25,114,7a27af86-990b-401a-bfab-7d78e223fba1
2,Rafael Addison,SF,31,CHH,53,0,516,77,165,.467,0,9,.000,77,156,.494,.467,17,22,.773,25,65,90,30,9,9,27,74,171,1a725fb8-ee1a-4174-8212-c8c0bc2c39bb
3,Cory Alexander,PG,22,SAS,60,0,560,63,155,.406,26,66,.394,37,89,.416,.490,16,25,.640,9,33,42,121,27,2,68,94,168,aec90717-ab44-4cfe-afb6-0feb8b6f9362
4,Jerome Allen,SG,23,MIN,41,0,362,36,105,.343,10,33,.303,26,72,.361,.390,26,36,.722,5,20,25,49,21,5,34,42,108,880eb553-10cf-4acf-b308-bcc49cf075ff
5,John Amaechi,PF,25,CLE,28,3,357,29,70,.414,0,0,0,29,70,.414,.414,19,33,.576,13,39,52,9,6,11,34,49,77,33fb43be-e9b7-43f0-a960-ee773fb19541
6,Ashraf Amaya,PF,24,VAN,54,34,1104,121,252,.480,0,1,.000,121,251,.482,.480,97,149,.651,114,189,303,33,22,10,57,151,339,915d2fea-4f3b-40cc-a33b-263e61582408
7,Greg Anderson,PF,31,SAS,46,7,344,24,47,.511,0,1,.000,24,46,.522,.511,6,25,.240,29,71,100,10,9,24,22,66,54,c0aa6acc-533b-4e61-94ec-57a15835ecb5
8,Kenny Anderson,PG,25,TOT,69,64,2344,349,834,.418,92,256,.359,257,578,.445,.474,260,338,.769,63,140,203,575,111,14,146,178,1050,a8644ea2-3e28-4207-98be-fda50363c248
9,Nick Anderson,SG,28,ORL,77,77,2717,400,904,.442,168,430,.391,232,474,.489,.535,166,240,.692,92,323,415,279,121,46,141,135,1134,bb214207-755d-4c90-9f69-637609f05ee6
10,Willie Anderson,SG,29,TOT,76,44,2060,288,660,.436,34,120,.283,254,540,.470,.462,132,163,.810,48,198,246,197,75,59,143,230,742,7065a6f9-3b58-4bb6-8b96-22d64d43b65f
11,Greg Anthony,PG,28,VAN,69,68,2096,324,781,.415,90,271,.332,234,510,.459,.472,229,297,.771,29,145,174,476,116,11,160,137,967,c9961f2c-2cd0-42ee-80bb-9553fc139f92
12,Darrell Armstrong,PG,27,ORL,13,0,41,16,32,.500,6,12,.500,10,20,.500,.594,4,4,1.000,0,2,2,5,6,0,6,4,42,5aa77a64-ab4b-462e-9bff-6f7f798a9c9b
13,Vincent Askew,SG,29,SEA,69,2,1725,215,436,.493,29,86,.337,186,350,.531,.526,123,161,.764,65,153,218,163,47,15,96,178,582,e35ff4d6-413d-4381-877f-1b90369097a5
14,Keith Askins,SF,28,MIA,75,14,1897,157,391,.402,99,237,.418,58,154,.377,.528,45,57,.789,113,211,324,121,48,61,82,271,458,54733ba6-21b8-4e27-8c0b-f3f94946d755
15,Stacey Augmon,SF,27,ATL,77,49,2294,362,738,.491,1,4,.250,361,734,.492,.491,251,317,.792,137,167,304,137,106,31,138,188,976,5a3e9fd3-c9fe-4c9f-ad4f-e9b2e05ad6c0
16,Anthony Avent,PF,26,VAN,71,32,1586,179,466,.384,0,0,0,179,466,.384,.384,57,77,.740,108,247,355,69,30,42,107,202,415,d62b1577-07a9-43a8-9948-3a64c698baaa
17,Vin Baker,PF,24,MIL,82,82,3319,699,1429,.489,10,48,.208,689,1381,.499,.493,321,479,.670,263,545,808,212,68,91,216,272,1729,1da96cf4-65ef-4467-a93a-08c14791d904
18,Steve Bardo,SG,27,DET,9,0,123,9,23,.391,0,4,.000,9,19,.474,.391,4,6,.667,2,20,22,15,4,1,5,17,22,6044dd8a-d398-4a44-8729-5e6a6308b44f
19,Dana Barros,PG,28,BOS,80,25,2328,379,806,.470,150,368,.408,229,438,.523,.563,130,147,.884,21,171,192,306,58,3,120,116,1038,d1acce80-d01a-443f-b39b-cc9e4819ba09
20,Brent Barry,SG,24,LAC,79,44,1898,283,597,.474,123,296,.416,160,301,.532,.577,111,137,.810,38,130,168,230,95,22,120,196,800,b6e16b6a-99e8-47d8-a974-c877ee4e79fb
21,Jon Barry,SG,26,GSW,68,0,712,91,185,.492,44,93,.473,47,92,.511,.611,31,37,.838,17,46,63,85,33,11,42,51,257,7c58917c-b227-40f1-8c47-f9b4ae4e064a
22,Corey Beck,PG,24,CHH,5,0,33,2,8,.250,0,0,0,2,8,.250,.250,1,2,.500,3,4,7,5,1,0,4,8,5,023cff1f-dd34-4061-b678-936242f22830
23,Benoit Benjamin,C,31,TOT,83,71,1896,294,590,.498,0,3,.000,294,587,.501,.498,140,194,.722,141,398,539,64,45,85,144,224,728,9d99d986-a894-42ca-a06f-459fff16e566
24,Elmer Bennett,PG,25,PHI,8,0,66,4,17,.235,0,0,0,4,17,.235,.235,3,4,.750,1,4,5,8,1,1,7,6,11,6c2a1436-d6b5-4cd1-9a89-0f6e4d26ca14
25,Mario Bennett,SF,22,PHO,19,14,230,29,64,.453,0,1,.000,29,63,.460,.453,27,42,.643,21,28,49,6,11,11,11,46,85,5099a426-20e3-4b33-b18c-b997b76dd015
26,David Benoit,SF,27,UTA,81,63,1961,255,581,.439,64,192,.333,191,389,.491,.494,87,112,.777,90,293,383,82,43,49,71,166,661,e865af81-205e-4dec-b397-85148288bf2c
27,Travis Best,PG,23,IND,59,1,571,69,163,.423,8,25,.320,61,138,.442,.448,75,90,.833,11,33,44,97,20,3,63,80,221,3ec1ea0a-2143-4dd4-a0d7-7341b59a4414
28,Mookie Blaylock,PG,28,ATL,81,81,2893,455,1123,.405,231,623,.371,224,500,.448,.508,127,170,.747,110,222,332,478,212,17,188,151,1268,cec2d617-bfcd-42bb-904f-d87cf5e681c7
29,Corie Blount,PF,27,LAL,57,2,715,79,167,.473,0,2,.000,79,165,.479,.473,25,44,.568,69,101,170,42,25,35,47,109,183,9bdb8d47-1db7-4695-8984-ef6cd2f297f3
30,Muggsy Bogues,PG,31,CHH,6,0,77,6,16,.375,0,1,.000,6,15,.400,.375,2,2,1.000,6,1,7,19,2,0,6,4,14,81605265-5852-4aac-9fcc-d5a55f617479
31,Anthony Bonner,PF,27,ORL,4,0,43,5,15,.333,0,0,0,5,15,.333,.333,3,7,.429,6,13,19,4,3,0,3,11,13,8f6e2aeb-76e1-4186-847f-deefa294b5fc
32,Anthony Bowie,SG,32,ORL,74,4,1078,128,272,.471,12,31,.387,116,241,.481,.493,40,46,.870,40,83,123,105,34,10,55,112,308,de3021e1-46e5-48d4-8e56-d1ef5fb57465
33,Donnie Boyce,SG,22,ATL,8,0,41,9,23,.391,4,8,.500,5,15,.333,.478,2,4,.500,5,5,10,3,3,1,6,2,24,cf3299d8-8b44-48a1-bd5b-14607475c7e6
34,Shawn Bradley,C,23,TOT,79,68,2329,387,873,.443,1,4,.250,386,869,.444,.444,169,246,.687,221,417,638,63,49,288,179,286,944,4fd85cd0-21f4-4af3-81f0-ef44ab854177
35,Marques Bragg,PF,25,MIN,53,0,369,54,120,.450,0,0,0,54,120,.450,.450,23,41,.561,38,41,79,8,17,8,26,71,131,791054a9-dc51-4ce7-b31d-ed50daa8f391
36,Terrell Brandon,PG,25,CLE,75,75,2570,510,1096,.465,91,235,.387,419,861,.487,.507,338,381,.887,47,201,248,487,132,33,142,146,1449,823fab52-6900-49dc-84a3-9402c2c86964
37,Tim Breaux,SF,25,HOU,54,4,570,59,161,.366,15,46,.326,44,115,.383,.413,28,45,.622,22,38,60,24,11,8,30,42,161,0f16fde4-2122-4731-8d67-c6127476f78c
38,Frank Brickowski,C,36,SEA,63,8,986,123,252,.488,32,79,.405,91,173,.526,.552,61,86,.709,26,125,151,58,26,8,78,185,339,e2011308-25ca-48c8-bc1d-457254a4315a
39,Scott Brooks,PG,30,DAL,69,0,716,134,293,.457,25,62,.403,109,231,.472,.500,59,69,.855,11,30,41,100,42,3,43,53,352,806c8dd0-54e2-4473-a635-f5003b31a7dd
40,Chucky Brown,PF,27,HOU,82,82,2019,300,555,.541,1,8,.125,299,547,.547,.541,104,150,.693,134,307,441,89,47,38,94,163,705,8c9b0d6c-9002-479b-837d-7e0205884c09
41,Dee Brown,PG,27,BOS,65,23,1591,246,616,.399,68,220,.309,178,396,.449,.455,135,158,.854,36,100,136,146,80,12,74,119,695,f3409c41-8f7a-451e-8e19-5db262e1f39e
42,Mike Brown,C,32,PHI,9,1,162,9,16,.563,0,0,0,9,16,.563,.563,8,17,.471,14,23,37,3,3,2,6,24,26,2fb24726-79a1-4ec0-9fe8-7fbf2e15fbb5
43,Randy Brown,PG,27,CHI,68,0,671,78,192,.406,1,11,.091,77,181,.425,.409,28,46,.609,17,49,66,73,57,12,31,88,185,8f36f9da-c300-43d1-ac60-8fca68c80007
44,Mark Bryant,PF,30,HOU,71,9,1587,242,446,.543,0,2,.000,242,444,.545,.543,127,177,.718,131,220,351,52,31,19,85,234,611,76198ed3-74d2-496b-8f73-36b57a74c3ae
45,Jud Buechler,SF,27,CHI,74,0,740,112,242,.463,40,90,.444,72,152,.474,.545,14,22,.636,45,66,111,56,34,7,39,70,278,5cc0522a-92c2-4b12-a9ff-963e2840c135
46,Matt Bullard,PF,28,ATL,46,0,460,66,162,.407,26,72,.361,40,90,.444,.488,16,20,.800,18,42,60,18,17,11,24,50,174,3154c4f2-02b4-4e45-b006-309b7b40279d
47,Scott Burrell,SF,25,CHH,20,20,693,92,206,.447,37,98,.378,55,108,.509,.536,42,56,.750,26,72,98,47,27,13,43,76,263,d59bee5e-7d0b-40f3-86e4-861692cd6840
48,Junior Burrough,PF,23,BOS,61,3,495,64,170,.376,0,0,0,64,170,.376,.376,61,93,.656,45,64,109,15,15,10,40,74,189,b6ce2667-27db-40fc-a25f-c1bf620ba8f0
49,Mitchell Butler,SG,25,WSB,61,3,858,88,229,.384,13,60,.217,75,169,.444,.413,48,83,.578,29,89,118,67,41,12,67,104,237,10656c23-5d8d-45a5-bdb6-887f2b7b60de
50,Jason Caffey,PF,22,CHI,57,0,545,71,162,.438,0,1,.000,71,161,.441,.438,40,68,.588,51,60,111,24,12,7,48,91,182,e71d6909-99db-44b2-bb7f-b911f4d418a0
51,Michael Cage,C,34,CLE,82,80,2631,220,396,.556,0,1,.000,220,395,.557,.556,50,92,.543,288,441,729,53,87,79,54,215,490,a2c39711-5176-4727-ac4b-d4f600d81bfb
52,Adrian Caldwell,PF,29,IND,51,1,327,46,83,.554,0,0,0,46,83,.554,.554,18,36,.500,42,68,110,6,9,5,35,73,110,ff7ef569-668d-4cb5-ad34-e21efa11eeca
53,Elden Campbell,PF,27,LAL,82,82,2699,447,888,.503,0,5,.000,447,883,.506,.503,249,349,.713,162,461,623,181,88,212,137,300,1143,b2c688d6-6b67-46d0-ab35-32d0fda30e13
54,Antoine Carr,SF,34,UTA,80,0,1532,233,510,.457,0,3,.000,233,507,.460,.457,114,144,.792,71,129,200,74,28,65,78,254,580,bef418b3-f88a-4c46-ba60-0fa32a75f6f7
55,Chris Carr,SG,21,PHO,60,10,590,90,217,.415,11,42,.262,79,175,.451,.440,49,60,.817,27,75,102,43,10,5,40,77,240,d7925d9d-d53a-4a16-94a5-98af66819f26
56,Sam Cassell,PG,26,HOU,61,0,1682,289,658,.439,73,210,.348,216,448,.482,.495,235,285,.825,51,137,188,278,53,4,157,166,886,25693f41-b7e7-4c94-ae69-db2e7017f40b
57,Duane Causwell,C,27,SAC,73,26,1044,90,216,.417,0,1,.000,90,215,.419,.417,70,96,.729,86,162,248,20,27,78,53,173,250,1cc08ed4-3d76-4378-8b20-6f4ca12f5cc1
58,Cedric Ceballos,SF,26,LAL,78,71,2628,638,1203,.530,51,184,.277,587,1019,.576,.552,329,409,.804,215,321,536,119,94,22,167,144,1656,b2b1330d-bc6c-4322-b539-ee859f77fd1a
59,Rex Chapman,SG,28,MIA,56,50,1865,289,679,.426,125,337,.371,164,342,.480,.518,83,113,.735,22,123,145,166,45,10,79,117,786,de00f059-54ba-4734-986e-86718200eb24
60,Calbert Cheaney,SF,24,WSB,70,70,2324,426,905,.471,52,154,.338,374,751,.498,.499,151,214,.706,67,172,239,154,67,18,129,205,1055,6bc29daa-df77-4706-8801-5090651a68d4
