,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Jeff Adrien,PF,25,HOU,8,0,63,7,16,0.438,0,0,0.0,7,16,0.438,0.438,7,12,0.583,5,17,22,1,0,2,2,13,21,85c658a1-dc55-4351-99b4-45d3f2dd5401,2011
1,Arron Afflalo,SG,26,DEN,62,62,2086,329,699,0.471,88,221,0.398,241,478,0.504,0.534,197,247,0.798,40,157,197,149,36,13,85,134,943,ec6bea36-d8d2-44de-a5ec-2744c582ed2a,2011
2,Blake Ahearn,PG,27,UTA,4,0,30,4,14,0.286,2,9,0.222,2,5,0.4,0.357,0,0,0.0,0,2,2,1,0,0,5,4,10,9959c95a-7452-411f-a0c8-42daba732431,2011
3,Solomon Alabi,C,23,TOR,14,0,122,13,36,0.361,0,0,0.0,13,36,0.361,0.361,7,8,0.875,15,32,47,3,2,9,5,11,33,0242e487-33df-4afd-8ec1-adc766e5153f,2011
4,Cole Aldrich,C,23,OKC,26,0,173,22,42,0.524,0,0,0.0,22,42,0.524,0.524,13,14,0.929,13,35,48,3,8,16,9,22,57,3ff71c2e-5c34-4fea-9397-4b388c369ace,2011
5,LaMarcus Aldridge,PF,26,POR,55,55,1994,483,943,0.512,2,11,0.182,481,932,0.516,0.513,223,274,0.814,150,292,442,134,51,45,111,153,1191,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,2011
6,Lavoy Allen,PF,22,PHI,41,15,624,79,167,0.473,0,0,0.0,79,167,0.473,0.473,11,14,0.786,47,124,171,34,13,18,20,73,169,255d5c9d-b8a6-4464-8953-390ea122c4ad,2011
7,Ray Allen,SG,36,BOS,46,42,1565,226,493,0.458,106,234,0.453,120,259,0.463,0.566,97,106,0.915,14,128,142,109,49,8,68,83,655,d0df9ea6-dc69-4d3d-9311-41a1fdebad9c,2011
8,Tony Allen,SG,30,MEM,58,57,1525,210,448,0.469,8,26,0.308,202,422,0.479,0.478,140,175,0.8,98,135,233,79,104,33,94,142,568,917674b3-1b6e-48ed-8d3b-f9161c1ea734,2011
9,Morris Almond,SG,26,WAS,4,0,67,6,17,0.353,1,3,0.333,5,14,0.357,0.382,1,3,0.333,1,7,8,2,7,0,1,6,14,f2fa73f9-6841-496d-9086-6ee8fc1892e1,2011
10,Al-Farouq Aminu,SF,21,NOH,66,21,1477,150,365,0.411,13,47,0.277,137,318,0.431,0.429,86,114,0.754,95,213,308,66,59,34,91,136,399,19d25609-3918-439a-ad70-056b94fb1549,2011
11,Chris Andersen,C,33,DEN,32,1,486,59,108,0.546,0,0,0.0,59,108,0.546,0.546,50,82,0.61,48,100,148,6,19,46,17,52,168,1c7a2c3b-e319-4c55-9294-2550d654cf28,2011
12,Alan Anderson,SF,29,TOR,17,12,461,55,142,0.387,24,61,0.393,31,81,0.383,0.472,29,34,0.853,8,26,34,26,5,3,25,35,163,1d9066a3-1c81-4ecf-9186-bccb97a0348e,2011
13,James Anderson,SG,22,SAS,51,2,603,66,174,0.379,19,68,0.279,47,106,0.443,0.434,39,52,0.75,16,63,79,41,8,2,30,35,190,b6ab2047-c697-44d5-a34c-9da9f204c0f8,2011
14,Ryan Anderson,PF,23,ORL,61,61,1964,332,757,0.439,166,422,0.393,166,335,0.496,0.548,150,171,0.877,224,247,471,54,50,26,57,146,980,4c9e8daf-3859-4085-9024-b00a4aeec6c5,2011
15,Carmelo Anthony,SF,27,NYK,55,55,1876,441,1025,0.43,68,203,0.335,373,822,0.454,0.463,295,367,0.804,88,256,344,200,62,24,144,156,1245,5aba723b-d598-4f57-ad9d-66759ddbc5bf,2011
16,Joel Anthony,C,29,MIA,64,51,1349,85,152,0.559,0,0,0.0,85,152,0.559,0.559,49,71,0.69,100,150,250,9,36,84,45,126,219,a3d3de35-1a4a-4198-a811-3b22d986fb54,2011
17,Gilbert Arenas,PG,30,MEM,17,0,211,26,64,0.406,13,39,0.333,13,25,0.52,0.508,7,10,0.7,2,16,18,18,11,1,12,35,72,0a21b475-e840-4031-9c72-7b32c63c3721,2011
18,Trevor Ariza,SF,26,NOH,41,41,1350,168,403,0.417,29,87,0.333,139,316,0.44,0.453,79,102,0.775,41,174,215,135,69,25,76,73,444,b8f4ff28-eb77-4c7e-acda-23a2a01cdad8,2011
19,Jeff Ayres,C,24,IND,20,1,106,15,36,0.417,0,0,0.0,15,36,0.417,0.417,4,7,0.571,12,21,33,4,3,2,2,16,34,d265bd90-ecca-4dfc-86d6-a3e514c1dd87,2011
20,Kelenna Azubuike,SG,28,DAL,3,0,18,3,8,0.375,1,3,0.333,2,5,0.4,0.438,0,0,0.0,0,0,0,0,1,0,4,1,7,fd4e4b50-6a4d-4133-a615-8a2d3b5b5ef2,2011
21,Luke Babbitt,SF,22,POR,40,4,537,71,173,0.41,43,100,0.43,28,73,0.384,0.535,17,20,0.85,16,79,95,16,10,4,27,46,202,4a674003-3498-4f64-8ab9-c1754c1289e8,2011
22,Renaldo Balkman,SF,27,NYK,14,0,115,16,32,0.5,2,9,0.222,14,23,0.609,0.531,8,11,0.727,6,20,26,5,4,3,6,14,42,2e81b2b9-66ed-4ce3-bf70-a8ebffe01d68,2011
23,Leandro Barbosa,SG,29,TOT,64,0,1382,271,637,0.425,65,170,0.382,206,467,0.441,0.476,101,124,0.815,33,95,128,96,56,7,94,135,708,d5e4a8c9-8695-429f-84c0-c83d674b4c39,2011
24,Andrea Bargnani,C,26,TOR,31,31,1032,209,484,0.432,34,115,0.296,175,369,0.474,0.467,151,173,0.873,24,148,172,61,18,15,69,52,603,7e4026de-4aa5-4497-9b9d-634a3a739dbc,2011
25,Matt Barnes,SF,31,LAL,63,16,1440,175,387,0.452,46,138,0.333,129,249,0.518,0.512,95,128,0.742,97,247,344,126,35,48,73,152,491,7a9a28d7-3b17-419a-89f7-bb1c605c0337,2011
26,Earl Barron,C,30,GSW,2,0,9,2,4,0.5,0,0,0.0,2,4,0.5,0.5,0,0,0.0,1,0,1,0,0,0,0,5,4,351d623b-e778-40e2-8f4c-f9235753af80,2011
27,Brandon Bass,PF,26,BOS,59,39,1868,303,632,0.479,0,0,0.0,303,632,0.479,0.479,132,163,0.81,95,270,365,55,34,54,65,135,738,61a78a0b-9cfd-48c4-98e0-b74f1f3b4f27,2011
28,Tony Battie,C,35,PHI,27,11,295,19,51,0.373,0,1,0.0,19,50,0.38,0.373,4,4,1.0,8,59,67,16,4,6,4,26,42,b867608b-3f21-40b3-83dd-349f974f7990,2011
29,Shane Battier,SF,33,MIA,65,10,1499,113,292,0.387,62,183,0.339,51,109,0.468,0.493,23,37,0.622,56,100,156,82,64,33,37,105,311,83a7cc52-cfa4-47f6-bbe9-a6e89697b779,2011
30,Nicolas Batum,SF,23,POR,59,34,1791,289,641,0.451,107,274,0.391,182,367,0.496,0.534,133,159,0.836,81,190,271,84,57,60,90,105,818,b81297e1-4063-4e09-aed3-98096249002b,2011
31,Jerryd Bayless,PG,23,TOR,31,11,705,117,276,0.424,44,104,0.423,73,172,0.424,0.504,75,88,0.852,8,58,66,118,24,4,53,70,353,b8667997-e0e0-407a-835a-0608faa1cffb,2011
32,Michael Beasley,SF,23,MIN,47,7,1087,221,497,0.445,38,101,0.376,183,396,0.462,0.483,61,95,0.642,39,168,207,45,18,19,80,83,541,1fce88ac-f9aa-49c1-ae37-08a14856dfa2,2011
33,Rodrigue Beaubois,PG,23,DAL,53,12,1151,188,445,0.422,38,132,0.288,150,313,0.479,0.465,58,69,0.841,19,132,151,152,56,28,70,98,472,5ef56eb5-e898-4d06-bd88-ab9773620ce9,2011
34,Marco Belinelli,SG,25,NOH,66,55,1966,286,686,0.417,107,284,0.377,179,402,0.445,0.495,101,129,0.783,19,153,172,101,48,5,69,115,780,9cb10600-9d1c-4cf6-8117-0b4677aeb30c,2011
35,Raja Bell,SG,35,UTA,34,33,796,81,174,0.466,34,87,0.391,47,87,0.54,0.563,21,25,0.84,6,43,49,38,13,2,21,78,217,cde9e15c-aad3-42e1-9cc2-24d8f8eeb530,2011
36,Keith Benson,C,23,GSW,3,0,9,0,1,0.0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,0,9ef12349-b5ce-4c6b-acfe-3f24829f5456,2011
37,Mike Bibby,PG,33,NYK,39,4,557,35,124,0.282,27,85,0.318,8,39,0.205,0.391,6,8,0.75,5,54,59,80,21,3,20,45,103,ce4021d2-8318-4b80-88c3-70c6b08f30ec,2011
38,Chauncey Billups,SG,35,LAC,20,20,607,83,228,0.364,48,125,0.384,35,103,0.34,0.469,85,95,0.895,4,46,50,80,9,3,38,40,299,7a09dda4-5980-4115-b1c8-bde37d6b4d12,2011
39,Bismack Biyombo,C,19,CHA,63,41,1455,129,278,0.464,0,0,0.0,129,278,0.464,0.464,69,143,0.483,113,255,368,27,20,115,71,145,327,4817346e-640e-47da-a934-81a031b85e94,2011
40,DeJuan Blair,PF,22,SAS,64,62,1363,269,504,0.534,0,1,0.0,269,503,0.535,0.534,73,119,0.613,154,197,351,78,59,12,92,168,611,d4d70650-9092-4d52-9815-1080e6798484,2011
41,Steve Blake,PG,31,LAL,53,5,1237,101,268,0.377,53,158,0.335,48,110,0.436,0.476,21,27,0.778,9,76,85,175,39,2,72,75,276,1239a758-90d2-47e1-bc59-d2d3d856d761,2011
