,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Tariq Abdul-Wahad,SG,27,TOT,24,12,441,55,147,0.374,1,2,0.5,54,145,0.372,0.378,24,33,0.727,41,43,84,24,20,10,27,56,135,d3ad96a8-d57e-48a4-8761-1189f295c316,2001
1,Shareef Abdur-Rahim,PF,25,ATL,77,77,2980,598,1297,0.461,21,70,0.3,577,1227,0.47,0.469,419,523,0.801,198,498,696,239,98,81,250,214,1636,fe3dd58a-1354-44f3-8d09-e6c39cb1cca5,2001
2,Courtney Alexander,SG,24,WAS,56,28,1325,223,474,0.47,5,18,0.278,218,456,0.478,0.476,98,121,0.81,43,105,148,86,35,7,60,113,549,5f151e02-fba8-407a-9ec8-eea115623c99,2001
3,Victor Alexander,C,32,DET,15,0,97,18,51,0.353,0,2,0.0,18,49,0.367,0.353,4,8,0.5,7,22,29,6,0,1,5,6,40,e1bd51b7-0428-40c5-bfd1-fc980efd7daf,2001
4,Malik Allen,PF,23,MIA,12,2,161,22,51,0.431,0,1,0.0,22,50,0.44,0.431,8,10,0.8,15,23,38,5,3,8,2,16,52,6c881a9f-326a-4c7c-8b77-64040bbf30b8,2001
5,Rafer Alston,PG,25,MIL,50,7,600,66,191,0.346,27,71,0.38,39,120,0.325,0.416,18,29,0.621,10,62,72,143,32,2,40,42,177,ee905b13-ef4f-4bb4-9dd7-a8bf290c289a,2001
6,John Amaechi,PF,31,UTA,54,0,586,54,166,0.325,0,0,0.0,54,166,0.325,0.325,67,105,0.638,52,57,109,29,7,10,55,64,175,33fb43be-e9b7-43f0-a960-ee773fb19541,2001
7,Chris Andersen,C,23,DEN,24,1,262,25,74,0.338,0,4,0.0,25,70,0.357,0.338,22,28,0.786,38,38,76,7,7,28,13,35,72,1c7a2c3b-e319-4c55-9294-2550d654cf28,2001
8,Derek Anderson,SG,27,POR,70,27,1860,247,612,0.404,85,228,0.373,162,384,0.422,0.473,178,208,0.856,47,142,189,216,68,8,87,113,757,bf77e8c7-0dcd-4d9f-b189-9d1ad588d259,2001
9,Kenny Anderson,PG,31,BOS,76,76,2430,312,716,0.436,9,33,0.273,303,683,0.444,0.442,98,132,0.742,57,218,275,403,141,10,119,210,731,a8644ea2-3e28-4207-98be-fda50363c248,2001
10,Nick Anderson,SG,34,MEM,15,0,219,21,76,0.276,13,48,0.271,8,28,0.286,0.362,5,9,0.556,1,32,33,14,6,6,14,17,60,bb214207-755d-4c90-9f69-637609f05ee6,2001
11,Shandon Anderson,SG,28,NYK,82,6,1596,149,373,0.399,39,141,0.277,110,232,0.474,0.452,74,107,0.692,57,192,249,76,48,15,97,134,411,40966e4d-7253-436a-a7f9-3fb958f92711,2001
12,Greg Anthony,PG,34,TOT,60,38,1514,183,475,0.385,48,163,0.294,135,312,0.433,0.436,60,91,0.659,22,110,132,282,77,5,94,114,474,c9961f2c-2cd0-42ee-80bb-9553fc139f92,2001
13,Gilbert Arenas,PG,20,GSW,47,30,1155,174,384,0.453,39,113,0.345,135,271,0.498,0.504,124,160,0.775,41,91,132,174,69,11,97,115,511,0a21b475-e840-4031-9c72-7b32c63c3721,2001
14,Brandon Armstrong,SG,21,NJN,35,0,196,27,85,0.318,5,17,0.294,22,68,0.324,0.347,5,10,0.5,10,6,16,8,7,1,8,26,64,6b1eecef-1863-4859-b2a7-62eaa04c7aa2,2001
15,Darrell Armstrong,PG,33,ORL,82,79,2730,347,828,0.419,139,398,0.349,208,430,0.484,0.503,182,205,0.888,83,236,319,453,157,10,175,166,1015,5aa77a64-ab4b-462e-9bff-6f7f798a9c9b,2001
16,Carlos Arroyo,PG,22,TOT,37,1,371,49,111,0.441,0,2,0.0,49,109,0.45,0.441,13,18,0.722,12,28,40,70,11,1,23,30,111,dabf8ad1-b484-40d6-96f3-4765ce6c3ae7,2001
17,Chucky Atkins,PG,27,DET,79,62,2285,368,790,0.466,138,336,0.411,230,454,0.507,0.553,83,120,0.692,31,127,158,263,72,11,128,177,957,e3632248-9422-4a14-b67d-925115d53ce4,2001
18,Stacey Augmon,SG,33,CHH,77,3,1319,140,328,0.427,0,3,0.0,140,325,0.431,0.427,77,101,0.762,59,166,225,103,56,12,54,115,357,5a3e9fd3-c9fe-4c9f-ad4f-e9b2e05ad6c0,2001
19,Isaac Austin,C,32,MEM,21,8,307,36,92,0.391,0,3,0.0,36,89,0.404,0.391,4,4,1.0,11,60,71,13,9,5,11,36,76,72eada86-818c-4b34-8885-a50368816b1b,2001
20,William Avery,PG,22,MIN,28,0,258,26,90,0.289,6,35,0.171,20,55,0.364,0.322,13,19,0.684,4,20,24,36,7,0,19,17,71,626235c3-039f-4307-a170-49e65ad462c2,2001
21,Vin Baker,C,30,SEA,55,41,1710,315,649,0.485,1,8,0.125,314,641,0.49,0.486,143,226,0.633,168,182,350,72,22,36,127,197,774,1da96cf4-65ef-4467-a93a-08c14791d904,2001
22,Erick Barkley,PG,23,POR,19,4,228,24,68,0.353,1,7,0.143,23,61,0.377,0.36,9,10,0.9,5,13,18,34,17,1,12,29,58,c61d0228-e224-4eb5-a19f-b8e9ee67fa42,2001
23,Dana Barros,PG,34,DET,29,20,582,74,192,0.385,24,71,0.338,50,121,0.413,0.448,21,27,0.778,1,56,57,78,14,2,33,37,193,d1acce80-d01a-443f-b39b-cc9e4819ba09,2001
24,Brent Barry,SG,30,SEA,81,81,3040,401,790,0.508,164,387,0.424,237,403,0.588,0.611,198,234,0.846,58,383,441,426,147,37,165,182,1164,b6e16b6a-99e8-47d8-a974-c877ee4e79fb,2001
25,Jon Barry,SG,32,DET,82,6,1985,255,522,0.489,121,258,0.469,134,264,0.508,0.604,108,116,0.931,42,192,234,274,94,20,111,134,739,7c58917c-b227-40f1-8c47-f9b4ae4e064a,2001
26,Mengke Bateer,C,26,DEN,27,10,408,53,132,0.402,4,12,0.333,49,120,0.408,0.417,29,37,0.784,32,64,96,22,10,5,32,94,139,aa2701fb-521f-4f69-bb62-3bed8ae07043,2001
27,Tony Battie,C,25,BOS,74,73,1819,211,390,0.541,0,2,0.0,211,388,0.544,0.541,88,130,0.677,184,297,481,35,60,67,51,219,510,b867608b-3f21-40b3-83dd-349f974f7990,2001
28,Shane Battier,SF,23,MEM,78,78,3097,412,961,0.429,103,276,0.373,309,685,0.451,0.482,198,283,0.7,180,238,418,216,121,81,155,215,1125,83a7cc52-cfa4-47f6-bbe9-a6e89697b779,2001
29,Charlie Bell,SG,22,TOT,7,0,44,3,11,0.273,0,6,0.0,3,5,0.6,0.273,2,2,1.0,2,3,5,2,0,0,5,3,8,2b18f4bd-d9b6-4597-9ee5-55d17e94ee35,2001
30,Raja Bell,SG,25,PHI,74,12,890,103,240,0.429,12,44,0.273,91,196,0.464,0.454,36,48,0.75,31,80,111,71,21,4,48,109,254,cde9e15c-aad3-42e1-9cc2-24d8f8eeb530,2001
31,Jonathan Bender,SF,21,IND,78,17,1647,198,460,0.43,45,125,0.36,153,335,0.457,0.479,140,181,0.773,64,180,244,62,19,49,96,147,581,fb9e592f-db4e-4c82-b0b8-0a087a94d09b,2001
32,Travis Best,PG,29,TOT,74,21,1747,228,518,0.44,21,59,0.356,207,459,0.451,0.46,104,116,0.897,20,131,151,324,89,7,99,173,581,3ec1ea0a-2143-4dd4-a0d7-7341b59a4414,2001
33,Mike Bibby,PG,23,SAC,80,80,2659,446,985,0.453,51,138,0.37,395,847,0.466,0.479,155,193,0.803,37,185,222,403,87,15,134,133,1098,ce4021d2-8318-4b80-88c3-70c6b08f30ec,2001
34,Chauncey Billups,PG,25,MIN,82,54,2355,348,823,0.423,124,315,0.394,224,508,0.441,0.498,207,234,0.885,35,191,226,450,66,17,138,169,1027,7a09dda4-5980-4115-b1c8-bde37d6b4d12,2001
35,Mookie Blaylock,PG,34,GSW,35,0,599,50,146,0.342,15,42,0.357,35,104,0.337,0.394,4,8,0.5,8,44,52,114,24,4,37,20,119,cec2d617-bfcd-42bb-904f-d87cf5e681c7,2001
36,Corie Blount,PF,33,PHI,72,21,1426,115,251,0.458,0,1,0.0,115,250,0.46,0.458,29,45,0.644,149,219,368,44,49,26,52,176,259,9bdb8d47-1db7-4695-8984-ef6cd2f297f3,2001
37,Mark Blount,C,26,BOS,44,0,415,32,76,0.421,0,0,0.0,32,76,0.421,0.421,30,37,0.811,26,59,85,10,16,19,23,59,94,11bbc2a9-70f0-4d8e-b64c-91c13bc54d05,2001
38,Calvin Booth,C,25,SEA,15,15,279,35,82,0.427,0,0,0.0,35,82,0.427,0.427,23,24,0.958,20,34,54,16,6,13,16,47,93,67614d9b-25e4-4c04-b9e3-68beeb93d90d,2001
39,Ruben Boumtje-Boumtje,C,23,POR,33,1,245,13,32,0.406,0,0,0.0,13,32,0.406,0.406,13,25,0.52,21,34,55,4,3,16,14,38,39,91a3c84b-3657-40d1-8f02-fa2de4cdb43e,2001
40,Cal Bowdler,PF,24,ATL,52,0,585,61,174,0.351,1,5,0.2,60,169,0.355,0.353,39,47,0.83,38,72,110,11,18,15,11,64,162,b023207a-2fdc-4bc3-b11a-84e2dd17dada,2001
41,Bruce Bowen,SF,30,SAS,59,59,1699,155,398,0.389,56,148,0.378,99,250,0.396,0.46,46,96,0.479,42,120,162,88,62,25,66,116,412,c818a730-e15e-42bb-a276-fa305e6c0125,2001
42,Ryan Bowen,SF,26,DEN,75,21,1686,147,307,0.479,1,12,0.083,146,295,0.495,0.48,69,92,0.75,134,165,299,52,75,41,41,171,364,b0c32737-0075-4029-9456-d4709971b8d1,2001
43,Ira Bowman,SG,28,PHI,3,0,29,5,7,0.714,0,1,0.0,5,6,0.833,0.714,0,0,0.0,0,1,1,1,2,0,0,3,10,98442606-0374-4fc2-b26d-74eb7ea5cb65,2001
44,Earl Boykins,PG,25,LAC,68,2,761,110,275,0.4,13,42,0.31,97,233,0.416,0.424,47,61,0.77,27,27,54,145,20,2,44,44,280,f926e81f-3df9-4cc8-8885-1a5cb77ece58,2001
45,Michael Bradley,PF,22,TOR,26,0,118,13,25,0.52,0,2,0.0,13,23,0.565,0.52,4,8,0.5,7,17,24,3,0,6,6,10,30,7dffc12b-c985-4be2-b4f2-39e577081942,2001
