,player,salary,year,perc,perc_score,team,uuid
0,Allan Houston,12750000.0,2001,0.1482678150262837,21.983,NY,465e59ac-6809-4cb1-a46a-c54e1193b673
1,Larry Johnson,11335714.0,2001,0.13182129776806703,17.377,NY,d8b862bc-d388-4f95-bab2-d51913dffce3
2,Latrell Sprewell,11250000.0,2001,0.13082454267025032,17.115,NY,0bfd9d49-7871-4504-a406-32c8c6fe5e86
3,Marcus Camby,7300000.0,2001,0.08489059213269576,7.206,NY,daabe87b-5399-40dc-9a97-5c08300da5a5
4,Luc Longley,6325000.0,2001,0.07355246510127407,5.41,NY,8901f6d9-ddbd-4515-a43a-ed710350884e
5,Shandon Anderson,5500000.0,2001,0.06395866530545571,4.091,NY,40966e4d-7253-436a-a7f9-3fb958f92711
6,Charlie Ward,5110000.0,2001,0.05942341449288704,3.531,NY,75da2c59-d6f0-4526-ad3b-5b1478e167bb
7,Howard Eisley,4781250.0,2001,0.05560043063485639,3.091,NY,cc328bd8-3597-4002-94e5-503fffe934fe
8,Clarence Weatherspoon,4638000.0,2001,0.053934598124855196,2.909,NY,167131ad-0022-4e54-93f1-c90e105275c4
9,Kurt Thomas,4413375.0,2001,0.0513224680895392,2.634,NY,d3b65687-9fb8-4089-bfc2-b5d624452cf4
10,Mark Jackson,3860000.0,2001,0.04488735419619255,4.489,NY,2adb3228-33c5-4769-a1d5-5b5da6bb737d
11,Travis Knight,3600000.0,2001,0.0418638536544801,4.186,NY,af900de8-6a71-4d28-950e-8200e70f9df8
12,Othella Harrington,2475000.0,2001,0.02878139938745507,2.878,NY,fa4ed7b4-2252-41a5-886f-ad9534232d0f
13,Felton Spencer,1000000.0,2001,0.011628848237355584,1.163,NY,23c32d73-b8af-416c-b767-79c9e8c8f069
14,Larry Robinson,715850.0,2001,0.008324511010710994,0.832,NY,a7f8bb8d-1a54-4a27-bf64-a4acb3305bd1
15,Vernon Maxwell,473000.0,2001,0.005500445216269191,0.55,NY,a4101125-cf8c-4656-8cc8-b6ea5b061fe9
16,Lavor Postell,465850.0,2001,0.005417298951372099,0.542,NY,c1bd29e4-b860-49cf-9ea6-3cfd0574ef45
17,Scottie Pippen,18083564.0,2001,0.21453259677422226,46.024,POR,94d2cbb1-a959-4ab1-b9fb-40e934ee5ce3
18,Rasheed Wallace,14400000.0,2001,0.17083299473205615,29.184,POR,59cc773b-c6d6-4242-ae3e-6795a5945ee2
19,Shawn Kemp,12660000.0,2001,0.15019067453526605,22.557,POR,ec838592-3c4e-4e25-bfa0-295f026db2ec
20,Damon Stoudamire,12375000.0,2001,0.14680960484786076,21.553,POR,65af4a1d-57ae-4291-8d73-4181ad67d20a
21,Dale Davis,7010000.0,2001,0.0831624509077579,6.916,POR,9bd7b705-76b9-4cd9-b230-4872e38108fd
22,Derek Anderson,6495000.0,2001,0.0770527986656045,5.937,POR,bf77e8c7-0dcd-4d9f-b189-9d1ad588d259
23,Ruben Patterson,4538000.0,2001,0.053836120145421586,2.898,POR,81a8cf51-f42b-40b4-9815-863e75a86f32
24,Steve Kerr,2406250.0,2001,0.028546312053750703,2.855,POR,f52380e3-3333-49ec-9a07-4882e9aa9ab3
25,Bonzi Wells,2028239.0,2001,0.024061815444607698,2.406,POR,794b91a7-20a9-43df-a579-89ad70cd1e45
26,Zach Randolph,1019280.0,2001,0.012092128810450709,1.209,POR,a213f52e-0ad3-4d46-8911-ad35c7438b82
27,Chris Dudley,1000000.0,2001,0.011863402411948344,1.186,POR,10207f22-6a09-46de-9e54-a6e20300ec6a
28,Chris Dudley,6200000.0,2001,0.08245370304368004,6.799,BKN,10207f22-6a09-46de-9e54-a6e20300ec6a
29,Mitchell Butler,715850.0,2001,0.008492416616593222,0.849,POR,10656c23-5d8d-45a5-bdb6-887f2b7b60de
30,Erick Barkley,638000.0,2001,0.007568850738823044,0.757,POR,c61d0228-e224-4eb5-a19f-b8e9ee67fa42
31,Rick Brunson,590850.0,2001,0.0070094913150996795,0.701,POR,736965ff-f60f-4ca6-95a4-f7d7fbe55aa0
32,Ruben Boumtje-Boumtje,332817.0,2001,0.003948342000537412,0.395,POR,91a3c84b-3657-40d1-8f02-fa2de4cdb43e
