,Player,Salary,Year,Perc,Perc_score,Abb,UUID
8,Fred Hoiberg,1760000.0,2005,0.02846506073910242,2.847,MIN,1c66f519-b3a7-411c-93f8-ffc56e405c60
9,Rashad McCants,1538400.0,2005,0.024881050818769977,2.488,MIN,f266c9b4-7438-4e5d-8d2e-d5c27f0acf6d
10,Ndudi Ebi,964320.0,2005,0.015596265552233661,1.56,MIN,c23b1630-cfe0-48fd-b07b-b001e4afa9ad
11,Anthony Carter,900498.0,2005,0.01456405128718196,1.456,MIN,d05f3f05-fa18-4afc-a63b-ea94a4b08394
12,Nikoloz Tskitishvili,745248.0,2005,0.01205314181005375,1.205,MIN,991c3602-2879-4c29-848a-f8bddba04c1e
13,Richie Frahm,719373.0,2005,0.011634656897199048,1.163,MIN,f3e3f9b1-1967-4a07-92b1-33e5eca395fb
14,Ronald Dupree,719373.0,2005,0.011634656897199048,1.163,MIN,f3ec0c8f-0abb-408c-b2b1-799de676728c
15,Lionel Chalmers,682050.0,2005,0.011031019702900458,1.103,MIN,a5e74ea6-a7ee-4c83-b161-0b9082a1bb85
16,Bracey Wright,398762.0,2005,0.006449309403662476,0.645,MIN,18186e51-c32e-486d-ad0f-8ef3f68397a9
17,Dwayne Jones,398762.0,2005,0.006449309403662476,0.645,MIN,3fda6bae-72f6-4c71-9843-899f0f5e1e16
0,Shaquille O'Neal,20000000.0,2005,0.32931323108772226,108.447,MIA,74b99a51-bb65-436f-8bcc-7022af2a490a
1,Jason Williams,7562500.0,2005,0.12452156550504498,15.506,MIA,340c6121-19b2-45a0-a61c-ff2e6039b3ae
2,Antoine Walker,6880000.0,2005,0.11328375149417645,12.833,MIA,8fc415a6-0c0b-4af5-9531-f562fcd1128c
3,James Posey,5900400.0,2005,0.09715398943549983,9.439,MIA,373c2151-f10c-4224-909f-ea9139e8964f
4,Udonis Haslem,5000000.0,2005,0.08232830777193056,6.778,MIA,93c113d8-0328-41cb-a022-c94f2ba0740f
5,Dwyane Wade,3031920.0,2005,0.04992256857997435,4.992,MIA,3debf7bb-2228-4a7a-82fb-3e730f83f012
6,Michael Doleac,2640000.0,2005,0.04346934650357934,4.347,MIA,bce3e928-1eb0-4c6e-bc1a-50671a6838f8
7,Wesley Person,1760000.0,2005,0.02897956433571956,2.898,MIA,6ff8ce3c-f7da-4301-9571-ca3c03eb06a4
8,Dorell Wright,1238640.0,2005,0.020395027027724815,2.04,MIA,e4a7bf61-8d72-49b3-b6aa-86bd49484fff
9,Alonzo Mourning,1138500.0,2005,0.01874615567966859,1.875,MIA,8051eb29-ecd7-46b5-b2fa-415777e11e83
10,Gary Payton,1138500.0,2005,0.01874615567966859,1.875,MIA,442a7e96-4c9e-4d86-841a-a17bd27f5bcb
11,Jason Kapono,1100000.0,2005,0.018112227709824725,1.811,MIA,368d8eab-8524-4e0b-938c-cd30fe130e80
12,Shandon Anderson,1035000.0,2005,0.017041959708789627,1.704,MIA,0fed97c6-a4b5-4d16-ac3c-f0af9cdad6d8
13,Wayne Simien,867720.0,2005,0.014287583843971918,1.429,MIA,19dac209-1d62-4a55-9b01-c653d97261f7
14,Andre Emmett,641748.0,2005,0.010566805371204179,1.057,MIA,43518827-8097-45c5-864e-7994b69ea8b0
15,Earl Barron,398762.0,2005,0.006565880132750115,0.657,MIA,4baf1304-01e2-4f95-8cca-9863e5475c2a
16,Gerald Fitch,359858.0,2005,0.005925300035638278,0.593,MIA,a3005705-67b6-40e4-81e5-d5e0116f8a31
17,Matt Walsh,38904.0,2005,0.0006405800971118373,0.064,MIA,e730b44e-b1d0-4c07-a710-ce880bbad055
0,Theo Ratliff,11666666.0,2005,0.19438623409484534,37.786,POR,6bbfff81-213b-4183-88f0-fcd3fd198e88
1,Zach Randolph,10666667.0,2005,0.177724572596298,31.586,POR,71672ebf-e0d2-4a53-b5cc-6597ef66ef33
2,Derek Anderson,9093000.0,2005,0.15150463951093043,22.954,POR,42d72d39-26ce-45a8-9f71-a13af42dc460
3,Darius Miles,7250000.0,2005,0.12079716666163484,14.592,POR,c932ca62-defd-4f5e-8be1-9e05b04ce727
4,Ruben Patterson,6353200.0,2005,0.10585497368754461,11.205,POR,10fe2347-0bd5-4629-a59b-011a83609e53
