,player,salary,year,perc,perc_score,team,uuid
0,Allan Houston,15937500.0,2003,0.17818248166858627,31.749,NY,465e59ac-6809-4cb1-a46a-c54e1193b673
1,Antonio McDyess,13500000.0,2003,0.15093104329574367,22.78,NY,7e12e271-e4f2-4ba2-ba1a-ed12410db263
2,Keith Van Horn,13279750.0,2003,0.14846863127456683,22.043,NY,cd16449f-11ef-45f3-b6ae-e21c996ab006
3,Shandon Anderson,6700000.0,2003,0.07490651778381353,5.611,NY,40966e4d-7253-436a-a7f9-3fb958f92711
4,Charlie Ward,6030000.0,2003,0.06741586600543217,4.545,NY,75da2c59-d6f0-4526-ad3b-5b1478e167bb
5,Howard Eisley,5843750.0,2003,0.06533357661181498,4.268,NY,cc328bd8-3597-4002-94e5-503fffe934fe
6,Kurt Thomas,5394125.0,2003,0.06030673436427062,3.637,NY,d3b65687-9fb8-4089-bfc2-b5d624452cf4
7,Travis Knight,4402500.0,2003,0.04922029023033419,4.922,NY,af900de8-6a71-4d28-950e-8200e70f9df8
8,Dikembe Mutombo,4087667.0,2003,0.04570043295967279,4.57,NY,8e555f1d-241c-4438-8bb0-ed81079037e9
9,Dikembe Mutombo,13626624.0,2003,0.21392840615423087,45.765,BKN,8e555f1d-241c-4438-8bb0-ed81079037e9
10,Moochie Norris,3500000.0,2003,0.03913027048408169,3.913,NY,c9fd992c-7363-41ee-b176-09a456b1b907
11,Othella Harrington,2925000.0,2003,0.03270172604741113,3.27,NY,fa4ed7b4-2252-41a5-886f-ad9534232d0f
12,John Amaechi,2610000.0,2003,0.02918000170384378,2.918,NY,33fb43be-e9b7-43f0-a960-ee773fb19541
13,Mike Sweetney,1840800.0,2003,0.020580286259170737,2.058,NY,85a11b17-f4b1-4ff1-91b5-d00638a8fa8b
14,Michael Doleac,1540000.0,2003,0.017217319012995946,1.722,NY,c4f2a6d8-8e31-4b73-aefe-54031cac0dda
15,Frank Williams,894960.0,2003,0.0100057219635525,1.001,NY,c84a12a3-d8a5-41fa-ad50-dab5c43e9466
16,Maciej Lampe,829000.0,2003,0.009268284066086778,0.927,NY,73ce6556-f73c-49ed-a268-dc5d5ef30d6a
17,Slavko Vranes,129768.0,2003,0.0014508162686223752,0.145,NY,fbeeaab2-e4c5-4b89-bfde-0db0745f03ca
18,Rasheed Wallace,17000000.0,2003,0.20492601640411062,41.995,POR,59cc773b-c6d6-4242-ae3e-6795a5945ee2
19,Shawn Kemp,14941935.0,2003,0.1801171304070091,32.442,POR,ec838592-3c4e-4e25-bfa0-295f026db2ec
