,Player,Salary,Year,Perc,Perc_score,Abb,UUID
0,Joe Johnson,21466718.0,2013,0.20924773277293285,43.785,BKN,fca7c221-f167-42c8-a42a-9e28b3cef10e
1,Deron Williams,18466130.0,2013,0.17999937557246704,32.4,BKN,31e6add0-2087-4795-ae66-a42dfc9c162c
2,Paul Pierce,15333334.0,2013,0.14946231535487287,22.339,BKN,d14d1240-57b5-4cfb-b38e-3993d37eb1d3
3,Brook Lopez,14694000.0,2013,0.14323038041332053,20.515,BKN,a36692c7-1b71-468f-ab88-3d8ab5b548e1
4,Kevin Garnett,11532468.0,2013,0.11241321483220675,12.637,BKN,4035d838-5ed7-4507-86ad-0488a9b9c358
5,Marcus Thornton,8165000.0,2013,0.07958867946609242,6.334,BKN,de69b53e-9383-451f-8954-3acc624f458b
6,Mirza Teletovic,3229050.0,2013,0.031475300113899055,3.148,BKN,e4436927-79b9-4342-9ce4-15f46c19d02f
7,Andrei Kirilenko,3183000.0,2013,0.03102642581023542,3.103,BKN,264998a4-bb1c-44d5-8a17-d5e33001ccbe
8,Andray Blatche,1375604.0,2013,0.013408757602973009,1.341,BKN,e8d3a2e5-c7fe-43ab-bfda-f156e04cf33e
9,Mason Plumlee,1298640.0,2013,0.012658547789570885,1.266,BKN,c10055eb-cf04-4a5d-9f0e-79093e31e4f2
10,Shaun Livingston,1265977.0,2013,0.01234016382908087,1.234,BKN,8458ec4e-9884-48c9-aad0-aa65437c0dfa
11,Marquis Teague,1074720.0,2013,0.010475878211365445,1.048,BKN,ab04fdc5-47cd-4259-9a1a-ecc6b9f496c5
12,Alan Anderson,947907.0,2013,0.009239763182690175,0.924,BKN,7adedf1a-d1b0-4afe-abf2-f74a1e083b9b
13,Jason Collins,436316.0,2013,0.00425300848376333,0.425,BKN,9c26667f-134b-4cf5-b073-f8c5707a2ff9
14,Jorge Gutierrez,121103.0,2013,0.001180456564529356,0.118,BKN,90b117b7-6923-455c-9cc0-07ba85eed725
0,Amare Stoudemire,21679893.0,2013,0.24339524708034566,59.241,NY,7b22af5c-e512-4e92-b842-66cda73f0254
1,Carmelo Anthony,21490000.0,2013,0.24126336139005058,58.208,NY,3807a8ee-fb89-4e24-a723-1b0b709a7a01
2,Tyson Chandler,14100538.0,2013,0.158303545616014,25.06,NY,8c507a1f-0040-43af-a02c-2e453b5ecb1c
3,Andrea Bargnani,11000000.0,2013,0.12349450792417667,15.251,NY,9bae7305-fcf3-473f-b294-09b43564ef94
4,JR Smith,5565000.0,2013,0.06247699423618574,3.903,NY,c6934142-59ed-4ade-9c3c-eef7384f1dcb
5,Raymond Felton,4180000.0,2013,0.04692791301118713,4.693,NY,d943bd95-282c-4f42-86e0-d3103d1284bc
6,Iman Shumpert,1797600.0,2013,0.0201812479495,2.018,NY,312a38d9-dac2-45b5-9e5a-c7a6387738d1
7,Pablo Prigioni,1591350.0,2013,0.017865725925921686,1.787,NY,fdff74f7-1eb6-4c17-9f76-caeb9344d149
8,Metta World Peace,1590000.0,2013,0.017850569781767352,1.785,NY,7d5410b3-0b90-4fc9-8350-b731776296d0
9,Kenyon Martin,1399507.0,2013,0.0157119480274037,1.571,NY,d942225a-2af7-4ddd-ab29-5080cf48f46c
10,Tim Hardaway Jr,1196760.0,2013,0.013435753391212515,1.344,NY,6735b974-8587-4876-b2d1-aab0639f893b
11,Beno Udrih,913047.0,2013,0.010250571816058703,1.025,NY,993a100f-fe8c-4a06-bf43-fb7cddac2665
12,Cole Aldrich,884293.0,2013,0.009927757172344905,0.993,NY,870dc916-98fe-477b-a38e-9756e3096404
13,Jeremy Tyler,556584.0,2013,0.0062486424725881765,0.625,NY,64901580-5a1b-43d2-9cd8-f7e89eb189b2
14,Toure Murry,490180.0,2013,0.005503139808570265,0.55,NY,bf8e8d38-3807-4225-a462-d7121595d125
15,Shannon Brown,341979.0,2013,0.0038393207568547284,0.384,NY,a0d7e1c8-2d35-4cf9-9353-310ef39a9289
16,Chris Smith,184538.0,2013,0.002071766318482883,0.207,NY,bff12773-43f7-422f-bb4a-9ff7aff6233b
17,Earl Clark,111518.0,2013,0.001251987321335303,0.125,NY,23207e2d-5b08-41d2-ae11-3b4e60868cd0
0,Chris Bosh,19067500.0,2013,0.23586242714566186,55.631,MIA,a7bd2cff-7c2f-45eb-9289-7bb7de4d1636
1,LeBron James,19067500.0,2013,0.23586242714566186,55.631,MIA,f15e32f6-36a9-4efb-bce0-043c1bc98f68
2,Dwyane Wade,18536000.0,2013,0.22928784316622464,52.573,MIA,3debf7bb-2228-4a7a-82fb-3e730f83f012
3,Mike Miller,6200000.0,2013,0.07669317153812003,5.882,MIA,263bcbf1-6373-464f-a26f-b58b8b2a96aa
4,Udonis Haslem,4340000.0,2013,0.05368522007668402,2.882,MIA,93c113d8-0328-41cb-a022-c94f2ba0740f
5,Mario Chalmers,4000000.0,2013,0.049479465508464535,4.948,MIA,ef58d8ba-e529-4bcc-9e67-981596317b99
6,Shane Battier,3270000.0,2013,0.04044946305316976,4.045,MIA,4d73dc7b-f969-4093-87dd-813ce167c15c
7,Ray Allen,3229050.0,2013,0.03994291702502685,3.994,MIA,dd35c155-b428-42b0-b12e-5ef94414c5a0
8,Toney Douglas,1600000.0,2013,0.019791786203385814,1.979,MIA,accfe225-18a9-4078-92e7-405878f2a011
9,James Jones,1500000.0,2013,0.0185547995656742,1.855,MIA,3b0ea522-69aa-45d6-8bf2-47e0ca04e8f5
10,Rashard Lewis,1399507.0,2013,0.017311714583838667,1.731,MIA,4238a32a-ab7c-4a04-a39c-5787949239f2
11,Chris Andersen,1399507.0,2013,0.017311714583838667,1.731,MIA,9c172e15-27b2-469c-a8e9-ab4525db13cb
12,Norris Cole,1191240.0,2013,0.014735479623075823,1.474,MIA,f611b1e5-cf88-4a9a-8a61-f28cf069b294
13,Michael Beasley,1027424.0,2013,0.012709097592642165,1.271,MIA,ccc10c40-fa93-45e7-9fdc-77d4414a0ad2
14,Greg Oden,1027424.0,2013,0.012709097592642165,1.271,MIA,2192649e-98b4-41dc-9f16-53e5ae44c817
15,Justin Hamilton,98036.0,2013,0.0012126922201469573,0.121,MIA,a2e8743a-a89b-413d-9bdf-36d26d661e72
16,DeAndre Liggins,88429.0,2013,0.0010938549138620026,0.109,MIA,ee4ae6f2-06e1-44b2-88f6-44b39bb94563
0,Kobe Bryant,30453000.0,2013,0.39332961129920907,154.708,LAL,24d0e17f-fb15-4609-84f0-ff0d88dc0937
1,Pau Gasol,19285850.0,2013,0.249095192068921,62.048,LAL,4851c61b-ef46-44ed-b940-4c1229208225
2,Steve Nash,9300500.0,2013,0.12012484976482757,14.43,LAL,e22dbb44-a0dc-4d1b-8d5f-5311077027f4
3,Metta World Peace,7727280.0,2013,0.0998052092995814,9.961,LAL,7d5410b3-0b90-4fc9-8350-b731776296d0
4,Jordan Hill,3500000.0,2013,0.04520584637136675,4.521,LAL,28319f48-ced1-4c12-babf-0d5cd85c7beb
5,Chris Kaman,3183000.0,2013,0.04111148828573154,4.111,LAL,f6d753e1-aa28-443c-b912-17aa3593e27c
6,Jodie Meeks,1550000.0,2013,0.02001973196446242,2.002,LAL,2cf19593-acd1-404e-8086-7114e4be23ac
7,Chris Duhon,1500000.0,2013,0.01937393415915718,1.937,LAL,4dd1d9bd-a739-40d3-b56a-36a783148a7a
8,MarShon Brooks,1276560.0,2013,0.016487992926809126,1.649,LAL,91805d01-8e09-4581-addc-c42855765484
9,Nick Young,1106942.0,2013,0.014297214284003844,1.43,LAL,bd16ca5c-cef1-42ae-8cdf-12e5154ede9a
10,Jordan Farmar,1106942.0,2013,0.014297214284003844,1.43,LAL,af99109b-4f87-4db5-ba83-af9a73f6b4ee
11,Wesley Johnson,916099.0,2013,0.011832294472846488,1.183,LAL,dc0e75f9-d0e2-46c3-a203-aa625abd46f1
12,Xavier Henry,916099.0,2013,0.011832294472846488,1.183,LAL,b895879f-8f94-40c1-80f2-6ffa86e3f304
13,Robert Sacre,788873.0,2013,0.010189049041291202,1.019,LAL,9d483895-5531-492b-badc-b56d363b9488
14,Kent Bazemore,762195.0,2013,0.009844477164292537,0.984,LAL,480c950a-d2f5-43ff-8441-c3f903cbb1af
15,Kendall Marshall,547570.0,2013,0.007072390085019798,0.707,LAL,9b360153-56e3-4c74-a03e-54c238023a4b
16,Shawne Williams,535770.0,2013,0.006919981802967761,0.692,LAL,90c43875-61dc-4b87-b76e-5880ffe1fc1e
17,Ryan Kelly,490180.0,2013,0.0063311433640904444,0.633,LAL,7cd60d50-b543-421b-8d31-a3a1bba6d749
18,Manny Harris,104034.0,2013,0.0013436985775425053,0.134,LAL,ef24bb1e-b159-45ac-b68c-f9a72b2db931
19,Elias Harris,100000.0,2013,0.0012915956106104786,0.129,LAL,2e8cf8a9-4967-4784-9d3e-f8b0d2e10192
0,Dirk Nowitzki,22721381.0,2013,0.30290264412870244,91.75,DAL,2c65279f-3a4f-4c12-8369-793f979c9934
1,Shawn Marion,9316796.0,2013,0.1242038124006511,15.427,DAL,5d4d73e4-5fe8-43d3-8869-8997e243d262
2,Monta Ellis,8360000.0,2013,0.11144860010559889,12.421,DAL,faa665e8-2fa5-4bbb-8247-8ef7bbd8c177
3,Brendan Haywood,7073500.0,2013,0.0942980469912624,8.892,DAL,57d8912e-77d6-45b6-b0c2-d5f269c57e20
