,player,salary,year,perc,perc_score,team,uuid
0,Larry Bird,7070000.0,1991,0.2789724973365426,77.826,BOS,876af41e-0c66-4daf-b0fd-7d820ff0e55e
1,Kevin McHale,3500000.0,1991,0.13810519670125873,19.073,BOS,c2736b2b-acea-4191-b85e-c8144d36d911
2,Reggie Lewis,3340000.0,1991,0.13179181628062975,17.369,BOS,4afde9c7-0a1e-48b7-a660-4c5edf85c105
3,Robert Parish,3000000.0,1991,0.1183758828867932,14.013,BOS,b32f2754-b209-4375-9e8b-1076b18ecf0a
4,Kevin Gamble,1400000.0,1991,0.055242078680503494,3.052,BOS,9a2469a9-1262-4c2a-85da-acc7a3e487f6
5,Brian Shaw,1313000.0,1991,0.05180917807678649,2.684,BOS,fe3edc8f-1d05-4ce4-bc1b-65cc1983b048
6,Joe Kleine,950000.0,1991,0.03748569624748451,3.749,BOS,bd352746-6cdd-4a07-838c-4a2b06fbc93f
7,Ed Pinckney,900000.0,1991,0.03551276486603796,3.551,BOS,68ada192-7378-460e-9aa6-952225d7ff51
8,Dee Brown,705000.0,1991,0.0278183324783964,2.782,BOS,f3409c41-8f7a-451e-8e19-5db262e1f39e
9,Stojko Vrankovic,665000.0,1991,0.026239987373239158,2.624,BOS,bdc121b4-f0fd-4b8c-becd-ef36bd9782be
10,Michael Smith,625000.0,1991,0.024661642268081915,2.466,BOS,91510177-eba8-4f42-8328-30266e83c8ba
11,John Bagley,550000.0,1991,0.021702245195912087,2.17,BOS,2bb97067-0d4d-4389-8ab8-1c6d9259adea
12,Rick Fox,525000.0,1991,0.02071577950518881,2.072,BOS,ecffeb31-7eb9-4fd6-889f-a7684e3eeadf
13,Rickey Green,315000.0,1991,0.012429467703113286,1.243,BOS,e513ab54-c9fc-4702-a317-e29837c36656
14,Rickey Green,130000.0,1991,0.009247403613600796,0.925,PHI,e513ab54-c9fc-4702-a317-e29837c36656
15,Jim Paxson,225000.0,1991,0.00887819121650949,0.888,BOS,9d6292a1-6d80-44d1-b964-70052c277e4b
16,A.J. Wynder,130000.0,1991,0.005129621591761039,0.513,BOS,34997a6c-5a2d-4e53-983e-fa2626160098
17,Kevin Pritchard,130000.0,1991,0.005129621591761039,0.513,BOS,3d46e43c-ecfc-40de-9c25-32235d97176c
18,Kevin Pritchard,158000.0,1991,0.013635971347199448,1.364,SA,3d46e43c-ecfc-40de-9c25-32235d97176c
19,Hot Rod Williams,3786000.0,1991,0.2242625281364767,50.294,CLE,ca94dd3e-c3dc-4682-8c88-0ed654c9d074
20,Danny Ferry,2843000.0,1991,0.16840421750977372,28.36,CLE,4d2819b0-30c9-40f3-af49-4b950b0fad78
21,Brad Daugherty,2245000.0,1991,0.13298187418552304,17.684,CLE,ae75e1f9-765b-4cde-afbc-b5e9f18e0a26
22,Mark Price,1520000.0,1991,0.09003672550645658,8.107,CLE,1a806ca8-ea9c-4690-8fe4-0b7d13c80d36
23,Larry Nance,1363000.0,1991,0.08073687951664495,6.518,CLE,97054146-250e-4988-aff6-40ce7e6f6c4d
24,Craig Ehlo,925000.0,1991,0.05479208624570549,3.002,CLE,795a4e74-2e82-4ca1-9a6c-7aca4be004de
25,John Battle,700000.0,1991,0.04146428148323658,4.146,CLE,4d187ef0-b773-403a-8c23-44795864c732
26,Chucky Brown,640000.0,1991,0.03791020021324488,3.791,CLE,8c9b0d6c-9002-479b-837d-7e0205884c09
27,Steve Kerr,553000.0,1991,0.0327567823717569,3.276,CLE,f52380e3-3333-49ec-9a07-4882e9aa9ab3
28,Terrell Brandon,525000.0,1991,0.031098211112427436,3.11,CLE,823fab52-6900-49dc-84a3-9402c2c86964
29,Winston Bennett,525000.0,1991,0.031098211112427436,3.11,CLE,8a878db9-9704-487a-b93a-36040ff5e216
30,Henry James,477000.0,1991,0.028254946096434072,2.825,CLE,a0369328-797f-4fce-bff9-bf6e823785c4
31,John Morton,450000.0,1991,0.026655609524937805,2.666,CLE,6f2c6271-58fe-44cd-87c6-47f76478949d
32,Jimmy Oliver,200000.0,1991,0.011846937566639024,1.185,CLE,6620b26e-324c-4fb4-a5ad-99a9244957e6
33,Darnell Valentine,130000.0,1991,0.007700509418315365,0.77,CLE,97c7b2c0-f468-4b37-b959-9e801c684d5e
34,Michael Jordan,3250000.0,1991,0.19311902073801177,37.295,CHI,6cbad2dc-2d47-4b93-b998-97f104cef79c
35,Scottie Pippen,2770000.0,1991,0.1645968269059362,27.092,CHI,94d2cbb1-a959-4ab1-b9fb-40e934ee5ce3
36,Bill Cartwright,2000000.0,1991,0.11884247430031493,14.124,CHI,fa7e674e-3e4e-44af-9c7d-1a1add052f6c
37,Horace Grant,1750000.0,1991,0.10398716501277556,10.813,CHI,c856ad79-88c6-4ea2-8901-b9a394638941
38,John Paxson,1600000.0,1991,0.09507397944025195,9.039,CHI,b6d20633-3526-44be-9b9f-f639a85ab94a
39,Cliff Levingston,1350000.0,1991,0.08021867015271258,6.435,CHI,bd39a247-0020-411a-ba0c-7ff9eee98d43
40,Stacey King,1100000.0,1991,0.0653633608651732,4.272,CHI,5b84f04e-38ff-420b-a878-402646fde840
41,Craig Hodges,700000.0,1991,0.041594866005110226,4.159,CHI,9736352a-7db2-4ecd-93e9-96ce15cda98d
42,Bob Hansen,600000.0,1991,0.03565274229009448,3.565,CHI,97d9b7c3-f2eb-4322-b672-f1cd33b6575c
43,Will Perdue,500000.0,1991,0.029710618575078732,2.971,CHI,fa1ad0af-f9c3-4612-89ca-30d319071a97
44,BJ Armstrong,435000.0,1991,0.025848238160318497,2.585,CHI,c798ae24-e3bc-4a05-a2a8-ba80a2c4f50f
45,Scott Williams,350000.0,1991,0.020797433002555113,2.08,CHI,3e79b5ca-eea7-4699-ac24-6ed33798fff5
46,Mark Randall,180000.0,1991,0.010695822687028345,1.07,CHI,4d0f1217-286a-46c7-8c79-99ccf66fbb0f
47,Rory Sparrow,126000.0,1991,0.007487075880919841,0.749,CHI,b3b9a078-9fd5-4a28-9c76-8b6ab6ecfd8b
48,Chuck Nevitt,118000.0,1991,0.0070117059837185814,0.701,CHI,6870538a-c56e-4dff-b98f-9bb030791345
49,Sam Perkins,2507000.0,1991,0.15995661328399158,25.586,LAL,9b20199a-21ae-47ad-b9ed-5cc9b08354f3
50,Magic Johnson,2500000.0,1991,0.15950998532508134,25.443,LAL,32849c49-16d0-4dcb-8950-b84476691422
51,Mychal Thompson,1807000.0,1991,0.1152938173929688,13.293,LAL,b549d043-ba44-4ea2-844d-34fd55afbe7c
