,Team,Totals,Year,Abb
0,New York,117350866.0,2006,NY
1,Dallas,88531846.0,2006,DAL
2,LA Lakers,77099949.0,2006,LAL
3,Portland,75026386.0,2006,POR
4,Philadelphia,69140163.0,2006,PHI
5,Minnesota,66820673.0,2006,MIN
6,Phoenix,65841120.0,2006,PHO
7,San Antonio,65654320.0,2006,SA
8,Denver,65517776.0,2006,DEN
9,Golden State,65012368.0,2006,GS
10,Brooklyn,64486110.0,2006,BKN
11,Miami,64416312.0,2006,MIA
12,Sacramento,64296611.0,2006,SAC
13,Houston,63837566.0,2006,HOU
14,Milwaukee,63498518.0,2006,MIL
15,Indiana,63118965.0,2006,IND
16,Cleveland,62992729.0,2006,CLE
17,Boston,62981479.0,2006,BOS
18,Washington,62733705.0,2006,WSH
19,Utah,62364364.0,2006,UTA
20,Memphis,61960489.0,2006,MEM
21,Orlando,61447108.0,2006,ORL
22,LA Clippers,59181038.0,2006,LAC
23,Detroit,59010951.0,2006,DET
24,Oklahoma City,56986831.0,2006,OKC
25,Chicago,54754904.0,2006,CHI
26,New Orleans,53748991.0,2006,NO
27,Toronto,51015491.0,2006,TOR
28,Atlanta,48581972.0,2006,ATL
29,Charlotte,41964046.0,2006,CHA
