,Player,Salary,Year,Perc,Perc_score,Abb,UUID
0,Chris Paul,38506482.0,2019,0.29167613570816414,85.075,OKC,61cbf931-8bc1-4186-99b6-41709cb25bf5
1,Steven Adams,25842697.0,2019,0.19575140614603448,38.319,OKC,46ce77d6-85a7-4a93-ba7d-f335ec907c76
2,Danilo Gallinari,22615559.0,2019,0.1713067128801845,29.346,OKC,6573b86a-b743-4f04-9a03-c094cf5fc45f
3,Dennis Schroeder,15500000.0,2019,0.117408287349557,13.785,OKC,921c97ac-f9d0-4d5e-8e18-0f48468c6aac
4,Andre Roberson,10740740.0,2019,0.08135818633979876,6.619,OKC,6c9cc11d-1150-44d8-87d3-942078449755
5,Shai Gilgeous-Alexander,3952920.0,2019,0.029942294659987795,2.994,OKC,8ea7afeb-fc98-4fab-a247-ef551b049d8d
6,Terrance Ferguson,2475840.0,2019,0.01875381510655014,1.875,OKC,1b439417-678a-4424-b5a1-b3fdf484ef3a
7,Darius Bazley,2284800.0,2019,0.01730673902814631,1.731,OKC,653846d6-1abe-404c-b726-c1d17ae16ea2
8,Mike Muscala,2028594.0,2019,0.01536604821081208,1.537,OKC,6ca7ae28-c4ad-4bcc-91ef-bd3c02cc7520
9,Nerlens Noel,1882867.0,2019,0.014262205792064409,1.426,OKC,31b8f959-9bec-4a7c-afd9-16eae2bed402
10,Abdel Nader,1618520.0,2019,0.012259849112322902,1.226,OKC,c7962886-f304-4b58-9cc0-a206ef6f7a6e
11,Isaiah Roby,1500000.0,2019,0.011362092324150678,1.136,OKC,101b0787-caee-4baf-8877-61ff5cc00f3a
12,Hamidou Diallo,1416852.0,2019,0.010732268822438357,1.073,OKC,f9321cc5-45f7-442b-8d3b-52378ace1473
13,Deonte Burton,1416852.0,2019,0.010732268822438357,1.073,OKC,42ced12e-31b9-4ac4-b8ab-c57804631021
14,Luguentz Dort,155647.0,2019,0.001178983722651387,0.118,OKC,523febaa-9317-44fa-b897-531436b664dd
15,Kevin Hervey,79568.0,2019,0.0006027059746986807,0.06,OKC,d3daefd1-3b4c-4ec5-a756-4e4c7572c776
0,Damian Lillard,29802321.0,2019,0.22580945304625166,50.99,POR,661aaab7-cd03-4fc0-a2d5-66c720502a29
1,CJ McCollum,27556959.0,2019,0.20879655109439235,43.596,POR,0f573632-b692-47e3-a448-71de53dd5822
2,Hassan Whiteside,27093018.0,2019,0.20528131268541974,42.14,POR,b2d4e35e-d992-4a59-a168-4ab9036e9ba1
3,Trevor Ariza,12200000.0,2019,0.09243828113804527,8.545,POR,88096c7c-12f5-4a15-8541-69173def46ce
4,Jusuf Nurkic,12000000.0,2019,0.09092289948004452,8.267,POR,03492446-69fc-4249-a793-7921bfa6c664
5,Rodney Hood,5718000.0,2019,0.04332476160224121,4.332,POR,506a76f4-e20f-43aa-9058-f6095e4a43c6
6,Zach Collins,4240200.0,2019,0.03212760653127373,3.213,POR,15b1ea4b-c9e7-4a68-a18b-598c488e9a27
7,Carmelo Anthony,2159029.0,2019,0.01635876472845842,1.636,POR,3807a8ee-fb89-4e24-a723-1b0b709a7a01
8,Anfernee Simons,2149560.0,2019,0.016287018983860375,1.629,POR,eafe4996-9f4e-44bf-9c4b-29d112c48a65
9,Nassir Little,2105520.0,2019,0.01595333194276861,1.595,POR,0396361c-822b-48d0-9a58-321096dfb48d
10,Caleb Swanigan,2033160.0,2019,0.015405066858903943,1.541,POR,99d7e80e-ca77-49d9-81d6-8013b439c151
11,Mario Hezonja,1737145.0,2019,0.013162188351438495,1.316,POR,5d01b161-c2ca-43a2-bc27-41bb659bfec9
12,Wenyen Gabriel,1445697.0,2019,0.010953913584133494,1.095,POR,73beef42-cc5d-4f0f-b9a2-d94a4296e4b7
13,Gary Trent Jr,1416852.0,2019,0.010735357664508336,1.074,POR,e0d7c00b-fa01-4bd2-a262-0db13b5cf810
14,Jaylen Adams,163356.0,2019,0.001237733430621846,0.124,POR,cddf67ea-6c29-4b72-8f32-1f695289484e
15,Moses Brown,79568.0,2019,0.0006028794388190152,0.06,POR,f129e257-d191-4b5b-a154-fe6650a4e21e
16,Jaylen Hoard,79568.0,2019,0.0006028794388190152,0.06,POR,b31a4afa-7099-464d-9bde-ed8bb4afc3c9
0,Paul George,33005556.0,2019,0.2509807188689099,62.991,LAC,fd3a23ba-8ccf-4790-bdf7-52782a310c86
1,Kawhi Leonard,32742000.0,2019,0.24897658737231537,61.989,LAC,a8de2eeb-afae-44ff-aa2f-24b11323daf9
2,Marcus Morris,15000000.0,2019,0.11406294088891121,13.01,LAC,9b90a5fe-a758-4ed5-a719-4d897fab6e67
3,Patrick Beverley,12345680.0,2019,0.09387897120489422,8.813,LAC,e00c813d-373c-4c94-b76f-ae42f7df7723
4,Louis Williams,8000000.0,2019,0.060833568474085976,3.701,LAC,d861edd2-969c-4d79-ae0d-9c6d1ffa11d2
5,Ivica Zubac,6481482.0,2019,0.04928645988256947,4.929,LAC,5924adc4-f541-46c2-97ab-97a3e737ab9d
6,Montrezl Harrell,6000000.0,2019,0.045625176355564484,4.563,LAC,64379148-f232-45b7-abe0-c3f3b5c6138a
7,Rodney McGruder,4807693.0,2019,0.03655864016473548,3.656,LAC,0879be01-e4fe-4713-a9e4-19828e6b4b31
8,JaMychal Green,4767000.0,2019,0.03624920261449598,3.625,LAC,8a00f11f-5cc1-4b94-9fb0-455aff4bd534
9,Patrick Patterson,2331593.0,2019,0.017729890302399944,1.773,LAC,1e19f27d-c7b0-4b8a-a7c3-3107384f225b
10,Landry Shamet,1995120.0,2019,0.015171283641752301,1.517,LAC,1522bfb2-55d6-46d0-92e6-b04260693180
11,Mfiondu Kabengele,1977000.0,2019,0.015033495609158497,1.503,LAC,5d04eae9-1d3f-4785-8352-e3f7cae76985
12,Terance Mann,1000000.0,2019,0.007604196059260747,0.76,LAC,517e3746-ecff-4a49-b247-196bce41bb37
13,Reggie Jackson,512721.0,2019,0.0038988310077002295,0.39,LAC,5d3a2927-8c9b-4174-ab0c-a4b05da0e1d1
14,Joakim Noah,381360.0,2019,0.0028999362091596784,0.29,LAC,966edf81-b6b9-4f2c-83a5-73bcbe7f0157
15,Johnathan Motley,79568.0,2019,0.0006050506720432591,0.061,LAC,69f3df5d-2018-44cb-88e4-d9920f6e8763
16,Amir Coffey,79568.0,2019,0.0006050506720432591,0.061,LAC,7e545d9b-7a5c-4a63-902c-36aa1d699bc7
0,Kevin Love,28942830.0,2019,0.2208381350503287,48.769,CLE,d5ae36c1-d5d4-4d26-8c87-cdc42b78b90a
1,Andre Drummond,27093018.0,2019,0.20672379197213908,42.735,CLE,1e0d924a-63aa-43fe-8912-7708757d7242
2,Tristan Thompson,18539130.0,2019,0.14145634323442458,20.01,CLE,678144c4-fb03-42fa-88df-c77576787fa7
3,Larry Nance Jr,12727273.0,2019,0.09711100240012473,9.431,CLE,ecb76b7d-5592-41a4-89eb-ea476d00b708
4,Matthew Dellavedova,9607500.0,2019,0.07330666636593702,5.374,CLE,f77a2c69-759a-4bd5-8182-e4993ed5463d
5,Dante Exum,9600000.0,2019,0.07324944024074893,5.365,CLE,c1bcaf85-1c0c-45a3-899b-ed529c52859e
6,Darius Garland,6400920.0,2019,0.04883997989852236,4.884,CLE,81d543c4-7603-4ef7-977e-410f91a5100b
7,Collin Sexton,4764960.0,2019,0.036357359663495736,3.636,CLE,b8ee5f0d-b500-4681-a467-f3eff6324683
8,Cedi Osman,2907143.0,2019,0.022181937234355374,2.218,CLE,daa099ae-7208-4e0a-8402-d5627d30a798
