,player,salary,year,perc,perc_score,team,uuid
0,Patrick Ewing,18500000.0,1998,0.3086141722300627,95.243,NY,b37ba7aa-8c68-4dff-b6c6-94051e3fca06
1,Larry Johnson,10186000.0,1998,0.16992129504515777,28.873,NY,d8b862bc-d388-4f95-bab2-d51913dffce3
2,Latrell Sprewell,8300000.0,1998,0.13845933132483892,19.171,NY,0bfd9d49-7871-4504-a406-32c8c6fe5e86
3,Allan Houston,7000000.0,1998,0.1167729300329967,13.636,NY,465e59ac-6809-4cb1-a46a-c54e1193b673
4,Chris Childs,3640000.0,1998,0.06072192361715828,3.687,NY,5f5dbe60-7f2f-40ef-8a62-66c2483855c4
5,Marcus Camby,3164000.0,1998,0.052781364374914506,2.786,NY,daabe87b-5399-40dc-9a97-5c08300da5a5
6,Kurt Thomas,1750000.0,1998,0.029193232508249175,2.919,NY,d3b65687-9fb8-4089-bfc2-b5d624452cf4
7,Buck Williams,1670000.0,1998,0.027858684736443498,2.786,NY,8e9fe8ca-129b-4f58-aa74-7be4970db484
8,Charlie Ward,1221000.0,1998,0.020368535367184137,2.037,NY,75da2c59-d6f0-4526-ad3b-5b1478e167bb
9,David Wingate,1000000.0,1998,0.016681847147570955,1.668,NY,32fd444d-fa09-4d8d-b859-ed406dbaefcb
10,Dennis Scott,1000000.0,1998,0.016681847147570955,1.668,NY,3d0730d9-64e4-470d-82c1-0dffd8105932
11,Dennis Scott,725000.0,1998,0.02189853998658299,2.19,MIN,3d0730d9-64e4-470d-82c1-0dffd8105932
12,Herb Williams,1000000.0,1998,0.016681847147570955,1.668,NY,8a793693-c9bd-49ac-bcc5-07ec7c797bd4
13,Mirsad Turkcan,739400.0,1998,0.012334557780913965,1.233,NY,699546b6-2a11-466c-978d-1c837754043b
14,Ben Davis,425000.0,1998,0.007089785037717657,0.709,NY,c0d9a90e-a188-4d8a-a308-9fee03fa2385
15,Rick Brunson,350000.0,1998,0.005838646501649835,0.584,NY,736965ff-f60f-4ca6-95a4-f7d7fbe55aa0
16,Arvydas Sabonis,9000000.0,1998,0.16445715434303934,27.046,POR,156f499e-05c4-4f63-b5ea-ca7e35b0b520
17,Damon Stoudamire,9000000.0,1998,0.16445715434303934,27.046,POR,65af4a1d-57ae-4291-8d73-4181ad67d20a
18,Rasheed Wallace,9000000.0,1998,0.16445715434303934,27.046,POR,59cc773b-c6d6-4242-ae3e-6795a5945ee2
19,Brian Grant,6000000.0,1998,0.10963810289535957,12.021,POR,cb60c459-9cd0-48ce-a876-10795693f3d0
20,Isaiah Rider,4810000.0,1998,0.08789321248777993,7.725,POR,6880c19d-624f-4231-ab15-8d291dd23d8e
21,Stacey Augmon,3200000.0,1998,0.0584736548775251,3.419,POR,5a3e9fd3-c9fe-4c9f-ad4f-e9b2e05ad6c0
22,Walt Williams,3000000.0,1998,0.05481905144767978,3.005,POR,12444039-8819-4e46-9134-03ad3406bd4c
23,Carlos Rogers,2000000.0,1998,0.03654603429845319,3.655,POR,3f35dc45-b811-4446-a8eb-c0378cd49a14
24,Jim Jackson,1750000.0,1998,0.03197778001114654,3.198,POR,9c03bb87-7a3d-4f9a-9ad8-b455d8782fa4
25,Kelvin Cato,1149000.0,1998,0.02099569670446136,2.1,POR,909ae863-05ac-4c22-b009-9caeda539a53
26,Bonzi Wells,1100000.0,1998,0.020100318864149255,2.01,POR,794b91a7-20a9-43df-a579-89ad70cd1e45
27,Jermaine O'Neal,1075000.0,1998,0.019643493435418588,1.964,POR,45cea8b4-0319-4aac-9f62-1dc0f13900e9
28,Gary Grant,1000000.0,1998,0.018273017149226595,1.827,POR,0ad85d16-2bf0-4ad4-9809-fd9959229831
29,Greg Anthony,1000000.0,1998,0.018273017149226595,1.827,POR,c9961f2c-2cd0-42ee-80bb-9553fc139f92
30,Brian Shaw,850000.0,1998,0.015532064576842605,1.553,POR,fe3edc8f-1d05-4ce4-bc1b-65cc1983b048
31,Brian Shaw,3400000.0,1998,0.081908131839329,6.709,PHI,fe3edc8f-1d05-4ce4-bc1b-65cc1983b048
32,John Crotty,504000.0,1998,0.009209600643210204,0.921,POR,136cd263-ba67-449d-ab12-5401d727c24e
33,John Crotty,600000.0,1998,0.01972835242413117,1.973,OKC,136cd263-ba67-449d-ab12-5401d727c24e
