,player,salary,year,perc,perc_score,team,uuid
49,Raef LaFrentz,12722500.0,2008,0.15851595623671297,25.127,POR,4edcf6cd-8e7b-4fa0-9042-85aced40fdab
50,Darius Miles,9000000.0,2008,0.11213547699983624,12.574,POR,56a9c605-50f9-4ada-ab53-18e2006aeecd
51,Darius Miles,704752.0,2008,0.012594269560172006,1.259,MEM,56a9c605-50f9-4ada-ab53-18e2006aeecd
52,Joel Przybilla,6310150.0,2008,0.0786212977989463,6.181,POR,a696a140-692e-4e14-b99c-b403b005bec4
53,Greg Oden,5011680.0,2008,0.06244301415228214,3.899,POR,9cbb68a9-833e-4870-b07e-7ce8c5b91981
54,LaMarcus Aldridge,4631400.0,2008,0.057704916464115734,3.33,POR,8e44a15c-b4d5-4dfe-bdf7-b86931475b32
55,Steve Blake,4250000.0,2008,0.05295286413881156,2.804,POR,1239a758-90d2-47e1-bc59-d2d3d856d761
56,Travis Outlaw,4000000.0,2008,0.049837989777705,4.984,POR,5872106e-ad64-4fb8-bdfa-fecde6ebeacb
57,Martell Webster,3771133.0,2008,0.04698642197609149,4.699,POR,86b79c95-1d2a-426a-a328-4069683029ba
58,Channing Frye,3163769.0,2008,0.03941897177025499,3.942,POR,f521a6f7-c63d-4537-8b28-1de83ebf2dbe
59,Brandon Roy,3084240.0,2008,0.038428080397997215,3.843,POR,2f706a85-498c-4595-9593-df8ed30c2c4d
60,Jerryd Bayless,1993560.0,2008,0.024838755725310392,2.484,POR,b8667997-e0e0-407a-835a-0608faa1cffb
61,Michael Ruffin,1141838.0,2008,0.014226727642948779,1.423,POR,c4390fd5-5249-48f7-81d9-ded8a37770ef
62,Rudy Fernandez,1084080.0,2008,0.013507091989553608,1.351,POR,4af3f512-b49c-4c7c-9d9f-35d38604c24c
63,Sergio Rodriguez,1048800.0,2008,0.01306752091971425,1.307,POR,28eb860f-a06c-4897-a54e-41acff6476bc
64,Nicolas Batum,1040640.0,2008,0.012965851420567732,1.297,POR,b81297e1-4063-4e09-aed3-98096249002b
65,Shavlik Randolph,826269.0,2008,0.010294896493908632,1.029,POR,9cb61d7b-89ca-4b94-a577-905a2aa6d8d8
66,Kevin Garnett,24751934.0,2008,0.3125679379627767,97.699,BOS,8c4661f3-343f-4842-be7c-8b91d0f7409f
67,Ray Allen,18388430.0,2008,0.23220947694321026,53.921,BOS,d0df9ea6-dc69-4d3d-9311-41a1fdebad9c
68,Paul Pierce,18077903.0,2008,0.22828813552109078,52.115,BOS,ead63c29-2988-478d-b595-6060f10983e0
69,Kendrick Perkins,4578880.0,2008,0.05782219198625041,3.343,BOS,e83ab462-df4f-45fd-a36c-24aca460ffc3
70,Brian Scalabrine,3206897.0,2008,0.04049676209337883,4.05,BOS,a7291594-bbd7-4160-a495-00a9079dbc6a
71,Eddie House,2650000.0,2008,0.03346425518108437,3.346,BOS,407617b8-808d-4301-a467-48864820a47e
72,Tony Allen,2500000.0,2008,0.03157005205762676,3.157,BOS,917674b3-1b6e-48ed-8d3b-f9161c1ea734
73,Rajon Rondo,1315080.0,2008,0.01660685762397752,1.661,BOS,00e6c4e1-3e3e-4f98-a6b3-ce587b855030
74,JR Giddens,957120.0,2008,0.01208653129015829,1.209,BOS,b6b56836-3bb7-4f5d-9471-63ceeb0bf8b2
