,player,salary,year,perc,perc_score,team,uuid
0,Stephen Curry,45780966.0,2021,0.25578707155605757,65.427,GS,9c7a1a07-4978-474c-b472-3cb227f9e4cf
1,Klay Thompson,37980720.0,2021,0.21220559532078437,45.031,GS,8b3293db-f894-424e-98df-3fefff3c890f
2,Andrew Wiggins,31579390.0,2021,0.17644013212011841,31.131,GS,cdf4af39-bbc9-40a2-b6e6-26f64d9a581b
3,Draymond Green,24026712.0,2021,0.1342418659667598,18.021,GS,c11cfa25-fa01-4b4b-8338-40cee9f624df
4,James Wiseman,9166800.0,2021,0.05121667654500931,2.623,GS,24836ecb-9598-4bf6-96c5-b9a44fbd8bda
5,Jonathan Kuminga,5466360.0,2021,0.03054160579466958,3.054,GS,cac1cf60-fbbd-4ed6-b0ca-dc6e30614ee0
6,Kevon Looney,5178572.0,2021,0.028933678828930703,2.893,GS,dca8b9e4-1c22-4fa1-b5bc-db2fe335ee14
7,Moses Moody,3562200.0,2021,0.01990269725407254,1.99,GS,9aac3b73-9711-4ce3-a750-e4ec9c00f30d
8,Andre Iguodala,2641691.0,2021,0.014759636239348757,1.476,GS,bd56f727-1302-42ae-b243-bf6722378b35
9,Otto Porter,2389641.0,2021,0.013351384360484858,1.335,GS,d068734f-5f25-4bfa-9a1f-018bc2cc004b
10,Jordan Poole,2161440.0,2021,0.012076381436427645,1.208,GS,d3a2af4b-11a7-43c3-b557-ab9bdf8e0509
11,Nemanja Bjelica,2089448.0,2021,0.011674148271328776,1.167,GS,09b700f7-a33c-402e-a635-b1c45b1ae43e
12,Damion Lee,1910860.0,2021,0.010676342730592626,1.068,GS,28dd4526-de87-4e5c-a1f3-e9b5e7dba905
13,Juan Toscano-Anderson,1701593.0,2021,0.00950712771002444,0.951,GS,2748b41e-5778-4c5b-aab2-736a9bec566d
14,Gary Payton II,1669178.0,2021,0.009326018863948767,0.933,GS,18691411-9268-4904-9571-02e529b61cc0
15,Shaun Livingston,666666.0,2021,0.0037247912996416607,0.372,GS,847b6ccd-7bce-42ff-8ec0-aec1ec919b85
16,Chris Chiozza,462629.0,2021,0.002584797296040179,0.258,GS,84627dd5-b76a-4f01-b7d9-aea9d3370bf9
17,Quinndary Weatherspoon,346491.0,2021,0.0019359119292181373,0.194,GS,2e85f52a-9d47-403c-90b5-c1d5d1d65b92
18,Jeff Dowtin,199409.0,2021,0.0011141364765418424,0.111,GS,4c857a36-4072-41f3-a801-ae98f221321d
19,Jeff Dowtin,53176.0,2021,0.000330541481535579,0.033,MIL,4c857a36-4072-41f3-a801-ae98f221321d
20,Jeff Dowtin,53176.0,2021,0.00041941325587238897,0.042,ORL,4c857a36-4072-41f3-a801-ae98f221321d
21,Kevin Durant,42018900.0,2021,0.2403663292484136,57.776,BKN,5dde60a0-ddd0-444a-a30d-af49c13df613
