,Player,2019/20
0,Stephen Curry,"$40,231,758"
1,Russell Westbrook,"$38,506,482"
2,Chris Paul,"$38,506,482"
3,James Harden,"$38,199,000"
4,John Wall,"$38,199,000"
5,LeBron James,"$37,436,858"
6,Kevin Durant,"$37,199,000"
7,Blake Griffin,"$34,449,964"
8,Kyle Lowry,"$33,296,296"
9,Paul George,"$33,005,556"
10,Kemba Walker,"$32,742,000"
11,Klay Thompson,"$32,742,000"
12,Kawhi Leonard,"$32,742,000"
13,Jimmy Butler,"$32,742,000"
14,Tobias Harris,"$32,742,000"
15,Gordon Hayward,"$32,700,690"
16,Mike Conley,"$32,511,623"
17,Kyrie Irving,"$31,742,000"
18,Khris Middleton,"$30,603,448"
19,Paul Millsap,"$30,350,000"
20,Damian Lillard,"$29,802,321"
21,Kevin Love,"$28,942,830"
22,Nikola Vucevic,"$28,000,000"
23,Al Horford,"$28,000,000"
24,DeMar DeRozan,"$27,739,975"
25,CJ McCollum,"$27,556,959"
26,Nikola Jokic,"$27,504,630"
27,Andrew Wiggins,"$27,504,630"
28,Joel Embiid,"$27,504,630"
29,Kristaps Porzingis,"$27,285,000"
30,D'Angelo Russell,"$27,285,000"
31,Karl-Anthony Towns,"$27,285,000"
32,Devin Booker,"$27,285,000"
33,Otto Porter,"$27,250,576"
34,Anthony Davis,"$27,093,019"
35,Andre Drummond,"$27,093,018"
36,Hassan Whiteside,"$27,093,018"
37,Bradley Beal,"$27,093,018"
38,Jrue Holiday,"$26,131,111"
39,LaMarcus Aldridge,"$26,000,000"
40,Giannis Antetokounmpo,"$25,842,697"
41,Steven Adams,"$25,842,697"
42,Marc Gasol,"$25,595,700"
43,Nicolas Batum,"$25,565,217"
44,Rudy Gobert,"$25,258,427"
45,Chandler Parsons,"$25,102,512"
46,Harrison Barnes,"$24,147,727"
47,Serge Ibaka,"$23,271,604"
48,Danilo Gallinari,"$22,615,559"
49,Victor Oladipo,"$21,000,000"
50,Tim Hardaway Jr,"$20,025,127"
51,Malcolm Brogdon,"$20,000,000"
52,Terry Rozier,"$19,894,737"
53,Aaron Gordon,"$19,863,636"
54,Zach LaVine,"$19,500,000"
55,Kent Bazemore,"$19,269,663"
56,Goran Dragic,"$19,217,900"
57,Jeff Teague,"$19,000,000"
58,Evan Turner,"$18,606,556"
59,Tristan Thompson,"$18,539,130"
60,Draymond Green,"$18,539,130"
61,Gary Harris,"$18,189,286"
62,Myles Turner,"$18,000,000"
63,Julius Randle,"$18,000,000"
64,Derrick Favors,"$17,650,000"
65,Andre Iguodala,"$17,185,185"
66,Evan Fournier,"$17,150,000"
67,Bismack Biyombo,"$17,000,000"
68,Bojan Bogdanovic,"$17,000,000"
69,Clint Capela,"$16,896,552"
70,Gorgui Dieng,"$16,229,213"
71,Ricky Rubio,"$16,200,000"
72,Jonas Valanciunas,"$16,000,000"
73,Brandon Knight,"$15,643,750"
74,Eric Bledsoe,"$15,625,000"
75,Kelly Oubre,"$15,625,000"
76,Dennis Schroeder,"$15,500,000"
77,Ian Mahinmi,"$15,450,051"
78,James Johnson,"$15,349,400"
79,Marcus Morris,"$15,000,000"
80,Bobby Portis,"$15,000,000"
81,Danny Green,"$14,634,147"
82,Rudy Gay,"$14,500,000"
83,Cody Zeller,"$14,471,910"
84,Eric Gordon,"$14,057,730"
85,Mason Plumlee,"$14,041,096"
86,JJ Redick,"$13,486,300"
87,Jordan Clarkson,"$13,437,500"
88,Dewayne Dedmon,"$13,333,334"
89,Solomon Hill,"$13,290,395"
90,Justise Winslow,"$13,000,000"
91,Thaddeus Young,"$12,900,000"
92,Will Barton,"$12,776,786"
93,Courtney Lee,"$12,759,670"
94,Larry Nance Jr,"$12,727,273"
95,Patrick Mills,"$12,678,571"
96,Kelly Olynyk,"$12,667,885"
97,Marcus Smart,"$12,553,571"
98,Terrence Ross,"$12,500,000"
99,Patrick Beverley,"$12,345,680"
100,Trevor Ariza,"$12,200,000"
101,Brook Lopez,"$12,093,024"
102,Jusuf Nurkic,"$12,000,000"
103,Cory Joseph,"$12,000,000"
104,Joe Ingles,"$11,454,546"
105,Tony Snell,"$11,392,857"
106,Robert Covington,"$11,301,219"
107,Meyers Leonard,"$11,286,515"
108,TJ Warren,"$11,060,000"
109,Moe Harkless,"$11,011,234"
110,Andre Roberson,"$10,740,740"
111,Spencer Dinwiddie,"$10,605,600"
112,Jeremy Lamb,"$10,500,000"
113,Dwight Powell,"$10,259,375"
114,George Hill,"$10,133,907"
115,Josh Richardson,"$10,116,576"
116,Norman Powell,"$10,116,576"
117,Tyus Jones,"$10,116,000"
118,Tomas Satoransky,"$10,000,000"
119,DeAndre Jordan,"$9,881,598"
120,Zion Williamson,"$9,757,440"
121,Markelle Fultz,"$9,745,200"
122,John Henson,"$9,732,396"
123,Matthew Dellavedova,"$9,607,500"
124,Dante Exum,"$9,600,000"
125,Deandre Ayton,"$9,562,920"
126,Delon Wright,"$9,473,684"
127,Jerami Grant,"$9,346,153"
128,Fred VanVleet,"$9,346,153"
129,Al-Farouq Aminu,"$9,258,000"
130,Kyle Anderson,"$9,073,050"
131,Taj Gibson,"$9,000,000"
132,Ja Morant,"$8,730,240"
133,Lonzo Ball,"$8,719,320"
134,E'Twaun Moore,"$8,664,928"
135,Marvin Bagley,"$8,556,120"
136,Bogdan Bogdanovic,"$8,529,386"
137,PJ Tucker,"$8,349,039"
138,Cristiano Felicio,"$8,156,500"
139,Kentavious Caldwell-Pope,"$8,139,282"
140,Ben Simmons,"$8,113,929"
141,Maxi Kleber,"$8,000,000"
142,Louis Williams,"$8,000,000"
143,Elfrid Payton,"$8,000,000"
144,Wayne Ellington,"$8,000,000"
145,Thomas Bryant,"$8,000,000"
146,RJ Barrett,"$7,839,960"
147,Jayson Tatum,"$7,830,000"
148,Jae Crowder,"$7,815,533"
149,Luka Doncic,"$7,683,360"
150,Joe Harris,"$7,666,667"
151,Seth Curry,"$7,461,380"
152,DeMarre Carroll,"$7,339,258"
153,Langston Galloway,"$7,333,333"
154,Doug McDermott,"$7,333,333"
155,Derrick Rose,"$7,317,074"
