,Player,2006/07
0,Kevin Garnett,"$21,000,000"
1,Shaquille O'Neal,"$20,000,000"
2,Michael Finley,"$19,030,999"
3,Chris Webber,"$18,261,024"
4,Jason Kidd,"$18,084,000"
5,Jermaine O'Neal,"$18,084,000"
6,Kobe Bryant,"$17,718,750"
7,Tim Duncan,"$17,429,672"
8,Allen Iverson,"$17,184,375"
9,Stephon Marbury,"$17,184,375"
10,Tracy McGrady,"$16,901,500"
11,Grant Hill,"$16,901,500"
12,Brian Grant,"$16,786,950"
13,Jalen Rose,"$16,141,500"
14,Ben Wallace,"$16,000,000"
15,Eddie Jones,"$15,395,472"
16,Paul Pierce,"$15,101,625"
17,Vince Carter,"$15,101,625"
18,Dirk Nowitzki,"$15,101,625"
19,Antawn Jamison,"$15,101,625"
20,Baron Davis,"$15,070,000"
21,Steve Francis,"$15,070,000"
22,Shawn Marion,"$15,070,000"
23,Ray Allen,"$14,611,570"
24,Elton Brand,"$14,248,000"
25,Larry Hughes,"$13,363,012"
26,Michael Redd,"$13,260,000"
27,Joe Johnson,"$12,744,189"
28,Mike Bibby,"$12,500,000"
29,Yao Ming,"$12,455,000"
30,Amare Stoudemire,"$12,455,000"
31,Pau Gasol,"$12,364,000"
32,Andrei Kirilenko,"$12,364,000"
33,Lamar Odom,"$12,348,596"
34,Kenyon Martin,"$12,068,182"
35,Zach Randolph,"$12,000,000"
36,Wally Szczerbiak,"$11,775,000"
37,Theo Ratliff,"$11,666,666"
38,Rasheed Wallace,"$11,650,000"
39,Raef LaFrentz,"$11,532,037"
40,Carlos Boozer,"$11,260,483"
41,Richard Jefferson,"$11,200,000"
42,Gilbert Arenas,"$11,096,800"
43,Derek Anderson,"$11,043,897"
44,Predrag Stojakovic,"$10,800,000"
45,Steve Nash,"$10,500,000"
46,Jason Richardson,"$9,999,999"
47,Erick Dampier,"$9,628,000"
48,Brad Miller,"$9,625,000"
49,Samuel Dalembert,"$9,464,307"
50,Tony Parker,"$9,450,000"
51,Zydrunas Ilgauskas,"$9,442,697"
52,Rashard Lewis,"$9,350,649"
53,Jerry Stackhouse,"$9,296,874"
54,Richard Hamilton,"$9,187,500"
55,Tyson Chandler,"$9,150,000"
56,Marcus Camby,"$8,800,000"
57,Andre Miller,"$8,733,333"
58,Bobby Simmons,"$8,640,000"
59,Maurice Taylor,"$8,565,918"
60,PJ Brown,"$8,560,000"
61,Jamaal Magloire,"$8,433,334"
62,Kwame Brown,"$8,287,500"
63,Troy Murphy,"$8,285,714"
64,Manu Ginobili,"$8,254,375"
65,Jason Williams,"$8,250,000"
66,Mehmet Okur,"$8,250,000"
67,Eddy Curry,"$8,171,103"
68,Adonal Foyle,"$8,125,000"
69,Cuttino Mobley,"$8,125,000"
70,Jason Terry,"$8,100,000"
71,Aaron McKie,"$8,070,874"
72,Desmond Mason,"$8,037,037"
73,Nenê,"$8,000,000"
74,Tayshaun Prince,"$7,851,240"
75,Kurt Thomas,"$7,821,482"
76,Darius Miles,"$7,750,000"
77,Calvin Booth,"$7,628,858"
78,Al Harrington,"$7,625,000"
79,Mike Miller,"$7,623,813"
80,Antoine Walker,"$7,606,820"
81,Metta World Peace,"$7,526,316"
82,Quentin Richardson,"$7,525,500"
83,Malik Rose,"$7,525,397"
84,Mike Dunleavy,"$7,438,016"
85,Caron Butler,"$7,438,000"
86,Austin Croshere,"$7,300,000"
87,Mark Blount,"$7,288,165"
88,Radoslav Nesterovic,"$7,280,000"
89,Shandon Anderson,"$7,244,726"
90,Jamal Crawford,"$7,200,000"
91,Kenny Thomas,"$7,187,500"
92,Jerome Williams,"$7,014,400"
93,Corey Maggette,"$7,000,000"
94,Speedy Claxton,"$6,854,546"
95,Sam Cassell,"$6,850,000"
96,Ruben Patterson,"$6,807,000"
97,Joe Smith,"$6,807,000"
98,Alonzo Mourning,"$6,725,433"
99,Drew Gooden,"$6,645,402"
100,Danny Fortson,"$6,596,990"
101,Corliss Williamson,"$6,500,000"
102,Matt Harpring,"$6,500,000"
103,Juwan Howard,"$6,392,100"
104,James Posey,"$6,392,100"
105,Chauncey Billups,"$6,364,400"
106,Ricky Davis,"$6,364,400"
107,Chris Wilcox,"$6,250,000"
108,Stephen Jackson,"$6,120,000"
109,Eric Snow,"$6,093,750"
110,Antonio McDyess,"$5,883,600"
111,Marquis Daniels,"$5,883,600"
112,Hidayet Turkoglu,"$5,883,600"
113,Derek Fisher,"$5,883,600"
114,Etan Thomas,"$5,883,600"
115,Jamaal Tinsley,"$5,850,000"
116,LeBron James,"$5,828,090"
117,Jason Collins,"$5,800,000"
118,Tony Battie,"$5,746,000"
119,Donyell Marshall,"$5,633,037"
120,Troy Hudson,"$5,603,000"
121,Gerald Wallace,"$5,525,000"
122,Udonis Haslem,"$5,525,000"
123,Marko Jaric,"$5,525,000"
124,Jeff Foster,"$5,500,000"
125,Brian Cardinal,"$5,400,000"
126,Stromile Swift,"$5,400,000"
127,Brian Skinner,"$5,400,000"
128,Jerome James,"$5,400,000"
129,Earl Watson,"$5,400,000"
130,Shareef Abdur-Rahim,"$5,400,000"
131,Antonio Daniels,"$5,400,000"
132,Shane Battier,"$5,393,300"
133,Vin Baker,"$5,329,555"
134,Bobby Jackson,"$5,259,000"
135,Dan Gadzuric,"$5,252,065"
136,Darko Milicic,"$5,218,622"
137,Nazr Mohammed,"$5,215,000"
138,Tim Thomas,"$5,215,000"
139,Vladimir Radmanovic,"$5,215,000"
140,Mike James,"$5,215,000"
141,Jared Jeffries,"$5,215,000"
142,Joel Przybilla,"$5,215,000"
143,Greg Buckner,"$5,182,074"
144,Brent Barry,"$5,117,880"
145,Marc Jackson,"$4,875,000"
146,Dwight Howard,"$4,806,720"
147,Shawn Bradley,"$4,800,000"
148,Carmelo Anthony,"$4,694,041"
149,Andrew Bogut,"$4,665,960"
150,Alvin Williams,"$4,587,508"
151,Eduardo Najera,"$4,571,428"
152,Morris Peterson,"$4,550,000"
153,Andrea Bargnani,"$4,501,200"
154,Raja Bell,"$4,500,000"
155,Brendan Haywood,"$4,500,000"
156,Brevin Knight,"$4,400,000"
157,John Salmons,"$4,400,000"
158,Trenton Hassell,"$4,350,000"
159,Emeka Okafor,"$4,300,560"
160,Eric Williams,"$4,296,000"
161,Chris Bosh,"$4,235,220"
162,Chris Mihm,"$4,214,241"
163,Rafer Alston,"$4,200,000"
164,Marvin Williams,"$4,174,800"
165,Anthony Parker,"$4,150,000"
166,Carlos Arroyo,"$4,100,000"
167,Damon Stoudamire,"$4,050,000"
168,LaMarcus Aldridge,"$4,027,320"
169,Kyle Korver,"$4,018,182"
170,Zaza Pachulia,"$4,000,000"
171,Reggie Evans,"$4,000,000"
172,Sarunas Jasikevicius,"$4,000,000"
173,Gordan Giricek,"$4,000,000"
174,Andres Nocioni,"$3,950,000"
175,Damon Jones,"$3,884,678"
176,Ben Gordon,"$3,862,080"
177,Dwyane Wade,"$3,841,443"
178,Bob Sura,"$3,840,000"
179,Bruce Bowen,"$3,750,000"
180,Jorge Garbajosa,"$3,750,000"
181,Deron Williams,"$3,749,040"
182,Vitaly Potapenko,"$3,674,584"
183,Marcus Banks,"$3,672,414"
184,Darius Songaila,"$3,650,000"
185,Adam Morrison,"$3,616,680"
186,Jeff McInnis,"$3,600,000"
187,Pat Garrity,"$3,525,000"
188,Tyronn Lue,"$3,500,000"
189,Dale Davis,"$3,500,000"
190,Chris Kaman,"$3,491,768"
191,Shaun Livingston,"$3,481,920"
192,Chris Paul,"$3,380,160"
193,Keyon Dooling,"$3,348,000"
194,Robert Horry,"$3,315,000"
195,Melvin Ely,"$3,303,813"
196,Tyrus Thomas,"$3,260,760"
197,Lorenzen Wright,"$3,250,000"
198,Zeljko Rebraca,"$3,240,000"
199,Ira Newble,"$3,196,050"
200,Kevin Ollie,"$3,196,050"
201,Kirk Hinrich,"$3,192,628"
202,Devin Harris,"$3,153,120"
203,Trevor Ariza,"$3,100,000"
204,Fred Jones,"$3,100,000"
205,Raymond Felton,"$3,060,840"
206,Chris Duhon,"$3,024,000"
207,Steven Hunter,"$3,024,000"
208,Chucky Atkins,"$3,000,000"
209,Rasual Butler,"$3,000,000"
210,Francisco Elson,"$3,000,000"
211,Shelden Williams,"$2,952,840"
212,Earl Boykins,"$2,950,000"
213,TJ Ford,"$2,929,467"
214,Iakovos Tsakalidis,"$2,900,000"
215,Michael Doleac,"$2,880,000"
216,Josh Childress,"$2,863,920"
217,Willie Green,"$2,800,000"
218,Brian Scalabrine,"$2,793,103"
219,Martell Webster,"$2,780,160"
220,Dan Dickau,"$2,753,218"
221,Primoz Brezec,"$2,750,000"
