,Player,2008/09
0,Kevin Garnett,"$24,751,934"
1,Jason Kidd,"$21,372,000"
2,Jermaine O'Neal,"$21,372,000"
3,Kobe Bryant,"$21,262,500"
4,Shaquille O'Neal,"$21,000,000"
5,Allen Iverson,"$20,840,625"
6,Stephon Marbury,"$20,840,625"
7,Tim Duncan,"$20,598,704"
8,Tracy McGrady,"$20,370,437"
9,Steve Francis,"$19,816,550"
10,Ray Allen,"$18,388,430"
11,Dirk Nowitzki,"$18,077,904"
12,Paul Pierce,"$18,077,903"
13,Shawn Marion,"$17,810,000"
14,Rashard Lewis,"$16,447,871"
15,Michael Redd,"$15,780,000"
16,Pau Gasol,"$15,106,000"
17,Andrei Kirilenko,"$15,106,000"
18,Yao Ming,"$15,070,550"
19,Amare Stoudemire,"$15,070,550"
20,Mike Bibby,"$14,983,603"
21,Vince Carter,"$14,724,125"
22,Zach Randolph,"$14,666,667"
23,Gilbert Arenas,"$14,653,466"
24,Ben Wallace,"$14,500,000"
25,Kenyon Martin,"$14,431,816"
26,LeBron James,"$14,410,581"
27,Carmelo Anthony,"$14,410,581"
28,Dwyane Wade,"$14,410,581"
29,Chris Bosh,"$14,410,581"
30,Joe Johnson,"$14,232,567"
31,Lamar Odom,"$14,148,596"
32,Rasheed Wallace,"$13,930,000"
33,Wally Szczerbiak,"$13,775,000"
34,Dwight Howard,"$13,758,000"
35,Elton Brand,"$13,757,844"
36,Richard Jefferson,"$13,200,000"
37,Larry Hughes,"$12,827,676"
38,Raef LaFrentz,"$12,722,500"
39,Jason Richardson,"$12,664,335"
40,Predrag Stojakovic,"$12,528,000"
41,Steve Nash,"$12,250,000"
42,Carlos Boozer,"$11,593,817"
43,Erick Dampier,"$11,553,000"
44,Tony Parker,"$11,550,000"
45,Brad Miller,"$11,375,000"
46,Tyson Chandler,"$11,350,000"
47,Andre Iguodala,"$11,300,000"
48,Baron Davis,"$11,250,000"
49,Samuel Dalembert,"$11,238,564"
50,Chauncey Billups,"$11,050,000"
51,Monta Ellis,"$11,000,000"
52,Al Jefferson,"$11,000,000"
53,Zydrunas Ilgauskas,"$10,841,615"
54,Richard Hamilton,"$10,812,500"
55,Bobby Simmons,"$10,602,667"
56,Andre Miller,"$10,333,334"
57,Troy Murphy,"$10,126,984"
58,Josh Smith,"$10,000,000"
59,Kirk Hinrich,"$10,000,000"
60,Marcus Camby,"$10,000,000"
61,Josh Howard,"$9,945,000"
62,Antawn Jamison,"$9,923,285"
63,Manu Ginobili,"$9,905,248"
64,David West,"$9,862,500"
65,Eddy Curry,"$9,723,983"
66,Darius Miles,"$9,704,752"
67,Nenê,"$9,680,000"
