,Player,2005/06
0,Shaquille O'Neal,"$20,000,000"
1,Allan Houston,"$19,125,000"
2,Chris Webber,"$19,125,000"
3,Michael Finley,"$18,612,500"
4,Kevin Garnett,"$18,000,000"
5,Stephon Marbury,"$16,453,125"
6,Allen Iverson,"$16,453,125"
7,Jason Kidd,"$16,440,000"
8,Jermaine O'Neal,"$16,440,000"
9,Brian Grant,"$16,006,220"
10,Kobe Bryant,"$15,946,875"
11,Tim Duncan,"$15,845,156"
12,Anfernee Hardaway,"$15,750,000"
13,Keith Van Horn,"$15,694,250"
14,Tracy McGrady,"$15,694,250"
15,Grant Hill,"$15,694,250"
16,Jalen Rose,"$15,694,250"
17,Eddie Jones,"$14,576,250"
18,Tim Thomas,"$13,975,000"
19,Antonio Davis,"$13,925,000"
20,Paul Pierce,"$13,843,156"
21,Vince Carter,"$13,843,156"
22,Dirk Nowitzki,"$13,843,156"
23,Antawn Jamison,"$13,843,156"
24,Baron Davis,"$13,700,000"
25,Steve Francis,"$13,700,000"
26,Shawn Marion,"$13,700,000"
27,Ray Allen,"$13,223,140"
28,Elton Brand,"$13,152,000"
29,Joe Johnson,"$12,000,000"
30,Michael Redd,"$12,000,000"
31,Theo Ratliff,"$11,666,666"
32,Carlos Boozer,"$11,593,816"
33,Mike Bibby,"$11,500,000"
34,Lamar Odom,"$11,465,333"
35,Pau Gasol,"$10,993,000"
36,Andrei Kirilenko,"$10,983,000"
37,Rasheed Wallace,"$10,860,000"
38,Derek Anderson,"$10,763,000"
39,Zach Randolph,"$10,666,667"
40,Kenyon Martin,"$10,636,364"
41,Raef LaFrentz,"$10,623,288"
42,Larry Hughes,"$10,344,900"
43,Gilbert Arenas,"$10,243,200"
44,Richard Jefferson,"$10,200,000"
45,Jamal Mashburn,"$10,075,000"
46,Wally Szczerbiak,"$10,000,000"
47,Doug Christie,"$9,775,000"
48,Steve Nash,"$9,625,000"
49,Vin Baker,"$9,183,333"
50,Marcus Camby,"$9,150,000"
51,Maurice Taylor,"$9,100,000"
52,Tyson Chandler,"$9,000,000"
53,Shandon Anderson,"$8,935,000"
54,Jason Richardson,"$8,888,888"
55,Brad Miller,"$8,750,000"
56,Zydrunas Ilgauskas,"$8,740,000"
57,Erick Dampier,"$8,662,500"
58,Kelvin Cato,"$8,640,000"
59,Richard Hamilton,"$8,625,000"
60,Rashard Lewis,"$8,571,429"
61,Jamaal Magloire,"$8,533,333"
62,Aaron McKie,"$8,500,000"
63,Samuel Dalembert,"$8,470,000"
64,Tony Parker,"$8,400,000"
65,Jerry Stackhouse,"$8,367,187"
66,Mehmet Okur,"$8,250,000"
67,Andre Miller,"$8,100,000"
68,Bobby Simmons,"$8,000,000"
69,PJ Brown,"$8,000,000"
70,Bonzi Wells,"$8,000,000"
71,Austin Croshere,"$7,900,000"
72,Lorenzen Wright,"$7,700,000"
73,Jason Williams,"$7,562,500"
74,Ben Wallace,"$7,500,000"
75,Kwame Brown,"$7,500,000"
76,Predrag Stojakovic,"$7,500,000"
77,Manu Ginobili,"$7,428,937"
78,Eddy Curry,"$7,390,000"
79,Troy Murphy,"$7,365,079"
80,Desmond Mason,"$7,333,333"
81,Adonal Foyle,"$7,312,500"
82,Calvin Booth,"$7,255,098"
83,Darius Miles,"$7,250,000"
84,Cuttino Mobley,"$7,200,000"
85,Jonathan Bender,"$7,175,000"
86,Corey Maggette,"$7,000,000"
87,Al Harrington,"$6,957,500"
88,Quentin Richardson,"$6,940,000"
89,Antoine Walker,"$6,880,000"
90,Sam Cassell,"$6,875,000"
91,Metta World Peace,"$6,842,105"
92,Mike Miller,"$6,750,000"
93,Radoslav Nesterovic,"$6,720,000"
94,Jason Terry,"$6,666,667"
95,Jerome Williams,"$6,620,063"
96,Kurt Thomas,"$6,620,062"
97,Kenny Thomas,"$6,500,000"
98,Jamal Crawford,"$6,480,000"
99,Lamond Murray,"$6,388,500"
100,Clarence Weatherspoon,"$6,353,200"
101,Joe Smith,"$6,353,200"
102,Todd MacCulloch,"$6,353,200"
103,Ruben Patterson,"$6,353,200"
104,Alvin Williams,"$6,300,000"
105,Scot Pollard,"$6,274,937"
106,Danny Fortson,"$6,207,670"
107,Malik Rose,"$6,008,750"
108,Reggie Miller,"$6,000,000"
109,Corliss Williamson,"$6,000,000"
110,Howard Eisley,"$5,926,984"
111,Ricky Davis,"$5,909,800"
112,Chauncey Billups,"$5,909,800"
113,Juwan Howard,"$5,900,400"
114,James Posey,"$5,900,400"
115,Michael Olowokandi,"$5,900,400"
116,Stephen Jackson,"$5,610,000"
117,Yao Ming,"$5,594,906"
118,Mark Blount,"$5,515,875"
119,Jason Collins,"$5,500,000"
120,Nazr Mohammed,"$5,500,000"
121,Eric Snow,"$5,484,375"
122,Eddie Robinson,"$5,444,444"
123,Jamaal Tinsley,"$5,400,000"
124,Marquis Daniels,"$5,393,300"
125,Antonio McDyess,"$5,393,300"
126,Derek Fisher,"$5,393,300"
127,Brian Cardinal,"$5,393,300"
128,Hidayet Turkoglu,"$5,393,300"
129,Etan Thomas,"$5,393,300"
130,Troy Hudson,"$5,253,000"
131,Tony Battie,"$5,200,000"
132,Alonzo Mourning,"$5,138,500"
133,David Wesley,"$5,070,000"
134,Matt Harpring,"$5,020,000"
135,Devean George,"$5,000,600"
136,Gerald Wallace,"$5,000,000"
137,Earl Watson,"$5,000,000"
138,Stromile Swift,"$5,000,000"
139,Jeff Foster,"$5,000,000"
140,Udonis Haslem,"$5,000,000"
141,Marko Jaric,"$5,000,000"
142,Jerome James,"$5,000,000"
143,Shareef Abdur-Rahim,"$5,000,000"
144,Antonio Daniels,"$5,000,000"
145,Brian Skinner,"$4,950,000"
146,Shane Battier,"$4,903,000"
147,Donyell Marshall,"$4,799,108"
148,Dan Gadzuric,"$4,750,000"
149,Brent Barry,"$4,691,390"
150,LeBron James,"$4,621,800"
151,Brevin Knight,"$4,600,000"
152,Marc Jackson,"$4,550,000"
153,Morris Peterson,"$4,550,000"
154,Mike Dunleavy,"$4,506,261"
155,Shawn Bradley,"$4,500,000"
156,Chucky Atkins,"$4,500,000"
157,Dwight Howard,"$4,493,160"
158,Greg Ostertag,"$4,400,000"
159,Trenton Hassell,"$4,350,000"
160,Andrew Bogut,"$4,340,520"
161,Raja Bell,"$4,250,000"
162,Moochie Norris,"$4,200,000"
163,Eduardo Najera,"$4,190,476"
164,Darko Milicic,"$4,135,200"
165,Drew Gooden,"$4,065,811"
166,Emeka Okafor,"$4,020,120"
167,Zaza Pachulia,"$4,000,000"
168,Carlos Arroyo,"$4,000,000"
169,Sarunas Jasikevicius,"$4,000,000"
170,Gordan Giricek,"$4,000,000"
171,Brendan Haywood,"$4,000,000"
172,Eric Williams,"$3,938,000"
173,Marvin Williams,"$3,883,560"
174,Rafer Alston,"$3,850,000"
175,Chris Mihm,"$3,792,817"
176,Damon Stoudamire,"$3,750,000"
177,Carmelo Anthony,"$3,713,640"
178,Evan Eschmeyer,"$3,711,400"
179,Tariq Abdul-Wahad,"$3,656,250"
180,Kyle Korver,"$3,630,363"
181,Ben Gordon,"$3,610,200"
182,Speedy Claxton,"$3,600,000"
183,Greg Buckner,"$3,595,926"
184,Damon Jones,"$3,590,000"
185,Voshon Lenard,"$3,520,000"
186,Bob Sura,"$3,520,000"
187,Tyronn Lue,"$3,500,000"
188,Othella Harrington,"$3,500,000"
189,Dale Davis,"$3,500,000"
190,Chris Andersen,"$3,500,000"
191,Deron Williams,"$3,487,400"
192,Mike James,"$3,410,000"
193,Jeff McInnis,"$3,400,000"
194,Tony Delk,"$3,375,000"
195,Bobby Jackson,"$3,375,000"
196,Bruce Bowen,"$3,375,000"
197,Aaron Williams,"$3,375,000"
198,Chris Bosh,"$3,348,000"
199,Vitaly Potapenko,"$3,320,000"
200,Shaun Livingston,"$3,254,880"
201,Pat Garrity,"$3,231,250"
202,George Lynch,"$3,200,000"
203,Vladimir Radmanovic,"$3,166,155"
204,Chris Paul,"$3,144,240"
205,Keyon Dooling,"$3,100,000"
206,Nenê,"$3,039,889"
207,Dwyane Wade,"$3,031,920"
208,Kareem Rush,"$3,000,000"
209,Eric Piatkowski,"$3,000,000"
210,Zeljko Rebraca,"$3,000,000"
211,Stanislav Medvedenko,"$3,000,000"
212,Robert Horry,"$3,000,000"
213,Ira Newble,"$2,950,200"
214,Kevin Ollie,"$2,950,200"
215,Devin Harris,"$2,947,440"
216,Iakovos Tsakalidis,"$2,900,000"
217,Raymond Felton,"$2,847,360"
218,Chris Wilcox,"$2,812,239"
219,Chris Duhon,"$2,800,000"
220,Steven Hunter,"$2,800,000"
221,Andres Nocioni,"$2,775,000"
222,Chris Kaman,"$2,753,760"
223,Primoz Brezec,"$2,750,000"
224,Earl Boykins,"$2,750,000"
225,DeShawn Stevenson,"$2,750,000"
226,Josh Childress,"$2,677,200"
227,Michael Doleac,"$2,640,000"
228,Jim Jackson,"$2,640,000"
229,Amare Stoudemire,"$2,589,023"
230,Brian Scalabrine,"$2,586,207"
231,Martell Webster,"$2,586,120"
232,Kirk Hinrich,"$2,513,880"
233,Clifford Robinson,"$2,500,000"
234,Eddie Griffin,"$2,500,000"
235,Arvydas Macijauskas,"$2,500,000"
236,Bostjan Nachbar,"$2,500,000"
237,Damien Wilkins,"$2,500,000"
238,Juan Dixon,"$2,500,000"
239,Devin Brown,"$2,500,000"
240,Caron Butler,"$2,461,617"
241,Luol Deng,"$2,443,920"
242,Jared Jeffries,"$2,433,824"
243,Anthony Johnson,"$2,420,000"
244,Melvin Ely,"$2,401,027"
245,James Jones,"$2,400,000"
246,Charlie Villanueva,"$2,360,880"
247,Fred Jones,"$2,328,843"
248,Fabricio Oberto,"$2,325,000"
249,TJ Ford,"$2,303,040"
250,Dan Dickau,"$2,250,000"
251,Rafael Araujo,"$2,238,960"
252,Darius Songaila,"$2,200,000"
253,Jose Calderon,"$2,190,000"
254,Jiri Welsch,"$2,177,114"
255,Channing Frye,"$2,162,880"
256,Mike Sweetney,"$2,116,920"
257,Andre Iguodala,"$2,058,000"
258,Jarvis Hayes,"$2,011,080"
259,Derrick Coleman,"$2,000,000"
260,Dikembe Mutombo,"$2,000,000"
261,Vlade Divac,"$2,000,000"
262,Toni Kukoc,"$2,000,000"
263,Mark Madsen,"$2,000,000"
264,Matt Bonner,"$2,000,000"
265,Ike Diogu,"$1,988,160"
266,Curtis Borchardt,"$1,969,993"
267,Luke Jackson,"$1,955,160"
268,Jake Voskuhl,"$1,937,500"
269,Mickael Pietrus,"$1,910,520"
270,Andrew Bynum,"$1,888,680"
271,Jumaine Jones,"$1,875,000"
272,Charlie Ward,"$1,870,000"
273,Andris Biedrins,"$1,857,360"
274,DeSagana Diop,"$1,850,000"
275,Nick Collison,"$1,815,000"
276,Jon Barry,"$1,800,000"
277,Robert Swift,"$1,764,480"
278,Tayshaun Prince,"$1,763,115"
279,Ron Mercer,"$1,760,000"
280,Lindsey Hunter,"$1,760,000"
281,Calbert Cheaney,"$1,760,000"
282,Wesley Person,"$1,760,000"
283,Maurice Williams,"$1,760,000"
284,Fred Hoiberg,"$1,760,000"
285,Ibo Kutluay,"$1,760,000"
286,Raul Lopez,"$1,744,313"
287,Marcus Banks,"$1,724,280"
288,Yaroslav Korolev,"$1,704,480"
289,Jarron Collins,"$1,700,000"
290,Sebastian Telfair,"$1,676,280"
291,Scott Padgett,"$1,670,000"
292,Malik Allen,"$1,670,000"
293,Michael Ruffin,"$1,670,000"
294,John Salmons,"$1,669,001"
295,Jason Collier,"$1,650,000"
296,Luke Ridnour,"$1,638,000"
297,Sean May,"$1,619,280"
298,Kris Humphries,"$1,592,400"
299,Joel Przybilla,"$1,560,000"
300,Reece Gaines,"$1,556,160"
301,Jason Hart,"$1,540,000"
302,Rashad McCants,"$1,538,400"
303,Al Jefferson,"$1,512,840"
304,Maurice Evans,"$1,500,000"
305,Troy Bell,"$1,478,280"
306,Antoine Wright,"$1,461,360"
307,Kirk Snyder,"$1,437,240"
308,Zarko Cabarkapa,"$1,404,360"
309,Milt Palacio,"$1,400,000"
310,Joey Graham,"$1,388,400"
311,Josh Smith,"$1,365,360"
312,Jermaine Jackson,"$1,355,067"
313,David West,"$1,334,160"
314,Danny Granger,"$1,318,920"
315,Rasual Butler,"$1,300,000"
316,JR Smith,"$1,297,080"
317,Aleksandar Pavlovic,"$1,274,160"
318,Gerald Green,"$1,253,040"
319,Luke Walton,"$1,250,000"
320,Keith McLeod,"$1,250,000"
321,Dorell Wright,"$1,238,640"
322,Dahntay Jones,"$1,223,160"
323,Hakim Warrick,"$1,196,520"
324,Jameer Nelson,"$1,189,200"
325,Boris Diaw,"$1,174,200"
326,Julius Hodge,"$1,148,760"
327,Pavel Podkolzin,"$1,141,560"
328,Alan Henderson,"$1,138,500"
329,Darrell Armstrong,"$1,138,500"
330,Bryon Russell,"$1,138,500"
331,Gary Payton,"$1,138,500"
