,Player,2017/18
0,Stephen Curry,"$34,682,550"
1,LeBron James,"$33,285,709"
2,Paul Millsap,"$30,769,231"
3,Gordon Hayward,"$29,727,900"
4,Blake Griffin,"$29,512,900"
5,Kyle Lowry,"$28,903,704"
6,Mike Conley,"$28,530,608"
7,James Harden,"$28,299,399"
8,Russell Westbrook,"$28,299,399"
9,DeMar DeRozan,"$27,739,975"
10,Al Horford,"$27,734,405"
11,Carmelo Anthony,"$26,243,760"
12,Damian Lillard,"$26,153,057"
13,Jrue Holiday,"$25,686,667"
14,Chris Bosh,"$25,289,390"
15,Kevin Durant,"$25,000,000"
16,Otto Porter,"$24,773,250"
17,Chris Paul,"$24,268,959"
18,CJ McCollum,"$23,962,573"
19,Andre Drummond,"$23,775,506"
20,Hassan Whiteside,"$23,775,506"
21,Anthony Davis,"$23,775,506"
22,Bradley Beal,"$23,775,506"
23,Dwight Howard,"$23,500,000"
24,Harrison Barnes,"$23,112,004"
25,Chandler Parsons,"$23,112,004"
26,JJ Redick,"$23,000,000"
27,Kevin Love,"$22,642,350"
28,DeAndre Jordan,"$22,642,350"
29,Brook Lopez,"$22,642,350"
30,Marc Gasol,"$22,642,350"
31,Giannis Antetokounmpo,"$22,471,911"
32,Steven Adams,"$22,471,911"
33,Nicolas Batum,"$22,434,783"
34,LaMarcus Aldridge,"$21,461,010"
35,Greg Monroe,"$21,384,175"
36,Rudy Gobert,"$21,224,719"
37,Victor Oladipo,"$21,000,000"
38,Danilo Gallinari,"$20,559,599"
39,Serge Ibaka,"$20,061,729"
40,George Hill,"$20,000,000"
41,Ryan Anderson,"$19,578,455"
42,Paul George,"$19,300,000"
43,Jeff Teague,"$19,000,000"
44,Kyrie Irving,"$18,868,626"
45,Kawhi Leonard,"$18,868,625"
46,Jimmy Butler,"$18,696,918"
47,Allen Crabbe,"$18,500,000"
48,DeMarcus Cousins,"$18,063,850"
49,John Wall,"$18,063,850"
50,Enes Kanter,"$17,884,176"
51,Wesley Matthews,"$17,884,175"
52,Dwyane Wade,"$17,878,652"
53,Klay Thompson,"$17,826,150"
54,Joakim Noah,"$17,765,000"
55,Kentavious Caldwell-Pope,"$17,745,894"
56,Luol Deng,"$17,190,000"
57,Evan Turner,"$17,131,148"
58,Goran Dragic,"$17,000,450"
59,Bismack Biyombo,"$17,000,000"
60,Evan Fournier,"$17,000,000"
61,Kent Bazemore,"$16,910,112"
62,Robert Covington,"$16,698,103"
63,Tim Hardaway Jr,"$16,500,000"
64,Tristan Thompson,"$16,400,000"
65,Draymond Green,"$16,400,000"
66,Reggie Jackson,"$16,000,000"
67,Tobias Harris,"$16,000,000"
68,Pau Gasol,"$16,000,000"
69,Ian Mahinmi,"$16,000,000"
70,Dennis Schroeder,"$15,500,000"
71,Jonas Valanciunas,"$15,460,675"
72,Tony Parker,"$15,453,126"
73,Timofey Mozgov,"$15,280,000"
74,Jamal Crawford,"$15,270,762"
75,Andre Iguodala,"$14,814,815"
76,DeMarre Carroll,"$14,800,000"
77,Eric Bledsoe,"$14,500,000"
78,Gorgui Dieng,"$14,112,360"
79,Khris Middleton,"$14,100,000"
80,Ricky Rubio,"$14,100,000"
81,Mason Plumlee,"$14,041,096"
82,Taj Gibson,"$14,000,000"
83,Robin Lopez,"$13,788,500"
84,JR Smith,"$13,760,000"
85,James Johnson,"$13,734,000"
86,Joe Ingles,"$13,636,364"
87,Brandon Knight,"$13,618,750"
88,Marvin Williams,"$13,168,750"
89,Michael Kidd-Gilchrist,"$13,000,000"
90,Tyson Chandler,"$13,000,000"
91,Eric Gordon,"$12,943,020"
92,Kenneth Faried,"$12,921,348"
93,Thaddeus Young,"$12,921,348"
94,Marcin Gortat,"$12,782,609"
95,Cody Zeller,"$12,584,270"
96,Nikola Mirotic,"$12,500,000"
97,Miles Plumlee,"$12,400,000"
98,Zach Randolph,"$12,307,692"
99,Nikola Vucevic,"$12,250,000"
100,Solomon Hill,"$12,236,535"
101,Dion Waiters,"$12,100,000"
102,Wilson Chandler,"$12,016,854"
103,Kelly Olynyk,"$12,007,169"
104,Jeremy Lin,"$12,000,000"
105,Kemba Walker,"$12,000,000"
106,Derrick Favors,"$12,000,000"
107,Austin Rivers,"$11,825,000"
108,Courtney Lee,"$11,747,890"
109,Nikola Pekovic,"$11,600,000"
110,Jordan Clarkson,"$11,562,500"
111,John Henson,"$11,422,536"
112,Amir Johnson,"$11,000,000"
113,Alec Burks,"$10,845,506"
114,Patrick Mills,"$10,714,286"
115,Moe Harkless,"$10,662,922"
116,Omer Asik,"$10,595,505"
117,Bojan Bogdanovic,"$10,500,000"
118,Mirza Teletovic,"$10,500,000"
119,Terrence Ross,"$10,500,000"
120,Jon Leuer,"$10,497,319"
121,Iman Shumpert,"$10,337,079"
122,Joe Johnson,"$10,254,904"
123,Darren Collison,"$10,000,000"
124,Jared Dudley,"$10,000,000"
125,Danny Green,"$10,000,000"
126,Meyers Leonard,"$9,904,495"
127,Tony Snell,"$9,821,429"
128,Al Jefferson,"$9,769,821"
129,Matthew Dellavedova,"$9,607,500"
130,Trevor Booker,"$9,571,137"
131,Bogdan Bogdanovic,"$9,470,614"
132,Andre Roberson,"$9,259,260"
133,Dwight Powell,"$9,003,125"
134,Jerryd Bayless,"$9,000,000"
135,Avery Bradley,"$8,808,989"
136,JaMychal Green,"$8,533,333"
137,E'Twaun Moore,"$8,445,024"
138,Rudy Gay,"$8,406,000"
139,Kosta Koufos,"$8,393,000"
140,Corey Brewer,"$8,105,615"
141,Garrett Temple,"$8,000,000"
142,Vince Carter,"$8,000,000"
143,Markieff Morris,"$8,000,000"
144,CJ Miles,"$7,936,509"
145,Cristiano Felicio,"$7,843,500"
146,Shaun Livingston,"$7,692,308"
147,Cory Joseph,"$7,630,000"
148,PJ Tucker,"$7,590,035"
149,Andrew Wiggins,"$7,574,322"
150,Darrell Arthur,"$7,464,912"
151,Channing Frye,"$7,420,912"
152,Trevor Ariza,"$7,400,000"
153,Al-Farouq Aminu,"$7,319,035"
154,Cole Aldrich,"$7,300,000"
155,DJ Augustin,"$7,250,000"
156,Marco Belinelli,"$7,082,277"
157,Markelle Fultz,"$7,026,240"
158,Jeremy Lamb,"$7,000,000"
159,Kyle Korver,"$7,000,000"
160,Louis Williams,"$7,000,000"
161,Jameer Nelson,"$6,998,920"
162,Dewayne Dedmon,"$6,900,000"
163,Jae Crowder,"$6,796,117"
164,Jabari Parker,"$6,782,392"
165,Langston Galloway,"$6,666,667"
166,Lance Thomas,"$6,655,325"
167,Ersan Ilyasova,"$6,514,288"
168,Matt Barnes,"$6,400,625"
169,Ed Davis,"$6,352,531"
170,Rajon Rondo,"$6,300,000"
171,Jonathon Simmons,"$6,300,000"
172,Lonzo Ball,"$6,286,560"
173,Wayne Ellington,"$6,270,000"
174,Isaiah Thomas,"$6,261,394"
175,Karl-Anthony Towns,"$6,216,840"
176,Ben Simmons,"$6,168,840"
177,Joel Embiid,"$6,100,266"
178,Josh McRoberts,"$6,021,175"
179,Ishmael Smith,"$6,000,000"
180,Milos Teodosic,"$6,000,000"
181,Shelvin Mack,"$6,000,000"
182,Alan Williams,"$6,000,000"
183,Brandan Wright,"$5,955,760"
184,Wesley Johnson,"$5,881,260"
185,Boban Marjanovic,"$5,881,260"
186,Tyler Johnson,"$5,821,260"
187,Alex Abrines,"$5,725,000"
188,Jayson Tatum,"$5,645,400"
189,D'Angelo Russell,"$5,562,360"
190,Brandon Ingram,"$5,519,400"
191,Josh Smith,"$5,514,806"
192,Patrick Beverley,"$5,513,514"
193,Aaron Gordon,"$5,504,419"
194,Deron Williams,"$5,474,787"
195,Arron Afflalo,"$5,328,652"
196,Anthony Tolliver,"$5,290,000"
