,Player,Salary,Date
0,Kevin Garnett,"$22,400,000",2001
1,Shaquille O'Neal,"$21,428,572",2001
2,Alonzo Mourning,"$18,754,800",2001
3,Juwan Howard,"$18,750,000",2001
4,Scottie Pippen,"$18,083,564",2001
5,Karl Malone,"$17,500,000",2001
6,Jayson Williams,"$15,125,000",2001
7,Rasheed Wallace,"$14,400,000",2001
8,Dikembe Mutombo,"$14,315,790",2001
9,Gary Payton,"$12,926,493",2001
10,Allan Houston,"$12,750,000",2001
11,Chris Webber,"$12,750,000",2001
12,Shawn Kemp,"$12,660,000",2001
13,Damon Stoudamire,"$12,375,000",2001
14,Reggie Miller,"$12,045,075",2001
15,Antonio McDyess,"$11,700,000",2001
16,Bryant Reeves,"$11,555,554",2001
17,Larry Johnson,"$11,335,714",2001
18,Shareef Abdur-Rahim,"$11,250,000",2001
19,Antoine Walker,"$11,250,000",2001
20,Zydrunas Ilgauskas,"$11,250,000",2001
21,Kobe Bryant,"$11,250,000",2001
22,Ray Allen,"$11,250,000",2001
23,Latrell Sprewell,"$11,250,000",2001
24,Vin Baker,"$11,250,000",2001
25,Allen Iverson,"$11,250,000",2001
26,Anfernee Hardaway,"$11,250,000",2001
27,Stephon Marbury,"$11,250,000",2001
28,Mitch Richmond,"$11,000,000",2001
29,Antonio Davis,"$11,000,000",2001
30,Keith Van Horn,"$10,865,250",2001
31,Jalen Rose,"$10,865,250",2001
32,Grant Hill,"$10,865,250",2001
33,Tracy McGrady,"$10,865,250",2001
34,Tim Duncan,"$10,865,250",2001
35,Michael Finley,"$10,625,000",2001
36,Vlade Divac,"$10,444,642",2001
37,Nick Van Exel,"$10,164,642",2001
38,Tom Gugliotta,"$10,114,000",2001
39,Eddie Jones,"$10,091,250",2001
40,Brian Grant,"$9,925,076",2001
41,Tim Thomas,"$9,675,000",2001
42,Theo Ratliff,"$9,667,969",2001
43,David Robinson,"$9,500,000",2001
44,Terrell Brandon,"$9,300,000",2001
45,Steve Smith,"$9,000,000",2001
46,Glenn Robinson,"$8,990,000",2001
47,Glen Rice,"$8,800,000",2001
48,Derrick Coleman,"$8,710,000",2001
49,Jason Kidd,"$8,447,500",2001
50,Kenny Anderson,"$8,350,000",2001
51,Kerry Kittles,"$8,166,667",2001
52,Matt Geiger,"$8,142,160",2001
53,Elden Campbell,"$7,975,000",2001
54,Toni Kukoc,"$7,906,783",2001
55,Clifford Robinson,"$7,656,250",2001
56,Marcus Camby,"$7,300,000",2001
57,Chris Dudley,"$7,200,000",2001
58,Dale Davis,"$7,010,000",2001
59,John Stockton,"$7,000,000",2001
60,Jamal Mashburn,"$6,975,000",2001
61,Greg Ostertag,"$6,933,328",2001
62,Ron Mercer,"$6,750,000",2001
63,Tyrone Hill,"$6,600,000",2001
64,Charles Oakley,"$6,545,000",2001
65,Donyell Marshall,"$6,510,000",2001
66,Alan Henderson,"$6,500,312",2001
67,Maurice Taylor,"$6,500,000",2001
68,Derek Anderson,"$6,495,000",2001
69,PJ Brown,"$6,404,800",2001
70,Jermaine O'Neal,"$6,325,000",2001
71,Luc Longley,"$6,325,000",2001
72,Austin Croshere,"$6,310,000",2001
73,Wesley Person,"$6,300,000",2001
74,Erick Dampier,"$6,235,000",2001
75,Kelvin Cato,"$6,048,000",2001
76,Jim McIlvaine,"$6,000,000",2001
77,Derrick McKey,"$6,000,000",2001
78,Bo Outlaw,"$6,000,000",2001
79,Jerry Stackhouse,"$5,843,750",2001
80,Steve Nash,"$5,750,000",2001
81,Isaac Austin,"$5,695,715",2001
82,Lorenzen Wright,"$5,500,000",2001
83,Shandon Anderson,"$5,500,000",2001
84,Nick Anderson,"$5,401,906",2001
85,Chris Mills,"$5,400,000",2001
86,Mookie Blaylock,"$5,400,000",2001
87,Alvin Williams,"$5,350,000",2001
88,Robert Horry,"$5,300,000",2001
89,Loy Vaught,"$5,222,025",2001
90,Bobby Phills,"$5,220,000",2001
91,Bob Sura,"$5,213,333",2001
92,Doug Christie,"$5,200,000",2001
93,Chris Childs,"$5,200,000",2001
94,Eddie Robinson,"$5,170,000",2001
95,Bryon Russell,"$5,142,857",2001
96,Charlie Ward,"$5,110,000",2001
97,Tariq Abdul-Wahad,"$5,062,500",2001
98,Hakeem Olajuwon,"$5,061,539",2001
99,Walt Williams,"$5,000,000",2001
100,Predrag Stojakovic,"$5,000,000",2001
101,Jerome Williams,"$5,000,000",2001
102,Jason Caffey,"$4,812,500",2001
103,Howard Eisley,"$4,781,250",2001
104,Vitaly Potapenko,"$4,762,500",2001
105,Rod Strickland,"$4,750,000",2001
106,Ben Wallace,"$4,700,000",2001
107,Brent Barry,"$4,680,000",2001
108,Michael Olowokandi,"$4,662,472",2001
109,Scott Williams,"$4,650,000",2001
110,Danny Fortson,"$4,649,534",2001
111,Clarence Weatherspoon,"$4,638,000",2001
112,Calvin Booth,"$4,539,000",2001
113,Todd MacCulloch,"$4,538,000",2001
114,Avery Johnson,"$4,538,000",2001
115,Anthony Mason,"$4,538,000",2001
116,Joe Smith,"$4,538,000",2001
117,Ruben Patterson,"$4,538,000",2001
118,Nazr Mohammed,"$4,500,000",2001
119,Shawn Bradley,"$4,500,000",2001
120,Brevin Knight,"$4,500,000",2001
121,Christian Laettner,"$4,500,000",2001
122,Eric Williams,"$4,448,000",2001
123,Cuttino Mobley,"$4,413,375",2001
124,Kurt Thomas,"$4,413,375",2001
125,Rashard Lewis,"$4,413,375",2001
126,Jahidi White,"$4,413,375",2001
127,Brad Miller,"$4,400,000",2001
128,Adonal Foyle,"$4,400,000",2001
129,Sam Cassell,"$4,350,000",2001
130,Scot Pollard,"$4,344,187",2001
131,Voshon Lenard,"$4,252,435",2001
132,Mike Bibby,"$4,174,893",2001
133,Darrell Armstrong,"$4,005,000",2001
134,Corliss Williamson,"$4,000,000",2001
135,Aaron McKie,"$4,000,000",2001
136,Elton Brand,"$3,882,360",2001
137,Derek Strong,"$3,861,000",2001
138,Mark Jackson,"$3,860,000",2001
139,Rex Chapman,"$3,850,000",2001
140,Michael Stewart,"$3,840,000",2001
141,Kenyon Martin,"$3,801,960",2001
142,Rick Fox,"$3,791,250",2001
143,Raef LaFrentz,"$3,755,142",2001
144,Lamond Murray,"$3,750,000",2001
145,Eric Snow,"$3,750,000",2001
146,Kwame Brown,"$3,697,440",2001
147,Brent Price,"$3,680,000",2001
148,Ervin Johnson,"$3,670,929",2001
149,Tony Battie,"$3,600,000",2001
150,Moochie Norris,"$3,600,000",2001
151,Travis Knight,"$3,600,000",2001
152,Jud Buechler,"$3,600,000",2001
153,Zeljko Rebraca,"$3,500,000",2001
154,Steve Francis,"$3,473,520",2001
155,Lindsey Hunter,"$3,425,760",2001
156,Stromile Swift,"$3,401,640",2001
157,Tracy Murray,"$3,400,000",2001
158,Antawn Jamison,"$3,388,176",2001
159,Travis Best,"$3,375,000",2001
160,Tim Hardaway,"$3,360,390",2001
161,Tyson Chandler,"$3,308,160",2001
162,Chucky Atkins,"$3,300,000",2001
163,Tyrone Nesby,"$3,260,000",2001
164,Marc Jackson,"$3,250,000",2001
165,Anthony Carter,"$3,250,000",2001
166,David Wesley,"$3,240,000",2001
167,Dean Garrett,"$3,240,000",2001
168,Jon Barry,"$3,175,000",2001
169,Walter McCarty,"$3,125,000",2001
170,Baron Davis,"$3,119,400",2001
171,Vince Carter,"$3,073,032",2001
172,Darius Miles,"$3,054,840",2001
173,Evan Eschmeyer,"$3,038,000",2001
174,Lawrence Funderburke,"$3,025,000",2001
175,Jaren Jackson Jr,"$3,020,834",2001
176,Greg Anthony,"$3,000,000",2001
177,Cedric Henderson,"$3,000,000",2001
178,Kevin Willis,"$3,000,000",2001
179,Eric Piatkowski,"$3,000,000",2001
180,Derek Fisher,"$3,000,000",2001
181,LaPhonso Ellis,"$3,000,000",2001
182,Antonio Daniels,"$3,000,000",2001
183,Anthony Peeler,"$2,978,500",2001
184,Pau Gasol,"$2,970,840",2001
185,Andrew DeClercq,"$2,900,000",2001
186,Lamar Odom,"$2,812,320",2001
187,Robert Traylor,"$2,793,505",2001
188,Marcus Fizer,"$2,754,120",2001
189,Chris Whitney,"$2,700,000",2001
190,Eddy Curry,"$2,678,400",2001
191,Johnny Newman,"$2,675,000",2001
192,John Wallace,"$2,630,000",2001
193,Jason Williams,"$2,554,072",2001
194,Jonathan Bender,"$2,546,760",2001
195,Matt Maloney,"$2,543,750",2001
196,Mikki Moore,"$2,531,250",2001
197,Chris Gatling,"$2,504,227",2001
198,Chris Crawford,"$2,500,000",2001
199,Mike Miller,"$2,494,080",2001
200,Eric Montross,"$2,480,000",2001
201,Randy Brown,"$2,475,000",2001
202,Aaron Williams,"$2,475,000",2001
203,Chauncey Billups,"$2,475,000",2001
204,Othella Harrington,"$2,475,000",2001
205,Tony Delk,"$2,475,000",2001
206,Bobby Jackson,"$2,475,000",2001
207,John Starks,"$2,475,000",2001
208,Jason Richardson,"$2,425,440",2001
209,Horace Grant,"$2,419,580",2001
210,Hubert Davis,"$2,418,750",2001
211,Steve Kerr,"$2,406,250",2001
212,Jamie Feick,"$2,400,000",2001
213,Lucious Harris,"$2,400,000",2001
214,George Lynch,"$2,400,000",2001
215,Stacey Augmon,"$2,400,000",2001
216,Calbert Cheaney,"$2,400,000",2001
217,George McCloud,"$2,400,000",2001
218,Michael Curry,"$2,400,000",2001
219,Sean Rooks,"$2,400,000",2001
220,Grant Long,"$2,400,000",2001
221,Rodney Rogers,"$2,400,000",2001
222,Terry Porter,"$2,400,000",2001
223,Michael Smith,"$2,400,000",2001
224,Larry Hughes,"$2,343,635",2001
225,Wally Szczerbiak,"$2,313,240",2001
226,Malik Rose,"$2,285,000",2001
227,Vinny Del Negro,"$2,275,000",2001
228,DerMarr Johnson,"$2,265,240",2001
229,Shane Battier,"$2,203,080",2001
230,Bimbo Coles,"$2,200,000",2001
231,John Amaechi,"$2,175,000",2001
232,Dirk Nowitzki,"$2,157,595",2001
233,Patrick Ewing,"$2,118,420",2001
234,Richard Hamilton,"$2,111,640",2001
235,Dell Curry,"$2,100,000",2001
236,Chris Mihm,"$2,067,960",2001
237,Paul Pierce,"$2,051,271",2001
238,Bonzi Wells,"$2,028,239",2001
239,Eddie Griffin,"$2,011,080",2001
240,Michael Doleac,"$2,000,856",2001
241,Bryant Stith,"$2,000,000",2001
242,Cory Alexander,"$1,995,741",2001
243,Keon Clark,"$1,971,163",2001
244,Michael Dickerson,"$1,940,702",2001
245,Andre Miller,"$1,934,520",2001
246,Matt Harpring,"$1,908,401",2001
247,Jamal Crawford,"$1,894,560",2001
248,Lorenzo Williams,"$1,880,000",2001
249,DeSagana Diop,"$1,842,480",2001
250,Tom Hammonds,"$1,800,000",2001
251,Shawn Marion,"$1,778,160",2001
252,Greg Foster,"$1,764,247",2001
253,Darvin Ham,"$1,760,000",2001
254,Shammond Williams,"$1,750,000",2001
255,Joel Przybilla,"$1,741,440",2001
256,Radoslav Nesterovic,"$1,725,788",2001
257,Tyronn Lue,"$1,700,000",2001
258,Rodney White,"$1,693,560",2001
259,Jason Terry,"$1,689,360",2001
260,Keyon Dooling,"$1,654,320",2001
261,Tony Massenburg,"$1,650,000",2001
262,Corie Blount,"$1,609,235",2001
263,Joe Johnson,"$1,608,840",2001
264,Trajan Langdon,"$1,604,880",2001
265,Fred Hoiberg,"$1,600,000",2001
266,Dana Barros,"$1,600,000",2001
267,Jerome Moiso,"$1,571,640",2001
268,Pat Garrity,"$1,569,691",2001
269,Kendall Gill,"$1,538,000",2001
270,Kedrick Brown,"$1,528,440",2001
271,Aleksandar Radojevic,"$1,524,600",2001
272,Muggsy Bogues,"$1,520,860",2001
273,Roshown McLeod,"$1,509,001",2001
274,Danny Manning,"$1,500,000",2001
275,Popeye Jones,"$1,500,000",2001
276,Ricky Davis,"$1,496,400",2001
277,Etan Thomas,"$1,493,040",2001
278,Brian Skinner,"$1,483,461",2001
279,Vladimir Radmanovic,"$1,452,000",2001
280,Corey Maggette,"$1,448,400",2001
281,Al Harrington,"$1,436,982",2001
