,Player,2020/21
0,Stephen Curry,"$43,006,362"
1,Chris Paul,"$41,358,814"
2,Russell Westbrook,"$41,358,814"
3,James Harden,"$41,254,920"
4,John Wall,"$41,254,920"
5,Kevin Durant,"$40,108,950"
6,LeBron James,"$39,219,566"
7,Paul George,"$35,450,412"
8,Klay Thompson,"$35,361,360"
9,Mike Conley,"$34,502,132"
10,Kemba Walker,"$34,379,100"
11,Kawhi Leonard,"$34,379,100"
12,Jimmy Butler,"$34,379,100"
13,Tobias Harris,"$34,358,850"
14,Blake Griffin,"$33,900,241"
15,Kyrie Irving,"$33,722,850"
16,Khris Middleton,"$33,051,724"
17,Anthony Davis,"$32,742,000"
18,Damian Lillard,"$31,626,953"
19,Kevin Love,"$31,258,256"
20,Ben Simmons,"$30,559,200"
21,Pascal Siakam,"$30,559,200"
22,Kyle Lowry,"$30,500,000"
23,Steven Adams,"$29,592,695"
24,Nikola Jokic,"$29,542,010"
25,Andrew Wiggins,"$29,542,010"
26,Joel Embiid,"$29,542,010"
27,Kristaps Porzingis,"$29,467,800"
28,Karl-Anthony Towns,"$29,467,800"
29,Devin Booker,"$29,467,800"
30,CJ McCollum,"$29,354,152"
31,Andre Drummond,"$28,751,774"
32,Bradley Beal,"$28,751,774"
33,D'Angelo Russell,"$28,649,250"
34,Gordon Hayward,"$28,500,000"
35,Otto Porter,"$28,489,239"
36,DeMar DeRozan,"$27,739,975"
37,Giannis Antetokounmpo,"$27,528,088"
38,Rudy Gobert,"$27,525,281"
39,Al Horford,"$27,500,000"
40,Jamal Murray,"$27,285,000"
41,Brandon Ingram,"$27,285,000"
42,Jrue Holiday,"$27,026,011"
43,Nikola Vucevic,"$26,000,000"
44,Jaylen Brown,"$25,035,118"
45,Buddy Hield,"$24,931,817"
46,Draymond Green,"$22,246,956"
47,Harrison Barnes,"$22,215,909"
48,Fred VanVleet,"$21,250,000"
49,Victor Oladipo,"$21,000,000"
50,Malcolm Brogdon,"$20,700,000"
51,Julius Randle,"$19,845,000"
52,Domantas Sabonis,"$19,800,000"
53,Gary Harris,"$19,610,714"
54,Danilo Gallinari,"$19,500,000"
55,Zach LaVine,"$19,500,000"
56,Jerami Grant,"$19,050,000"
57,Tim Hardaway Jr,"$18,975,000"
58,Terry Rozier,"$18,900,000"
59,Aaron Gordon,"$18,136,364"
60,Clint Capela,"$18,000,000"
61,Bogdan Bogdanovic,"$18,000,000"
62,Myles Turner,"$18,000,000"
63,Goran Dragic,"$18,000,000"
64,Bojan Bogdanovic,"$17,850,000"
65,LaMarcus Aldridge,"$17,628,340"
66,Gorgui Dieng,"$17,587,688"
67,Evan Fournier,"$17,150,000"
68,Ricky Rubio,"$17,000,000"
69,Eric Bledsoe,"$16,875,000"
70,Eric Gordon,"$16,869,267"
71,Caris LeVert,"$16,203,704"
72,Joe Harris,"$16,071,429"
73,James Johnson,"$16,047,100"
74,Dennis Schroeder,"$15,500,000"
75,Cody Zeller,"$15,415,730"
76,Danny Green,"$15,365,853"
77,Jonas Valanciunas,"$15,000,000"
78,Andre Iguodala,"$15,000,000"
79,Davis Bertans,"$15,000,000"
80,Marcus Morris,"$14,883,721"
81,Rudy Gay,"$14,500,000"
82,Kelly Oubre,"$14,375,000"
83,Dejounte Murray,"$14,286,000"
84,Will Barton,"$13,723,214"
85,Thaddeus Young,"$13,545,000"
86,Patrick Mills,"$13,535,714"
87,Terrence Ross,"$13,500,000"
88,Malik Beasley,"$13,425,895"
89,Patrick Beverley,"$13,333,333"
90,Christian Wood,"$13,015,874"
91,JJ Redick,"$13,013,700"
92,Justise Winslow,"$13,000,000"
93,Marcus Smart,"$12,946,428"
94,Jusuf Nurkic,"$12,888,889"
95,Kelly Olynyk,"$12,819,650"
96,Trevor Ariza,"$12,800,000"
97,Brook Lopez,"$12,697,675"
98,Dion Waiters,"$12,650,000"
99,Cory Joseph,"$12,600,000"
100,Markelle Fultz,"$12,288,697"
101,Taurean Prince,"$12,250,000"
102,Tony Snell,"$12,178,571"
103,Robert Covington,"$12,138,345"
104,Kentavious Caldwell-Pope,"$12,073,020"
105,TJ Warren,"$12,000,000"
106,Larry Nance Jr,"$11,709,091"
107,Nicolas Batum,"$11,608,231"
108,Jordan Clarkson,"$11,500,000"
109,Spencer Dinwiddie,"$11,454,048"
110,Dillon Brooks,"$11,400,000"
111,Dwight Powell,"$11,080,125"
112,Lonzo Ball,"$11,003,782"
113,Josh Richardson,"$10,865,952"
114,Norman Powell,"$10,865,952"
115,Jeremy Lamb,"$10,500,000"
116,DeAndre Jordan,"$10,375,678"
117,Joe Ingles,"$10,363,637"
118,Zion Williamson,"$10,245,480"
119,Paul Millsap,"$10,100,000"
120,Rodney Hood,"$10,047,450"
121,Deandre Ayton,"$10,018,200"
122,Tomas Satoransky,"$10,000,000"
123,Jayson Tatum,"$9,897,120"
124,Anthony Edwards,"$9,757,440"
125,Al-Farouq Aminu,"$9,720,900"
126,Dante Exum,"$9,600,000"
127,George Hill,"$9,590,602"
128,De'Anthony Melton,"$9,571,712"
129,Kyle Anderson,"$9,505,100"
130,Meyers Leonard,"$9,400,000"
131,Tristan Thompson,"$9,258,000"
132,Serge Ibaka,"$9,258,000"
133,Montrezl Harrell,"$9,258,000"
134,Jae Crowder,"$9,258,000"
