,Player,Salary,Date
0,LeBron James,"$30,963,450",2016
1,Al Horford,"$26,540,100",2016
2,Kevin Durant,"$26,540,100",2016
3,James Harden,"$26,540,100",2016
4,Mike Conley,"$26,540,100",2016
5,Russell Westbrook,"$26,540,100",2016
6,DeMar DeRozan,"$26,540,100",2016
7,Dirk Nowitzki,"$25,000,000",2016
8,Carmelo Anthony,"$24,559,380",2016
9,Damian Lillard,"$24,328,425",2016
10,Chris Bosh,"$23,741,060",2016
11,Dwight Howard,"$23,500,000",2016
12,Dwyane Wade,"$23,200,000",2016
13,Chris Paul,"$22,868,827",2016
14,Harrison Barnes,"$22,116,750",2016
15,Andre Drummond,"$22,116,750",2016
16,Chandler Parsons,"$22,116,750",2016
17,Hassan Whiteside,"$22,116,750",2016
18,Anthony Davis,"$22,116,750",2016
19,Bradley Beal,"$22,116,750",2016
20,Derrick Rose,"$21,323,252",2016
21,Brook Lopez,"$21,165,675",2016
22,Kevin Love,"$21,165,675",2016
23,DeAndre Jordan,"$21,165,675",2016
24,Marc Gasol,"$21,165,675",2016
25,Nicolas Batum,"$20,869,566",2016
26,LaMarcus Aldridge,"$20,575,005",2016
27,Blake Griffin,"$20,093,064",2016
28,Paul Millsap,"$20,072,033",2016
29,Ryan Anderson,"$18,735,364",2016
30,Allen Crabbe,"$18,500,000",2016
31,Paul George,"$18,100,000",2016
32,Luol Deng,"$18,000,000",2016
33,Kyrie Irving,"$17,638,063",2016
34,Kawhi Leonard,"$17,638,063",2016
35,Jimmy Butler,"$17,552,209",2016
36,Tobias Harris,"$17,200,000",2016
37,Wesley Matthews,"$17,145,838",2016
38,Greg Monroe,"$17,145,838",2016
39,Enes Kanter,"$17,145,838",2016
40,Joakim Noah,"$17,000,000",2016
41,Evan Fournier,"$17,000,000",2016
42,Bismack Biyombo,"$17,000,000",2016
43,Klay Thompson,"$16,663,575",2016
44,Evan Turner,"$16,393,443",2016
45,Gordon Hayward,"$16,073,140",2016
46,Timofey Mozgov,"$16,000,000",2016
47,Ian Mahinmi,"$16,000,000",2016
48,Goran Dragic,"$15,891,725",2016
49,DeMarcus Cousins,"$15,756,438",2016
50,John Wall,"$15,756,438",2016
51,Kent Bazemore,"$15,730,337",2016
52,Pau Gasol,"$15,500,000",2016
53,Tristan Thompson,"$15,330,435",2016
54,Draymond Green,"$15,330,435",2016
55,Khris Middleton,"$15,200,000",2016
56,Danilo Gallinari,"$15,050,000",2016
57,Jeff Green,"$15,000,000",2016
58,Reggie Jackson,"$14,956,522",2016
59,Deron Williams,"$14,885,520",2016
60,Tony Parker,"$14,445,313",2016
61,Jonas Valanciunas,"$14,382,023",2016
62,DeMarre Carroll,"$14,200,000",2016
63,Rajon Rondo,"$14,000,000",2016
64,Eric Bledsoe,"$14,000,000",2016
65,Manu Ginobili,"$14,000,000",2016
66,Ricky Rubio,"$13,400,000",2016
67,Rudy Gay,"$13,333,333",2016
68,Jamal Crawford,"$13,253,012",2016
69,Robin Lopez,"$13,219,250",2016
70,Michael Kidd-Gilchrist,"$13,000,000",2016
71,JR Smith,"$12,800,000",2016
72,Brandon Knight,"$12,606,250",2016
73,Jordan Clarkson,"$12,500,000",2016
74,Arron Afflalo,"$12,500,000",2016
75,Tyson Chandler,"$12,415,000",2016
76,Miles Plumlee,"$12,400,000",2016
77,Eric Gordon,"$12,385,665",2016
78,John Henson,"$12,267,606",2016
79,Marvin Williams,"$12,250,000",2016
80,Serge Ibaka,"$12,250,000",2016
81,Stephen Curry,"$12,112,359",2016
82,Nikola Pekovic,"$12,100,000",2016
83,Kenneth Faried,"$12,078,652",2016
84,Thaddeus Young,"$12,078,652",2016
85,Amir Johnson,"$12,000,000",2016
86,Kemba Walker,"$12,000,000",2016
87,Kyle Lowry,"$12,000,000",2016
88,Marcin Gortat,"$12,000,000",2016
89,Nikola Vucevic,"$11,750,000",2016
90,Solomon Hill,"$11,709,603",2016
91,Jeremy Lin,"$11,483,254",2016
92,Andrew Bogut,"$11,410,378",2016
93,Courtney Lee,"$11,242,000",2016
94,Wilson Chandler,"$11,233,146",2016
95,Andre Iguodala,"$11,131,368",2016
96,Derrick Favors,"$11,050,000",2016
97,Austin Rivers,"$11,000,000",2016
98,Jrue Holiday,"$11,000,000",2016
99,Joe Johnson,"$11,000,000",2016
100,Jon Leuer,"$10,991,957",2016
101,Anderson Varejao,"$10,851,659",2016
102,Monta Ellis,"$10,763,500",2016
103,Mirza Teletovic,"$10,500,000",2016
104,Jared Dudley,"$10,470,000",2016
105,Al Jefferson,"$10,230,179",2016
106,Tyreke Evans,"$10,203,755",2016
107,Zach Randolph,"$10,000,000",2016
108,Terrence Ross,"$10,000,000",2016
109,Danny Green,"$10,000,000",2016
110,Alec Burks,"$9,904,495",2016
111,Omer Asik,"$9,904,494",2016
112,Iman Shumpert,"$9,662,922",2016
113,Matthew Dellavedova,"$9,607,500",2016
114,Jerryd Bayless,"$9,424,084",2016
115,Trevor Booker,"$9,250,000",2016
116,Meyers Leonard,"$9,213,484",2016
117,Gerald Henderson,"$9,000,000",2016
118,Moe Harkless,"$8,988,764",2016
119,Taj Gibson,"$8,950,000",2016
120,E'Twaun Moore,"$8,801,363",2016
121,Kris Humphries,"$8,630,000",2016
122,Ersan Ilyasova,"$8,400,000",2016
123,Dwight Powell,"$8,375,000",2016
124,Avery Bradley,"$8,269,663",2016
125,Tiago Splitter,"$8,250,000",2016
126,Darrell Arthur,"$8,070,175",2016
127,Kosta Koufos,"$8,046,500",2016
128,Tyler Zeller,"$8,000,000",2016
129,Jeff Teague,"$8,000,000",2016
130,Kevin Garnett,"$8,000,000",2016
131,Garrett Temple,"$8,000,000",2016
132,Anthony Tolliver,"$8,000,000",2016
133,George Hill,"$8,000,000",2016
134,Channing Frye,"$7,806,971",2016
135,Trevor Ariza,"$7,800,000",2016
136,Jose Calderon,"$7,708,427",2016
137,Al-Farouq Aminu,"$7,680,965",2016
138,Cole Aldrich,"$7,643,979",2016
139,Corey Brewer,"$7,612,172",2016
140,Festus Ezeli,"$7,400,000",2016
141,Markieff Morris,"$7,400,000",2016
142,JJ Redick,"$7,377,500",2016
143,Cory Joseph,"$7,315,000",2016
144,DJ Augustin,"$7,250,000",2016
145,Jeremy Lamb,"$7,000,000",2016
146,Louis Williams,"$7,000,000",2016
147,Rodney Stuckey,"$7,000,000",2016
148,Boris Diaw,"$7,000,000",2016
149,Sergio Rodriguez,"$6,800,000",2016
150,Carl Landry,"$6,750,000",2016
151,Ed Davis,"$6,666,667",2016
152,Isaiah Thomas,"$6,587,131",2016
153,Victor Oladipo,"$6,552,960",2016
154,Jodie Meeks,"$6,540,000",2016
155,Matt Barnes,"$6,508,351",2016
156,Aron Baynes,"$6,500,000",2016
157,Marco Belinelli,"$6,333,333",2016
158,Jae Crowder,"$6,286,408",2016
159,Tarik Black,"$6,191,000",2016
160,Lance Thomas,"$6,191,000",2016
161,Andrew Nicholson,"$6,088,993",2016
162,Patrick Patterson,"$6,050,000",2016
163,Andrew Wiggins,"$6,006,600",2016
164,Ramon Sessions,"$6,000,000",2016
165,Ishmael Smith,"$6,000,000",2016
166,Patrick Beverley,"$6,000,000",2016
167,Wayne Ellington,"$6,000,000",2016
168,Alex Abrines,"$5,994,764",2016
169,Karl-Anthony Towns,"$5,960,160",2016
170,Ben Simmons,"$5,903,160",2016
171,Otto Porter,"$5,893,981",2016
172,Nikola Mirotic,"$5,782,450",2016
173,Shaun Livingston,"$5,782,450",2016
174,Josh McRoberts,"$5,782,450",2016
175,Spencer Hawes,"$5,782,450",2016
176,Brandan Wright,"$5,709,880",2016
177,Tim Duncan,"$5,643,750",2016
178,Boban Marjanovic,"$5,628,000",2016
179,Wesley Johnson,"$5,628,000",2016
180,Tyler Johnson,"$5,628,000",2016
181,Jared Sullinger,"$5,628,000",2016
182,Brandon Jennings,"$5,587,318",2016
183,Nick Young,"$5,443,918",2016
184,Jabari Parker,"$5,374,320",2016
185,Lance Stephenson,"$5,371,672",2016
186,D'Angelo Russell,"$5,332,800",2016
187,Josh Smith,"$5,331,729",2016
188,Cody Zeller,"$5,318,313",2016
189,PJ Tucker,"$5,300,000",2016
190,Brandon Ingram,"$5,281,680",2016
191,Kyle Korver,"$5,239,437",2016
192,Darren Collison,"$5,229,454",2016
193,Larry Sanders,"$5,207,722",2016
194,Langston Galloway,"$5,200,000",2016
195,Derrick Williams,"$5,020,145",2016
196,Jonas Jerebko,"$5,000,000",2016
197,Luis Scola,"$5,000,000",2016
198,Roy Hibbert,"$5,000,000",2016
199,Tony Allen,"$5,000,000",2016
200,CJ Watson,"$5,000,000",2016
201,Jason Smith,"$5,000,000",2016
202,Alexis Ajinca,"$4,863,206",2016
203,Mike Dunleavy,"$4,837,500",2016
204,Kyle Singler,"$4,837,500",2016
205,Joel Embiid,"$4,826,160",2016
206,Alex Len,"$4,823,621",2016
207,Jahlil Okafor,"$4,788,840",2016
208,Jaylen Brown,"$4,743,000",2016
209,Marcus Morris,"$4,625,000",2016
210,CJ Miles,"$4,583,450",2016
211,Jameer Nelson,"$4,540,525",2016
212,Nerlens Noel,"$4,384,490",2016
213,Aaron Gordon,"$4,351,320",2016
214,Greivis Vasquez,"$4,347,826",2016
215,Kristaps Porzingis,"$4,317,720",2016
216,Dragan Bender,"$4,276,320",2016
217,Vince Carter,"$4,264,057",2016
218,Devin Harris,"$4,227,996",2016
219,Jose Juan Barea,"$4,096,950",2016
220,Ben McLemore,"$4,008,882",2016
221,Thabo Sefolosha,"$4,000,000",2016
222,James Johnson,"$4,000,000",2016
223,Udonis Haslem,"$4,000,000",2016
224,Jordan Hill,"$4,000,000",2016
225,Leandro Barbosa,"$4,000,000",2016
226,Dante Exum,"$3,940,320",2016
227,Kyle O'Quinn,"$3,918,750",2016
228,Mario Hezonja,"$3,909,840",2016
