,Player,2003/04
0,Kevin Garnett,"$28,000,000"
1,Shaquille O'Neal,"$24,749,999"
2,Dikembe Mutombo,"$17,714,291"
3,Rasheed Wallace,"$17,000,000"
4,Allan Houston,"$15,937,500"
5,Chris Webber,"$15,937,500"
6,Shawn Kemp,"$14,941,935"
7,Shareef Abdur-Rahim,"$13,500,000"
8,Vin Baker,"$13,500,000"
9,Zydrunas Ilgauskas,"$13,500,000"
10,Antoine Walker,"$13,500,000"
11,Kobe Bryant,"$13,500,000"
12,Latrell Sprewell,"$13,500,000"
13,Antonio McDyess,"$13,500,000"
14,Ray Allen,"$13,500,000"
15,Allen Iverson,"$13,500,000"
16,Anfernee Hardaway,"$13,500,000"
17,Stephon Marbury,"$13,500,000"
18,Michael Finley,"$13,281,250"
19,Keith Van Horn,"$13,279,750"
20,Grant Hill,"$13,279,750"
21,Tracy McGrady,"$13,279,750"
22,Jalen Rose,"$13,279,750"
23,Jason Kidd,"$13,152,000"
24,Jermaine O'Neal,"$13,152,000"
25,Antonio Davis,"$12,925,000"
26,Tim Duncan,"$12,676,125"
27,Damon Stoudamire,"$12,375,000"
28,Eddie Jones,"$12,333,750"
29,Brian Grant,"$12,130,648"
30,Vlade Divac,"$12,051,510"
31,Nick Van Exel,"$11,956,625"
32,Tim Thomas,"$11,825,000"
33,Tom Gugliotta,"$11,670,000"
34,Paul Pierce,"$11,326,219"
35,Antawn Jamison,"$11,326,219"
36,Dirk Nowitzki,"$11,326,219"
37,Vince Carter,"$11,326,219"
38,Terrell Brandon,"$11,100,000"
39,Steve Francis,"$10,960,000"
40,Elton Brand,"$10,960,000"
41,Baron Davis,"$10,960,000"
42,Shawn Marion,"$10,960,000"
43,Glenn Robinson,"$10,730,000"
44,Theo Ratliff,"$10,156,250"
45,Lamar Odom,"$9,963,596"
46,Mike Bibby,"$9,500,000"
47,Kerry Kittles,"$9,266,666"
48,Dale Davis,"$9,061,875"
49,Toni Kukoc,"$9,056,250"
50,Greg Ostertag,"$8,666,666"
51,Gilbert Arenas,"$8,536,000"
52,Jamal Mashburn,"$8,525,000"
53,Jason Terry,"$8,333,333"
54,Raef LaFrentz,"$8,178,750"
55,Andre Miller,"$8,000,000"
56,Wally Szczerbiak,"$8,000,000"
57,PJ Brown,"$8,000,000"
58,Glen Rice,"$7,885,000"
59,Erick Dampier,"$7,842,000"
60,Maurice Taylor,"$7,800,000"
61,Derek Anderson,"$7,794,000"
62,Wesley Person,"$7,700,000"
63,Alan Henderson,"$7,682,188"
64,Austin Croshere,"$7,610,000"
65,Kelvin Cato,"$7,344,000"
66,Marcus Camby,"$7,250,000"
67,Rashard Lewis,"$7,012,987"
68,Corey Maggette,"$7,000,000"
69,Bonzi Wells,"$7,000,000"
70,Brad Miller,"$7,000,000"
71,Jerry Stackhouse,"$6,906,250"
72,Doug Christie,"$6,900,000"
73,Ron Mercer,"$6,750,000"
74,Shandon Anderson,"$6,700,000"
75,Chris Mills,"$6,600,000"
76,Lorenzen Wright,"$6,600,000"
77,Bo Outlaw,"$6,585,000"
78,Richard Hamilton,"$6,500,000"
79,Hakeem Olajuwon,"$6,326,923"
80,Bob Sura,"$6,266,666"
81,Predrag Stojakovic,"$6,250,000"
82,Eddie Robinson,"$6,204,000"
83,Tariq Abdul-Wahad,"$6,187,500"
84,Jason Williams,"$6,187,500"
85,Michael Dickerson,"$6,187,500"
