,Player,Salary,Date
0,Kevin Garnett,"$25,200,000",2002
1,Shaquille O'Neal,"$23,571,429",2002
2,Alonzo Mourning,"$20,629,800",2002
3,Juwan Howard,"$20,625,000",2002
4,Scottie Pippen,"$19,727,524",2002
5,Karl Malone,"$19,250,000",2002
6,Rasheed Wallace,"$16,200,000",2002
7,Dikembe Mutombo,"$16,105,264",2002
8,Allan Houston,"$14,343,750",2002
9,Chris Webber,"$14,343,750",2002
10,Shawn Kemp,"$13,651,028",2002
11,Bryant Reeves,"$12,999,998",2002
12,Gary Payton,"$12,636,117",2002
13,Antonio McDyess,"$12,600,000",2002
14,Shareef Abdur-Rahim,"$12,375,000",2002
15,Antoine Walker,"$12,375,000",2002
16,Vin Baker,"$12,375,000",2002
17,Zydrunas Ilgauskas,"$12,375,000",2002
18,Kobe Bryant,"$12,375,000",2002
19,Ray Allen,"$12,375,000",2002
20,Latrell Sprewell,"$12,375,000",2002
21,Allen Iverson,"$12,375,000",2002
22,Anfernee Hardaway,"$12,375,000",2002
23,Stephon Marbury,"$12,375,000",2002
24,Damon Stoudamire,"$12,375,000",2002
25,Jalen Rose,"$12,072,500",2002
26,Grant Hill,"$12,072,500",2002
27,Tracy McGrady,"$12,072,500",2002
28,Keith Van Horn,"$12,072,500",2002
29,Tim Duncan,"$12,072,500",2002
30,Reggie Miller,"$12,046,473",2002
31,Antonio Davis,"$12,000,000",2002
32,Michael Finley,"$11,953,125",2002
33,Vlade Divac,"$11,248,076",2002
34,Eddie Jones,"$11,212,500",2002
35,Nick Van Exel,"$11,061,234",2002
36,Brian Grant,"$11,027,862",2002
37,Tom Gugliotta,"$10,892,000",2002
38,Tim Thomas,"$10,750,000",2002
39,David Robinson,"$10,500,000",2002
40,Terrell Brandon,"$10,175,000",2002
41,Paul Pierce,"$10,067,750",2002
42,Dirk Nowitzki,"$10,067,750",2002
43,Antawn Jamison,"$10,067,750",2002
44,Vince Carter,"$10,067,750",2002
45,Steve Smith,"$9,900,000",2002
46,Glenn Robinson,"$9,860,000",2002
