,Player,Salary,Year,UUID
0,Kevin Garnett,25200000.0,2002,0ed94437-a147-48ac-83f0-a3983fb029d8
1,Shaquille O'Neal,23571429.0,2002,3fab405f-b6e2-4a04-8e0c-c58d6a1fea7c
2,Alonzo Mourning,20629800.0,2002,24e0d59e-051e-491c-a277-266a817738ea
3,Juwan Howard,20625000.0,2002,b72085ba-0fea-419f-abfe-e5f38fd489f6
4,Scottie Pippen,19727524.0,2002,5f61fcf6-fe84-4d1b-b81c-df6681f42baf
5,Karl Malone,19250000.0,2002,5c1df327-abdf-426f-84c5-f41cf0791594
6,Rasheed Wallace,16200000.0,2002,bd24dc8d-c240-4f21-be92-57fdb977dedf
7,Dikembe Mutombo,16105264.0,2002,090b4081-c6a7-4127-b20e-0efee51debdb
8,Allan Houston,14343750.0,2002,4ce18890-7c4d-45ae-9e0a-b2b3609c3ac4
9,Chris Webber,14343750.0,2002,01f6cea7-3bf1-49bf-a2e1-e8c5601b929f
10,Shawn Kemp,13651028.0,2002,5d7c713a-28f8-4f3d-afec-0634c90286c3
11,Bryant Reeves,12999998.0,2002,b54b5f0c-f4bc-4cde-b829-601790c852c9
12,Gary Payton,12636117.0,2002,27363b3e-7ee5-4d57-ad7c-6733aed1bf0f
13,Antonio McDyess,12600000.0,2002,2473905c-f10d-4a54-9f55-292a4d1e9c07
14,Shareef Abdur-Rahim,12375000.0,2002,449dd472-0fb9-4fe1-a2ec-1311e0ccd693
15,Antoine Walker,12375000.0,2002,c400236b-71b9-44b1-acf5-ec0af47ad20e
16,Vin Baker,12375000.0,2002,9bf49ae9-36da-471d-8754-99596763097d
17,Zydrunas Ilgauskas,12375000.0,2002,751662ec-5a87-4635-b111-c042b6d773b5
18,Kobe Bryant,12375000.0,2002,de239086-5a79-49b6-a5b1-552a168da685
19,Ray Allen,12375000.0,2002,6240e96a-429a-4506-9eae-fb9dc4b4739e
20,Latrell Sprewell,12375000.0,2002,71e1ef6d-3b82-4b0c-a610-73b9977d227d
21,Allen Iverson,12375000.0,2002,b8337f78-f11c-44ac-bdbc-7667d03929b3
22,Anfernee Hardaway,12375000.0,2002,540cce99-0152-4e8e-a5da-78a5cfe2c524
23,Stephon Marbury,12375000.0,2002,e1e4ed3a-5ec6-4639-860d-92926006ba68
24,Damon Stoudamire,12375000.0,2002,e8e6a323-ab79-49ff-8e73-dff9e39d2bca
25,Jalen Rose,12072500.0,2002,9e99123d-074a-4f90-9724-609186a05241
26,Grant Hill,12072500.0,2002,da291b31-d0f8-432f-bfbc-6153e8180354
27,Tracy McGrady,12072500.0,2002,7c74b779-6f5c-484e-9307-fc05b880c3aa
28,Keith Van Horn,12072500.0,2002,78a2dc0e-592f-4b7c-8cd3-ba1356385a97
29,Tim Duncan,12072500.0,2002,5d4a4b8e-cecc-4fae-977b-853801dae01d
30,Reggie Miller,12046473.0,2002,3633f8b2-6ff9-4c55-a865-00c438b550de
31,Antonio Davis,12000000.0,2002,0fffa8e1-ffea-4de0-9bce-08bb833881f1
32,Michael Finley,11953125.0,2002,ab078447-a6ff-4e7f-930c-32994aaa5f52
33,Vlade Divac,11248076.0,2002,c21ce428-deb9-40e2-8968-777d8e07bea8
34,Eddie Jones,11212500.0,2002,4d493d65-c081-42be-ae79-e74ba6b9968a
35,Nick Van Exel,11061234.0,2002,09079e61-6f7c-461e-9716-83451f9a21d3
36,Brian Grant,11027862.0,2002,9bb46ab2-3c63-4d37-bee1-9cfb027be4ea
37,Tom Gugliotta,10892000.0,2002,e831c7a0-db65-4beb-a908-1e39dea883e7
38,Tim Thomas,10750000.0,2002,9c6026cf-cc6c-4fa8-a453-e79f9e44ad9a
39,David Robinson,10500000.0,2002,9f597919-97ae-4084-aa82-4f642ebf43ef
40,Terrell Brandon,10175000.0,2002,f1aae5f9-d50c-4878-9d7f-c44d02d02f4f
41,Paul Pierce,10067750.0,2002,4b9de629-5a81-4abd-a7f2-5d3cbc8b19f6
42,Dirk Nowitzki,10067750.0,2002,4700c150-0c70-4d0e-b464-75b7c0062372
43,Antawn Jamison,10067750.0,2002,26391d5a-bf40-4e81-8e70-cffc7549e5c0
44,Vince Carter,10067750.0,2002,3e63da53-49dc-4303-be6f-ff70d6b50714
45,Steve Smith,9900000.0,2002,822eedbd-e04d-482a-a21b-25868d6f6b1b
46,Glenn Robinson,9860000.0,2002,f85e4253-aec0-4247-af20-81cb55bc2768
47,Larry Johnson,9610714.0,2002,a67c7859-4af3-4b86-b5ae-6e0141107ef7
48,Derrick Coleman,9380000.0,2002,ac56b8d4-28c3-43b5-a7d4-05fbc6db6838
49,Theo Ratliff,9375000.0,2002,ebe92f3a-df7d-46e3-8232-7610e9c21fd0
50,Jason Kidd,9265000.0,2002,a84f0046-8b7d-4bde-a24d-2689996a73e8
51,Glen Rice,9200000.0,2002,0676c991-15d1-465b-9889-82c7c6375202
52,Kenny Anderson,9185000.0,2002,8fb66d1c-953f-412b-a1e7-342955c72636
