,Pick,Team,Player,Year,UUID
0,1,PHI,Ben Simmons,2016,faf68c2e-ae37-47b3-9390-af15dd7ecd3b
1,2,LAL,Brandon Ingram,2016,843ee6e0-6471-4fcb-9a23-72e479e6b56d
2,3,BOS,Jaylen Brown,2016,c6b6da2c-e87d-413f-9b20-2956cf445ea8
3,4,PHO,Dragan Bender,2016,4792b104-033c-47f1-b48d-87c8ecf4457b
4,5,MIN,Kris Dunn,2016,2f0e01ef-75dd-4220-a513-48606165fa6f
5,6,NOP,Buddy Hield,2016,233ec7f8-d1b6-4ea7-81e5-734ce4a8d6ca
6,7,DEN,Jamal Murray,2016,f23225e8-07aa-428b-afcf-1f7129c8f0a3
7,8,SAC,Marquese Chriss,2016,a3258f01-9d9d-41cf-9cc8-09802d325e04
8,9,TOR,Jakob Poeltl,2016,f4559b40-0be2-494f-b142-0d4adec9724a
9,10,MIL,Thon Maker,2016,31ed6bd7-924f-45b7-9e19-81dacb908e22
10,11,ORL,Domantas Sabonis,2016,c6647b55-10de-430c-8d6d-2b961236fd16
11,12,UTA,Taurean Prince,2016,dc569363-2ac7-413a-824c-aae1e1e0f586
12,13,PHO,Georgios Papagiannis,2016,5b438822-6e4f-4592-a7dd-4918dceeb6b8
13,14,CHI,Denzel Valentine,2016,1fba3450-c708-44cc-b40f-4d2f99853305
15,16,BOS,Guerschon Yabusele,2016,a155cf37-f6ef-4600-b872-a88060f57dbf
16,17,MEM,Wade Baldwin,2016,db9324ad-2818-4863-9ce4-c731e352bddd
17,18,DET,Henry Ellenson,2016,ac2882c8-0725-4fa6-8faa-51f29f442be8
18,19,DEN,Malik Beasley,2016,949bd05b-4697-4eb0-8da1-1af48ed795e1
19,20,IND,Caris LeVert,2016,8135db22-459c-4ebe-a5f5-04c2edf56de0
20,21,ATL,DeAndre Bembry,2016,6966f9d0-9c16-4a23-8073-3dc3bacfbd7d
21,22,CHO,Malachi Richardson,2016,1a667a48-7108-4f2f-b3e4-7ebc711249b9
24,25,LAC,Brice Johnson,2016,412b493a-6f3b-4746-a699-5dcb4fa5fc62
25,26,PHI,Furkan Korkmaz,2016,8c937f1e-b18c-4e68-b2b2-d4a33d5e37ed
26,27,TOR,Pascal Siakam,2016,75450fe1-4c96-4550-b9d2-e633d30ae2bd
28,29,SAS,Dejounte Murray,2016,ade50089-e466-4559-b5af-b00a4659bc8e
29,30,GSW,Damian Jones,2016,8911daa4-6db8-4b25-8068-65e40b714aac
30,31,BOS,Deyonta Davis,2016,23925fa1-b861-48b4-80b8-b38bcb10b1eb
31,32,LAL,Ivica Zubac,2016,5924adc4-f541-46c2-97ab-97a3e737ab9d
32,33,LAC,Cheick Diallo,2016,83c38b3c-e57b-4d57-aaad-7dc6a05ec4a8
33,34,PHO,Tyler Ulis,2016,bd8992b2-4ce1-4775-9053-2ce3fdf8f3fc
34,35,BOS,Rade Zagorac,2016,f7966e63-fd7f-45db-adf6-e68887821bf8
35,36,MIL,Malcolm Brogdon,2016,86c3877b-89d0-47f1-a67a-85a40bbf4fa0
36,37,HOU,Chinanu Onuaku,2016,a444691c-6f71-4b03-81c7-ac24a01546e7
37,38,MIL,Patrick McCaw,2016,d0e68808-05d6-4dc6-b591-9f0004195ae2
39,40,NOP,Diamond Stone,2016,141feeb3-ad30-4e8d-971f-f6c3c017457e
40,41,ORL,Stephen Zimmerman,2016,04650e11-31a8-41bc-998c-4b9750e14edd
41,42,UTA,Isaiah Whitehead,2016,3a7d38c8-2e29-47c2-ad35-870e189bb89c
42,43,HOU,Zhou Qi,2016,694aa217-87a7-4a79-b1a7-b60bcd3f8c9e
44,45,BOS,Demetrius Jackson,2016,fe5f0b60-c041-46ad-a3ca-f40a6711cfaf
46,47,ORL,Jake Layman,2016,03e2fd9d-c76c-409e-a9a3-7e71c38fd3e1
47,48,CHI,Paul Zipser,2016,033456e5-edd4-42d2-a4f2-d65f9a4d2695
48,49,DET,Michael Gbinije,2016,09bc3e73-beae-4bb0-bc28-5aafe8fa5892
49,50,IND,Georges Niang,2016,6600c24c-e2e6-4d11-a160-662ef2e06847
50,51,BOS,Ben Bentil,2016,180f1cbe-179b-4c89-a63b-a39986bb3a5c
51,52,UTA,Joel Bolomboy,2016,cd7bcf28-a3ff-411e-97e2-fa7cabc66154
52,53,DEN,Petr Cornelie,2016,cec337b9-b5ca-4cdd-b47c-59a31c9a71c4
53,54,ATL,Kay Felder,2016,88828591-49eb-4424-86a9-1cfb361fc9e6
54,55,BRK,Marcus Paige,2016,fb72addd-0a57-4b24-b785-f21bef472fec
55,56,DEN,Daniel Hamilton,2016,411c83b3-f11b-49a1-b2b4-8b7a8e187d3b
57,58,BOS,Abdel Nader,2016,c7962886-f304-4b58-9cc0-a206ef6f7a6e
58,59,SAC,Isaiah Cousins,2016,7512e88d-0852-4546-acac-f7a58f8abe89
59,60,UTA,Tyrone Wallace,2016,074e9730-76b7-44a5-b897-518c9ff62af6
