,Pick,Team,Player,Year,UUID
0,1,MIN,Anthony Edwards,2020,5519d393-dfb1-4da2-8dfd-7f6818e745bb
1,2,GSW,James Wiseman,2020,ad92dbdd-2d47-4efa-b15c-d738a6de7e70
2,3,CHO,LaMelo Ball,2020,d05e16d4-c65d-4bf2-a777-8212d32f959a
3,4,CHI,Patrick Williams,2020,d46a2a50-660e-4d7d-81d9-7150f6b80e49
4,5,CLE,Isaac Okoro,2020,07186299-7492-4cca-99d3-1003370dc903
5,6,ATL,Onyeka Okongwu,2020,617a74f3-fad3-4064-a0b8-21cf25d4136d
6,7,DET,Killian Hayes,2020,f7f2f772-bbce-407d-ba0d-9f52296d56d7
7,8,NYK,Obi Toppin,2020,6e247819-a293-47a7-9e4a-7ebbc3cf961e
8,9,WAS,Deni Avdija,2020,2f0516ea-bbf0-4454-92da-9fa626f9ac33
9,10,PHO,Jalen Smith,2020,48267d12-f698-4a11-874c-80a363a33f95
10,11,SAS,Devin Vassell,2020,5491be37-200c-4eaf-894e-cc98a551d7db
11,12,SAC,Tyrese Haliburton,2020,6bfc26b7-38d6-4cb3-bf87-8c403c130844
12,13,NOP,Kira Lewis,2020,ebff6cea-9ce3-462a-8fb7-d8e48e60ec72
13,14,BOS,Aaron Nesmith,2020,b9379370-345f-4bf7-9ce1-d4fa9504804b
14,15,ORL,Cole Anthony,2020,5c823b93-f272-4835-b228-a14bd8fc9e86
15,16,POR,Isaiah Stewart,2020,2dd57508-99f3-47a7-8c02-fb1c4bc26052
16,17,MIN,Aleksej Pokusevski,2020,75224a23-78ee-4356-bb97-d8da86b5954f
17,18,DAL,Josh Green,2020,1e6c0bfe-c52d-4d76-abb1-5812e04ab30c
18,19,BRK,Saddiq Bey,2020,5a0d59c2-af9c-4435-9271-9059a3ff7c54
19,20,MIA,Precious Achiuwa,2020,17096454-b779-45fe-b045-f35073e0a9ea
20,21,PHI,Tyrese Maxey,2020,f592c6df-643a-42ec-abdf-aabeda161cb9
21,22,DEN,Zeke Nnaji,2020,a524e9d6-b121-484c-b129-1268d4c03d38
22,23,NYK,Leandro Bolmaro,2020,1d528968-e680-41b1-b835-37b9da5dd8d0
23,24,MIL,RJ Hampton,2020,89220eef-f760-4e9e-851d-6d29e7069be6
24,25,OKC,Immanuel Quickley,2020,568aaa8e-7305-4548-9805-a44ce994b54d
25,26,BOS,Payton Pritchard,2020,69f4b93e-0f1a-4df9-85ff-995f1fa5a5b9
26,27,UTA,Udoka Azubuike,2020,08e31372-dd0a-47dc-b2c9-1eaa32d654e9
27,28,LAL,Jaden McDaniels,2020,a9024308-0a21-4940-ade9-73c630db186f
28,29,TOR,Malachi Flynn,2020,7a63acba-0fb0-4f0d-9336-6bf0fb74c9a6
29,30,BOS,Desmond Bane,2020,65319385-5785-4bf9-a195-81b4aa7c605f
30,31,DAL,Tyrell Terry,2020,fce5341b-d7de-4ec3-8108-af4c03a076f3
31,32,CHO,Vernon Carey,2020,ab54b22c-0185-4b8e-b9a4-751ec4ba459e
32,33,MIN,Daniel Oturu,2020,76d7fa2b-bb94-401c-9a8c-98596ae71e02
33,34,PHI,Theo Maledon,2020,dbc628b0-411c-409e-aa4c-1be209d5a181
34,35,SAC,Xavier Tillman,2020,85a06c99-6f9f-4de2-a7fb-30113e4fbf74
35,36,PHI,Tyler Bey,2020,51ac2fff-c6a5-4f06-a087-f8eff58bf969
36,37,WAS,Vit Krejci,2020,04021d32-e9a8-4e2b-bd77-24393fa7bab4
37,38,UTA,Saben Lee,2020,72081d09-21c2-4dc1-94b5-3d555d84e427
38,39,NOP,Elijah Hughes,2020,ec7a5ad0-7334-457e-8f97-ff0530920bb9
39,40,MEM,Robert Woodard,2020,c2fd04d0-b0a9-43e0-b63d-ae9ea31524f8
40,41,SAS,Tre Jones,2020,bed0fe3c-904b-4ce8-9b5c-ce69033f1968
41,42,NOP,Nick Richards,2020,92096313-2d11-48be-8b72-be3bb10e6388
42,43,SAC,Jahmi'us Ramsey,2020,7ce78d74-c0ba-49f6-908b-fce93b871e5b
43,44,CHI,Marko Simonovic,2020,a9cb5a43-8fa3-41d4-be3c-7a2a6ef5260f
44,45,MIL,Jordan Nwora,2020,0e858499-986e-40a3-a357-4e594c5c357c
45,46,POR,CJ Elleby,2020,d7c005de-0c5a-49a5-b18a-7cf247c7361c
46,47,BOS,Yam Madar,2020,
47,48,GSW,Nico Mannion,2020,819d63c0-948c-4e14-a780-f08199f3cf2c
48,49,PHI,Isaiah Joe,2020,140503ca-ec52-42a2-8d57-553d9f2123c4
49,50,ATL,Skylar Mays,2020,8d21f9e5-2a99-4e79-87b6-29c98ab08670
50,51,GSW,Justin James,2020,0227d3c5-a83b-418b-b5b7-8991524e816f
51,52,SAC,Kenyon Martin,2020,d942225a-2af7-4ddd-ab29-5080cf48f46c
52,53,OKC,Cassius Winston,2020,b898a44f-7b3e-49af-b1ce-abf9b674fc89
53,54,IND,Cassius Stanley,2020,27f1e384-f141-4f8b-be18-90ea608ebee7
54,55,BRK,Jay Scrubb,2020,fa1ed67c-d5ad-4c32-8001-b07567e61557
55,56,CHO,Grant Riller,2020,be3e36b7-8db2-4e26-94d8-6e5775ae8d9a
56,57,LAC,Reggie Perry,2020,860f24d2-d5e7-4889-b6aa-ca99d31761bb
57,58,PHI,Paul Reed,2020,40d70e28-8145-4138-995b-214ad15cbea3
58,59,TOR,Jalen Harris,2020,6c236877-7aca-4989-baf1-ccf383713783
59,60,NOP,Sam Merrill,2020,f96a8a76-3a16-48fb-8dfd-035b799b29b8
