,Pick,Team,Player,Year,UUID
0,1,NJN,Kenyon Martin,2000,d942225a-2af7-4ddd-ab29-5080cf48f46c
1,2,VAN,Stromile Swift,2000,b3076aff-68f5-4de2-9da0-f0cf36db15b7
2,3,LAC,Darius Miles,2000,c932ca62-defd-4f5e-8be1-9e05b04ce727
3,4,CHI,Marcus Fizer,2000,000067f7-aad4-483c-ad54-00c846384e72
4,5,ORL,Mike Miller,2000,263bcbf1-6373-464f-a26f-b58b8b2a96aa
5,6,ATL,DerMarr Johnson,2000,d0ccdb62-a990-4743-ae8a-3b85f17befd0
6,7,CHI,Chris Mihm,2000,9ba80a11-9aa7-4522-9c85-2fc5c3452b8a
7,8,CLE,Jamal Crawford,2000,9d93177f-40b0-4e5f-9798-4f54ea6e53e0
8,9,HOU,Joel Przybilla,2000,4c93afcf-fdce-410b-a854-c15235986588
9,10,ORL,Keyon Dooling,2000,34245314-4d63-4b66-88b6-c31e0a8368b7
10,11,BOS,Jerome Moiso,2000,c63289d7-5d8f-4e4a-b8f1-35cab86ef284
11,12,DAL,Etan Thomas,2000,59e4ff99-7895-4177-a778-2b549e66e07c
12,13,ORL,Courtney Alexander,2000,409365f9-b562-45a2-b072-c44d7e74cc7b
13,14,DET,Mateen Cleaves,2000,1b78eaf4-b943-45b6-8134-196d2f1e522f
14,15,MIL,Jason Collier,2000,ec11d97a-8e95-47f0-8524-dae263c77f82
15,16,SAC,Hidayet Turkoglu,2000,da312d61-dee7-4dd1-8a13-27f914f06475
16,17,SEA,Desmond Mason,2000,b7b65ade-a781-4030-8f77-081a4145b573
17,18,LAC,Quentin Richardson,2000,fd5d9842-10ba-435f-9c6a-d0bfed71626d
18,19,CHH,Jamaal Magloire,2000,f165e8fd-85a2-4f30-9d00-8a2aa1f18d5b
19,20,PHI,Speedy Claxton,2000,c0427517-9d21-4970-a373-7d91e8aab2af
20,21,TOR,Morris Peterson,2000,54ce1135-fca7-4a1a-ab84-513e26d66e9a
21,22,NYK,Donnell Harvey,2000,8074f8f5-9e86-442e-a8f3-87b007d5d85b
22,23,UTA,DeShawn Stevenson,2000,f87a7454-1984-45dd-bdc2-5543890975f7
23,24,CHI,Dalibor Bagaric,2000,852fe9c1-062b-4b67-bccf-41c1121c3faf
24,25,PHO,Iakovos Tsakalidis,2000,3302551d-78a7-4aa2-b0f8-6503d8d18425
25,26,DEN,Mamadou N'diaye,2000,18c95f16-f1ac-4cb4-ba9c-575195c86be3
26,27,IND,Primoz Brezec,2000,3021c14a-4cce-487a-accc-593fd3c5b49d
27,28,POR,Erick Barkley,2000,7d0dfd44-f010-4094-9000-74c72e61dbe0
28,29,LAL,Mark Madsen,2000,93368268-a751-41bc-9b66-cf3d1c40ed6a
29,30,LAC,Marko Jaric,2000,ffbad57d-5b56-4620-87a1-9f56f6b73c1c
30,31,DAL,Dan Langhi,2000,5a453a88-a146-4827-ba0c-28d74292b367
31,32,CHI,AJ Guyton,2000,1272f3a1-288c-43a5-ba13-a78dbd91344a
32,33,CHI,Jake Voskuhl,2000,5aa5643b-172b-4fd4-9aa0-f7ba1cedcac1
33,34,CHI,Khalid El-Amin,2000,b83319d9-ea30-480c-ae4b-9e747d786490
34,35,WAS,Mike Smith,2000,98f9e129-9d1f-4deb-bf75-0d045bbcd100
35,36,NJN,Soumaila Samake,2000,90e29b9a-0704-4670-9114-75f0ecf8eb55
36,37,MIA,Eddie House,2000,5de32757-6174-4ba2-b4a2-fe84edcfa5f5
37,38,HOU,Eduardo Najera,2000,ee04d3d7-724c-4dc6-b058-c26d24a502cb
38,39,NYK,Lavor Postell,2000,7c1634c4-575f-4a9e-8423-c7c93fc755d8
39,40,ATL,Hanno Mottola,2000,0ff36b59-0e30-4403-bef9-708bbdcf4185
40,41,SAS,Chris Carrawell,2000,103ee135-0a2a-4e7c-99cb-e57b52e8f41d
41,42,SEA,Olumide Oyedeji,2000,03b18432-baed-4cd9-ae49-8922fcd220c1
42,43,MIL,Michael Redd,2000,3c2fb1bc-d168-480f-8555-0c4d4e59c356
43,44,DET,Brian Cardinal,2000,c7336898-88c5-4c04-a593-7a83b6534fd8
44,45,SAC,Jabari Smith Sr,2000,eaf375e9-32f2-4739-ac4f-d659e569b03b
45,46,TOR,De'Andre Hunter,2000,b125793a-8bdc-46d9-a530-d349e3d0ee10
46,47,SEA,Josh Hart,2000,6a393fe1-40ed-4ab8-add8-ab9316603453
47,48,PHI,Mark Karcher,2000,377809aa-ffca-42e5-b0b9-6471affe50ee
48,49,MIL,Jason Hart,2000,908c7f00-a850-4921-ab71-6eec52eb0d37
49,50,UTA,Kaniel Dickens,2000,c4b8174b-f975-4b0c-8c10-726a6b6d1a88
50,51,MIN,Igor Rakocevic,2000,1d0fae29-a520-40ea-b870-ba50ebb473de
51,52,MIA,Ernest Brown,2000,a9446404-1c70-411f-b7a1-a9d2c7ba8044
53,54,SAS,Cory Higgins,2000,57af8aec-0e71-4e2b-8088-775951d9d8e4
54,55,GSW,Chris Porter,2000,0e221261-f6e1-4239-82de-4a720998d82a
55,56,IND,Jay Williams,2000,4986dec1-5b84-4466-9ca6-8336beb15bcd
56,57,ATL,Scottie Pippen,2000,daa2fbf7-79c6-4f27-8b26-f261a98a48b9
57,58,DAL,Pete Mickeal,2000,2191109c-cecc-4c44-a9ce-ac2cf93ac437
