,Pick,Team,Player,Year,UUID
0,1,MIN,Karl-Anthony Towns,2015,63a46e64-b149-4624-9b93-6d707112e409
1,2,LAL,D'Angelo Russell,2015,40c50918-6e04-4c45-8745-f571052c3746
2,3,PHI,Jahlil Okafor,2015,0924e058-3473-45da-85f8-2dc28565c075
4,5,ORL,Mario Hezonja,2015,5d01b161-c2ca-43a2-bc27-41bb659bfec9
5,6,SAC,Willie Cauley-Stein,2015,d748f99a-f263-4fd7-8016-e2d7a4c298d8
6,7,DEN,Emmanuel Mudiay,2015,0f7cc253-29cd-4572-96ec-8880a8d9ba5b
7,8,DET,Stanley Johnson,2015,11278856-d9a3-476e-a2e3-75d4e8b3c7dc
8,9,CHO,Frank Kaminsky,2015,44108de8-e7c7-44ab-a941-e251c03a99e6
9,10,MIA,Justise Winslow,2015,543f64b7-92fd-4004-917b-05ea7ec8a57f
10,11,IND,Myles Turner,2015,1d73aa8e-2ad6-4893-845a-b20a22863047
11,12,UTA,Trey Lyles,2015,3ebeb49a-f7ba-4bcd-beb7-eda4e12a3629
12,13,PHO,Devin Booker,2015,01d9a572-c2d4-49b6-8582-9eebd9e2e7a1
13,14,OKC,Cameron Payne,2015,ba0799f7-dacd-4915-9958-eb7ad0295495
14,15,ATL,Kelly Oubre,2015,7ad5cf91-2fe2-48c6-9269-9720df19c241
15,16,BOS,Terry Rozier,2015,fc6b2306-6702-4ed7-b4b0-861ee54f271a
16,17,MIL,Rashad Vaughn,2015,2525bea6-338c-4271-b326-711b609671cc
17,18,HOU,Sam Dekker,2015,d8d1cb2b-008a-4544-aa88-3ad1594a9b23
18,19,WAS,Jerian Grant,2015,7b6f416c-a1cc-4aad-a149-ca203679b6d8
19,20,TOR,Delon Wright,2015,833f330c-863c-4d64-98c4-9e4cf09ef904
20,21,DAL,Justin Anderson,2015,1ab7ab39-d3a8-4b1d-9a2c-27828c2cb5aa
21,22,CHI,Bobby Portis,2015,abe01362-c552-4662-b42c-ca037ef53161
22,23,POR,Rondae Hollis-Jefferson,2015,4b59f7c3-69e0-41df-946c-cc5be243f77b
23,24,CLE,Tyus Jones,2015,79f3bb17-0a5a-454f-a638-6092318cf26b
24,25,MEM,Jarell Martin,2015,a00820f2-126b-4d4a-b7e4-c312c6dd3e93
26,27,LAL,Larry Nance Jr,2015,ecb76b7d-5592-41a4-89eb-ea476d00b708
28,29,BRK,Chris McCullough,2015,0d09466c-f8e2-4d18-b78d-0e700e27545e
29,30,GSW,Kevon Looney,2015,455b675e-ee9b-4046-9474-c23dbf08a150
30,31,MIN,Cedi Osman,2015,daa099ae-7208-4e0a-8402-d5627d30a798
31,32,HOU,Montrezl Harrell,2015,64379148-f232-45b7-abe0-c3f3b5c6138a
32,33,BOS,Jordan Mickey,2015,1bfb9cdd-ec6c-46a6-b4bd-1bff97b92be2
33,34,LAL,Anthony Brown,2015,a01bb2f0-3235-434f-a2db-7d56c0704de5
35,36,MIN,Rakeem Christmas,2015,9c6703e1-705d-49b2-8155-dd7045e255c3
36,37,PHI,Richaun Holmes,2015,6e36d9aa-5c11-46c7-860d-f8b9793baf2a
37,38,DET,Darrun Hilliard,2015,9253dd7a-4f01-4066-9f22-ddb9f6a83030
39,40,MIA,Josh Richardson,2015,506999f4-2b8d-4abc-aab2-b640bbe10243
40,41,BRK,Pat Connaughton,2015,ff748b38-19d2-48ec-ab57-927a34601dc6
42,43,IND,Joseph Young,2015,2251afe1-8c2e-4ae1-9ed6-e75b4b8e6e07
43,44,PHO,Andrew Harrison,2015,42777361-224b-4e5f-84ff-d3d009ece155
44,45,BOS,Marcus Thornton,2015,de69b53e-9383-451f-8954-3acc624f458b
45,46,MIL,Norman Powell,2015,85164da8-e7be-43f3-a6d4-659d329f5a4b
47,48,OKC,Dakari Johnson,2015,93c7dcd5-de46-48cf-888d-29f200c790ac
55,56,NOP,Branden Dawson,2015,34c64035-26a0-41f4-a3bd-e592582ee403
