,Pick,Team,Player,Year,UUID
0,1,DET,Cade Cunningham,2021,2087fa55-fdb9-4e68-9004-1999c4ea8e5d
1,2,HOU,Jalen Green,2021,47a1a42d-9ae5-4215-a25b-8afe1061e4d6
2,3,CLE,Evan Mobley,2021,fe25f98b-f0ba-4665-96b1-b7ad652a993a
3,4,TOR,Scottie Barnes,2021,b6067532-6a32-4682-b8f1-4c88f3a771b2
4,5,ORL,Jalen Suggs,2021,9f43fa78-fe56-4258-93c5-a00499cb7d41
5,6,OKC,Josh Giddey,2021,d4447ed8-4854-4ad0-a5aa-bc37cbc9b79f
6,7,GSW,Jonathan Kuminga,2021,8d01c0eb-2a72-40df-a7fb-ea064ac6cd65
7,8,ORL,Franz Wagner,2021,a29bc85d-d0e0-459e-835e-6a92914d00d4
8,9,SAC,Davion Mitchell,2021,120ea44b-a4f8-4019-98f4-4768615e0ecb
9,10,NOP,Ziaire Williams,2021,f77a9911-a0d8-4eb2-9fb3-1b5d42aebbf4
10,11,CHO,James Bouknight,2021,5851fae6-27f2-42f4-8077-ea6e7c3b0b62
11,12,SAS,Josh Primo,2021,d7ee5ac2-9531-46ec-a76b-06ff84d7137c
12,13,IND,Chris Duarte,2021,fa5df083-dd1e-4bc3-ab1b-3c41306309c9
13,14,GSW,Moses Moody,2021,565d73ec-d65f-4b06-ac10-05a6df788e05
14,15,WAS,Corey Kispert,2021,2ae823e3-a174-46e8-9e34-9c8731174401
16,17,MEM,Trey Murphy,2021,9d5f2868-13bb-4856-a7e9-f7aa711d04c4
17,18,OKC,Tre Mann,2021,2b80ef05-fa74-4fd4-ac5a-3f7fefb2c5fe
18,19,NYK,Kai Jones,2021,63f8854a-830d-49f4-9ba3-7f661ab0dfea
19,20,ATL,Jalen Johnson,2021,313a3b0e-81c7-4461-9558-06445c4c8147
20,21,NYK,Keon Johnson,2021,175cdb8f-289a-47f5-8257-94b3114c0415
21,22,LAL,Isaiah Jackson,2021,877d522b-b37d-4186-a2f2-fe97404a25d2
22,23,HOU,Usman Garuba,2021,98a4c755-9e18-412f-a6ab-48e018dd2b5b
23,24,HOU,Josh Christopher,2021,cbcdde37-11fe-4f10-afbd-55d6f86d9684
24,25,LAC,Quentin Grimes,2021,0761f061-29b0-486e-bc86-6dcae6f42898
25,26,DEN,Bones Hyland,2021,65a9123f-1157-4dec-bef5-de9e1b07d3d2
26,27,BRK,Cam Thomas,2021,0c8fa596-8c1a-4334-b3b4-22fb974f94fa
27,28,PHI,Jaden Springer,2021,3fef42a2-c2e5-4823-9b0a-64c7c9839151
28,29,PHO,Day'Ron Sharpe,2021,dbd9d9cc-690e-4859-8422-7884e54688d4
29,30,UTA,Santiago Aldama,2021,69658e84-3660-4a3f-94e4-3d9ae1cf5f6b
30,31,MIL,Isaiah Todd,2021,dbab0a13-2be9-4f3e-915b-a173186fe7d2
31,32,NYK,Jeremiah Robinson-Earl,2021,c1e981e3-7881-4fbc-9559-cb270f4e093b
32,33,ORL,Jason Preston,2021,9a8e6356-0375-4ee7-88db-ac10ac050912
34,35,NOP,Herb Jones,2021,0069762f-01ea-4b6f-923e-7dbdb288c840
35,36,OKC,Miles McBride,2021,2e108760-e8fe-4d1d-b46c-aecacac23388
36,37,DET,JT Thor,2021,43bcbbe6-d03f-4a8f-ab52-aa4b5948cd82
37,38,CHI,Ayo Dosunmu,2021,e4334f24-c5fc-426a-b6c2-941ab2a7e2e7
38,39,SAC,Neemias Queta,2021,e0acdfed-d861-4a50-afba-de6eadbf2f89
39,40,NOP,Jared Butler,2021,1ad9bd1b-1889-432b-a415-d131e347d8d1
40,41,SAS,Joe Wieskamp,2021,4cccec0f-97a3-492e-87fa-bcdd0d6269c8
41,42,DET,Isaiah Livers,2021,77401cb2-893e-45b4-a181-0e863e22065f
42,43,NOP,Greg Brown,2021,a2eadeed-e7e2-44a9-9af7-25dcca66d031
43,44,BRK,Kessler Edwards,2021,70934a8e-d1dd-4d1a-ac4e-33c4ac4eeb54
45,46,TOR,Dalano Banton,2021,66084db8-e05d-45e3-8b6b-5abe19176123
46,47,TOR,David Johnson,2021,1c8063ca-7a8f-4050-a1a0-f91cbb4036de
47,48,ATL,Sharife Cooper,2021,5b78560b-df82-47cb-a6b4-9e41edab8018
50,51,MEM,BJ Boston,2021,00605051-569e-4892-a101-4a338866ec73
51,52,DET,Luka Garza,2021,7b9ea61d-7ed5-4c45-89a9-800cf5a0829a
52,53,PHI,Charles Bassey,2021,c56f190a-b1da-4812-b828-6257ddfa6f65
53,54,IND,Sandro Mamukelashvili,2021,3efcb085-4413-4898-a400-4b7155a1495f
54,55,OKC,Aaron Wiggins,2021,8de36bfc-f8af-4a70-beb0-70cc661c355c
55,56,CHO,Scottie Lewis,2021,abe72303-b945-475a-b153-fa358ad5d388
57,58,NYK,Jericho Sims,2021,b01509fb-ee3a-44fc-8925-f278f9f82291
59,60,IND,Georgios Kalaitzakis,2021,0e03e81a-47da-4893-a76c-63fb92c5054e
