,Pick,Team,Player,Year,UUID
0,1,WAS,John Wall,2010,6fe56b56-bc6e-4e10-9319-9513743a0349
1,2,PHI,Evan Turner,2010,323a3bdf-8bbd-4f2f-9e5e-1bc63b264320
2,3,NJN,Derrick Favors,2010,bc659b74-d3c9-4eff-b31b-cb8ab7dcbd29
3,4,MIN,Wesley Johnson,2010,dc0e75f9-d0e2-46c3-a203-aa625abd46f1
4,5,SAC,DeMarcus Cousins,2010,8cbfc2fc-b6ca-4d1d-a325-02317f169d41
5,6,GSW,Ekpe Udoh,2010,5ba23a60-d07f-48f7-93c3-e3160edc86ea
6,7,DET,Greg Monroe,2010,8504f9a2-2cd4-40c8-9bec-88e005348c67
7,8,LAC,Al-Farouq Aminu,2010,923266f0-bcfa-4dbd-b186-859cd232c4bb
8,9,UTA,Gordon Hayward,2010,c2c237ba-d352-4fd8-8332-fc751a29d4c7
9,10,IND,Paul George,2010,fd3a23ba-8ccf-4790-bdf7-52782a310c86
10,11,NOH,Cole Aldrich,2010,870dc916-98fe-477b-a38e-9756e3096404
11,12,MEM,Xavier Henry,2010,b895879f-8f94-40c1-80f2-6ffa86e3f304
12,13,TOR,Ed Davis,2010,49689c1c-b01d-44ef-8044-daddc9ae92b7
13,14,HOU,Patrick Patterson,2010,1e19f27d-c7b0-4b8a-a7c3-3107384f225b
14,15,MIL,Larry Sanders,2010,b71a23e8-3256-4bbd-824d-9ae29d48d11a
15,16,MIN,Luke Babbitt,2010,85ea0765-51a9-4a13-ac67-a458704269d8
17,18,OKC,Eric Bledsoe,2010,17636843-a64e-4318-879c-78b734d763e8
18,19,BOS,Avery Bradley,2010,d225077d-f5a5-4f73-8ffd-2c9ef8ee2c92
19,20,SAS,James Anderson,2010,d3bbc3ea-1c9d-4724-98a7-6583681224dc
20,21,OKC,Craig Brackins,2010,68ae297c-52e4-44a9-b4e0-f1a648d654ae
21,22,POR,Elliot Williams,2010,d9ca872f-6cf4-4340-a086-f217fb849f98
22,23,MIN,Trevor Booker,2010,d6688108-7f0e-436b-be39-7bd24d235f31
23,24,ATL,Damion James,2010,a0f134b3-d1b2-4bde-ab91-5c0cf239ae86
24,25,MEM,Dominique Jones,2010,0c19db06-08a3-4d3d-9dcd-8b0841c8a1e7
25,26,OKC,Quincy Pondexter,2010,7b57e102-13a3-4471-9f48-e38544a86532
26,27,NJN,Jordan Crawford,2010,c4a51fed-c79a-41d4-9281-c75eba53cb9b
28,29,ORL,Daniel Orton,2010,eee44f20-81da-4d3c-a5df-b0949b58a9f9
29,30,WAS,Lazar Hayward,2010,706c3d6c-5cbe-4b1d-b80f-5045c9727b94
31,32,MIA,Dexter Pittman,2010,6248fa41-cadc-4264-a474-821ddbf6ea02
32,33,SAC,Hassan Whiteside,2010,b2d4e35e-d992-4a59-a168-4ab9036e9ba1
33,34,POR,Armon Johnson,2010,33c909d5-ce6e-4c3f-85ca-d7ff210927dc
34,35,WAS,Nemanja Bjelica,2010,03ee19a3-322a-4d8d-9b6b-064f86e6ad19
35,36,DET,Terrico White,2010,dca37240-1675-4ad6-aebf-c2271f8261d4
36,37,MIL,Darington Hobson,2010,26f212ac-5d47-474a-ab7e-619c9a544abb
37,38,NYK,Andy Rautins,2010,e049a92e-5069-49ca-a29a-73e2bdc4fe82
38,39,NYK,Landry Fields,2010,71c90c4d-604e-4989-ac69-df884a0515b6
39,40,IND,Lance Stephenson,2010,c5a69a27-c2ed-4525-b374-1b615cc48725
40,41,MIA,Jarvis Varnado,2010,c1aac348-5c3e-49d0-9eb8-1ce7dbfd37a3
41,42,MIA,Da'Sean Butler,2010,64ea09ab-f2ff-42b0-b945-a82a5bc338dc
42,43,LAL,Devin Ebanks,2010,8d43743c-01a8-4c3c-9b78-634c504fc81f
43,44,MIL,Jerome Jordan,2010,65e7ff6c-52cd-4e43-97de-2ee0bdbf47d0
45,46,PHO,Gani Lawal,2010,c21f75bd-84ca-4f95-9fe5-7311c6b15b41
49,50,DAL,Solomon Alabi,2010,42eabf42-7762-4416-ac3b-e4e605bccd03
51,52,BOS,Luke Harangody,2010,71aecd97-1171-4da2-bf3f-29fa7249fecc
52,53,ATL,Pape Sy,2010,bcb1c032-7383-4404-b340-42e044b3896a
53,54,LAC,Willie Warren,2010,28afabec-e636-48ae-9105-97ee0f513f48
54,55,UTA,Jeremy Evans,2010,01c433d3-bd7a-42b4-b224-269d08a0e06b
55,56,MIN,Hamady N'Diaye,2010,481c3e0e-c5f3-4ede-889e-eae22cce0396
56,57,IND,Ryan Reid,2010,797fe5d2-3d21-45ce-b96f-683dbf354172
57,58,LAL,Derrick Caracter,2010,6dc62934-439b-4f7a-86c5-09899994230d
