,Pick,Team,Player,Year,UUID
0,1,WAS,Kwame Brown,2001,5ac90373-f73b-4f7b-9594-9e0aa746df5c
1,2,LAC,Tyson Chandler,2001,8c507a1f-0040-43af-a02c-2e453b5ecb1c
2,3,ATL,Pau Gasol,2001,4851c61b-ef46-44ed-b940-4c1229208225
3,4,CHI,Eddy Curry,2001,5c066c64-425d-4ae2-ba7b-38715634f032
4,5,GSW,Jason Richardson,2001,8c6dde95-ce6e-46b9-8872-02b07d1e3a05
5,6,MEM,Shane Battier,2001,4d73dc7b-f969-4093-87dd-813ce167c15c
6,7,NJN,Eddie Griffin,2001,d9250b43-6953-4d7b-87dc-fffe60c0a33b
7,8,CLE,DeSagana Diop,2001,1868c19b-c9e2-4a6f-97df-09579bc2d292
8,9,DET,Rodney White,2001,35d384cc-b0dc-471c-b2d6-89a70638b3f4
9,10,BOS,Joe Johnson,2001,fca7c221-f167-42c8-a42a-9e28b3cef10e
10,11,BOS,Kedrick Brown,2001,99ceef6f-8cfa-49e9-a464-d82a8fd0c726
12,13,HOU,Richard Jefferson,2001,89a8b86f-f263-45ea-9c18-e41b5e63c58d
13,14,GSW,Troy Murphy,2001,e315ffcb-8bb5-4c44-965c-717a0a27c7e1
14,15,ORL,Steven Hunter,2001,c6220908-666f-4f60-b465-8eb847414e1a
15,16,CHH,Kirk Haston,2001,9c1d50a0-9f90-4974-891e-fe02572c3c93
16,17,TOR,Michael Bradley,2001,3592dea1-11be-4a50-9f9b-951c0c61ab45
17,18,HOU,Jason Collins,2001,9c26667f-134b-4cf5-b073-f8c5707a2ff9
18,19,POR,Zach Randolph,2001,71672ebf-e0d2-4a53-b5cc-6597ef66ef33
19,20,CLE,Brendan Haywood,2001,57d8912e-77d6-45b6-b0c2-d5f269c57e20
20,21,BOS,Joseph Forte,2001,5f952dec-0409-45bb-8864-12c48ec98631
21,22,ORL,Jeryl Sasser,2001,63b1851a-afc7-4bd7-a610-02199244f7ac
22,23,HOU,Brandon Armstrong,2001,0ac43c70-dc25-4cc4-a315-3c4dcf7819b2
24,25,SAC,Gerald Wallace,2001,21da3037-5a07-42ce-9376-1228b528f4a6
25,26,PHI,Samuel Dalembert,2001,bc04ca41-c6ba-4461-b7c7-772b5c981290
26,27,MEM,Jamaal Tinsley,2001,7281795b-6550-48ac-a0f4-f717ff6a4de0
27,28,SAS,Tony Parker,2001,0ea2d348-8b73-4aab-8897-7c65a7b7146e
28,30,CHI,Trenton Hassell,2001,39ca06b9-0114-423c-bce7-a0c1d030c720
29,31,GSW,Gilbert Arenas,2001,a96219af-32f3-4970-a605-f51f2c30d8db
30,32,ORL,Omar Cook,2001,b44f182d-3556-4975-b4db-e248bc2a626a
31,33,MEM,Willie Solomon,2001,601616f6-7279-47fc-a8c6-4719bcb73e0b
32,34,ATL,Terence Morris,2001,386b17e1-cd31-4fec-b7ed-c059c4d13319
33,35,NJN,Brian Scalabrine,2001,c3ed71a9-b403-49fb-803c-c93a512f4d5f
34,36,CLE,Jeff Trepagnier,2001,c7395e93-e9a2-4bab-99d7-8ceec021efb6
35,37,PHI,Damone Brown,2001,0a7de632-5706-4f76-aa3f-14f2634e97ff
36,38,DET,Mehmet Okur,2001,f4ed9663-56e3-414e-8d02-4dd06ef9e003
38,40,SEA,Earl Watson,2001,679ea26b-23e6-4fa3-b074-d077963150a5
39,41,IND,Jamison Brewer,2001,6380a469-6e88-4c3a-83de-52bdca12e258
40,42,SEA,Bobby Simmons,2001,80deaa35-9607-4aaa-a816-c5374a9534d9
43,45,CHI,Sean Lampley,2001,ae155f83-16d4-4c79-a1a7-267d7d673458
44,46,MIN,Loren Woods,2001,9bac9a1e-1487-46e0-a64c-c0f47281fd20
46,48,MEM,Antonis Fotsis,2001,a6494d90-e682-4915-999f-27ac39e6c0ad
47,49,MIA,Ken Johnson,2001,a43be6fa-7cbf-44b5-867c-d3bd34960b16
48,50,POR,Ruben Boumtje-Boumtje,2001,fe7354b5-4214-4baa-9271-ffa5aacd41d3
49,51,PHO,Alton Ford,2001,bcbc5083-07ec-40e3-93ac-973f474857b3
51,53,UTA,Jarron Collins,2001,e573a98a-936f-440f-8a70-25296c820f6c
52,54,DAL,Kenny Satterfield,2001,72022b53-d68a-4db6-bd4d-10d03f3fe2cd
55,57,PHI,Alvin Jones,2001,38a0be95-3a3e-4323-9957-1b59c18e8233
