,Pick,Team,Player,Year,UUID
0,1,CLE,Anthony Bennett,2013,08426b10-1512-44e9-ae29-6dae7445ad83
1,2,ORL,Victor Oladipo,2013,f04cdc8a-1971-4d58-8454-969dd95b87e7
2,3,WAS,Otto Porter,2013,331abcf1-15a5-4709-8108-fc3a2ef064f0
3,4,CHA,Cody Zeller,2013,d154be96-2675-4c8e-b5c8-a9ba6b37faff
4,5,PHO,Alex Len,2013,5179d379-fdce-4853-a1e3-4600060320f9
5,6,NOH,Nerlens Noel,2013,31b8f959-9bec-4a7c-afd9-16eae2bed402
6,7,SAC,Ben McLemore,2013,fa75fe59-a0f3-4622-a2f6-a8b299a575b3
7,8,DET,Kentavious Caldwell-Pope,2013,f00e8d00-42aa-42d8-8e69-28111939c9fa
8,9,MIN,Trey Burke,2013,abd020b9-658b-4ddd-b269-525c8616ae63
9,10,POR,CJ McCollum,2013,0f573632-b692-47e3-a448-71de53dd5822
10,11,PHI,Michael Carter-Williams,2013,428ac42d-ad0f-4c59-a8e6-158bb1673e15
11,12,OKC,Steven Adams,2013,46ce77d6-85a7-4a93-ba7d-f335ec907c76
12,13,DAL,Kelly Olynyk,2013,40d27056-9a6f-49d1-a5e7-f450f8549647
13,14,UTA,Shabazz Muhammad,2013,de802a3f-609e-43bb-bd6e-5cac40aaa592
14,15,MIL,Giannis Antetokounmpo,2013,f5e976f0-2383-4f34-869e-912b0daebc1d
15,16,BOS,Lucas Nogueira,2013,37408756-8249-461c-8d04-270699ac4925
16,17,ATL,Dennis Schroeder,2013,921c97ac-f9d0-4d5e-8e18-0f48468c6aac
17,18,ATL,Shane Larkin,2013,a0ee1804-89eb-49f5-b9fc-3afff5fbe51c
18,19,CLE,Sergey Karasev,2013,f40f7940-933b-4a1c-9eb2-15295f07e351
19,20,CHI,Tony Snell,2013,6582bb12-ce5d-4928-ab6d-716a5f5d858f
20,21,UTA,Gorgui Dieng,2013,cc059c85-f0e9-4ab3-86cf-f74a78c3c50f
21,22,BRK,Mason Plumlee,2013,c10055eb-cf04-4a5d-9f0e-79093e31e4f2
22,23,IND,Solomon Hill,2013,a1f5d693-8a60-4d45-a7ca-813bfa00bc97
23,24,NYK,Tim Hardaway Jr,2013,6735b974-8587-4876-b2d1-aab0639f893b
24,25,LAC,Reggie Bullock,2013,3fe7d90f-c200-45c5-962f-8c14fd8c0986
25,26,MIN,Andre Roberson,2013,6c9cc11d-1150-44d8-87d3-942078449755
26,27,DEN,Rudy Gobert,2013,891f2335-cdb7-46ac-9824-4c1c585d809d
27,28,SAS,Livio Jean-Charles,2013,70a8c2dc-5477-42c1-9f82-0ecfa30d6ad5
28,29,OKC,Archie Goodwin,2013,b56fa74a-5141-47b3-9edf-1255b126808a
29,30,PHO,Nemanja Nedovic,2013,85bcecb7-d197-431b-9000-e3b14ba3091a
30,31,CLE,Allen Crabbe,2013,a4503ad8-21da-4b71-ad1c-fcbfc4fe8daf
31,32,OKC,Alex Abrines,2013,88fce72d-0905-4a7e-b10f-d84068444251
32,33,CLE,Carrick Felix,2013,051068d2-d334-4b18-aa02-284eb4177761
33,34,HOU,Isaiah Canaan,2013,75b7b678-90f7-4a93-9e28-f2e876d961f0
34,35,PHI,Glen Rice Jr,2013,6056c953-b880-4e7b-afc4-6015df346b79
35,36,SAC,Ray McCallum,2013,ab321b16-32b4-479c-9cbc-b68679328308
36,37,DET,Tony Mitchell,2013,7a95d907-78fc-4466-bfb6-a8efa3c8eed9
37,38,WAS,Nate Wolters,2013,fe3ef326-4b02-4b93-acfc-043f355f5822
38,39,POR,Jeff Withey,2013,2a7593a3-96eb-43fe-9019-54acf73ce5a7
39,40,POR,Grant Jerrett,2013,fe364f99-8c26-4d16-9d69-0a76d3138914
40,41,MEM,Jamaal Franklin,2013,ba2c0791-d19f-4ac1-8f55-8db138a88d8c
41,42,PHI,Pierre Jackson,2013,8ca908c2-3bc0-4b43-b3b5-2bac7a0712b9
42,43,MIL,Ricky Ledo,2013,380d20fe-af26-43c0-b8b5-a3f8ab257295
43,44,DAL,Mike Muscala,2013,6ca7ae28-c4ad-4bcc-91ef-bd3c02cc7520
44,45,POR,Marko Simonovic,2013,a9cb5a43-8fa3-41d4-be3c-7a2a6ef5260f
45,46,UTA,Erick Green,2013,b5d8fb1c-5b84-400b-a75c-29ff61561fe9
46,47,ATL,Raul Neto,2013,7565d0ed-9696-4628-9ffd-4182c2d03c21
47,48,LAL,Ryan Kelly,2013,7cd60d50-b543-421b-8d31-a3a1bba6d749
48,49,CHI,Erik Murphy,2013,9e17c8c8-4416-40ea-8f9a-047accadce2d
49,50,ATL,James Ennis,2013,e40702dc-bb5b-4dac-be77-af0308bcfdd8
50,51,ORL,Romero Osby,2013,
51,52,MIN,Lorenzo Brown,2013,3f7ef2a4-6df8-4efc-9208-963bf078be1f
52,53,IND,Allen Iverson,2013,d8c52d19-deaa-48c8-86da-ec699b2a0852
53,54,WAS,Arsalan Kazemi,2013,
54,55,MEM,Joffrey Lauvergne,2013,e947e963-828d-4caf-9d71-96a1ba035be4
55,56,DET,Peyton Siva,2013,19e1ac3e-4401-45bf-ba08-a587eb2c5f61
56,57,PHO,Alex Garcia,2013,6b5ffa7e-a375-4e39-b95a-72008ebfe4c2
57,58,SAS,John Thomas,2013,e1b7213a-eef4-44ed-8bc7-620db87fb12d
58,59,MIN,Bojan Dubljević,2013,
59,60,MEM,Jānis Timma,2013,
