,Pick,Team,Player,Year,UUID
0,1,PHI,Markelle Fultz,2017,f668ee0c-4acf-4449-ba2e-247ab17545c4
1,2,LAL,Lonzo Ball,2017,3e6a9381-3e26-4fa3-9181-5ca701b3fafc
2,3,BOS,Jayson Tatum,2017,4c4a8c9d-61cc-4c00-a9ac-3ac3a72658d7
3,4,PHO,Josh Jackson,2017,0f8c0535-9a0a-45ef-8556-3676481c94a5
4,5,SAC,De'Aaron Fox,2017,f5261ebb-2c8e-45bf-9c95-1d4daee3aa06
5,6,ORL,Jonathan Isaac,2017,b8265f36-bad5-4a83-a0af-e431d49a2723
6,7,MIN,Lauri Markkanen,2017,14de75ea-1ce3-46a6-8393-bc7562ad3f0b
7,8,NYK,Frank Ntilikina,2017,9992a5aa-6e2f-4ab5-8cb7-112a52aa1759
8,9,DAL,Dennis Smith,2017,00dee947-45e1-434a-b4ef-b04c843acbfa
9,10,SAC,Zach Collins,2017,15b1ea4b-c9e7-4a68-a18b-598c488e9a27
10,11,CHO,Malik Monk,2017,ae4f69cc-7cf4-42e5-a1d8-3b78cdc760ea
11,12,DET,Luke Kennard,2017,06b1cea3-aef1-4c73-82f0-65b1fa5f1ec0
12,13,DEN,Donovan Mitchell,2017,06ab76ee-56d2-4c4e-8b07-517d8d53b022
13,14,MIA,Bam Adebayo,2017,29c1a6e4-c764-46e7-895d-ab6735ef7b4e
14,15,POR,Justin Jackson,2017,28d9ec6c-bac4-439b-beb9-033c4a2c0b55
15,16,CHI,Justin Patton,2017,31bbe5f0-9368-49b1-82e5-f7423b6b6057
16,17,MIL,DJ Wilson,2017,b1b9701a-1ea6-40fb-a800-5fa4a11e24ab
17,18,IND,TJ Leaf,2017,c9f92ee5-c194-44c1-ae74-1408aa1ad067
18,19,ATL,John Collins,2017,e7beaed2-8406-414a-a442-0791fe240544
19,20,POR,Harry Giles,2017,8e2fd723-a11b-405a-aa18-3d29e0e6f56c
20,21,OKC,Terrance Ferguson,2017,1b439417-678a-4424-b5a1-b3fdf484ef3a
21,22,BRK,Jarrett Allen,2017,72921a64-9e9f-4610-8918-0e6084945127
22,23,TOR,OG Anunoby,2017,de1b106e-4448-4a73-994d-a78c85bfc2c4
23,24,UTA,Tyler Lydon,2017,c3a8f781-cbe0-4b8a-a834-e405727de546
24,25,ORL,Anzejs Pasecniks,2017,6df57786-fd66-490a-9737-680861ed814d
25,26,POR,Caleb Swanigan,2017,99d7e80e-ca77-49d9-81d6-8013b439c151
26,27,BRK,Kyle Kuzma,2017,878223f2-5c29-4e35-a95e-0beb9f39acd9
27,28,LAL,Tony Bradley,2017,81133df9-b02d-4788-b4d1-41b26db2be39
28,29,SAS,Derrick White,2017,043efd12-d5bd-4b94-8114-a3e3ea12a8d7
29,30,UTA,Josh Hart,2017,6a393fe1-40ed-4ab8-add8-ab9316603453
30,31,CHO,Frank Jackson,2017,fbc7c072-9e17-4673-9bbb-91c1d92fba77
31,32,PHO,Davon Reed,2017,03919150-5a45-48ee-9aa6-33ca3125ef16
32,33,ORL,Wesley Iwundu,2017,47f7068d-d7dd-40d1-9016-7064150c3cb7
33,34,SAC,Frank Mason,2017,15b57de0-f7c6-479e-8ca0-2d01c0fa346b
34,35,ORL,Ivan Rabb,2017,b01a3ff2-a9b5-4695-a627-7616193efc7c
35,36,PHI,Jonah Bolden,2017,5ba63bba-a41d-4136-8c3f-c14482657696
36,37,BOS,Semi Ojeleye,2017,0652c574-cc33-41b5-8eb5-cd55061c31ea
37,38,CHI,Jordan Bell,2017,a8ee6503-3073-4b82-9bf0-04ec8741f2de
38,39,PHI,Jawun Evans,2017,71b9aa40-7582-4644-82d7-2b4fe7063000
39,40,NOP,Dwayne Bacon,2017,87b65f49-2928-4375-af64-887bb4a53069
40,41,ATL,Tyler Dorsey,2017,a96c049a-5371-4cfd-b0cf-dac998efcf5b
41,42,UTA,Thomas Bryant,2017,bf383a70-9ed6-4096-9499-f73d0e0f1b7c
42,43,HOU,Isaiah Hartenstein,2017,45de56b1-fd0f-4219-8bda-312f209afe10
43,44,NYK,Damyean Dotson,2017,a448efb6-22a5-42ee-8f9d-0b5e6fdf0395
44,45,HOU,Dillon Brooks,2017,20ddcff8-6cb3-46f1-8d81-69132e5141b6
45,46,PHI,Sterling Brown,2017,487e24fb-10ec-4417-9550-7c9ee68572ca
46,47,IND,Ike Anigbogu,2017,eb4e82c5-25a2-4b23-b610-10e6869f497f
47,48,MIL,Sindarius Thornwell,2017,b8726b53-0dcd-4cac-80da-6d4841bee3cb
48,49,DEN,Vlatko Cancar,2017,e0ce38d9-78af-49ca-9f28-55d9d90098cc
50,51,DEN,Monte Morris,2017,92960f67-f4a7-4ad1-a6e2-8fdc3079dff8
51,52,NOP,Edmond Sumner,2017,987daf90-b5f1-41f9-912b-9f765baa7c48
52,53,BOS,Kadeem Allen,2017,5d8e7b8c-8869-4f2a-9b5b-35bbda38c1ef
53,54,PHO,Alec Peters,2017,5c847126-ce9d-4268-bac6-d061b174f634
54,55,UTA,Nigel Williams-Goss,2017,a0a80c6a-383c-47f3-bf2d-ab33165612e6
55,56,BOS,Jabari Bird,2017,21364386-bee5-46c9-a74e-353a5e7de70a
58,59,SAS,Jaron Blossomgame,2017,eb008ac9-88a5-4dc1-8c3d-c966222163b8
