,Pick,Team,Player,Year,UUID
0,1,LAC,Blake Griffin,2009,548d4996-f15b-46af-9dbf-38d6272876c7
1,2,MEM,Hasheem Thabeet,2009,d2f591d0-2bb7-4a63-907d-bad38da25a16
2,3,OKC,James Harden,2009,ef0995d8-4803-48be-b6b8-d6cdc7e8c433
3,4,SAC,Tyreke Evans,2009,ea2ffc40-e1c3-49e3-b18d-0d7bdac2a7c7
4,5,MIN,Ricky Rubio,2009,9903dc69-7800-43a5-8aa3-75796fdf6e5a
5,6,MIN,Jonny Flynn,2009,ba48f287-b8bb-4a81-9860-9d08e6fdc6ba
6,7,GSW,Stephen Curry,2009,2f1008df-4d89-43d1-b8be-b9f05520f109
7,8,NYK,Jordan Hill,2009,28319f48-ced1-4c12-babf-0d5cd85c7beb
8,9,TOR,DeMar DeRozan,2009,272f27e6-3e62-4f8e-b945-8bed931d3cba
9,10,MIL,Brandon Jennings,2009,f4211bca-cdd3-4b7b-ac1d-6371d8e6e76d
10,11,NJN,Terrence Williams,2009,758badf2-5f0d-477b-80ae-ebf5789cb71a
11,12,CHA,Gerald Henderson,2009,5cb2d23c-7065-40fc-83c0-21d38cc0cf25
12,13,IND,Tyler Hansbrough,2009,4c19691c-1617-441e-95a8-3f540ba117eb
13,14,PHO,Earl Clark,2009,23207e2d-5b08-41d2-ae11-3b4e60868cd0
14,15,DET,Austin Daye,2009,ffb44492-c09a-4c2a-84c6-6361f7fc3e52
15,16,CHI,James Johnson,2009,b5a968eb-57ce-4c89-bc90-8ecc8aa9798c
16,17,PHI,Jrue Holiday,2009,40b91da7-903b-40dc-b539-caf6cf904f73
17,18,MIN,Ty Lawson,2009,16d693eb-46f0-4c20-96e8-fd26addedceb
18,19,ATL,Jeff Teague,2009,ed4198c9-f1f9-4977-863b-b400610c3a2d
19,20,UTA,Eric Maynor,2009,d9357768-53e2-4d47-bd4e-4b8153962e95
20,21,NOH,Darren Collison,2009,41a9ce09-0561-469e-8cce-4470cf24430c
21,22,POR,Victor Claver,2009,8f22d001-7349-4028-b77f-431afb183e9e
22,23,SAC,Omri Casspi,2009,1bd53df0-c4df-431c-8cf1-df17effb1bf1
23,24,DAL,BJ Mullens,2009,94f36ee2-56c6-4a0f-b4cc-c13c0d097255
24,25,OKC,Rodrigue Beaubois,2009,94d404ae-34d7-4ef8-856c-c8ad522451aa
25,26,CHI,Taj Gibson,2009,8e37c54a-00ac-435b-a0bb-4261e632d568
26,27,MEM,DeMarre Carroll,2009,53481e82-11a1-46c5-94be-f450702a1036
27,28,MIN,Wayne Ellington,2009,ceb51fc3-5b04-4abd-be0e-4687b3d38b11
28,29,LAL,Toney Douglas,2009,accfe225-18a9-4078-92e7-405878f2a011
29,30,CLE,Christian Eyenga,2009,70326f1b-9d1d-482a-aced-cb1a31783323
30,31,SAC,Jeff Ayres,2009,50641fb2-a1e5-4260-898c-8e94da355476
31,32,WAS,Jermaine Taylor,2009,2576ddfc-f14a-40c3-b0de-5c46f2f4589f
32,33,POR,Dante Cunningham,2009,fd596933-a85b-40cd-bb5e-d7d8dd8c4408
34,35,DET,DaJuan Summers,2009,cf013130-53a3-459c-b0dc-9d0f6ea871a6
35,36,MEM,Sam Young,2009,ff708b2f-5a60-4bbb-aa10-33113979c3fe
36,37,SAS,DeJuan Blair,2009,58d5a5fd-f20e-4716-8068-f4a9d4991b69
37,38,POR,Jon Brockman,2009,f88e8653-aa36-484d-bb59-e898fc19fc86
38,39,DET,Jonas Jerebko,2009,f4e85826-129d-4fc4-ad66-8d94b41d4a94
39,40,CHA,Derrick Brown,2009,04dc6dc6-97fb-408a-9c4d-e9523242ba49
40,41,MIL,Jodie Meeks,2009,2cf19593-acd1-404e-8086-7114e4be23ac
41,42,LAL,Patrick Beverley,2009,e00c813d-373c-4c94-b76f-ae42f7df7723
42,43,MIA,Marcus Thornton,2009,de69b53e-9383-451f-8954-3acc624f458b
43,44,DET,Chase Budinger,2009,d5bee85f-173c-414d-ae61-8c5bbf1469e0
44,45,MIN,Nick Calathes,2009,ef7ae7f5-6ce7-4420-9aac-07795048a415
45,46,CLE,Danny Green,2009,69a55dfb-2eef-483c-ac31-e65bc0bf7d94
47,48,PHO,Taylor Griffin,2009,0fd77ae6-023b-4870-883c-d9efd8db1c9b
51,52,IND,AJ Price,2009,17f2373b-e2d3-4848-bc0e-2b6c9bc7a4af
52,53,SAS,Nando De Colo,2009,a1708c11-6e3f-4e0f-a51a-f48814db00a6
54,55,POR,Patrick Mills,2009,d27dc71c-dede-4eb8-91de-6acc5879671e
57,58,BOS,Lester Hudson,2009,3ea86a72-e0af-42d3-8e0a-a0151ebb8ba7
