,Pick,Team,Player,Year,UUID
0,1,HOU,Yao Ming,2002,e7839aa9-fd6b-45c7-85b8-1832ce2f3c3e
1,2,CHI,Jay Williams,2002,4986dec1-5b84-4466-9ca6-8336beb15bcd
2,3,GSW,Mike Dunleavy,2002,b11f83f8-692f-4af3-b60f-b9e31171adfa
3,4,MEM,Drew Gooden,2002,6c7e133c-973b-475f-abc8-f9bf36e7f4fe
4,5,DEN,Nikoloz Tskitishvili,2002,991c3602-2879-4c29-848a-f8bddba04c1e
5,6,CLE,Dajuan Wagner,2002,2662a210-9901-4b69-9133-3f1707384d95
6,7,NYK,Nenê,2002,71b3fc68-5b92-4644-af01-caa989d432ad
7,8,LAC,Chris Wilcox,2002,57b4f4d9-6682-499e-b4cc-0bedd15e44f3
8,9,PHO,Amare Stoudemire,2002,7b22af5c-e512-4e92-b842-66cda73f0254
9,10,MIA,Caron Butler,2002,1de786dd-1fcd-4ab9-b048-4cf8e3288a40
10,11,WAS,Jared Jeffries,2002,28a6bcdf-147e-40e7-a5ba-751716b257e9
11,12,LAC,Melvin Ely,2002,813515b8-e17f-4b67-af14-b15cacd4d128
12,13,MIL,Marcus Haislip,2002,88600561-5054-46bb-b7a5-36b404358e8e
13,14,IND,Fred Jones,2002,e6a1363f-4903-428c-831a-4f298bb89a1c
16,17,WAS,Juan Dixon,2002,530bfda3-3ba7-4f01-ad3c-c8dc90462f43
17,18,ORL,Curtis Borchardt,2002,b1d238b9-e96b-464b-a823-998e84f26543
18,19,UTA,Ryan Humphrey,2002,d2b869c9-f2ef-4f9c-82dc-bfbb12001bc6
19,20,TOR,Kareem Rush,2002,557814e2-15c3-4c83-bd56-a98dc07a42e9
20,21,POR,Qyntel Woods,2002,30499c78-1083-4f2b-9099-d5064fc06ac4
21,22,PHO,Casey Jacobsen,2002,45871ed9-6324-4484-955e-99bf2a26fa49
22,23,DET,Tayshaun Prince,2002,cd0dc149-fe1e-4af7-8638-75bb860234fc
24,25,DEN,Frank Williams,2002,67d3d35a-360f-4ea2-a55b-d4eed3fb0f21
25,26,SAS,John Salmons,2002,558b0037-a150-4d1f-b231-24aa05c6c4b5
26,27,LAL,Chris Jefferies,2002,7eb6d764-86b4-47db-ac69-458d32e32e09
27,28,SAC,Dan Dickau,2002,ee21989d-9cd1-415b-b6a6-a3d0f44f6842
29,31,CHI,Roger Mason,2002,cf2ae60c-1e6a-4ede-813e-3a9a10679b5c
30,32,MEM,Robert Archibald,2002,41e90f26-ce22-476c-820a-66dbe8317abb
31,33,DEN,Vincent Yarbrough,2002,b855a871-2968-4326-a044-78a33b2a080b
32,34,MIL,Dan Gadzuric,2002,fe38154a-4f09-4463-ba67-415b44a2615d
33,35,CLE,Carlos Boozer,2002,3bf7f1dc-c213-4da8-9385-3e65646f4279
35,37,ATL,David Andersen,2002,bd4a618e-2a19-47f9-960a-9c5f6850e609
36,38,HOU,Tito Maddox,2002,4b2b7865-b0ec-4241-aaad-4ed7eaeb659c
38,40,WAS,Juan Carlos Navarro,2002,a67888b2-bca3-4098-90d7-e8a660a9e4aa
39,41,LAC,Mario Kasun,2002,1dfa36dc-89bb-4c72-b440-cfb6998b2477
40,42,MIL,Ronald Murray,2002,a7ec378e-077c-4d23-bbd3-63c714c5132a
42,44,CHI,Lonny Baxter,2002,96a35422-2c3d-41c4-9d0a-dc33dbd93de4
43,45,PHI,Sam Clancy,2002,5432e6ba-033e-4440-bcfa-c00a888b7870
44,46,MEM,Matt Barnes,2002,b92af0fe-338d-45b1-b6a0-2f2df74e2183
45,47,UTA,Jamal Sampson,2002,828da8d2-c26c-4504-bdf7-7bfd2ea41e54
46,48,MIL,Chris Owens,2002,380fc20f-dba4-4a0e-8377-6bc7ec685d39
48,50,BOS,Darius Songaila,2002,bb936cb3-f25e-42c2-9847-44e048782e9f
51,53,MIA,Rasual Butler,2002,2287806b-4230-46cd-8880-05081a354c9a
52,54,NJN,Tamar Slay,2002,545f9476-0208-4aa5-9b4f-9e235e4701d7
54,56,SAS,Luis Scola,2002,af15b787-bdbb-45c7-b801-b241ce9f5e5d
55,57,SAS,Randy Holcomb,2002,35bf1924-cd89-4e94-873f-1613f0e91e6a
56,58,SAC,Corsley Edwards,2002,4fb8e5ec-d336-461d-b09c-14d233d5d000
