,Pick,Team,Player,Year,UUID
0,1,PHO,Deandre Ayton,2018,ac9da347-5eba-474e-8d53-08d9c1833f72
1,2,SAC,Marvin Bagley,2018,3d68a340-bc6e-4d0b-8822-5bf6dca266b3
2,3,ATL,Luka Doncic,2018,75576fb7-2f8a-499b-b20e-e5bf1c651e69
3,4,MEM,Jaren Jackson Jr,2018,a50f83c0-9c4f-4a18-8bf2-e81f7e6c59ae
4,5,DAL,Trae Young,2018,d7e8f362-9787-481e-8511-b1d12c6eefed
5,6,ORL,Mo Bamba,2018,3b3fc02a-81db-4b5e-ad2e-f3e639e2dcc6
6,7,CHI,Wendell Carter,2018,b56c3a9c-46b5-4527-968f-facc950b9c86
7,8,CLE,Collin Sexton,2018,b8ee5f0d-b500-4681-a467-f3eff6324683
8,9,NYK,Kevin Knox,2018,cb13f1b4-bf2c-43bf-bc15-e38fbee7cd78
9,10,PHI,Mikal Bridges,2018,5a7b4897-7ea6-41e6-8c0c-b16ade8caefb
10,11,CHO,Shai Gilgeous-Alexander,2018,8ea7afeb-fc98-4fab-a247-ef551b049d8d
11,12,LAC,Miles Bridges,2018,700b4282-e962-4838-b573-d4e94aafc2f6
12,13,LAC,Jerome Robinson,2018,d9b61487-1c67-4b2f-b651-631c27738aa5
13,14,DEN,Michael Porter,2018,f60b49de-9a9e-4c6f-957b-48d3a2a7331b
14,15,WAS,Troy Brown,2018,be2fdec1-5fb0-479c-b2ff-a4e3247bea3e
15,16,PHO,Zhaire Smith,2018,2fe5ca67-e5b7-4ad9-9c46-4f4e0c140c4b
16,17,MIL,Donte DiVincenzo,2018,6664a7da-034b-4b1a-89a9-ee02fb65edaf
17,18,SAS,Lonnie Walker,2018,80fb2661-07bc-4859-9427-fa2c12a55f7b
18,19,ATL,Kevin Huerter,2018,d5b19326-590d-4476-b71f-93f8ce80506f
19,20,MIN,Josh Okogie,2018,e18e7367-b327-492e-b6a5-f33146533c9e
20,21,UTA,Grayson Allen,2018,c17a14b5-f22f-468b-9e98-32a49934f504
21,22,CHI,Chandler Hutchison,2018,8eb692b0-f4d3-47d7-b3a9-b7f0156372e0
22,23,IND,Aaron Holiday,2018,1537018f-8f70-4e1a-876d-d7dfe4e32c9b
23,24,POR,Anfernee Simons,2018,eafe4996-9f4e-44bf-9c4b-29d112c48a65
24,25,LAL,Moritz Wagner,2018,0ec5a43a-77c5-4175-914a-beef903e80d5
25,26,PHI,Landry Shamet,2018,1522bfb2-55d6-46d0-92e6-b04260693180
26,27,BOS,Robert Williams,2018,bc7e2407-e5f1-4210-9a8c-e3e7c9150977
27,28,GSW,Jacob Evans,2018,10935a7f-680b-44cf-b3af-0a501dff70e6
28,29,BRK,Dzanan Musa,2018,2cdb3c39-872d-430f-82db-c865198e134d
29,30,ATL,Omari Spellman,2018,2fd10b89-a632-4086-80c7-f3f3e07a4b64
30,31,PHO,Elie Okobo,2018,a4182f85-a667-4668-bdef-7bd14a37186a
31,32,MEM,Jevon Carter,2018,e95ee880-f0ff-4807-9d17-ec53af63216d
32,33,DAL,Jalen Brunson,2018,91006828-e9c1-4525-b70a-df45cd5fc252
33,34,ATL,Devonte Graham,2018,97ab5846-88c3-49d4-9012-a92a75adf25f
34,35,ORL,Melvin Frazier,2018,9e6eb417-2100-43d8-a971-0fccd1d8c5a1
35,36,NYK,Mitchell Robinson,2018,f0711681-9292-4e81-aeee-dd5e1fee6b22
36,37,SAC,Gary Trent Jr,2018,e0d7c00b-fa01-4bd2-a262-0db13b5cf810
37,38,PHI,Khyri Thomas,2018,50f486ae-4fb5-4a9d-80f7-5db6864d1e17
38,39,PHI,Isaac Bonga,2018,0e735556-1d68-4e32-a4be-9762668e36ac
39,40,BRK,Rodions Kurucs,2018,9fe0b5c9-a07a-47d6-bd74-80341dceca35
40,41,ORL,Jarred Vanderbilt,2018,0b07f428-01ec-4c2f-9552-0d870f5bab34
41,42,DET,Bruce Brown,2018,46e9355c-3d8a-4d70-8088-f08cd5416869
42,43,DEN,Justin Jackson,2018,28d9ec6c-bac4-439b-beb9-033c4a2c0b55
43,44,WAS,Issuf Sanon,2018,
44,45,BRK,Hamidou Diallo,2018,f9321cc5-45f7-442b-8d3b-52378ace1473
45,46,HOU,De'Anthony Melton,2018,e64e971a-e461-40e0-8755-5b197ec0a102
46,47,LAL,Sviatoslav Mykhailiuk,2018,7b6c4afc-1fab-455b-ae2e-6fd1d2085f1d
47,48,MIN,Keita Bates-Diop,2018,6e5f8c11-afc2-4edf-b00d-c357c5e25f32
48,49,SAS,Chimezie Metu,2018,a4f21a7b-5ee3-49a4-abde-703e7f16675d
49,50,IND,Alize Johnson,2018,207b5f2b-f3bc-4b8d-8328-1fc5bc63a91a
50,51,NOP,Tony Parker,2018,0ea2d348-8b73-4aab-8897-7c65a7b7146e
51,52,UTA,Vincent Edwards,2018,e3be4d11-aa61-48c7-9375-7bfbaf2c6862
52,53,OKC,Donta Hall,2018,35df822e-8fa4-4690-9996-da6dd65bb343
53,54,DAL,Shake Milton,2018,274d80a2-e191-4a54-8756-f8df2a606bfa
54,55,CHO,Arnoldas Kulboka,2018,a7362f3d-995b-43dc-a502-dabe33fa74ab
55,56,PHI,Raymond Spalding,2018,3d2231d4-4cad-4d8a-b1b2-9c26a4b724a9
56,57,OKC,Kevin Hervey,2018,d3daefd1-3b4c-4ec5-a756-4e4c7572c776
