,Pick,Team,Player,Year,UUID
0,1,CLE,Kyrie Irving,2011,6c1bb9b8-8772-428c-bdd6-b1956c33c58a
1,2,MIN,Derrick Williams,2011,ef53d04e-22ca-42bb-a116-c2af9bd85d04
3,4,CLE,Tristan Thompson,2011,678144c4-fb03-42fa-88df-c77576787fa7
6,7,SAC,Bismack Biyombo,2011,da767da1-be6c-4733-aa9a-3db35a8c454b
7,8,DET,Brandon Knight,2011,1a9f0723-a183-4aba-bd80-ecc17e4f2bba
8,9,CHA,Kemba Walker,2011,5796f491-d801-4a1a-bcc6-40c6c321080b
9,10,MIL,Jimmer Fredette,2011,22c826bd-b424-4e77-a055-3a4198ac67e2
10,11,GSW,Klay Thompson,2011,01050c09-20ce-495f-ad70-44486158bc52
11,12,UTA,Alec Burks,2011,25257545-d3e2-44b6-a29b-cdef3ec66ef3
12,13,PHO,Markieff Morris,2011,a535af48-3739-49e3-b431-dbaff4802848
13,14,HOU,Marcus Morris,2011,9b90a5fe-a758-4ed5-a719-4d897fab6e67
14,15,IND,Kawhi Leonard,2011,a8de2eeb-afae-44ff-aa2f-24b11323daf9
16,17,NYK,Iman Shumpert,2011,312a38d9-dac2-45b5-9e5a-c7a6387738d1
17,18,WAS,Chris Singleton,2011,d9f7a19d-3303-495b-8d22-40b547ce8d4d
18,19,CHA,Tobias Harris,2011,f933c097-9567-4bec-a9f8-1c1d6a61061e
20,21,POR,Nolan Smith,2011,4b06310a-7987-4cf8-86a3-4501988d2453
21,22,DEN,Kenneth Faried,2011,1b50af52-af5f-4544-b406-5f95bea5049a
23,24,OKC,Reggie Jackson,2011,5d3a2927-8c9b-4174-ab0c-a4b05da0e1d1
24,25,BOS,MarShon Brooks,2011,91805d01-8e09-4581-addc-c42855765484
25,26,DAL,Jordan Hamilton,2011,50efd8c4-d368-44d3-aa7a-3517c1773f58
26,27,NJN,JaJuan Johnson,2011,7dcbc71a-c1a8-4349-9977-6d4e593890de
27,28,CHI,Norris Cole,2011,f611b1e5-cf88-4a9a-8a61-f28cf069b294
28,29,SAS,Cory Joseph,2011,ee6e34f3-5e7e-4a65-b292-c3ce999a76e1
29,30,CHI,Jimmy Butler,2011,f0fb95cc-2a0f-4518-a8e6-e7a789fd7c15
31,32,CLE,Justin Harper,2011,8180e086-1458-4867-ad6e-291d26582008
32,33,DET,Kyle Singler,2011,f8b9ea86-0b12-41ce-ba02-af6099c8696a
33,34,WAS,Shelvin Mack,2011,8ba1213d-2602-41fe-a690-5042ee11f33a
34,35,SAC,Tyler Honeycutt,2011,6f650dc6-bc18-4c7f-bd83-88d92c9122bd
35,36,NJN,Jordan Williams,2011,a1a6e594-9d1f-409c-adee-d79fe858693a
36,37,LAC,Trey Thompkins,2011,ed05cd2c-95bd-4099-bcc4-e142cd46023c
37,38,HOU,Chandler Parsons,2011,db7bf925-db6a-4419-80f4-37fd136d0d2e
38,39,CHA,Jeremy Tyler,2011,64901580-5a1b-43d2-9cd8-f7e89eb189b2
39,40,MIL,Jon Leuer,2011,b2910714-019f-4100-bd7a-8d24f80bd278
40,41,LAL,Darius Morris,2011,abf48e68-42d8-4a21-8232-380be80ba221
42,43,CHI,Malcolm Lee,2011,6f902749-20b8-4cc0-ae02-52f838baa805
43,44,GSW,Charles Jenkins,2011,d29a9a24-6234-4471-903f-796c43d9befb
44,45,NOH,Josh Harrellson,2011,a3824538-ef94-4b57-bc4c-3d1bee7c1bbf
45,46,LAL,Andrew Goudelock,2011,bf4218c1-ea3e-48fb-86aa-22abdd790fc8
46,47,LAC,Travis Leslie,2011,701e47c6-25bd-4855-a009-a0c1c3f315f7
47,48,ATL,Keith Benson,2011,00eba3d0-462c-4aed-94d1-1f4dc7e48d0d
48,49,MEM,Josh Selby,2011,886c8b1b-eadf-4f25-bc95-5aeab40a93f7
49,50,PHI,Lavoy Allen,2011,cd4f8a1e-8717-4553-963f-ead63759981e
51,52,DET,Vernon Macklin,2011,2f12331b-7d84-49ff-a462-fc94065c322a
52,53,ORL,DeAndre Liggins,2011,ee4ae6f2-06e1-44b2-88f6-44b39bb94563
54,55,BOS,E'Twaun Moore,2011,abad6b5e-4a1d-4e86-bb4e-b5833f1aa1b8
59,60,SAC,Isaiah Thomas,2011,a335578c-6e7e-4fa5-bb9d-c3181439274c
