,Player,Salary,Year,UUID
0,Kevin Garnett,21000000.0,2006,0ed94437-a147-48ac-83f0-a3983fb029d8
1,Shaquille O'Neal,20000000.0,2006,3fab405f-b6e2-4a04-8e0c-c58d6a1fea7c
2,Michael Finley,19030999.0,2006,ab078447-a6ff-4e7f-930c-32994aaa5f52
3,Chris Webber,18261024.0,2006,01f6cea7-3bf1-49bf-a2e1-e8c5601b929f
4,Jason Kidd,18084000.0,2006,a84f0046-8b7d-4bde-a24d-2689996a73e8
5,Jermaine O'Neal,18084000.0,2006,f1e3c3ae-95ab-43a0-bf12-f59d2a96a373
6,Kobe Bryant,17718750.0,2006,de239086-5a79-49b6-a5b1-552a168da685
7,Tim Duncan,17429672.0,2006,5d4a4b8e-cecc-4fae-977b-853801dae01d
8,Allen Iverson,17184375.0,2006,b8337f78-f11c-44ac-bdbc-7667d03929b3
9,Stephon Marbury,17184375.0,2006,e1e4ed3a-5ec6-4639-860d-92926006ba68
10,Tracy McGrady,16901500.0,2006,7c74b779-6f5c-484e-9307-fc05b880c3aa
11,Grant Hill,16901500.0,2006,da291b31-d0f8-432f-bfbc-6153e8180354
12,Brian Grant,16786950.0,2006,9bb46ab2-3c63-4d37-bee1-9cfb027be4ea
13,Jalen Rose,16141500.0,2006,9e99123d-074a-4f90-9724-609186a05241
14,Ben Wallace,16000000.0,2006,8493385e-ecb8-419b-ad37-22bdaf12781a
15,Eddie Jones,15395472.0,2006,4d493d65-c081-42be-ae79-e74ba6b9968a
16,Paul Pierce,15101625.0,2006,4b9de629-5a81-4abd-a7f2-5d3cbc8b19f6
17,Vince Carter,15101625.0,2006,3e63da53-49dc-4303-be6f-ff70d6b50714
18,Dirk Nowitzki,15101625.0,2006,4700c150-0c70-4d0e-b464-75b7c0062372
19,Antawn Jamison,15101625.0,2006,26391d5a-bf40-4e81-8e70-cffc7549e5c0
20,Baron Davis,15070000.0,2006,d7694db9-2bdd-4f18-901c-0ca9b101b5d2
21,Steve Francis,15070000.0,2006,db5d76d1-f6c1-40c9-a12d-cf464dfb14bc
22,Shawn Marion,15070000.0,2006,40337b0b-ac2c-4381-bff4-fca22fce984e
23,Ray Allen,14611570.0,2006,6240e96a-429a-4506-9eae-fb9dc4b4739e
24,Elton Brand,14248000.0,2006,1a076e4d-1d1c-4ff8-8807-0bab0c19f8ec
25,Larry Hughes,13363012.0,2006,2415123e-00f8-4eaf-b46e-19330eae3f16
26,Michael Redd,13260000.0,2006,dd49a397-32cb-46f4-9c58-61f903e3399a
27,Joe Johnson,12744189.0,2006,f2a1b12a-e644-451d-bb44-ff366af917ac
28,Mike Bibby,12500000.0,2006,9b4eed28-cd94-4f32-9abd-65d412013cb8
29,Yao Ming,12455000.0,2006,b295fcb9-21e9-4978-829d-f7a04ddf1e43
30,Amare Stoudemire,12455000.0,2006,2363dc7f-0739-4da6-b6d2-207eade761dd
31,Pau Gasol,12364000.0,2006,a9e30495-6389-4abf-b861-cca562269443
32,Andrei Kirilenko,12364000.0,2006,a51a2b60-4b63-4783-b8a7-55ab13f9fc5d
33,Lamar Odom,12348596.0,2006,400784ad-5144-4822-9fc2-213b26f735ed
34,Kenyon Martin,12068182.0,2006,95ff9580-4d68-46ba-aee8-83154fc7a1bd
35,Zach Randolph,12000000.0,2006,47621a25-09a8-41b7-9b83-eecf488c549a
36,Wally Szczerbiak,11775000.0,2006,75c261cb-e4ba-4abc-8f14-3ae8563180ea
37,Theo Ratliff,11666666.0,2006,ebe92f3a-df7d-46e3-8232-7610e9c21fd0
38,Rasheed Wallace,11650000.0,2006,bd24dc8d-c240-4f21-be92-57fdb977dedf
39,Raef LaFrentz,11532037.0,2006,dc2bfba7-4b28-49f1-b75b-e85da29fefc9
40,Carlos Boozer,11260483.0,2006,9d42e4dd-f381-4716-bdac-208830784c89
41,Richard Jefferson,11200000.0,2006,a49ede90-f0d8-44df-bed7-ac22fdd8d76d
42,Gilbert Arenas,11096800.0,2006,7b32f2d8-6a6f-4349-b25c-f95d733105ae
43,Derek Anderson,11043897.0,2006,f5c113d3-79f3-4f81-9db5-2360f49b3701
44,Predrag Stojakovic,10800000.0,2006,2dcc7c17-52ce-4097-a39f-cfe83a28dc2e
45,Steve Nash,10500000.0,2006,32da2829-dbdc-4b02-b7d6-ea6f6845bff7
46,Jason Richardson,9999999.0,2006,ddd544af-b36d-46e1-815e-9c0566469aef
47,Erick Dampier,9628000.0,2006,e02ad4e6-60d2-47f3-9ae8-60a60b70f74f
48,Brad Miller,9625000.0,2006,e346b201-1279-487b-9ecc-bfabed7b12d5
49,Samuel Dalembert,9464307.0,2006,60106180-a854-4c4c-a2b0-b86f3d2b0167
50,Tony Parker,9450000.0,2006,c379561a-119d-4af0-92e7-8f28c6cdfd94
51,Zydrunas Ilgauskas,9442697.0,2006,751662ec-5a87-4635-b111-c042b6d773b5
52,Rashard Lewis,9350649.0,2006,ecbde104-ba2c-4e9a-aef8-8a2e2701c6bc
53,Jerry Stackhouse,9296874.0,2006,ccbb252a-e229-49bb-9efd-e509ab9722a5
54,Richard Hamilton,9187500.0,2006,a5081eb3-d21a-475c-b8b9-86cdebe8d3cd
55,Tyson Chandler,9150000.0,2006,a0087f6e-fab6-4cfb-9904-440a694c5037
56,Marcus Camby,8800000.0,2006,08d72f32-4f4b-4815-bbef-c3d3ccd6c41a
57,Andre Miller,8733333.0,2006,6b213b17-dec3-43d4-ad6b-0f989992830e
58,Bobby Simmons,8640000.0,2006,8f1b9e57-043a-4860-84f1-0b1a4379127b
59,Maurice Taylor,8565918.0,2006,50a3c879-6d7b-4067-bb0f-87f60c85ffba
60,PJ Brown,8560000.0,2006,7fe316ee-b831-4da4-a8f6-d8879252b8a6
61,Jamaal Magloire,8433334.0,2006,39fc368a-2bba-4ea1-a72a-c4170e21d5ea
62,Kwame Brown,8287500.0,2006,c8f52e7f-210b-420c-870f-2381966b6019
63,Troy Murphy,8285714.0,2006,6d5a8857-ca91-48ac-afb9-e9102109e67f
64,Manu Ginobili,8254375.0,2006,5e65e442-1275-42bb-bb05-8cefb258bbcc
65,Jason Williams,8250000.0,2006,8435b987-85b9-4c3b-804e-3fbe5c27ca5c
66,Mehmet Okur,8250000.0,2006,ecafd168-679f-40d4-bd5a-89959cdc7f3f
67,Eddy Curry,8171103.0,2006,60074750-bfe1-4308-b236-833b5a2ad0e6
