,Player,Salary,Year,UUID_x,UUID_y
423,AJ Guyton,316969.0,2000,8c2358d7-1700-40f5-8b33-4657dc64c923,8c2358d7-1700-40f5-8b33-4657dc64c923
424,Jake Voskuhl,316969.0,2000,7c4d3695-e5ef-4223-8931-8cfb32802028,7c4d3695-e5ef-4223-8931-8cfb32802028
425,Khalid El-Amin,316969.0,2000,0b48d082-1933-4150-a8d7-360e0c7eb3e0,0b48d082-1933-4150-a8d7-360e0c7eb3e0
426,Eduardo Najera,316969.0,2000,30cf576b-503c-4d56-a02e-fb174690c70e,30cf576b-503c-4d56-a02e-fb174690c70e
427,Brian Cardinal,316969.0,2000,03fce4d0-3e92-4de0-8a2b-ecfe187b5668,03fce4d0-3e92-4de0-8a2b-ecfe187b5668
428,Torraye Braggs,316969.0,2000,50757cd3-d21c-453d-ada4-651ba590916c,50757cd3-d21c-453d-ada4-651ba590916c
429,Marc Jackson,316969.0,2000,5ad0d0f5-7bd4-4b89-baaf-03cfc8d6edf6,5ad0d0f5-7bd4-4b89-baaf-03cfc8d6edf6
430,Chris Porter,316969.0,2000,b7b47dff-445e-4e91-a28a-03ca82c0b2dd,b7b47dff-445e-4e91-a28a-03ca82c0b2dd
431,Dan Langhi,316969.0,2000,3648ed1a-cfa4-4379-82f8-04343731e0fd,3648ed1a-cfa4-4379-82f8-04343731e0fd
432,Zendon Hamilton,316969.0,2000,59106a61-8017-4e50-b850-733f7bcee233,59106a61-8017-4e50-b850-733f7bcee233
433,Stanislav Medvedenko,316969.0,2000,11a0e90e-3c45-4b96-a698-8f8394fe7a63,11a0e90e-3c45-4b96-a698-8f8394fe7a63
434,Mike Penberthy,316969.0,2000,a263d83a-757c-42ec-8fae-28eecbc92cdd,a263d83a-757c-42ec-8fae-28eecbc92cdd
435,Eddie House,316969.0,2000,4f17aaad-d796-47a8-9ab3-9e3bea952d15,4f17aaad-d796-47a8-9ab3-9e3bea952d15
436,Jason Hart,316969.0,2000,965408b4-824c-40fc-98f0-5b640e959e0b,965408b4-824c-40fc-98f0-5b640e959e0b
437,Michael Redd,316969.0,2000,4563fa6c-0d65-4b84-abd8-6aebae53e4dc,4563fa6c-0d65-4b84-abd8-6aebae53e4dc
438,Lavor Postell,316969.0,2000,dd159e1f-9f0a-4a91-9162-8fc31e121b7f,dd159e1f-9f0a-4a91-9162-8fc31e121b7f
439,Pete Mickeal,316969.0,2000,d5895b15-4b08-4117-ad40-570e1572a568,d5895b15-4b08-4117-ad40-570e1572a568
440,Olumide Oyedeji,316969.0,2000,b1f25623-2f97-4822-8373-179cc14807b1,b1f25623-2f97-4822-8373-179cc14807b1
441,Ruben Wolkowyski,316969.0,2000,0dbe1706-8fb1-4344-9b98-301f0f2a0f80,0dbe1706-8fb1-4344-9b98-301f0f2a0f80
442,Pepe Sanchez,316969.0,2000,e0290c98-e986-44b9-b60c-bd435994f4ab,e0290c98-e986-44b9-b60c-bd435994f4ab
443,Ademola Okulaja,316969.0,2000,8564a4a2-2831-4bea-adbf-2a4c3c728814,8564a4a2-2831-4bea-adbf-2a4c3c728814
444,Daniel Santiago,316969.0,2000,23aaa0f1-a147-489d-8d25-1c65e095709d,23aaa0f1-a147-489d-8d25-1c65e095709d
445,Paul McPherson,316969.0,2000,2527caa1-3724-441c-9556-bc679d362f34,2527caa1-3724-441c-9556-bc679d362f34
446,Ruben Garces,316969.0,2000,77fb922b-a9c5-4af4-986e-8345889406fc,77fb922b-a9c5-4af4-986e-8345889406fc
447,Jabari Smith Sr,316969.0,2000,c43d6057-d3c6-4433-be9d-8e7ce807f8d4,c43d6057-d3c6-4433-be9d-8e7ce807f8d4
448,Ira Newble,316969.0,2000,0058fd81-11c5-4f3a-8e17-7a79508795c8,0058fd81-11c5-4f3a-8e17-7a79508795c8
449,Chris Carrawell,316969.0,2000,d388a8a2-281c-4caa-a2af-89ac56e38345,d388a8a2-281c-4caa-a2af-89ac56e38345
450,Garth Joseph,316969.0,2000,7c298081-8016-45f5-8870-fcb100d3dcbe,7c298081-8016-45f5-8870-fcb100d3dcbe
451,Mike Smith,316969.0,2000,d035ead0-2941-429e-9d72-9fa0f37252a0,d035ead0-2941-429e-9d72-9fa0f37252a0
452,Mark Karcher,50000.0,2000,c93d68d8-b92e-49ef-9236-c81e6c0c52f7,c93d68d8-b92e-49ef-9236-c81e6c0c52f7
453,Anthony Miller,40000.0,2000,b476ffaf-cbe6-45a0-8b18-13e32fca445d,b476ffaf-cbe6-45a0-8b18-13e32fca445d
454,Jamal Robinson,40000.0,2000,2e1b9a10-7342-4e74-a892-905cd913b886,2e1b9a10-7342-4e74-a892-905cd913b886
