,Player,Salary,Year,UUID
0,Kobe Bryant,23500000.0,2014,a6d9c687-bb4a-4e9e-9acb-0808cd4df26c
1,Joe Johnson,23180790.0,2014,3dbc5ae3-d3e6-4594-8fb4-a010e842ab29
2,Carmelo Anthony,22458401.0,2014,fe2a0d3b-38ff-4517-aed8-73bad2ba2be6
3,Amare Stoudemire,21896658.0,2014,2d6b4c03-6753-4801-b58a-cbf9d42aa491
4,Dwight Howard,21436271.0,2014,3cc22913-fb73-4236-999b-fb2ca2e0e748
5,LeBron James,20644400.0,2014,2c8484a4-093b-481a-92a2-c3e78785b002
6,Chris Bosh,20644400.0,2014,d6dce992-80af-4625-b63a-90ee9bc30c15
7,Chris Paul,20068563.0,2014,974ca56d-2292-4bbf-a88c-b0ceba27d533
8,Kevin Durant,19997513.0,2014,ab8b2946-61ef-47e4-a9db-a3578b648d16
9,Deron Williams,19754465.0,2014,7f38e34a-ffbe-4fb8-9943-75f17d4f2280
10,Rudy Gay,19317326.0,2014,692ca04f-92e4-45f6-b79e-473f91896f5f
11,Derrick Rose,18862876.0,2014,8023314c-8f88-41a9-a504-a04bddc4a499
12,Blake Griffin,17632688.0,2014,222c29cf-d8d0-4781-863b-fa1c52380297
13,Carlos Boozer,16800000.0,2014,8ea3d9d6-69b4-4e4a-97f0-b93e7f179abe
14,Zach Randolph,16500000.0,2014,79d1debc-711c-405e-9424-310bf28f0089
15,Marc Gasol,15829688.0,2014,60ecf082-7a85-4bf4-b05f-ec6faf4f1d71
16,Paul George,15800000.0,2014,b5ddd2a3-b3b7-49bf-8e41-1f95dca2a85e
17,Kevin Love,15719063.0,2014,5a16f0e0-2da6-4b59-97f5-277858ec9d76
18,Russell Westbrook,15719062.0,2014,9b4779b5-5f1c-4141-85d4-35f3b793f555
19,Brook Lopez,15719000.0,2014,71a7fa4a-8752-45b4-b019-63b2a839ec4b
20,LaMarcus Aldridge,15200000.0,2014,ce92d2a5-7612-4dc7-9b2c-56d06a8b8684
21,David Lee,15012000.0,2014,31b5c0bc-e0f2-4864-a020-d59390f484eb
22,Dwyane Wade,15000000.0,2014,72919f32-72db-4ec3-a2a0-26e2ca8e93d2
23,Josh Smith,14945778.0,2014,057eeead-e0ee-4a24-a341-4e981b8a5f2a
24,Roy Hibbert,14898938.0,2014,18a8fcfa-82df-4559-a75a-bab2216187b6
25,Jeremy Lin,14898938.0,2014,6f67dd77-4674-4f5c-bc29-d239d1c20cf4
26,Eric Gordon,14898938.0,2014,0b12bf77-063b-4f06-8515-9928590f296b
27,Omer Asik,14898938.0,2014,859b065e-0b08-4df8-a5fa-2fd31cea1e43
28,Gordon Hayward,14746000.0,2014,ea328837-9e54-4266-b996-ae0eccaf6b5f
29,Chandler Parsons,14700000.0,2014,0cf40c78-6eac-48f0-8e7d-1e5df120b95c
30,James Harden,14693906.0,2014,be13ad11-221f-401b-8f8a-9919712ea0b9
31,Tyson Chandler,14596888.0,2014,12374517-e989-4de1-9d7b-2679dc9cf23d
32,Brandon Roy,14399332.0,2014,8966e322-7266-46e6-836b-bebe6b435ccd
33,DeMarcus Cousins,13701250.0,2014,037f2f67-4c72-4edb-b359-2122205c9bdc
34,John Wall,13701250.0,2014,95bb7b18-3ee9-4c4b-ba4c-31e504e21fd8
35,Al Jefferson,13500000.0,2014,2b495652-9a40-4ead-92de-fad028ca38bb
36,Eric Bledsoe,13000000.0,2014,9d2aafc6-1a48-4f68-86e1-0eaae8cbf9e1
37,Nenê,13000000.0,2014,a97fa4de-1a86-4875-844d-97d6cbcc44d4
38,Andrew Bogut,12972973.0,2014,a5633e2a-9ba9-4883-ab34-db59d303c434
39,Derrick Favors,12950000.0,2014,96494e64-ee95-4a9d-8291-a6b9a9a7014d
40,Rajon Rondo,12909090.0,2014,5fa8ec58-c061-4543-9c4b-1bab44a892b4
41,Joakim Noah,12700000.0,2014,ee1282cd-f7e1-43b2-8101-e7e16d1eeb3e
42,Tony Parker,12500000.0,2014,f0dc6d8d-5e0c-4e82-bd29-55eac154dba0
43,Andre Iguodala,12289544.0,2014,e91e2e36-afcc-4f73-8471-0577a3e522de
44,Serge Ibaka,12250000.0,2014,623f91c7-54aa-422a-9f6d-e582dbe5d8bc
45,Nikola Pekovic,12100000.0,2014,734dcaf4-aaa2-4b49-b249-3954c14c3775
46,Al Horford,12000000.0,2014,43f07ef6-9d77-4f3d-9dea-5608527e2d5c
47,David West,12000000.0,2014,17c0a58a-21ad-4aae-bbea-935c4ca2bc2a
48,Kevin Garnett,12000000.0,2014,ef209281-6058-455b-b80e-67de1bb7ca33
49,Andrea Bargnani,12000000.0,2014,b2626992-9e65-405d-b16c-9efe0a702f46
50,Kyle Lowry,12000000.0,2014,c3603a11-012d-48ef-a4d7-f43549b38983
51,Ty Lawson,11595506.0,2014,cd5d074d-5cdc-4819-abe4-b5f4812f35ff
52,DeAndre Jordan,11440123.0,2014,330a91c8-2137-4fe4-a394-29fb986a6281
53,Nicolas Batum,11390500.0,2014,46e307bf-f40a-4e2b-accd-7704ed650c5c
54,Tyreke Evans,11265416.0,2014,479e7459-2ee0-4cb7-a292-1cc573ff09d3
55,JaVale McGee,11250000.0,2014,d4c88821-d975-4384-b630-ea397ec2285f
56,Larry Sanders,11000000.0,2014,fe791427-6338-4687-b0e4-f79e101abf7e
57,Jrue Holiday,11000000.0,2014,b1d89849-599e-4163-9402-aed2a6322c10
58,Danilo Gallinari,10854850.0,2014,41a0fe82-55ef-4253-9e9b-4315d814e7d8
59,Stephen Curry,10629213.0,2014,c8c8aeef-bdc0-4fe8-9d55-4c4f51cf5451
60,Marcin Gortat,10434782.0,2014,ddb4bc06-c09b-4db6-8b2b-f25a6b0dc2f9
61,Tim Duncan,10361446.0,2014,c9860018-ccd9-4a65-b26c-6725b216e07c
62,Gerald Wallace,10105855.0,2014,1acd9a87-5497-4689-b598-66867e265120
63,Anderson Varejao,9800000.0,2014,236a109e-66ac-443d-8113-2a39a0fc9fab
64,Brendan Haywood,9798000.0,2014,89f209e1-4f1a-4c62-975b-4b3cef6613e3
65,Luol Deng,9714461.0,2014,ce56f76e-9f99-461b-a0f6-7a0998be596c
66,Steve Nash,9701000.0,2014,046f02e2-399a-4377-b7b3-cf7fe0af640a
67,Kendrick Perkins,9588889.0,2014,ef29c65c-713a-4c8e-948d-dd9bab9ebecb
68,Paul Millsap,9500000.0,2014,32c971d8-b34b-4632-b3a3-4d9c45d58e76
69,DeMar DeRozan,9500000.0,2014,902aef12-fd2d-4a93-8a69-8088cb9d29f5
70,Tyrus Thomas,9460664.0,2014,dac49e02-62be-49c2-8c64-a5bf7854128e
71,Mike Miller,9332000.0,2014,9bcf9934-27f1-4825-a993-7ed79c10d2d7
72,Tiago Splitter,9250000.0,2014,119f733d-f609-43fb-a192-dfe9f68693cc
73,Jeff Green,9200000.0,2014,31c3a6f4-d839-40c8-9d21-b879f5437ffe
74,Thaddeus Young,9160870.0,2014,217387d3-3735-4e20-a11f-796dcd3d6354
75,Lance Stephenson,9000000.0,2014,3e71d1c2-8111-4ef4-adf6-ce0658550fe1
76,Jordan Hill,9000000.0,2014,b181bc46-8570-4bf5-b6fb-fcc8e7842829
77,Mike Conley,8760000.0,2014,6caed31b-c4c1-4707-84c6-1d6a09c6fd7e
78,Monta Ellis,8720000.0,2014,bdb9e293-3d6c-4db2-9f53-9bc1231be04e
79,Marcus Thornton,8697500.0,2014,237a26e3-f4e8-4cc7-9231-6f92161aaba6
80,Trevor Ariza,8600000.0,2014,65c79908-b9a1-4946-9e5c-6e18e3ca9029
81,Channing Frye,8579088.0,2014,6e8a1808-669d-4b21-b1c9-63c64d11c638
82,Landry Fields,8500000.0,2014,9cec565c-912b-4889-9edc-f4213d9f6f6b
83,Ryan Anderson,8491500.0,2014,e02aecae-8f28-4b73-b8e8-4747abd24e1e
84,Marcus Camby,8354416.0,2014,79ff3072-8df4-42c4-9d3f-4995e0974679
85,Drew Gooden,8128490.0,2014,906a6fc4-fa08-4e70-9146-11cd8df12d95
86,Jeff Teague,8000000.0,2014,b97a7921-7953-4f14-af7c-46e4bfe8bfde
87,Taj Gibson,8000000.0,2014,7c9ea9a6-b15b-4923-9a4f-a4bc9348695f
88,Brandon Jennings,8000000.0,2014,07f58d0e-391e-4a92-ae75-95086adf6089
89,George Hill,8000000.0,2014,26c47493-995d-4612-b2a8-a5e27a904a7c
90,OJ Mayo,8000000.0,2014,bcc6cf01-f534-4c13-a3e0-5408add37335
91,Boris Diaw,8000000.0,2014,62eb5eb0-293b-48a0-9a15-b779fd56843e
92,Dirk Nowitzki,7974482.0,2014,750f604c-77cf-488e-8cc5-41da49b1913b
93,Ersan Ilyasova,7900000.0,2014,b0532a76-c82f-4567-9bfa-1ff9182a327d
94,Glen Davis,7827985.0,2014,797e3c60-6940-480f-bd14-5c8e5e7c6bcb
95,Tayshaun Prince,7707865.0,2014,968d6212-dad4-4a17-b8fc-0c048583a76f
96,Al Harrington,7609800.0,2014,0dac968d-691c-4591-8673-2497c28ef230
97,Arron Afflalo,7562500.0,2014,2794305e-769a-4364-90cb-7b762090f876
