,Player,Salary,Year,UUID
0,Kobe Bryant,25000000.0,2015,a6d9c687-bb4a-4e9e-9acb-0808cd4df26c
1,LeBron James,22970500.0,2015,2c8484a4-093b-481a-92a2-c3e78785b002
2,Carmelo Anthony,22875000.0,2015,fe2a0d3b-38ff-4517-aed8-73bad2ba2be6
3,Dwight Howard,22359364.0,2015,3cc22913-fb73-4236-999b-fb2ca2e0e748
4,Joe Johnson,22309344.0,2015,3dbc5ae3-d3e6-4594-8fb4-a010e842ab29
5,Chris Bosh,22192730.0,2015,d6dce992-80af-4625-b63a-90ee9bc30c15
6,Kevin Durant,21971850.0,2015,ab8b2946-61ef-47e4-a9db-a3578b648d16
7,Chris Paul,21468695.0,2015,974ca56d-2292-4bbf-a88c-b0ceba27d533
8,Derrick Rose,20093064.0,2015,8023314c-8f88-41a9-a504-a04bddc4a499
9,Dwyane Wade,20000000.0,2015,72919f32-72db-4ec3-a2a0-26e2ca8e93d2
10,Brook Lopez,19689000.0,2015,71a7fa4a-8752-45b4-b019-63b2a839ec4b
11,Kevin Love,19689000.0,2015,5a16f0e0-2da6-4b59-97f5-277858ec9d76
12,DeAndre Jordan,19689000.0,2015,330a91c8-2137-4fe4-a394-29fb986a6281
13,Marc Gasol,19689000.0,2015,60ecf082-7a85-4bf4-b05f-ec6faf4f1d71
14,LaMarcus Aldridge,19689000.0,2015,ce92d2a5-7612-4dc7-9b2c-56d06a8b8684
15,Blake Griffin,18862876.0,2015,222c29cf-d8d0-4781-863b-fa1c52380297
16,Paul Millsap,18671659.0,2015,32c971d8-b34b-4632-b3a3-4d9c45d58e76
17,David Lee,17120776.0,2015,31b5c0bc-e0f2-4864-a020-d59390f484eb
18,Paul George,16900000.0,2015,b5ddd2a3-b3b7-49bf-8e41-1f95dca2a85e
19,Russell Westbrook,16744218.0,2015,9b4779b5-5f1c-4141-85d4-35f3b793f555
20,Jimmy Butler,16407500.0,2015,b5b83e5b-d431-47e7-8bf9-76248462162e
21,Kyrie Irving,16407500.0,2015,e80e2cbe-7334-4523-85f2-1e460dbb3b8a
22,Wesley Matthews,16407500.0,2015,18a1f4a3-a978-4733-9892-e64a816e41fc
23,Greg Monroe,16407500.0,2015,4bfd66ae-4801-40c6-9756-b677593390d5
24,Enes Kanter,16407500.0,2015,4e1e9366-8414-4176-a1f4-64195bc9eb4a
25,Kawhi Leonard,16407500.0,2015,13e68763-6402-4e19-a5e6-e8f4a7cb77d5
26,Tobias Harris,16000000.0,2015,472d9541-1266-4cf2-af7a-df3474520afc
27,James Harden,15719062.0,2015,be13ad11-221f-401b-8f8a-9919712ea0b9
28,Roy Hibbert,15514031.0,2015,18a8fcfa-82df-4559-a75a-bab2216187b6
29,Eric Gordon,15514031.0,2015,0b12bf77-063b-4f06-8515-9928590f296b
30,Klay Thompson,15501000.0,2015,a6836c6a-c78c-4503-9433-f95ab8b022c3
31,Gordon Hayward,15409570.0,2015,ea328837-9e54-4266-b996-ae0eccaf6b5f
32,Chandler Parsons,15361500.0,2015,0cf40c78-6eac-48f0-8e7d-1e5df120b95c
33,Goran Dragic,14783000.0,2015,e49edd88-3931-448a-bc16-28b78bb01d81
34,DeMarcus Cousins,14728844.0,2015,037f2f67-4c72-4edb-b359-2122205c9bdc
35,John Wall,14728844.0,2015,95bb7b18-3ee9-4c4b-ba4c-31e504e21fd8
36,Khris Middleton,14700000.0,2015,0c9f29e9-fd49-4aa9-935d-9aa4d17d4524
37,Draymond Green,14260870.0,2015,d764b603-c485-4246-8271-c8a8a27d7c5b
38,Tristan Thompson,14260000.0,2015,2abbfc2d-917e-4207-8678-192af46fa5b2
39,Danilo Gallinari,14000000.0,2015,41a0fe82-55ef-4253-9e9b-4315d814e7d8
40,Reggie Jackson,13913044.0,2015,f165fe8d-4bff-4dd9-9dc1-d9231eb3b121
41,DeMarre Carroll,13600000.0,2015,c1ee13b1-4c81-4507-8568-981d645e18c9
42,Al Jefferson,13500000.0,2015,2b495652-9a40-4ead-92de-fad028ca38bb
43,Eric Bledsoe,13500000.0,2015,9d2aafc6-1a48-4f68-86e1-0eaae8cbf9e1
44,Brandon Knight,13500000.0,2015,7388c34b-1e4f-4a89-9c05-2386cf5a3050
45,Tony Parker,13437500.0,2015,f0dc6d8d-5e0c-4e82-bd29-55eac154dba0
