,player,uuid
86,Hersey Hawkins,10fb12d4-0deb-4d01-a77a-703193cdc512
87,Jayson Williams,50b7e899-8125-4ca8-ac3b-c33b70ff2747
88,Brian Oliver,81a67780-ed4d-4420-afb9-1d333a2db904
89,Ron Anderson,879271b3-6eb8-4b10-9efc-1040aa004b46
90,Dave Hoppen,218dbf37-00b7-45c7-aec6-02052becd68f
91,Kenny Payne,8c694f31-8775-481d-a1ce-a811bafd53db
92,Rickey Green,e513ab54-c9fc-4702-a317-e29837c36656
93,Andre Turner,eaa1c0c2-ea2a-47d8-8886-14052ab49837
94,Jack Sikma,fd853d2e-d85f-455e-8ee7-55e6695f9892
95,Danny Schayes,cd893740-ecfa-4f1e-aaa0-3cda007b4239
96,Brad Lohaus,2e6faaa9-51d5-41cb-976b-cce7e4842115
97,Dale Ellis,3deebb20-3308-404d-be67-ab1e32b18cba
98,Frank Brickowski,e2011308-25ca-48c8-bc1d-457254a4315a
99,Lester Conner,c631fad3-b76e-4c0f-80d9-20fc46ad63fc
100,Alvin Robertson,a16f3c84-354b-4ac6-9c1e-3f51db0ae353
101,Fred Roberts,8777a6ae-f4cb-4f2f-bfce-9cca3c26a190
102,Jay Humphries,a03bcdac-07d6-4219-b14d-4bb4e52d350f
103,Jeff Grayer,3c9908a9-6f70-4dcc-b1b2-380568c02995
104,Larry Krystkowiak,f71bde4e-092f-4c53-9b77-4879ce58107b
105,Adrian Dantley,9292713e-4948-410d-a2ee-3787964923f0
106,Frank Kornet,c1ad1540-8162-4546-a2db-73e74e566291
107,Steve Henson,5c8a84be-b88b-4897-8aba-42a9b1cedf14
108,Tom Chambers,87411ad9-1a01-4926-b6d7-247d9d29a17c
109,Kevin Johnson,86f7414d-265b-4a60-bd78-1785882e8cc3
110,Xavier McDaniel,4fcf5091-1871-4607-bb76-e523d76899ef
111,Jeff Hornacek,947b97b4-0083-4ed2-8f6e-0ed68b255a9a
112,Kurt Rambis,26bdc332-6023-499d-8754-4c64441c5042
113,Mark West,878969ba-2ce8-487b-bfdf-58ec6b9e5cc2
114,Tim Perry,af6b17df-a4b3-4a58-8aaf-427d69698b84
115,Andrew Lang,3d349e33-1dd0-498b-a15d-cff98b7edd52
116,Ed Nealy,e44361b7-8c42-4b89-a466-5414b64d4c11
117,Negele Knight,8a948242-2f77-4057-b1f7-438d9a14d900
118,Dan Majerle,5132f353-70d8-47fe-a753-42e26ab27294
119,Joe Barry Carroll,8ea4315e-1f32-492c-b188-4287ea9e2765
120,Cedric Ceballos,b2b1330d-bc6c-4322-b539-ee859f77fd1a
121,Ian Lockhart,ece0b322-aeb2-4008-a1e4-6187b49f0d9b
122,Derrick Coleman,84f062a1-ada6-4899-8ab9-260ce609bcc4
123,Sam Bowie,1b192fac-4037-43be-936e-062aa711e76e
124,Roy Hinson,33a6c3e1-a5cc-4163-a954-fb7ac3c616be
125,Drazen Petrovic,0d9d233b-1710-4f03-8d9f-ce6c6b4864f2
126,Chris Dudley,10207f22-6a09-46de-9e54-a6e20300ec6a
127,Reggie Theus,0b81bcdc-9f83-46d8-817b-a88c7e8c1c29
128,Chris Morris,5d38a93e-415b-4388-bfbe-b8d91419e83a
129,Terry Mills,ebfc0d0c-20a2-4b02-bed3-2da068d81aa1
130,Mookie Blaylock,cec2d617-bfcd-42bb-904f-d87cf5e681c7
131,Tate George,102a8d8a-f341-41c3-8671-784aafbf6461
132,Jack Haley,49d90c64-77cf-4dee-8ef7-b7424bab39d0
133,Jud Buechler,5cc0522a-92c2-4b12-a9ff-963e2840c135
134,Derrick Gervin,ee9f19d3-e888-4fed-b738-1e03aa07b832
135,Kurk Lee,7a5482ee-66f4-45e3-a385-0917032b2704
136,Robert Parish,b32f2754-b209-4375-9e8b-1076b18ecf0a
137,Larry Bird,876af41e-0c66-4daf-b0fd-7d820ff0e55e
138,Kevin McHale,c2736b2b-acea-4191-b85e-c8144d36d911
139,Brian Shaw,fe3edc8f-1d05-4ce4-bc1b-65cc1983b048
140,Joe Kleine,bd352746-6cdd-4a07-838c-4a2b06fbc93f
141,Ed Pinckney,68ada192-7378-460e-9aa6-952225d7ff51
142,John Bagley,2bb97067-0d4d-4389-8ab8-1c6d9259adea
143,Dee Brown,f3409c41-8f7a-451e-8e19-5db262e1f39e
144,Michael Smith,91510177-eba8-4f42-8328-30266e83c8ba
145,Reggie Lewis,4afde9c7-0a1e-48b7-a660-4c5edf85c105
146,Kevin Gamble,9a2469a9-1262-4c2a-85da-acc7a3e487f6
147,Derek Smith,09f85a10-f432-46e0-bb21-9f5dac838827
148,Stojko Vrankovic,bdc121b4-f0fd-4b8c-becd-ef36bd9782be
149,Dave Popson,90389e46-3d12-4ae8-98ff-444d385db86d
150,A.J. Wynder,34997a6c-5a2d-4e53-983e-fa2626160098
151,Terry Porter,458877e6-636d-4a9a-bcc8-c2629a92333b
152,Kevin Duckworth,af5f0718-d3bf-453d-be32-650509490dab
153,Buck Williams,8e9fe8ca-129b-4f58-aa74-7be4970db484
154,Clyde Drexler,473afddc-75ad-491f-b164-d17dd41a71fc
155,Wayne Cooper,9903b5d5-364c-4ac7-be54-e5a3032f70d4
156,Walter Davis,fcae5e69-e8ca-4b4b-b198-6b51005a1015
157,Danny Ainge,de30c2ee-ec9d-4042-be54-f406cc621efb
158,Jerome Kersey,58b748c5-f84e-4fb9-87b7-0beb927995b3
159,Danny Young,da5463fa-0a4a-4f5a-9c76-62fc44e7c9be
160,Mark Bryant,76198ed3-74d2-496b-8f73-36b57a74c3ae
161,Alaa Abdelnaby,a8027f37-8e2f-4c83-98eb-3ccfeea00c2a
162,Cliff Robinson,0994e34e-3a60-4383-b6f2-ca335070a9be
163,Chris Mullin,a9a609d3-1742-4cce-b26b-f887a1706f7b
164,Alton Lister,ea75cdc5-3820-4680-9fe8-b54ab17af599
165,Sarunas Marciulionis,6ea615da-8608-4e59-930b-eae647614e92
166,Jim Petersen,22e6d6c4-8313-4a47-83c5-99e45cbfd9fc
167,Tyrone Hill,797fa251-57d3-4319-b3ab-1534229fc5e5
168,Mitch Richmond,ef0049c2-c8e5-48c3-a52e-3c7f9f168c74
169,Les Jepsen,36d9f734-97fc-4bb8-a62e-1689dcdf1f62
170,Tim Hardaway,96e17ae1-a423-4d71-890b-525d2395dcc3
171,Rod Higgins,829b846e-246a-48b7-99bc-f6094deab2b6
172,Tom Tolbert,4ee65fa9-ae0a-4771-8fb4-c610de0d16c0
173,Kevin Pritchard,3d46e43c-ecfc-40de-9c25-32235d97176c
174,Paul Mokeski,70bf7f32-8be3-469a-bd42-6b02e330c3ae
175,Mario Elie,9a34fe53-7775-4472-9659-9d49bf9ef336
176,David Robinson,c669dde1-a016-4cf3-a1af-9b7b0a045415
177,Terry Cummings,7476bfee-7c7e-490c-89af-56e322a8df0a
178,Sean Elliott,06ab8ae4-e8f3-4b6b-a216-4187e8ac6dc0
179,Paul Pressey,800e97cb-37f6-4408-afd0-291968896c7f
180,Sidney Green,65ef29b6-8b82-4d01-80fc-6b3047ec4d70
181,David Wingate,32fd444d-fa09-4d8d-b859-ed406dbaefcb
182,Willie Anderson,7065a6f9-3b58-4bb6-8b96-22d64d43b65f
183,Dave Greenwood,99b1aedc-c70b-4895-b800-b7045b3179e9
184,Dwayne Schintzius,1a278d0c-401d-4920-86ed-100cbc899673
185,Rod Strickland,b74538bf-c5c2-4243-8598-66de6bdd3277
186,Sean Higgins,d03a18d0-6b7d-4f4e-b77c-d057d51facbc
187,Tony Massenburg,eb2caf11-2799-4db3-b22b-5fc755c61fdb
188,Avery Johnson,1b017b2f-f5f4-4e85-baf8-faae999d9aad
189,Chuck Person,dfb84abb-d10c-4787-815c-5bee1d7f758b
190,LaSalle Thompson,dc194640-8eeb-471e-ab3b-64b6cb7e361d
191,Rik Smits,19672fc7-6c78-4dd3-a721-7a56d1e4248d
